"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Aralia.hispida","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Betula","Brassicaceae","Carya.ovata","Caryophyllaceae","Cerealia","cf..Callitriche","Cornus.alternifolia","Cornus.undiff.","Corylus.cornuta","Cyperaceae","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Lamiaceae","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Nuphar","Onagraceae","Osmunda.cinnamomea","Ostrya.Carpinus","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Rosaceae","Rubiaceae","Rumex.type","Salix","Saxifragaceae","Selaginella","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.edule","Viburnum.lentago"
200,5756,46,0,0,0,1,1,1,1,0,0,0,0,1,0,0,183,0,0,0,0,0,0,0,0,6,0,0,0,0,39,1,0,0,1,0,3,0,0,1,0,0,1,0,0,0,32,6,4,15,4,0,4,0,0,1,0,0,0,4,0,0,118,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
220,5991,45,0,0,0,0,1,1,5,1,0,0,1,0,0,0,146,0,0,0,0,0,0,0,0,7,0,0,0,1,24,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,19,4,4,29,6,0,0,0,0,0,0,2,0,0,0,0,73,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
240,6225,14,0,0,0,0,9,4,4,0,0,0,0,0,0,0,245,0,0,0,0,0,0,1,0,4,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,8,4,0,11,3,0,0,0,0,8,1,1,0,0,0,0,21,0,0,0,0,3,0,1,2,2,0,0,0,0,0,0
260,6460,22,0,0,0,1,3,0,4,0,1,0,2,0,0,0,324,0,0,0,0,0,0,0,0,14,0,0,0,0,17,1,0,0,0,0,3,0,0,2,0,0,9,0,0,1,18,4,1,14,6,0,2,0,0,2,0,1,0,1,0,0,9,0,0,0,0,2,0,3,5,7,0,0,2,0,0,0
280,6695,32,1,0,0,2,15,1,10,0,0,0,0,1,0,0,493,0,0,0,0,0,0,1,1,8,0,0,0,2,2,0,0,0,0,0,4,0,0,1,0,0,12,0,1,0,37,9,5,23,9,0,0,0,0,3,0,3,0,0,1,0,13,0,0,0,1,1,0,1,6,2,0,0,5,0,1,0
300,6930,29,0,0,0,1,8,0,8,1,0,0,0,0,0,0,404,0,0,0,0,0,0,1,0,3,0,0,0,1,0,1,1,0,0,0,4,0,0,2,0,0,10,0,0,0,24,5,2,13,6,0,0,0,0,6,0,0,0,0,0,0,15,0,0,0,0,0,0,2,4,4,2,0,0,0,0,0
320,7165,24,0,0,0,1,6,1,12,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,9,0,0,0,1,2,1,0,0,1,0,4,0,0,0,0,0,5,0,0,0,17,5,4,26,6,0,1,0,0,3,0,1,0,0,1,0,4,0,0,0,0,2,0,3,4,0,1,0,2,0,0,0
340,7399,41,0,0,0,3,6,2,9,0,0,0,0,1,0,0,402,0,0,0,0,0,0,1,0,13,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,19,10,2,20,5,0,2,0,0,16,0,0,0,0,0,0,9,0,0,0,1,0,0,4,5,4,2,0,1,0,0,0
360,7634,33,0,0,0,0,4,1,11,0,1,0,1,2,0,0,334,0,0,0,0,0,0,0,0,16,0,0,1,1,4,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,17,6,2,9,5,0,2,0,0,14,0,0,0,0,0,0,8,0,0,0,0,3,0,0,10,1,1,0,5,0,0,0
380,7869,23,0,0,0,1,12,2,37,0,1,0,0,1,0,0,387,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,5,6,7,3,0,0,0,1,15,0,5,0,1,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0
400,8118,28,0,0,0,0,3,2,36,1,0,0,2,0,0,0,402,0,0,0,0,0,0,2,0,34,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,14,10,3,7,7,0,0,0,1,13,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
420,8410,20,0,0,0,1,4,1,52,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10,9,0,5,1,0,0,0,3,27,0,1,1,4,0,0,0,0,0,0,0,0,2,1,0,0,2,0,2,0,0,0
440,8702,18,0,0,0,0,25,0,120,0,0,0,1,0,0,0,195,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,3,1,2,0,0,0,0,9,0,4,0,4,0,0,4,0,1,0,0,0,2,0,0,0,1,0,3,0,0,0
460,9210,19,0,0,0,0,3,1,247,0,0,0,1,2,0,0,203,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,11,12,1,4,3,0,0,0,1,31,0,4,1,3,0,0,5,0,0,0,1,0,1,2,0,0,1,0,2,0,1,0
480,9791,2,0,0,0,0,2,0,418,0,0,0,0,1,0,0,74,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,9,0,1,0,0,13,11,2,9,3,0,1,0,1,37,0,1,0,0,0,0,13,0,0,1,0,0,5,0,0,0,0,0,0,0,2,0
500,NA,5,0,0,0,0,0,2,360,0,0,3,1,4,0,8,72,2,0,0,2,0,0,0,1,26,1,0,4,1,4,1,0,1,0,0,1,0,0,4,1,11,0,1,0,0,45,37,9,7,14,0,0,0,0,11,0,7,3,0,0,0,9,0,0,2,0,1,3,1,0,0,4,3,10,0,0,0
510,NA,2,0,0,0,0,0,0,166,1,3,7,5,4,0,0,51,0,0,0,0,0,3,0,0,24,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,2,0,0,0,0,68,25,5,4,4,0,19,0,2,12,0,2,0,3,0,0,4,0,0,1,0,0,4,1,0,0,4,0,6,0,0,0
520,NA,6,0,0,0,1,1,0,249,1,1,0,7,3,0,0,73,0,0,0,0,0,4,0,0,21,0,0,21,0,0,0,0,0,0,0,1,0,1,2,0,4,0,0,0,0,93,13,25,10,3,6,18,0,1,16,0,18,1,2,0,0,6,0,0,1,0,0,2,0,0,0,6,0,5,1,0,0
530,NA,3,0,0,0,0,1,0,278,3,3,0,3,3,0,0,94,0,0,0,0,0,0,0,0,9,0,0,2,0,1,0,1,0,0,0,0,0,0,3,0,9,0,0,0,0,82,18,17,5,3,2,13,0,1,14,0,2,0,0,0,0,4,0,0,0,0,0,0,1,0,0,2,0,10,0,2,0
540,NA,0,0,0,0,0,0,0,90,0,0,0,7,3,0,0,39,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,160,9,25,0,1,4,11,0,1,0,0,11,0,2,0,0,5,0,0,2,0,0,0,0,0,0,5,0,5,0,0,0
550,NA,0,0,0,0,1,1,1,102,2,1,0,95,23,0,0,32,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,6,0,0,119,18,21,0,3,0,12,1,0,5,0,3,0,1,0,0,2,0,0,3,0,0,0,0,0,0,5,1,14,2,3,0
