"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Amaranthaceae","Ambrosia.type","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Carya","Corylus","Cupressaceae","Cyperaceae","Ephedra","Equisetum","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Herbs.undiff.","Indeterminable","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Myrica","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium.type","Quercus","Sagittaria","Salix","Sphagnum","Tilia","Tsuga","Typha.Sparganium","Ulmus","Unknown","Unknown..monolete."
69.5,3818,4,1,10,8,0,8,0,2,0,233,0,3,3,11,2,0,0,5,0,2,0,14,1,0,1,0,0,0,0,1,0,8,9,5,22,152,1,0,0,1,2,46,0,0,0,0,14,0,10,0,1
74.5,4163,4,2,9,16,2,4,0,7,3,276,0,0,2,1,5,0,0,4,1,4,0,21,0,0,2,0,0,0,0,0,0,13,11,4,31,229,0,2,0,0,4,95,0,0,0,0,22,0,12,0,0
79.5,4507,3,0,11,16,0,7,0,6,0,283,0,1,5,11,3,0,0,2,2,1,0,12,0,0,5,1,0,0,0,1,0,8,7,4,18,130,0,1,0,0,0,60,0,1,1,0,7,0,6,0,2
84.5,4625,9,1,16,19,2,7,0,7,1,135,0,0,1,1,6,0,0,5,2,2,1,12,1,0,2,1,0,0,0,0,0,24,5,6,66,255,1,3,0,0,4,108,0,1,0,0,73,1,21,0,1
89.5,4719,3,1,8,20,4,9,0,5,0,141,0,0,3,6,2,0,0,3,3,5,0,10,1,0,5,1,0,0,0,2,0,22,6,5,37,231,1,5,0,0,4,72,0,1,0,0,23,0,6,1,2
94.5,5225,4,0,11,18,1,10,0,6,1,54,0,1,2,2,1,0,0,0,1,2,0,13,0,0,1,0,0,0,0,2,0,20,7,8,53,351,0,1,0,0,3,45,0,0,0,1,138,0,10,0,0
99.5,5730,7,1,7,11,1,9,0,2,0,33,0,0,3,9,1,0,0,0,0,2,0,3,0,0,6,0,0,0,0,0,0,16,9,14,82,357,0,2,0,1,2,62,0,1,0,0,58,0,5,0,2
104.5,6236,5,0,8,5,2,12,0,5,2,68,0,1,2,0,5,0,0,0,0,3,0,9,0,0,3,3,0,0,0,0,1,18,16,21,111,637,3,1,0,0,8,36,0,1,1,1,15,0,12,0,0
109.5,6742,4,0,6,6,2,5,0,4,0,42,1,0,1,3,1,0,0,0,0,3,1,12,1,0,0,6,0,0,0,1,0,11,8,24,87,521,4,1,0,0,5,48,0,0,0,0,1,0,18,0,0
114.5,7296,4,0,8,7,1,8,0,6,0,48,0,2,0,0,6,0,0,1,3,5,0,8,1,1,0,3,0,0,0,0,0,19,3,5,130,475,2,3,0,0,2,49,0,1,1,0,5,0,21,1,0
119.5,7964,1,1,3,5,1,10,0,3,0,30,0,0,1,2,5,0,0,0,0,1,0,6,1,0,0,4,0,0,0,0,0,12,8,11,44,449,0,2,0,0,2,22,0,1,0,1,2,0,13,1,0
124.5,8632,6,0,0,8,1,6,0,2,0,37,0,1,2,1,2,0,0,0,0,3,0,7,1,1,4,2,0,0,0,0,0,15,11,79,30,492,0,1,0,0,1,22,0,2,0,0,0,0,8,0,0
129.5,9299,5,0,5,6,2,4,0,2,0,15,0,3,1,3,1,0,0,1,0,4,0,5,0,0,1,0,0,0,0,0,0,3,12,83,9,420,1,0,0,0,5,19,0,1,0,0,0,0,4,2,0
134.5,9816,8,0,1,2,2,6,0,5,2,17,0,0,2,1,1,1,4,0,0,0,0,12,0,0,1,0,0,0,0,0,0,3,26,117,9,727,0,2,0,0,4,12,0,1,0,0,0,0,7,7,0
139.5,10106,7,0,0,1,1,3,0,2,0,4,0,0,1,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,29,127,1,657,0,0,0,0,2,3,0,0,0,0,0,0,2,1,0
