"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Betula","Cyperaceae","Fraxinus.pennsylvanica.type","Picea.mariana.type","Pinus.undiff.","Quercus","Tilia","Asteraceae.subf..Asteroideae.undiff.","Juniperus.type","Abies.balsamea","Acer.saccharum","Pinus.banksiana.type","Pinus.strobus","Rhamnus.alnifolia.R..frangula","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Ambrosia.type","Artemisia","Fagus","Salix","Poaceae","Fraxinus.nigra.type","Cornus","Juglans.cinerea","Ostrya.Carpinus","Rosaceae","Myrica.gale","Viburnum.edule","Castanea.dentata","Ulmus","Ranunculaceae.undiff.","Amaranthaceae","Acer.rubrum","Caryophyllaceae","Acer.pensylvanicum","Acer.spicatum","Taxus","Thalictrum","Carya.ovata","Picea.glauca.type","Corylus.cornuta","Populus.tremuloides.type","Populus.balsamifera.type","Ericaceae","Fabaceae","Aralia.hispida","Plantago","Asteraceae.subf..Cichorioideae","Shepherdia.canadensis","Saxifragaceae","Onagraceae","cf..Oxyria.digyna"
220,6874,608,0,3,481,1,0,22,19,2,0,1,0,25,3,0,13,0,1,1,23,0,0,0,0,3,4,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
240,7381,590,0,29,465,1,1,21,11,2,0,1,0,10,1,3,14,0,1,1,15,0,0,1,0,0,5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,7887,643,1,25,523,3,0,13,11,3,0,0,0,31,1,0,7,0,0,1,15,0,1,0,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
280,9023,751,3,33,597,2,1,31,11,5,0,1,0,28,0,0,9,0,1,2,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
295,10129,399,6,32,256,0,0,12,27,1,0,1,0,24,0,0,17,0,0,0,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
300,10352,624,11,98,339,2,0,28,6,6,0,1,1,98,0,5,3,0,0,1,14,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
305,10575,585,3,225,132,0,0,38,64,0,0,0,2,66,0,5,10,0,0,0,24,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0
315,11022,490,0,302,77,1,0,46,6,3,0,2,0,12,0,9,7,0,0,0,19,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
320,11245,518,12,340,72,0,0,47,3,4,0,1,1,1,0,5,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,1,0,0,0,0,0,0
330,11692,407,11,147,39,4,0,98,28,2,0,1,2,2,0,10,7,0,0,1,45,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0
335,11915,395,7,45,50,1,0,168,16,3,0,5,12,1,0,11,15,0,2,0,36,0,3,1,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,2,0,0,1,0,1,0,0,0,0,0
340,12138,555,1,88,173,20,0,72,11,4,0,13,6,1,1,48,12,0,0,1,29,1,8,0,13,20,0,0,0,0,2,0,3,0,2,0,0,0,0,0,2,0,7,0,0,0,11,0,0,3,0,0,1,2,0,0,0
355,NA,260,0,11,50,32,0,12,17,3,0,18,8,0,0,30,7,0,0,0,5,1,4,0,45,5,0,0,0,0,2,1,0,0,2,0,0,0,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0
360,NA,183,1,2,50,15,0,24,2,0,0,8,0,0,0,57,0,0,0,0,4,1,3,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
370,NA,374,21,51,67,91,1,0,42,4,0,2,10,0,0,8,0,0,1,0,5,1,6,1,10,18,3,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,4,0,0,1,6,0,0,0,0,0,0,0,0,0,10
375,NA,132,6,7,24,29,0,2,21,0,0,0,1,0,0,14,2,0,0,0,5,0,1,1,3,4,1,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0
380,NA,184,0,0,5,33,0,20,21,0,0,0,0,0,0,88,0,0,0,0,7,1,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,NA,73,3,15,13,0,1,0,10,0,0,1,1,0,0,4,3,0,0,0,3,0,3,1,2,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
390,NA,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,NA,281,0,14,207,0,0,18,2,1,0,1,0,6,0,15,0,0,0,0,15,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,NA,9,0,1,2,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,NA,27,1,0,3,0,1,0,3,1,0,0,0,0,0,6,4,0,0,0,0,0,0,0,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
420,NA,6,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,NA,278,0,135,64,1,0,40,3,1,0,0,0,0,0,8,0,0,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
