"sample.depths","sample.ages","Abies","Cyperaceae","Ericaceae","Asteraceae.subf..Cichorioideae","Picea","Quercus","Tsuga","Alnus","Fraxinus","Myrica","Pinus","Poaceae","Betula.less.than.20microm","Corylus.type","Betula.greater.than.20microm","Betula.20.25microm","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Populus","Juniperus","Ostrya","Salix","Ulmus","Cornus","Juglans","Apiaceae","Acer","Castanea","Thalictrum","Amaranthaceae","Fagus","Rubiaceae","Epilobium","Rosaceae"
100,2660,0.051948052,0.025974026,0.019480519,0,0.178571429,0.006493506,0,0.331168831,0,0.077922078,0.032467532,0.003246753,0.003246753,0.025974026,0.00974026,0.214285714,0.003246753,0.003246753,0,0.003246753,0,0.003246753,0,0,0.003246753,0.003246753,0,0,0,0,0,0,0,0
110,2922,0.060273973,0.038356164,0.010958904,0,0.183561644,0.002739726,0,0.298630137,0,0.046575342,0.035616438,0.005479452,0.021917808,0.024657534,0.005479452,0.260273973,0.002739726,0,0,0,0,0.002739726,0,0,0,0,0,0,0,0,0,0,0,0
120,3118,0.047761194,0.026865672,0.005970149,0,0.16119403,0,0,0.331343284,0.002985075,0.068656716,0.026865672,0.002985075,0.008955224,0.011940299,0.008955224,0.28358209,0,0.005970149,0,0.002985075,0,0.002985075,0,0,0,0,0,0,0,0,0,0,0,0
130,3314,0.068403909,0.019543974,0.009771987,0,0.182410423,0,0,0.364820847,0.003257329,0.058631922,0.016286645,0,0.006514658,0.009771987,0.013029316,0.2247557,0.009771987,0.006514658,0,0,0,0.006514658,0,0,0,0,0,0,0,0,0,0,0,0
140,3510,0.038216561,0.012738854,0.012738854,0,0.175159236,0.003184713,0,0.382165605,0,0.057324841,0.00955414,0,0.006369427,0.006369427,0.015923567,0.270700637,0,0,0,0,0,0.003184713,0.006369427,0,0,0,0,0,0,0,0,0,0,0
150,3706,0.064516129,0.011730205,0.008797654,0.002932551,0.17888563,0,0,0.337243402,0.002932551,0.052785924,0.026392962,0.002932551,0.002932551,0.011730205,0.002932551,0.287390029,0,0,0,0,0,0,0,0,0,0.005865103,0,0,0,0,0,0,0,0
160,3902,0.022222222,0.031746032,0,0,0.13968254,0,0,0.380952381,0,0.063492063,0.019047619,0,0.003174603,0.003174603,0.012698413,0.304761905,0,0.012698413,0,0,0,0.003174603,0,0,0,0,0,0,0,0,0.003174603,0,0,0
170,4098,0.059561129,0.034482759,0.009404389,0.003134796,0.147335423,0,0,0.373040752,0.003134796,0.062695925,0.021943574,0,0.006269592,0.009404389,0.018808777,0.235109718,0,0.006269592,0,0.003134796,0,0,0,0,0,0.003134796,0,0,0,0,0,0.003134796,0,0
180,4294,0.075,0.019444444,0.005555556,0,0.172222222,0.002777778,0.002777778,0.325,0,0.063888889,0.033333333,0,0.008333333,0.002777778,0.002777778,0.266666667,0,0.002777778,0,0.005555556,0,0,0.005555556,0,0,0,0,0,0.002777778,0,0.002777778,0,0,0
190,4490,0.047021944,0.037617555,0,0.003134796,0.106583072,0.003134796,0,0.357366771,0.003134796,0.087774295,0.031347962,0,0.012539185,0.018808777,0.003134796,0.257053292,0.003134796,0.006269592,0.003134796,0,0.003134796,0.009404389,0,0,0,0.003134796,0,0,0,0,0.003134796,0,0,0
200,4686,0.05899705,0.029498525,0,0,0.17699115,0,0,0.380530973,0.002949853,0.088495575,0.02359882,0,0.002949853,0.002949853,0,0.224188791,0,0.002949853,0,0,0.002949853,0,0,0,0.002949853,0,0,0,0,0,0,0,0,0
210,4882,0.050397878,0.026525199,0.00265252,0,0.172413793,0,0,0.315649867,0.00530504,0.082228117,0.042440318,0,0.00530504,0.021220159,0.00795756,0.24933687,0.00530504,0.00265252,0,0,0.00265252,0.00265252,0.00265252,0,0,0,0,0.00265252,0,0,0,0,0,0
220,5055,0.068862275,0.023952096,0,0,0.170658683,0.002994012,0,0.317365269,0,0.098802395,0.032934132,0,0.01497006,0.017964072,0,0.218562874,0.002994012,0.020958084,0,0,0.002994012,0.002994012,0,0,0,0,0,0.002994012,0,0,0,0,0,0
230,5219,0.043478261,0.031884058,0.014492754,0,0.182608696,0,0.002898551,0.324637681,0,0.052173913,0.026086957,0,0.011594203,0,0.014492754,0.275362319,0.002898551,0.011594203,0,0,0,0,0,0,0,0.005797101,0,0,0,0,0,0,0,0
240,5383,0.073015873,0.025396825,0.003174603,0,0.158730159,0.003174603,0,0.250793651,0,0.079365079,0.038095238,0,0.006349206,0.015873016,0.006349206,0.298412698,0,0.015873016,0,0,0.003174603,0.003174603,0.003174603,0,0,0.00952381,0,0,0,0,0.003174603,0.003174603,0,0
250,5548,0.058461538,0.015384615,0.006153846,0,0.181538462,0.012307692,0,0.24,0,0.123076923,0.018461538,0.006153846,0.012307692,0.012307692,0.006153846,0.28,0.003076923,0.009230769,0,0,0,0.003076923,0.006153846,0,0,0.003076923,0.003076923,0,0,0,0,0,0,0
260,5712,0.083601286,0.01607717,0.003215434,0,0.221864952,0,0,0.218649518,0.003215434,0.061093248,0.032154341,0,0.009646302,0.006430868,0.006430868,0.311897106,0,0,0.003215434,0.006430868,0,0.003215434,0.003215434,0,0,0.006430868,0.003215434,0,0,0,0,0,0,0
270,5877,0.044164038,0.03785489,0.003154574,0,0.167192429,0,0,0.32807571,0.003154574,0.041009464,0.022082019,0,0.009463722,0.025236593,0.015772871,0.283911672,0,0.006309148,0,0.006309148,0,0.003154574,0,0,0,0.003154574,0,0,0,0,0,0,0,0
280,6041,0.077720207,0.007772021,0.002590674,0,0.212435233,0,0,0.259067358,0,0.067357513,0.049222798,0.002590674,0.012953368,0.010362694,0.005181347,0.272020725,0.002590674,0.002590674,0,0.005181347,0.002590674,0,0,0,0,0.007772021,0,0,0,0,0,0,0,0
290,6206,0.079411765,0.014705882,0.002941176,0,0.176470588,0,0,0.223529412,0,0.047058824,0.05,0,0.011764706,0.023529412,0.017647059,0.341176471,0,0.002941176,0,0,0.002941176,0,0,0,0,0.005882353,0,0,0,0,0,0,0,0
300,6370,0.061688312,0.016233766,0,0.006493506,0.172077922,0,0,0.301948052,0.003246753,0.064935065,0.042207792,0.003246753,0.006493506,0,0,0.305194805,0,0.003246753,0,0.003246753,0,0,0,0,0,0.00974026,0,0,0,0,0,0,0,0
310,6534,0.088235294,0.009803922,0,0,0.238562092,0,0,0.150326797,0,0.055555556,0.055555556,0.003267974,0.013071895,0,0.009803922,0.352941176,0,0.006535948,0,0.003267974,0.003267974,0,0,0,0,0.003267974,0,0,0,0.003267974,0.003267974,0,0,0
320,6699,0.043333333,0.02,0.003333333,0.003333333,0.293333333,0,0,0.17,0.01,0.08,0.03,0,0.006666667,0,0,0.32,0.003333333,0.01,0,0,0,0.003333333,0.003333333,0,0,0,0,0,0,0,0,0,0,0
330,6863,0.056886228,0.035928144,0,0,0.224550898,0,0,0.131736527,0.005988024,0.02994012,0.056886228,0,0.008982036,0.002994012,0.011976048,0.401197605,0.002994012,0.002994012,0.008982036,0.008982036,0,0,0,0,0,0.005988024,0,0,0,0,0.002994012,0,0,0
340,7028,0.045454545,0.021212121,0.003030303,0,0.160606061,0.003030303,0.003030303,0.224242424,0.003030303,0.039393939,0.03030303,0,0.018181818,0.012121212,0,0.415151515,0,0.015151515,0.003030303,0,0,0,0,0,0,0.003030303,0,0,0,0,0,0,0,0
350,7192,0.104615385,0.015384615,0,0.006153846,0.227692308,0,0,0.190769231,0,0.015384615,0.04,0,0.006153846,0.003076923,0,0.369230769,0,0.009230769,0.006153846,0,0,0,0,0,0,0.003076923,0.003076923,0,0,0,0,0,0,0
360,7356,0.131410256,0.022435897,0,0,0.150641026,0,0.006410256,0.179487179,0.003205128,0.028846154,0.054487179,0.003205128,0.009615385,0.003205128,0.003205128,0.387820513,0,0.006410256,0.003205128,0.003205128,0,0.003205128,0,0,0,0,0,0,0,0,0,0,0,0
370,7521,0.136729223,0.013404826,0.002680965,0,0.1769437,0,0.002680965,0.246648794,0.008042895,0.00536193,0.042895442,0.002680965,0.016085791,0,0,0.324396783,0.002680965,0.008042895,0,0.002680965,0,0.002680965,0,0,0.002680965,0,0,0,0,0,0.002680965,0,0,0
380,7685,0.089783282,0,0,0,0.092879257,0,0,0.306501548,0.003095975,0.012383901,0.058823529,0.003095975,0.037151703,0,0,0.374613003,0.003095975,0.00619195,0,0.00619195,0,0.003095975,0,0,0,0,0,0,0,0,0.003095975,0,0,0
390,7850,0.086309524,0.014880952,0.00297619,0.00297619,0.110119048,0,0,0.360119048,0,0.011904762,0.032738095,0,0.023809524,0.00297619,0.008928571,0.318452381,0.00297619,0.008928571,0.00297619,0.005952381,0,0.00297619,0,0,0,0,0,0,0,0,0,0,0,0
395,7932,0.092356688,0.006369427,0,0,0.082802548,0.006369427,0,0.452229299,0,0.041401274,0.041401274,0.006369427,0.003184713,0.003184713,0,0.25477707,0,0.003184713,0,0,0.003184713,0,0,0,0,0.003184713,0,0,0,0,0,0,0,0
400,8014,0.047468354,0.012658228,0,0,0.117088608,0.003164557,0,0.386075949,0,0.037974684,0.03164557,0.047468354,0.025316456,0.003164557,0.003164557,0.253164557,0,0.006329114,0,0,0.003164557,0.018987342,0,0,0.003164557,0,0,0,0,0,0,0,0,0
405,8096,0.036666667,0.006666667,0.003333333,0,0.103333333,0,0,0.35,0.006666667,0.063333333,0.053333333,0.043333333,0.013333333,0.016666667,0,0.25,0.006666667,0.02,0.003333333,0,0,0.01,0,0.006666667,0,0,0.003333333,0,0,0.003333333,0,0,0,0
410,8160,0.080128205,0.022435897,0.012820513,0,0.153846154,0,0,0.269230769,0.003205128,0.048076923,0.060897436,0.028846154,0.012820513,0.012820513,0.012820513,0.25,0,0.003205128,0,0.016025641,0,0.012820513,0,0,0,0,0,0,0,0,0,0,0,0
415,8206,0.110749186,0.006514658,0.016286645,0,0.182410423,0.003257329,0,0.221498371,0,0.061889251,0.061889251,0,0.006514658,0.009771987,0,0.286644951,0.003257329,0.009771987,0,0.003257329,0.003257329,0.006514658,0,0,0.003257329,0.003257329,0,0,0,0,0,0,0,0
420,8251,0.166123779,0.006514658,0.006514658,0.003257329,0.153094463,0,0,0.201954397,0.003257329,0.068403909,0.074918567,0.006514658,0.009771987,0.003257329,0.009771987,0.250814332,0.006514658,0.003257329,0,0.006514658,0,0.016286645,0,0,0,0.003257329,0,0,0,0,0,0,0,0
430,8343,0.162939297,0.03514377,0,0,0.118210863,0.003194888,0,0.236421725,0.003194888,0.057507987,0.041533546,0.015974441,0.015974441,0.012779553,0,0.271565495,0,0.003194888,0,0,0,0.015974441,0.003194888,0,0,0.003194888,0,0,0,0,0,0,0,0
440,8434,0.136212625,0.013289037,0.009966777,0,0.219269103,0.003322259,0,0.099667774,0.006644518,0.03986711,0.083056478,0,0.016611296,0,0,0.338870432,0.006644518,0.003322259,0,0,0,0.023255814,0,0,0,0,0,0,0,0,0,0,0,0
450,8525,0.077922078,0,0.006493506,0,0.100649351,0.006493506,0,0.13961039,0.006493506,0.071428571,0.042207792,0.006493506,0.048701299,0.022727273,0.003246753,0.399350649,0.003246753,0.012987013,0.003246753,0.006493506,0,0.035714286,0,0,0,0,0,0,0,0.003246753,0.003246753,0,0,0
460,8616,0.022151899,0.025316456,0.015822785,0,0.186708861,0.006329114,0,0.139240506,0,0.066455696,0.075949367,0.022151899,0.025316456,0.003164557,0.022151899,0.344936709,0,0.012658228,0,0.003164557,0,0.022151899,0,0,0.006329114,0,0,0,0,0,0,0,0,0
470,8707,0.012539185,0.015673981,0.021943574,0.003134796,0.112852665,0.003134796,0,0.12539185,0.009404389,0.137931034,0.062695925,0.012539185,0.047021944,0.018808777,0.012539185,0.360501567,0,0.006269592,0.003134796,0.003134796,0,0.028213166,0,0,0.003134796,0,0,0,0,0,0,0,0,0
480,8799,0.035830619,0.026058632,0.009771987,0.003257329,0.071661238,0.003257329,0,0.195439739,0.006514658,0.087947883,0.074918567,0.06514658,0.016286645,0,0.016286645,0.309446254,0,0,0.009771987,0,0.003257329,0.052117264,0,0,0,0.003257329,0.006514658,0,0.003257329,0,0,0,0,0
490,8890,0.023569024,0.01010101,0.037037037,0,0.077441077,0,0.003367003,0.141414141,0,0.097643098,0.047138047,0.023569024,0.023569024,0.013468013,0.016835017,0.37037037,0.003367003,0.013468013,0.003367003,0.006734007,0.003367003,0.074074074,0,0,0,0.003367003,0,0,0.003367003,0.003367003,0,0,0,0
500,8981,0.01,0.036666667,0.033333333,0,0.103333333,0.003333333,0,0.086666667,0,0.136666667,0.033333333,0.05,0.033333333,0.026666667,0.006666667,0.383333333,0.003333333,0.01,0.006666667,0,0,0.03,0,0,0,0.003333333,0,0,0,0.003333333,0,0,0,0
510,9072,0.016556291,0.039735099,0.036423841,0,0.056291391,0.003311258,0,0.122516556,0,0.201986755,0.043046358,0.059602649,0.026490066,0.013245033,0.009933775,0.264900662,0,0,0.009933775,0.003311258,0,0.069536424,0,0.003311258,0.003311258,0.009933775,0,0.003311258,0,0,0,0,0.003311258,0
520,9163,0.02,0.03,0.05,0,0.08,0.006666667,0,0.116666667,0,0.123333333,0.1,0.043333333,0.016666667,0.006666667,0.013333333,0.29,0.003333333,0.006666667,0.006666667,0,0.006666667,0.063333333,0,0,0,0.006666667,0,0,0.003333333,0,0,0.006666667,0,0
530,9255,0.010238908,0.027303754,0.040955631,0,0.051194539,0,0,0.098976109,0.006825939,0.14334471,0.054607509,0.023890785,0.013651877,0.010238908,0.017064846,0.375426621,0,0.003412969,0.006825939,0,0,0.064846416,0,0.003412969,0,0.017064846,0,0.003412969,0.003412969,0,0.003412969,0.017064846,0.003412969,0
540,9346,0.036666667,0.046666667,0.03,0,0.04,0.006666667,0,0.1,0,0.15,0.08,0.016666667,0.013333333,0.006666667,0.013333333,0.38,0,0.003333333,0.01,0,0,0.056666667,0.003333333,0,0,0,0,0,0,0,0,0.006666667,0,0
550,9437,0.019417476,0.045307443,0.03236246,0,0.048543689,0.006472492,0,0.087378641,0,0.038834951,0.080906149,0.006472492,0.003236246,0.009708738,0,0.501618123,0.012944984,0.006472492,0.009708738,0.003236246,0,0.064724919,0,0,0,0,0.003236246,0,0.006472492,0.003236246,0,0.009708738,0,0
560,9528,0.029268293,0.024390244,0.053658537,0,0.058536585,0,0,0.092682927,0.004878049,0.048780488,0.068292683,0.009756098,0.014634146,0.024390244,0,0.458536585,0.004878049,0.004878049,0.014634146,0,0,0.068292683,0,0,0,0.009756098,0,0.004878049,0.004878049,0,0,0,0,0
570,9620,0.005,0.04,0.05,0,0.055,0,0,0.135,0.005,0.01,0.035,0.005,0.01,0.005,0,0.56,0.005,0,0.01,0,0,0.055,0,0,0,0,0,0.005,0,0,0,0.005,0.005,0
580,9711,0.019543974,0.058631922,0.042345277,0,0.048859935,0.006514658,0,0.087947883,0.006514658,0.016286645,0.055374593,0.013029316,0.042345277,0.026058632,0.003257329,0.530944625,0,0.003257329,0.006514658,0,0,0.03257329,0,0,0,0,0,0,0,0,0,0,0,0
590,9802,0.004975124,0.049751244,0.044776119,0,0.07960199,0,0,0.07960199,0.004975124,0.014925373,0.104477612,0.004975124,0.039800995,0.009950249,0,0.472636816,0.004975124,0,0.004975124,0.004975124,0,0.064676617,0,0,0,0,0,0,0.004975124,0,0.004975124,0,0,0
600,9893,0.009933775,0.046357616,0.026490066,0,0.122516556,0.003311258,0.003311258,0.052980132,0.003311258,0.069536424,0.102649007,0.006622517,0.036423841,0.01986755,0,0.430463576,0,0,0.009933775,0,0,0.046357616,0.003311258,0.003311258,0,0,0,0,0,0,0,0.003311258,0,0
610,9998,0,0.078431373,0.019607843,0,0.083333333,0,0,0.044117647,0,0.014705882,0.058823529,0.014705882,0.06372549,0.024509804,0,0.465686275,0.014705882,0.004901961,0.024509804,0,0.004901961,0.078431373,0,0,0,0,0,0.004901961,0,0,0,0,0,0
620,10142,0,0.041237113,0.041237113,0,0.12371134,0,0,0.072164948,0,0.06185567,0.195876289,0.020618557,0.020618557,0.010309278,0,0.309278351,0.010309278,0.020618557,0,0,0,0.072164948,0,0,0,0,0,0,0,0,0,0,0,0
630,10286,0,0.175,0,0,0.075,0.05,0,0.05,0,0.025,0.025,0,0.1,0,0,0.325,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0.025,0,0,0,0
640,10430,0,0.080645161,0,0,0.048387097,0,0.016129032,0.080645161,0,0.048387097,0.080645161,0.032258065,0.032258065,0.016129032,0,0.419354839,0,0,0.032258065,0,0,0.112903226,0,0,0,0,0,0,0,0,0,0,0,0
650,10574,0,0.106060606,0,0,0.03030303,0,0,0.045454545,0,0.045454545,0.075757576,0,0.121212121,0,0,0.318181818,0.015151515,0,0.015151515,0,0,0.166666667,0,0,0,0,0,0.015151515,0,0.015151515,0,0,0,0.03030303
660,10718,0,0.115384615,0,0,0.019230769,0,0,0.076923077,0,0.096153846,0.019230769,0.038461538,0.096153846,0.038461538,0,0.307692308,0,0,0,0,0,0.153846154,0,0,0,0,0,0.019230769,0,0,0,0,0.019230769,0
670,10862,0,0.118644068,0.016949153,0,0.016949153,0,0,0.033898305,0,0.06779661,0.016949153,0.033898305,0.101694915,0.016949153,0,0.322033898,0.016949153,0,0,0,0,0.220338983,0,0,0,0,0,0,0,0,0.016949153,0,0,0
680,11006,0,0.135135135,0.027027027,0,0.054054054,0,0,0,0,0.108108108,0.054054054,0.081081081,0.054054054,0,0,0.189189189,0,0.027027027,0.081081081,0.027027027,0,0.108108108,0,0.027027027,0,0,0,0.027027027,0,0,0,0,0,0
690,11150,0,0.073170732,0.024390244,0,0.024390244,0,0,0,0,0.097560976,0.024390244,0.024390244,0.048780488,0.024390244,0,0.317073171,0,0,0,0,0,0.341463415,0,0,0,0,0,0,0,0,0,0,0,0
705,11366,0,0,0,0,0,0,0,0.052631579,0.105263158,0,0.157894737,0,0.105263158,0,0,0.052631579,0.105263158,0,0.052631579,0,0,0.368421053,0,0,0,0,0,0,0,0,0,0,0,0
