"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia.type","Aquifoliaceae","Artemisia","Asteraceae.undiff.","Betula","Carya","Celtis","Corylus","Cupressaceae","Cyperaceae","Fagus","Filicopsida.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Herbs.undiff.","Juglans","Larix","Menyanthes.trifoliata","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Poaceae","Polygonaceae","Populus","Potamogetonaceae","Quercus","Rhamnaceae.Vitaceae","Rosaceae","Sagittaria","Salix","Sparganium.type","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.latifolia","Ulmus","Unknown..monolete."
640,12490,12,4,8,3,3,0,4,3,1,4,1,3,0,31,0,1,7,0,4,1,74,0,0,4,0,1,8,149,7,17,5,0,0,0,75,0,4,0,2,4,1,0,0,1,4,23,18
650,12612,7,5,6,1,8,0,3,2,6,8,2,12,0,39,3,0,55,9,4,4,20,0,0,3,0,0,55,70,2,10,12,1,1,0,125,1,1,0,3,12,2,1,1,2,1,38,3
660,12744,5,7,1,1,4,0,3,6,2,21,3,9,0,48,4,0,104,21,1,7,2,0,0,1,0,0,58,29,0,1,20,0,0,0,100,0,5,1,4,10,3,1,0,0,4,34,3
670,12886,4,2,1,2,9,0,4,4,8,6,0,7,1,52,6,2,56,11,5,3,2,0,0,0,0,0,33,30,0,3,8,1,2,0,109,0,5,2,4,10,3,0,0,0,15,9,1
690,13208,0,5,0,0,7,0,3,10,3,12,0,8,0,61,3,3,94,5,7,5,3,0,0,2,0,0,43,28,0,1,8,0,0,0,110,0,1,4,15,4,3,0,0,0,2,19,4
700,13389,1,1,2,1,6,0,4,1,5,12,1,2,2,65,9,3,58,12,2,6,1,0,0,1,0,0,30,21,1,1,10,0,2,0,101,0,2,0,8,8,5,0,1,1,11,10,4
710,13585,2,3,0,1,5,0,11,3,6,14,3,7,0,48,6,3,68,18,7,2,4,0,0,1,0,1,56,27,2,1,14,0,0,0,80,0,2,1,8,12,1,1,1,0,4,26,4
730,14017,5,4,2,0,5,0,8,8,4,6,8,8,0,48,1,0,73,15,4,3,2,0,0,1,0,0,69,109,1,4,20,0,0,0,74,0,1,1,6,16,0,0,1,0,5,17,2
740,14248,3,3,2,0,2,0,3,5,8,4,3,0,0,29,0,1,68,7,6,0,0,0,0,0,0,0,62,85,1,1,31,0,0,0,65,1,0,1,5,8,0,0,1,0,2,22,2
750,14486,3,4,4,2,11,0,10,2,6,5,3,6,0,74,0,2,70,12,4,2,0,0,2,1,0,0,87,128,2,2,25,0,3,0,102,0,1,2,1,20,2,0,1,0,0,14,1
760,14729,1,1,0,2,1,0,1,3,8,1,0,4,1,41,1,0,37,7,1,0,1,0,0,0,0,0,38,126,1,2,14,0,0,0,79,0,1,1,1,8,0,0,2,0,6,11,1
770,14975,7,2,1,0,5,0,1,1,6,2,0,0,0,61,0,0,13,1,1,2,1,0,0,0,0,0,9,166,1,1,3,0,1,0,82,0,3,0,11,4,0,0,0,0,6,2,1
780,15221,1,5,0,2,3,0,11,0,6,1,0,2,1,66,1,3,24,2,1,2,4,0,0,0,0,1,1,173,1,6,2,0,0,0,75,1,0,2,8,15,0,0,1,0,4,2,2
790,15467,3,0,0,1,1,0,1,4,1,0,0,1,0,36,0,0,4,2,2,0,6,0,0,4,0,0,2,247,2,6,2,0,0,0,63,0,1,0,1,17,0,0,0,0,5,1,1
800,15709,4,0,0,1,0,0,0,1,2,2,0,0,0,16,0,0,5,1,1,0,4,0,0,0,0,0,0,322,0,8,0,0,0,0,14,0,1,0,3,1,0,0,0,0,2,0,1
810,15947,3,0,0,0,0,0,0,3,0,0,0,0,0,16,0,0,0,0,1,0,4,0,0,0,0,0,0,270,0,1,0,0,0,0,3,0,0,1,0,4,0,0,0,0,2,0,3
820,16183,3,0,0,1,0,0,1,0,0,0,0,0,0,24,0,1,0,0,1,0,4,0,0,0,0,0,0,281,1,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
830,16416,6,1,0,0,0,0,0,2,0,0,0,0,0,19,0,0,2,0,0,0,8,0,1,0,0,0,0,281,0,3,4,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,1
840,16647,1,0,0,0,2,0,1,0,1,0,0,0,0,22,0,0,1,0,1,1,11,0,0,0,0,1,1,223,1,5,3,0,0,0,12,0,1,0,1,1,0,0,0,0,0,2,0
850,16876,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,17103,3,0,0,0,1,0,1,3,1,0,0,1,0,19,0,0,2,0,0,0,1,0,0,0,0,0,0,308,0,3,12,0,0,0,6,0,0,0,0,1,1,0,0,0,0,3,1
870,17328,1,1,6,1,2,0,1,2,6,1,0,1,0,19,0,1,4,0,1,0,0,0,0,0,0,0,4,256,2,4,5,0,0,0,20,0,1,0,3,2,0,0,3,0,0,1,0
880,17552,3,0,10,0,2,0,5,1,2,0,1,0,0,27,1,1,20,0,0,0,8,0,1,0,0,0,5,300,0,2,8,0,0,0,40,0,0,1,0,0,0,0,1,0,3,1,3
890,17776,1,1,2,0,5,0,7,3,4,1,0,0,0,37,0,0,5,0,3,0,10,0,0,0,0,0,1,227,0,2,4,0,0,0,22,0,3,0,0,5,0,0,0,0,1,1,0
900,17999,0,3,0,0,1,0,5,2,3,1,0,0,0,41,0,0,3,0,0,0,0,0,0,0,0,0,1,106,1,1,1,0,0,0,10,0,0,0,2,2,0,0,0,0,1,3,0
920,NA,3,0,2,0,0,0,0,0,0,0,0,0,0,28,0,1,0,0,2,1,7,0,0,0,0,0,0,337,0,0,2,0,0,0,2,0,0,0,0,1,0,0,1,0,1,1,0
930,NA,1,1,11,0,1,0,11,2,0,0,0,0,0,23,0,0,4,1,0,0,3,0,1,0,0,0,2,224,2,2,12,0,0,0,9,0,0,0,4,0,2,0,0,0,2,1,1
960,NA,0,0,0,1,0,0,2,1,0,0,0,0,0,34,0,0,0,0,0,0,8,0,0,0,0,0,0,294,1,17,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,0,1
970,NA,0,1,1,0,5,0,19,3,0,0,0,0,0,56,0,2,3,0,2,0,3,0,0,0,0,1,0,243,0,14,5,0,0,1,7,0,0,0,4,2,0,0,2,0,0,0,1
990,NA,0,0,0,1,0,0,4,1,0,2,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0
1000,NA,1,0,2,2,0,0,6,2,0,1,0,0,0,57,0,1,1,0,0,0,9,0,0,0,0,0,0,102,1,2,6,0,0,0,9,0,0,0,2,0,1,0,0,0,0,0,0
1010,NA,0,0,2,1,4,0,5,0,0,1,0,0,0,69,0,2,1,0,6,0,9,0,0,0,0,0,1,125,6,18,3,0,0,0,14,0,0,0,2,1,0,0,0,0,3,0,0
1020,NA,3,5,2,6,5,0,12,3,4,2,0,4,0,73,0,0,4,0,0,0,7,0,0,0,0,0,2,198,1,15,6,0,0,0,40,0,0,0,3,2,0,0,1,0,0,0,0
