"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva","Lamiaceae","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum","Ranunculaceae.undiff.","Rosaceae","Rumex","Thalictrum","Urtica","Zea","Botrychium","Dennstaedtia","Diphasiastrum.complanatum","Dryopteris","Equisetum","Huperzia.lucidula","Lycopodiella.inundata","Lycopodium.annotinum","Lycopodium.obscurum","Lycopodium.undiff.","Osmunda","Pteridium","Woodsia","Sphagnum","Brasenia.schreberi","Drosera","Isoëtes","Myriophyllum","Nuphar","Nymphaea","Potamogeton","Typha","Typha.Sparganium.undiff.","Utricularia","Spore..monolete.","Spore..trilete.","Indeterminable..broken.","Indeterminable..corroded.","Indeterminable..crumpled.","Indeterminable..hidden.","Indeterminable.undiff.","Unknown"
40,230,0,0,2,1,0,0,0,24,0,8,2,0,0,0,0,0,2,7,7,3,1,2,12,0,0,0,0,0,28,5,2,0,49,22,78,4,0,237,0,0,0,0,0,7,6,0,98,0,1,25,0,0,3,42,0,0,0,0,0,1,116,0,0,0,0,223,0,0,1,0,0,0,0,0,0,1,0,0,0,5,21,0,0,10,0,0,2,0,0,0,0,0,0,0,0,6,5,9,9,29,18
44,254,0,0,3,1,9,0,0,22,0,15,11,0,0,0,0,0,3,0,6,2,3,3,1,0,0,0,0,0,25,1,0,2,93,9,96,0,0,195,0,0,0,0,0,17,2,0,47,0,0,15,0,0,0,34,0,0,1,0,0,0,158,0,0,0,0,157,0,0,3,0,0,0,0,0,0,0,0,0,0,2,37,0,2,9,0,0,0,0,33,5,1,0,0,6,1,8,6,22,20,56,33
48,277,0,2,1,0,3,0,0,26,0,6,2,0,0,0,0,0,2,0,16,9,2,6,9,0,0,0,0,0,37,0,3,1,43,13,150,0,0,168,1,1,0,0,0,7,3,0,3,0,0,18,0,0,1,30,0,0,0,0,0,3,77,0,0,0,0,108,0,0,0,0,0,0,0,0,0,1,0,0,2,5,17,0,0,8,0,0,0,0,12,0,0,0,0,0,1,3,2,18,6,29,26
52,301,0,0,2,0,0,0,0,24,0,9,5,0,0,0,0,0,1,3,8,1,0,0,2,0,0,0,0,0,27,0,2,0,87,0,103,0,1,215,0,0,0,0,0,12,3,0,31,0,0,22,0,0,0,49,0,0,0,0,0,0,72,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,19,0,0,0,0,51,5,1,0,0,2,1,11,4,21,8,44,36
56,345,0,0,2,0,0,0,0,20,0,3,0,0,0,0,0,0,5,0,3,1,2,5,1,0,0,1,0,0,7,2,1,1,96,4,95,0,0,246,0,0,0,0,0,6,1,0,5,0,1,4,0,0,0,42,0,0,0,0,0,0,53,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,34,0,0,0,0,35,0,1,0,0,0,0,9,2,12,11,34,11
60,390,0,5,8,2,3,0,1,30,0,22,3,0,1,0,0,0,0,0,11,1,2,2,1,1,0,0,0,0,36,1,2,0,75,0,72,2,1,222,0,0,0,0,1,12,3,0,6,0,0,27,0,0,1,31,0,0,0,0,0,0,21,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,24,0,0,0,0,81,1,2,0,0,3,0,2,0,11,8,21,47
64,434,0,2,9,0,6,0,0,36,0,5,2,0,1,0,0,0,0,0,17,0,0,1,1,1,0,0,0,0,41,3,2,0,95,7,65,0,1,196,0,0,0,0,0,11,3,0,0,0,2,10,0,0,0,37,0,0,0,0,0,0,31,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,39,0,0,15,0,0,0,0,16,1,1,0,0,0,0,7,4,7,5,23,13
68,479,0,0,6,7,5,0,0,21,0,29,1,0,0,0,0,0,3,1,18,0,0,0,2,0,0,0,0,0,21,0,0,0,78,3,111,1,0,198,0,0,0,0,0,6,9,0,3,0,0,15,0,0,0,30,0,0,0,0,0,0,33,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,0,0,27,0,0,0,0,51,0,1,0,0,2,1,15,3,15,12,45,6
72,524,0,0,3,2,14,0,0,22,0,7,1,0,2,0,0,0,3,0,16,3,0,2,0,0,0,0,1,0,25,4,2,1,59,5,82,1,0,252,0,0,0,0,0,9,0,0,8,0,0,14,0,0,0,66,0,0,0,0,0,0,53,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,19,0,0,0,0,44,9,1,0,0,0,0,8,2,32,14,56,23
76,567,0,0,8,0,0,0,0,17,0,9,0,0,1,0,0,0,3,0,20,2,0,3,0,0,0,0,0,0,19,0,1,4,83,18,72,0,0,239,0,0,0,0,1,8,2,0,0,0,0,7,0,0,0,43,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,22,0,0,0,0,41,10,1,0,0,0,0,4,4,6,10,24,26
80,606,0,0,4,0,3,0,0,28,0,9,2,0,0,0,0,0,1,0,17,0,1,0,0,0,0,0,0,0,19,0,0,2,94,5,99,0,0,195,0,1,0,0,0,26,6,0,0,0,0,7,1,0,0,31,0,0,0,0,0,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,31,0,0,5,0,40,6,1,0,0,0,0,9,5,10,11,35,17
84,644,0,0,4,1,0,0,0,33,0,9,0,0,0,0,0,0,1,0,21,5,0,3,3,0,0,0,0,0,16,0,6,0,69,3,105,0,0,207,0,1,0,0,0,17,2,0,4,0,1,11,0,0,0,37,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,28,0,0,5,0,23,2,1,0,0,0,0,8,2,7,17,34,13
86,664,0,0,2,0,2,0,0,25,0,12,1,0,0,0,0,0,0,2,11,2,0,3,0,0,0,0,0,0,15,0,1,4,115,5,84,0,0,211,0,0,0,0,0,12,3,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,16,0,0,0,0,24,6,1,0,0,2,0,5,4,14,8,31,24
88,683,0,0,5,0,3,0,0,30,0,12,0,0,0,0,0,0,3,0,15,3,0,3,0,0,0,0,0,0,18,0,1,0,136,5,80,0,0,196,0,0,0,0,0,11,2,0,0,0,1,8,0,0,0,26,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,29,0,0,0,0,41,11,1,0,0,1,0,14,2,10,6,32,22
92,722,0,0,2,0,2,0,0,35,0,6,2,0,1,0,0,0,4,0,22,3,1,0,0,0,0,0,0,0,16,0,0,1,125,5,96,0,0,182,0,0,0,0,0,8,3,1,0,0,0,9,0,0,0,46,0,0,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,43,0,0,1,0,43,14,1,0,0,0,0,5,0,8,12,25,20
96,760,0,0,0,0,0,0,0,34,0,11,0,0,0,0,0,0,6,3,24,3,0,0,4,0,0,0,0,0,17,1,1,0,121,3,89,0,0,179,0,0,0,0,0,10,5,0,0,0,0,9,0,0,0,42,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,39,0,0,0,0,56,9,1,0,0,2,0,6,3,12,11,32,23
100,799,0,1,2,1,1,0,0,22,0,6,2,0,0,0,0,0,0,2,14,2,0,0,1,0,0,0,0,0,19,1,2,0,106,7,122,2,0,205,0,0,0,0,0,11,5,0,0,0,0,11,0,0,0,52,0,0,0,0,0,0,37,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,24,0,0,0,0,44,2,1,0,0,2,0,6,1,3,7,17,16
104,837,0,1,2,2,1,0,0,19,0,5,2,0,0,0,0,1,2,0,19,0,1,1,1,0,0,0,0,0,11,1,0,0,96,1,131,1,0,194,0,0,0,0,0,11,1,0,1,0,1,4,0,0,0,15,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,11,0,0,2,0,40,1,2,0,0,1,0,8,3,7,19,37,8
108,876,0,2,2,1,1,0,0,34,0,8,1,0,1,0,0,0,0,0,24,4,1,3,1,0,0,0,0,0,12,0,1,0,99,1,111,1,0,186,0,0,0,0,1,21,4,0,0,0,1,12,0,0,1,43,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,25,0,0,0,0,37,5,2,0,0,1,0,7,4,21,15,47,10
112,915,0,0,2,3,1,0,0,44,0,10,1,0,1,0,0,1,3,2,17,4,0,0,0,0,0,0,0,0,11,0,2,1,81,1,116,2,0,213,0,0,0,0,0,22,4,0,0,0,3,7,0,0,1,57,0,0,0,0,0,0,55,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,26,0,0,2,0,55,5,3,0,0,0,0,6,3,13,9,31,13
116,953,0,0,4,0,2,0,0,27,0,15,3,0,0,0,0,0,1,0,16,2,2,1,0,0,1,0,1,0,14,0,0,0,107,4,119,2,0,157,0,0,0,0,0,24,1,0,1,0,0,5,0,0,0,39,0,0,0,0,1,0,43,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,16,0,0,41,0,0,0,0,25,3,0,0,0,0,0,2,3,8,18,31,21
120,992,0,1,0,0,2,0,0,21,0,6,0,0,2,0,0,0,3,1,20,1,0,1,0,0,0,0,0,0,8,0,5,0,76,1,100,1,0,258,0,0,0,0,0,6,2,0,1,0,0,4,0,0,0,42,0,0,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,31,0,0,4,0,33,4,2,0,0,0,0,6,2,9,12,29,11
124,1084,0,0,2,3,1,0,0,15,0,16,7,0,0,0,0,0,2,3,14,8,0,4,0,0,0,0,0,0,37,0,0,0,44,4,96,0,0,244,0,0,0,0,0,7,1,1,2,0,3,2,0,0,0,34,0,0,0,0,0,0,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,43,0,0,1,0,35,7,0,0,0,0,1,6,2,13,5,26,8
128,1195,0,0,0,2,0,0,0,27,0,15,7,0,0,0,0,0,1,0,13,4,0,2,0,0,0,2,0,0,31,0,0,0,42,0,91,3,0,262,0,0,0,0,0,15,0,0,1,0,0,12,0,0,0,41,0,0,0,0,0,0,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,27,0,0,4,0,35,3,1,0,0,0,0,6,0,19,13,38,8
132,1305,0,0,1,1,0,0,0,19,0,3,4,0,1,0,0,0,2,1,14,5,0,1,0,0,0,0,0,0,23,0,0,1,63,2,101,0,0,247,0,0,0,0,0,23,0,0,0,0,2,11,0,0,0,78,0,0,0,0,0,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,59,0,0,5,1,43,10,4,0,0,0,1,10,2,17,11,40,22
136,1416,0,0,0,2,2,0,0,39,0,5,0,0,0,0,0,1,4,1,19,6,1,0,0,1,0,0,0,0,31,1,1,1,39,7,85,0,0,267,0,0,0,0,0,9,0,0,1,0,1,22,0,0,1,49,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,26,0,0,4,0,49,8,3,0,0,0,1,11,1,21,12,45,8
140,1526,0,1,0,2,4,0,0,46,0,3,2,0,0,0,0,0,0,1,18,0,0,1,0,0,0,0,0,0,21,0,0,0,80,4,99,1,0,221,0,0,0,0,0,11,3,0,0,0,0,13,0,0,0,59,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,34,0,0,0,0,53,5,3,0,0,0,0,6,4,17,2,29,13
144,1637,0,0,1,2,2,0,1,29,0,3,3,0,0,0,0,1,2,0,21,4,0,3,1,1,0,0,0,0,24,0,1,0,67,4,115,1,0,218,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,87,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,19,0,0,0,0,49,7,1,0,0,0,0,3,1,18,17,39,1
148,1747,0,3,0,1,4,0,0,41,0,9,4,0,0,0,0,0,1,0,22,2,0,2,1,1,0,1,0,0,21,0,0,0,62,0,71,0,0,261,0,0,0,0,1,3,1,0,0,0,0,6,0,0,0,41,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,33,1,0,0,0,39,13,2,0,0,0,1,7,2,31,3,43,13
152,1857,0,0,1,0,5,0,0,35,0,15,2,0,0,0,0,1,0,0,19,1,0,1,0,0,0,1,0,0,18,0,2,1,63,3,84,2,0,257,0,0,0,0,0,12,0,0,1,0,0,11,0,0,0,46,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,46,0,0,0,0,41,7,2,0,0,0,5,11,2,19,6,38,17
156,1968,0,0,7,2,0,0,0,22,0,7,1,0,0,0,0,0,1,0,21,1,0,1,0,0,0,0,0,0,16,0,0,0,58,3,99,0,0,261,0,0,0,0,0,19,2,0,2,0,0,13,0,0,0,42,0,0,0,0,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,45,0,0,0,0,15,2,3,0,0,0,4,7,0,26,27,60,22
160,2078,0,0,3,0,5,0,0,19,0,9,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,31,0,0,0,37,2,73,2,0,291,0,0,0,0,1,32,2,0,0,0,0,19,0,0,0,72,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,53,0,0,0,0,31,3,3,0,0,1,3,7,0,29,22,58,10
164,2189,0,0,3,0,0,0,0,58,0,2,2,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,21,0,0,0,53,0,78,1,0,278,0,0,0,0,0,7,2,0,1,0,0,6,0,0,0,69,0,0,0,0,1,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,51,0,0,0,0,31,7,2,0,0,0,2,10,1,31,10,52,3
168,2299,0,1,7,1,4,0,0,20,0,9,0,0,0,0,0,0,0,0,29,2,7,0,0,0,0,0,0,0,35,1,1,0,56,0,39,2,1,293,0,2,0,0,0,10,2,0,0,0,0,30,0,0,0,79,0,0,0,0,1,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,69,0,0,0,0,12,12,4,0,0,0,1,9,2,19,8,38,4
172,2390,0,2,1,0,6,0,0,28,0,15,2,0,0,0,0,0,0,0,25,4,0,0,4,3,0,0,0,0,27,1,1,1,39,1,82,2,0,249,0,0,0,0,0,8,5,0,0,0,0,15,0,0,0,46,0,0,0,0,0,0,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,84,0,0,0,0,9,21,0,6,0,1,2,2,2,23,15,42,0
176,2424,0,2,0,0,4,0,0,25,0,4,1,0,2,0,0,1,0,0,13,5,0,0,1,1,0,0,0,0,13,1,0,0,39,12,76,2,0,295,0,0,0,0,1,11,2,0,0,0,0,6,0,0,1,95,0,0,0,0,0,0,61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,63,0,0,0,0,17,3,5,0,0,0,3,9,5,26,18,58,1
180,2457,0,0,2,1,4,0,0,37,0,5,0,0,0,0,0,0,3,1,18,2,0,1,6,0,0,1,1,0,29,1,0,0,54,6,86,2,0,266,0,0,0,0,0,0,3,0,0,0,0,19,0,0,0,89,0,0,0,0,0,0,68,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,50,0,0,0,0,11,0,6,0,0,4,8,9,0,25,16,50,0
184,2490,0,0,2,0,7,0,0,26,3,6,4,0,1,0,0,0,1,0,13,4,0,2,2,0,0,0,1,0,22,0,0,0,38,11,63,1,0,293,0,0,0,0,0,13,6,0,0,0,3,21,0,0,0,83,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,86,0,0,0,0,4,9,3,0,0,0,5,11,3,24,12,50,1
188,2523,1,0,2,1,0,0,1,19,2,4,4,0,4,0,0,0,0,0,14,7,2,2,7,0,1,0,0,0,27,0,0,0,39,0,104,5,0,284,0,0,0,0,0,7,0,0,2,0,0,11,0,0,0,82,0,0,0,0,0,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,46,0,0,0,0,2,11,3,0,0,1,3,10,0,21,6,37,2
192,2557,0,1,2,0,0,0,0,18,3,2,3,0,3,0,0,0,0,2,24,7,0,0,2,0,0,0,0,0,33,1,5,0,53,0,69,4,0,278,0,0,0,0,1,17,2,0,0,0,0,6,0,0,0,107,0,0,0,0,0,0,63,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,43,0,0,1,0,2,3,5,0,0,0,5,4,2,13,13,32,0
196,2590,0,0,0,0,4,0,0,38,2,6,0,0,2,0,0,0,0,1,31,3,4,3,2,0,0,0,1,0,29,1,6,0,23,4,40,1,0,280,0,0,0,0,0,18,1,0,1,0,0,19,0,0,0,86,0,0,0,0,0,0,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,57,0,0,0,0,2,16,7,0,0,3,5,4,1,11,14,30,2
200,NA,0,4,1,0,0,0,0,27,0,3,1,0,0,0,0,0,0,1,35,0,2,5,2,0,0,0,0,0,210,0,0,0,23,0,43,0,0,148,0,0,0,0,0,8,3,0,1,0,1,12,0,0,0,85,0,0,0,0,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,46,0,0,0,0,2,4,7,0,0,0,3,4,2,21,5,32,0
