"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Betula","Carya","Celtis","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Ilex","Larix","Ostrya.Carpinus","Pinus.subg..Strobus","Platanus","Quercus","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Vitis","Alnus","Acer","Anacardiaceae","Poaceae","Lamiaceae","Abies","Ericaceae","Fagus","Fraxinus.nigra.type","Liquidambar","Morus","Pinus.subg..Pinus","Pinus.undiff.","Thalictrum","Tilia","Ulmus","Apiaceae","Fraxinus.pennsylvanica.type","Picea","Fabaceae","Juglans","Urtica.type","Populus","Elaeagnaceae","Rosaceae","Brassicaceae","Cornus","Ephedra","Sarcobatus.vermiculatus"
200,1747,332,9,2,6,5,5,3,2,3,20,0,0,2,8,3,206,0,0,4,0,3,2,0,18,0,0,0,2,1,0,0,4,10,1,1,5,0,0,0,0,4,0,3,0,0,0,0,0,0
220,1922,339,13,4,6,10,1,0,0,4,12,0,0,2,5,4,220,2,1,7,0,1,1,0,13,0,0,0,1,3,1,1,1,11,0,1,9,0,0,0,0,4,0,1,0,0,0,0,0,0
240,2110,316,10,1,5,6,0,1,1,1,16,0,0,4,3,2,217,0,0,5,0,5,1,0,19,0,0,0,0,0,0,0,0,7,1,0,4,1,0,1,0,3,0,2,0,0,0,0,0,0
260,2312,316,15,1,6,8,2,2,6,4,8,0,0,7,7,5,190,0,0,6,0,1,0,0,13,1,0,0,1,4,1,0,0,13,0,0,10,0,1,0,0,2,0,2,0,0,0,0,0,0
280,2534,310,15,4,5,8,1,3,2,2,8,0,0,1,7,3,195,1,0,2,0,3,1,0,15,0,0,0,1,6,0,0,1,6,0,1,8,1,2,1,0,5,0,2,0,0,0,0,0,0
300,2774,318,15,5,6,11,0,1,0,4,13,0,0,3,18,2,179,0,0,6,0,1,2,0,14,0,0,0,1,2,1,0,3,14,0,0,12,0,0,0,0,3,0,2,0,0,0,0,0,0
320,3030,315,27,3,1,10,0,3,3,2,14,0,0,3,7,3,185,1,0,1,0,2,1,0,21,0,0,0,1,0,4,0,2,11,0,1,7,0,0,0,0,1,0,1,0,0,0,0,0,0
340,3298,313,15,6,4,13,0,4,1,3,7,0,1,2,5,6,201,0,0,2,1,2,0,0,16,0,0,0,0,3,0,1,2,12,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0
360,3576,333,26,4,5,2,1,6,0,7,19,0,0,4,5,9,186,3,1,4,0,1,1,0,15,0,0,0,3,1,0,0,2,8,0,1,13,0,1,0,0,2,0,2,0,1,0,0,0,0
380,3862,324,15,1,2,9,0,3,1,2,11,0,0,2,2,1,209,1,0,6,0,3,4,0,12,0,0,0,4,6,1,0,2,7,0,0,15,0,0,0,0,2,0,2,0,1,0,0,0,0
400,4151,307,21,3,2,9,2,3,2,2,14,0,0,2,3,2,179,0,0,7,0,1,1,0,21,0,0,0,1,4,0,0,0,5,0,0,15,0,0,0,0,3,0,2,0,0,3,0,0,0
420,4441,309,19,6,0,6,0,4,1,1,10,0,0,0,4,5,189,1,0,2,0,2,1,1,27,0,0,0,0,1,0,0,2,6,0,0,14,0,2,0,0,4,0,0,0,0,0,1,0,0
440,4729,219,9,3,0,8,0,4,1,4,12,0,0,2,4,0,121,0,4,2,0,0,3,0,12,0,0,0,0,2,1,0,4,16,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0
450,4871,228,16,2,0,8,1,2,0,4,16,0,0,1,5,2,123,2,0,5,0,0,4,0,7,0,0,0,0,2,0,0,2,15,0,0,5,1,0,1,0,1,0,3,0,0,0,0,0,0
460,5012,207,9,0,2,9,0,1,1,6,9,0,0,1,11,6,101,1,0,1,0,0,1,0,5,0,0,0,0,7,0,0,2,20,0,1,6,0,2,1,0,3,0,1,0,0,0,0,0,0
470,5151,315,13,3,0,9,1,4,0,3,11,0,0,4,2,6,208,2,0,2,0,2,3,0,6,0,0,0,0,4,0,0,0,13,0,1,10,0,4,0,0,4,0,0,0,0,0,0,0,0
480,5287,317,21,2,0,11,0,3,3,5,8,0,0,6,3,0,203,1,1,1,0,4,2,0,15,0,0,0,2,4,0,1,2,4,0,1,11,0,2,0,0,1,0,0,0,0,0,0,0,0
