"sample.depths","sample.ages","upland.sum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Larix","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Rosaceae.undiff.","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Castanea.dentata","Myrica.gale","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Rumex.acetosa.type","Tsuga.canadensis","Picea.undiff.","Acer.spicatum","Fraxinus.pennsylvanica.type","Carya.ovata","Saxifraga.oppositifolia.type","Juniperus.communis.Thuja.occidentalis.type","Artemisia","Taxus","Corylus.cornuta","Salix","Ilex.Nemopanthus","Rumex.type.undiff.","Acer.pensylvanicum","Juglans.cinerea","Amaranthaceae","Brassicaceae","Caryophyllaceae","Potentilla.palustris.type","Morus.rubra.type","Thalictrum","Liliaceae","Tilia","Viburnum.nudum","Prunus.undiff.","Viburnum.lentago","Galium","Populus.balsamifera.type","Fabaceae","Rhamnus.cathartica","Viburnum.alnifolium","Saxifragaceae.undiff.","Shepherdia.canadensis","Lonicera.involucrata","Plantaginaceae.undiff.","Prunus.virginiana","Platanus.occidentalis","Viburnum.edule"
275,4843,568,0,3,0,0,199,5,4,18,1,1,0,0,15,33,0,8,1,2,1,0,0,10,4,0,0,1,0,239,0,8,3,3,3,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,5283,632,1,9,3,0,306,1,2,10,3,0,1,0,7,56,0,12,0,4,0,0,0,9,5,0,1,1,0,181,0,6,2,3,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,5459,639,1,3,2,0,239,2,1,14,5,2,2,0,15,30,0,11,1,2,0,0,0,5,3,1,0,4,0,278,0,10,2,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,5724,580,1,8,0,0,203,2,1,10,2,0,3,0,9,16,0,11,1,5,0,0,0,3,5,0,1,2,0,246,0,42,1,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,5988,415,2,12,0,1,203,8,9,5,0,0,2,0,2,8,1,14,0,6,1,0,3,3,3,0,0,0,0,61,0,56,0,0,0,0,0,0,1,5,3,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,6164,651,7,15,2,0,218,4,0,7,4,1,2,2,4,11,0,15,0,9,0,0,1,4,6,0,0,5,0,188,0,123,0,0,1,0,0,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,6340,457,0,3,4,1,144,5,7,10,5,0,1,0,4,23,0,16,0,4,0,0,3,3,4,0,0,0,0,179,0,28,2,0,3,1,0,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,6604,581,2,6,3,0,158,15,2,5,3,1,1,0,0,35,0,14,1,3,0,0,4,3,2,0,1,1,0,249,0,63,2,1,0,0,0,0,1,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,6868,717,1,10,15,3,183,85,4,0,1,0,2,0,5,30,7,21,0,3,1,0,35,8,3,0,5,0,0,245,0,4,1,2,1,0,1,0,1,6,7,3,17,0,0,1,0,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,7078,802,1,1,26,0,175,135,1,1,2,1,4,0,6,85,0,16,2,11,0,1,107,10,2,0,15,21,0,162,0,3,5,0,1,0,1,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,7685,737,4,10,36,1,205,76,3,1,5,4,2,0,10,22,4,27,4,5,1,4,14,6,5,0,33,0,0,223,0,12,5,1,0,0,0,0,1,3,0,5,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
450,8292,558,0,12,33,0,234,63,0,0,3,1,5,0,20,7,14,16,0,6,0,3,8,5,2,0,60,5,1,41,0,1,8,2,1,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
475,8900,459,0,2,44,0,172,33,0,2,8,1,3,1,28,7,9,13,1,2,0,6,5,3,0,0,41,0,5,41,0,1,11,0,1,0,0,0,3,1,1,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0
500,9507,593,0,1,54,2,255,51,0,0,4,2,3,2,30,3,12,15,1,8,1,2,10,1,0,0,60,7,0,48,0,0,4,1,1,0,0,0,3,1,3,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,10114,526,0,1,43,1,175,29,0,1,1,0,1,4,11,6,13,15,0,4,0,4,7,0,0,1,133,5,0,49,0,1,6,0,1,0,0,0,2,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
540,10479,465,0,1,55,1,139,18,1,0,5,1,6,1,6,7,11,23,3,1,0,0,6,1,1,0,114,1,0,28,0,4,8,0,2,1,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
550,10721,683,0,3,52,0,194,49,2,0,13,0,7,0,44,16,26,48,3,9,3,15,10,1,4,0,80,19,0,25,0,1,20,0,1,3,0,0,8,4,2,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
555,10843,764,0,0,5,2,198,39,0,1,10,1,7,0,5,8,95,31,2,8,0,10,7,1,1,1,266,0,0,20,0,2,2,0,1,1,0,0,7,0,2,22,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,0,0
560,10964,562,0,0,9,1,109,12,0,0,3,0,8,0,3,5,87,14,2,5,0,13,3,0,0,0,243,0,0,11,0,1,2,0,0,2,0,0,2,0,1,14,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0
565,11086,525,0,2,5,0,94,29,1,0,0,0,3,0,6,3,24,21,2,1,0,2,5,1,0,0,237,0,0,39,0,1,3,0,0,1,0,0,13,0,0,21,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,2,1
570,NA,603,0,4,8,1,175,42,1,3,5,0,3,0,14,9,18,18,3,4,0,12,11,2,2,0,151,4,0,76,0,9,3,0,1,0,0,0,4,2,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0
