"sample.depths","sample.ages","Abies","Acer.saccharinum","Acer.saccharum","Acer.undiff.","Adiantum","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brasenia.schreberi","Carya","Castanea","Celtis","Cephalanthus","Corylus","Cupressaceae","Cyperaceae","Dryopteris","Ericaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Galium","Indeterminable","Iva.annua","Juglans.cinerea.type","Juglans.nigra.type","Larix","Liquidambar","Lycopodiaceae","Morus","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Other.herbs","Other.trees.and.shrubs","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae","Polypodiaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rhamnus","Rhus","Rosaceae","Sagittaria","Salix","Shepherdia.canadensis","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..Paleozoic.","Unknown..trilete.","Urtica"
102,12312,4,0,1,0,0,1,2,1,0,4,7,0,1,3,0,2,0,5,0,32,0,0,1,13,68,0,4,1,0,0,3,0,0,1,0,0,3,0,43,3,0,31,1,1,4,1,17,4,25,8,0,52,1,0,0,2,6,0,0,0,0,0,1,2,19,0,0,0,2
110,12507,3,2,1,0,0,1,2,1,4,6,6,1,2,3,0,1,0,6,2,34,0,0,0,2,52,0,4,0,0,0,2,0,0,0,0,0,2,1,62,0,0,61,1,0,4,0,21,1,17,11,0,45,0,0,1,0,10,0,0,3,0,1,1,3,12,0,0,0,0
126,12945,6,0,2,0,0,0,1,3,1,0,6,0,1,4,0,2,0,5,0,38,0,0,1,6,58,0,3,0,0,0,0,0,1,1,0,0,5,0,44,0,0,60,1,0,6,2,22,1,14,5,0,52,0,0,0,0,8,0,3,0,0,1,4,3,12,0,0,0,0
130,13065,4,0,4,0,0,0,0,2,2,7,3,0,1,7,0,2,0,5,1,39,0,0,2,4,56,0,8,1,2,0,1,0,0,0,2,0,0,0,43,1,1,70,3,0,4,0,25,2,8,6,0,63,0,0,0,0,8,0,1,1,0,0,1,2,15,0,0,1,0
142,13447,3,0,3,0,0,0,0,4,2,2,7,0,1,5,0,3,0,13,1,27,0,0,1,6,42,2,7,0,0,0,1,0,0,0,1,0,0,0,40,0,0,90,1,0,3,0,14,0,4,1,0,76,0,0,1,0,4,0,1,0,1,0,1,5,6,1,0,0,1
150,13721,9,0,1,0,0,0,1,2,1,6,5,0,1,4,0,0,0,4,0,40,0,0,0,1,41,1,4,0,1,0,0,0,0,2,2,0,0,0,40,0,0,67,0,0,3,0,23,1,4,15,0,45,0,0,1,0,8,1,0,1,0,0,1,3,10,3,0,0,0
166,14318,2,1,1,0,0,2,4,3,4,9,6,0,0,1,1,2,0,1,1,51,0,1,0,3,73,0,4,0,0,0,1,0,0,0,0,0,0,0,62,0,0,146,0,0,10,1,40,1,5,7,0,50,0,1,2,0,15,0,0,0,0,0,10,0,5,1,0,0,0
182,14978,1,0,0,0,0,4,1,1,0,5,8,0,0,0,0,2,0,0,0,19,1,1,0,0,42,0,9,0,0,0,3,0,0,0,1,0,0,0,23,0,0,134,0,0,7,0,12,0,8,5,0,37,1,0,1,0,12,1,0,1,0,0,0,2,2,1,1,0,0
198,NA,4,0,0,0,0,2,0,1,4,6,2,0,0,0,0,0,0,0,0,21,0,0,0,0,8,0,1,0,0,0,1,0,0,0,0,0,0,0,9,0,0,222,6,0,11,0,14,0,0,5,0,15,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
214,NA,2,1,0,0,0,8,0,1,4,3,2,0,0,1,0,0,0,3,0,20,0,0,0,0,21,0,0,0,0,0,7,0,0,0,1,0,0,0,6,1,0,202,5,0,3,0,8,1,4,6,0,29,0,0,0,0,1,0,0,1,0,0,0,0,0,1,6,0,0
230,NA,4,0,0,0,0,6,2,1,3,4,0,0,0,0,0,1,0,2,0,28,0,0,0,0,10,0,2,0,0,0,7,0,0,1,4,0,0,0,10,0,0,342,3,0,7,0,18,0,0,14,0,23,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0
260,NA,7,0,0,0,0,1,0,0,4,1,0,0,0,1,0,0,0,0,0,24,0,0,0,1,16,0,1,0,0,0,5,0,0,0,9,0,0,0,5,0,0,316,2,0,5,0,8,0,2,3,0,18,0,0,0,0,3,0,0,0,0,0,0,0,1,0,7,0,0
292,NA,5,0,0,0,0,4,1,2,6,4,1,0,0,1,0,0,0,1,0,24,0,0,0,0,7,0,2,1,1,0,8,0,0,0,5,0,0,0,5,0,0,253,3,0,7,0,6,0,0,2,0,16,0,0,1,0,3,0,0,2,0,0,0,1,0,0,17,0,0
332,NA,0,0,0,0,0,9,3,1,11,5,1,0,0,2,0,0,0,1,0,32,0,0,1,0,19,0,6,0,1,0,8,0,0,0,3,0,0,0,5,0,1,226,4,1,11,2,11,0,1,1,0,26,0,0,0,0,2,0,1,1,0,0,0,3,3,0,10,1,0
358,NA,2,0,0,0,1,7,0,1,17,5,3,0,0,0,0,0,0,0,0,16,0,0,0,0,10,0,3,0,0,0,5,0,0,0,2,0,0,0,4,1,0,242,3,0,13,0,8,0,2,1,0,18,0,0,0,0,1,0,0,2,0,0,0,0,1,0,20,0,0
