"sample.depths","sample.ages","Abies","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Betula.undiff.","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","Corylus.cornuta","Cupressaceae.cf..Thuja.occidentalis","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus","Indeterminable","Isoëtes","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodium.annotinum","Lycopodium.clavatum","Myrica.gale","Osmunda.regalis.type","Picea","Picea.mariana.type","Pinus","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae.Triglochin","Quercus","Rosaceae","Rumex.type","Salix","Sphagnum","Taxus","Thalictrum","Tsuga.canadensis","Typha.angustifolia","Typha.latifolia","Ulmus","Unknown..monolete.","Unknown..trilete."
200,6420,8,40,0,1,3,0,5,6,0,2,0,3,0,1,183,0,0,0,1,0,0,1,0,3,1,1,1,0,3,2,2,0,0,1,0,0,3,53,4,12,93,0,0,0,0,0,4,1,0,0,0,1,0,1,0,0,0,3,0
220,7063,4,19,0,2,7,0,3,2,0,1,0,0,0,5,241,0,0,0,0,1,0,1,0,2,0,4,2,0,0,4,0,0,0,0,1,0,3,53,10,19,145,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,1,4,0
240,7705,7,28,0,1,2,0,1,2,0,1,0,0,0,0,242,0,0,0,0,0,0,0,0,6,1,4,2,0,2,8,0,0,0,0,0,0,4,32,15,10,154,0,1,0,2,0,1,0,0,0,0,1,0,4,0,0,0,1,0
260,8347,3,12,4,0,4,0,3,3,0,0,0,3,0,5,205,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,3,1,0,0,0,1,29,9,39,100,12,0,0,1,0,5,0,0,2,0,0,0,3,0,0,0,2,0
280,8989,0,8,0,0,0,0,5,3,0,0,0,0,0,5,174,0,0,0,0,0,1,0,0,3,2,1,0,0,0,6,0,0,3,1,1,0,0,14,6,12,205,0,0,0,1,0,3,0,0,0,0,1,1,0,0,0,1,1,3
300,9631,4,14,1,1,1,2,7,3,0,0,0,0,0,9,176,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,3,30,23,24,102,7,0,0,0,0,8,0,0,0,0,0,1,4,0,0,0,1,0
320,10273,8,27,1,1,6,0,4,2,0,0,0,0,0,1,223,0,0,0,1,0,0,0,0,3,1,3,1,0,1,0,1,1,0,1,0,0,3,26,23,7,237,0,0,0,0,0,4,0,0,0,0,1,0,2,0,0,3,2,0
340,10915,1,11,1,3,3,0,7,3,1,1,0,0,0,8,264,0,0,0,0,1,0,1,0,2,3,0,3,0,0,1,0,5,1,0,1,0,2,9,14,19,150,0,0,0,1,0,6,0,0,0,0,1,0,1,0,0,3,0,0
360,11557,0,8,1,0,0,0,5,4,0,0,0,0,0,5,252,0,0,1,0,0,0,0,0,1,6,1,0,0,0,1,0,0,0,0,0,0,0,16,1,3,162,0,0,0,0,1,7,0,0,0,0,3,0,3,0,0,2,1,0
380,12199,4,11,1,1,0,2,3,5,0,0,0,1,0,4,191,0,0,0,0,0,0,0,0,3,3,1,0,0,3,1,0,0,0,1,0,0,1,15,18,3,186,0,0,1,0,0,3,0,0,0,0,8,0,4,0,1,5,1,0
400,12841,1,4,1,1,1,2,4,3,0,1,0,1,0,1,241,0,0,0,0,1,0,0,0,0,4,1,0,0,0,5,0,1,0,0,0,0,1,20,4,10,310,0,2,0,1,0,2,0,0,0,0,8,1,7,0,0,5,4,1
420,13483,3,8,0,0,5,4,1,4,1,0,0,1,0,1,338,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,2,2,3,0,0,2,33,10,13,223,0,0,0,1,0,14,0,0,0,0,4,0,0,0,0,8,3,0
440,14125,8,32,0,0,1,2,2,17,0,3,0,1,0,0,411,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,1,0,0,0,4,41,25,7,62,0,0,0,1,0,14,0,0,0,0,1,0,3,0,0,4,1,0
