"sample.depths","sample.ages","upland.sum","Betula","Carya","Asteraceae.undiff.","Cyperaceae","Poaceae.undiff.","Platanus","Quercus","Rumex","Salix","Ulmus","Vitis","Zea.mays","Alnus","Acer","Ambrosia","Fraxinus","Juglans","Pinus","Amaranthaceae","Eucalyptus","Rhus","Fabaceae","Populus","Caryophyllaceae","Celtis","Fagus","Ostrya.Carpinus","Corylus","Liquidambar","Tsuga","Rosaceae","Plantago","Phlox","Nyssa","Cupressaceae","Iris","Parthenocissus","Picea","Thalictrum","Tilia","Portulaca","Urtica","Viburnum","Castanea","Polygonaceae.undiff.","Impatiens","Onagraceae","Dipsacus","Apiaceae"
450,1790,327,3,26,10,4,18,10,106,0,1,7,2,0,1,0,36,7,7,6,7,61,1,5,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
470,1872,426,2,36,11,6,15,12,151,0,0,5,1,0,2,6,56,3,3,10,14,76,0,5,0,0,2,4,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0
490,1954,309,1,19,9,3,12,5,129,0,0,7,2,0,0,2,41,3,4,4,7,47,0,6,0,0,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,2036,347,8,49,5,5,18,5,140,0,1,14,0,0,0,1,23,5,3,12,5,38,0,3,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4
530,2118,325,2,29,3,6,13,9,137,0,4,10,0,0,1,3,28,5,0,4,3,47,0,4,0,0,1,8,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
550,2200,396,4,53,7,10,13,9,175,0,0,8,0,0,2,1,37,2,5,4,5,54,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,2364,363,2,48,4,10,8,5,143,0,0,6,0,0,0,4,36,7,1,4,5,64,0,2,0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0
610,2446,306,2,41,5,0,13,2,148,0,0,10,0,0,1,3,16,9,2,11,2,34,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
710,2856,293,5,30,4,12,15,6,121,0,0,8,0,0,0,1,31,2,3,11,2,27,0,8,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
810,3266,295,1,36,0,13,17,3,120,0,1,7,2,0,0,2,34,6,3,7,5,28,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
910,3676,344,2,39,6,8,11,5,166,0,0,18,0,0,0,3,26,5,6,6,9,19,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1010,NA,313,0,47,1,10,3,1,157,0,0,5,3,0,0,1,19,9,1,5,0,45,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
