"sample.depths","sample.ages","upland.sum","Acer.negundo","Acer.rubrum","Alnus.incana.type","Ambrosia.type","Betula","Bidens.type","Carya","Caryophyllaceae","Iva.annua.type","Corylus","Cyperaceae","Fraxinus..tricolpate.","Fraxinus.undiff.","Gleditsia","Poaceae.undiff.","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Liquidambar","Morus","Nyssa","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.undiff.","Planera.aquatica","Platanus","Quercus","Rhus","Rubus","Rumex","Salix","Sambucus","Spiraea.type","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Xanthium","Zea.mays","Amaranthaceae","Cupressaceae.undiff.","Acer.saccharinum","Cephalanthus.occidentalis","Populus.deltoides.type","Viburnum.acerifolium.type","Viburnum.lentago.type","Celtis.Maclura.type","Fraxinus.pennsylvanica.F..americana.type","Artemisia","Asteraceae.subf..Cichorioideae","Plantago.undiff.","Taxodium","Thalictrum","Urtica","Toxicodendron.radicans","Fraxinus.quadrangulata.F..nigra.type","Tilia","Acer.saccharum","Prunus.virginiana.type","Lamiaceae.undiff.","Plantago.major","Polygonum.hydropiper.type","Clethra","Fabaceae","Juglans.undiff.","Onagraceae.undiff.","Apiaceae","Berchemia.scandens","Mentha.type","Humulus","Calycanthus","Plantago.lanceolata","Picea","Polygonum.aviculare","Fagus","Ilex.type","Abies","Galium","Brassicaceae","Impatiens","Cirsium.Carduus.type","Myrica.type","Ranunculus.flabellaris.type","Gaura","Saxifragaceae","Achillea.type","Epilobium","Shepherdia.argentea","Prunus.undiff.","Potentilla","Viburnum.opulus.type","Cornus.canadensis.type","Prunus.americana.type","Larix","Shepherdia.canadensis"
74,4972,437.5,1,1,0,22,0,6,11,5,0,0,24,25,4,1,15,0,0,0,4,0,0,0,2,2.5,0,0,129,0,0,0,85,0,0,9,2,3,0,0,3,31,1,39,3,0,0,0,2,1,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,5599,679,4,0,0,51,1,10,21,49,2,0,20,32,7,3,38,0,0,0,3,0,0,4,1,5,0,1,150,0,0,0,32,0,0,48,7,50,2,1,32,29,0,64,0,0,1,0,4,0,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,6225,769,0,0,1,31,0,15,41,21,0,0,35,30,10,0,62,0,0,0,0,0,0,0,1,2,0,8,174,0,0,0,29,1,0,57,3,69,0,0,83,11,0,74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,6852,751.5,0,0,1,52,0,13,30,25,0,0,23,26,2,0,140,0,0,0,1,0,0,0,0,1.5,0,0,223,0,0,0,5,0,0,19,5,38,0,0,83,5,0,27,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,7651,693,1,0,2,39,2,25,28,22,4,2,4,25,8,0,19,1,0,0,0,0,0,0,1,6,0,1,189,0,0,0,35,6,0,29,4,97,2,0,61,7,1,51,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,7767,730.5,0,0,4,48,1,13,29,9,0,1,33,36,5,0,64,0,0,0,1,0,0,1,0,2.5,0,0,212,0,0,0,17,0,0,19,5,88,0,0,73,1,0,30,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,8171,1050,0,0,1,78,1,42,43,10,3,3,12,36,20,0,175,3,0,1,3,0,0,0,0,2,2,0,196,0,0,0,5,12,0,40,5,50,0,0,170,1,0,77,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,38,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,8806,628,0,0,0,27,2,21,51,20,0,0,25,6,1,0,111,1,0,0,0,0,0,1,1,1,0,0,219,0,0,0,5,2,0,11,14,9,0,0,62,0,1,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9095,673,0,0,2,46,3,25,37,27,1,2,13,8,1,0,130,0,0,2,0,0,0,3,0,1,0,0,234,0,0,0,8,2,0,9,7,7,1,0,48,6,2,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,9739,514.5,0,0,2,32,13,9,51,25,1,4,11,3,0,0,45,0,0,0,0,0,0,3,1,9.5,0,2,189,0,0,0,10,0,0,5,10,7,0,0,27,12,1,4,1,0,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,23,0,0,1,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,10640,683,0,0,5,44,5,47,62,7,0,25,15,11,3,3,138,0,5,2,1,0,0,15,1,5,2,0,177,1,0,0,0,3,0,22,17,3,0,0,34,2,0,3,8,0,0,0,2,0,1,0,0,1,0,0,4,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,11670,535.5,2,0,5,11,5,13,49,14,0,1,61,10,4,0,64,0,0,0,0,0,0,22,1,5,0,0,202,0,0,0,1,0,0,12,10,1,0,0,18,4,0,1,1,0,0,0,1,0,0,0,0,1,2,1,0,1,0,1,0,0,1,0,0,2,0,2,0,1,0,0,1,2.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,12314,744.5,0,0,7,30,11,29,42,30,0,1,72,14,7,0,159,1,1,2,0,0,0,14,0,5.5,1,2,149,0,0,0,2,0,0,13,19,5,2,0,60,9,2,6,8,0,4,2,1,0,1,0,0,2,1,0,0,0,2,0,0,0,6,1,0,1,0,5,0,0,0,1,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,12912,766.5,0,0,7,21,6,17,42,54,0,3,96,14,2,0,173,0,0,1,0,0,0,14,3,1,0,0,170,0,0,0,3,1,0,20,15,5,3,0,43,15,5,0,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,6,0,8,0,0,0,0,0,7,0,0,0,0.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142.5,13007,537,2,0,6,26,5,27,54,33,0,0,18,7,3,0,40,0,0,3,0,0,0,41,2,2.5,0,1,150,0,2,0,3,2,0,13,13,2,2,0,34,6,3,3,2,0,1,2,2,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,3,0,2,0,1,0,5,0,9,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,13102,773,1,0,9,26,2,22,37,52,1,0,81,18,3,0,190,0,0,0,0,1,0,22,3,5,0,0,124,0,1,0,10,1,0,25,14,1,1,0,37,49,0,1,3,0,2,1,2,2,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,6,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,13292,639.5,2,0,3,14,7,13,18,31,0,10,37,13,8,0,134,0,0,0,0,0,0,44,0,2,0,4,155,0,1,0,9,2,4,31,10,1,0,0,31,21,1,2,11,0,0,0,6,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,1,0,0.5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152.5,13388,660,0,0,5,23,9,24,27,16,0,8,23,17,10,0,171,0,2,1,0,0,0,12,4,0,2,14,163,0,1,0,6,1,0,10,17,2,0,0,30,4,4,0,2,0,0,2,19,1,0,0,0,1,6,0,8,1,0,1,0,0,1,1,0,0,0,3,0,0,0,0,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,14361,661.5,2,1,6,25,14,10,34,28,0,4,78,13,5,0,113,1,1,0,0,0,0,26,1,2.5,0,2,154,0,1,0,4,0,1,23,12,0,1,0,46,11,2,2,1,0,0,0,4,0,0,0,0,2,6,0,0,0,0,0,0,0,3,0,0,2,0,3,0,0,0,1,0,6,0,6,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,15042,652,3,0,2,21,14,10,19,25,0,1,79,24,10,0,106,0,0,1,0,0,0,27,0,0,0,5,116,0,1,0,13,0,0,17,9,1,0,0,38,45,0,0,4,2,0,5,2,2,0,0,0,3,7,0,1,0,0,0,0,0,1,1,0,2,0,2,0,0,0,0,0,3.5,0,1,0,0.5,0,26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
170,15724,606,1,0,2,29,11,8,14,33,0,4,60,11,14,0,105,0,2,0,0,0,0,26,0,1,0,5,158,0,1,0,11,0,0,19,13,4,0,0,26,13,0,3,2,0,3,4,3,0,0,0,0,0,5,0,1,2,1,1,0,0,1,0,0,1,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,16269,592.5,0,0,4,28,11,11,22,23,0,5,69,8,10,0,75,0,4,0,0,0,0,27,2,1.5,0,2,163,0,1,0,10,1,0,27,5,3,4,0,24,2,1,4,13,0,0,1,4,0,0,0,0,0,4,0,1,3,0,1,0,0,1,1,0,3,0,1,0,0,0,1,0,6,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,16950,598.5,1,0,2,19,11,23,23,12,1,10,30,13,12,0,113,3,0,3,0,0,0,16,2,3,0,3,128,0,0,0,5,0,0,15,17,0,6,0,39,11,6,3,16,1,0,2,8,1,0,0,0,3,1,0,5,0,0,0,0,0,4,1,0,0,0,1,0,2,0,0,0,11.5,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,17632,573.5,0,0,14,4,3,1,6,3,0,0,103,6,5,0,55,0,0,0,0,0,0,8,7,37.5,0,0,30,0,1,0,13,0,4,19,1,0,1,0,0,17,0,0,3,1,10,0,2,11,0,0,0,5,0,0,1,0,1,0,3,0,0,0,0,1,0,14,0,0,0,0,0,146,0,0,0,13,3,0,0,18,0,1,2,0,0,0,0,0,0,0,0,0,0,0
187,18041,643,1,0,12,6,3,11,0,1,1,0,110,8,7,0,146,0,0,0,0,0,0,3,5,23,0,0,33,0,3,0,21,2,0,12,1,0,0,0,2,4,0,0,22,1,6,0,0,1,0,0,0,0,2,0,1,0,2,0,0,0,1,0,0,0,0,8,0,0,0,0,0,149.5,0,0,0,17.5,3,0,0,11,0,0,1,1,1,0,0,0,0,0,0,0,0,0
190,18450,471,0,0,9,6,3,8,4,0,0,0,35,6,4,0,44,0,0,0,0,0,0,10,5,9,0,0,23,0,2,0,16,2,2,17,0,1,2,0,0,55,1,0,36,2,5,0,1,4,1,0,0,1,0,0,0,1,1,0,0,0,0,2,0,1,0,12,0,0,1,0,0,116,0,1,0,1,5,1,0,4,1,1,3,0,0,1,2,3,0,0,0,0,0,0
198,19173,598,5,0,15,6,3,14,1,0,2,1,88,6,9,0,107,0,0,0,0,0,0,6,10,21,0,0,31,0,2,0,26,1,0,25,1,1,1,0,0,32,0,0,15,0,0,0,1,4,0,0,0,3,1,0,0,0,1,0,0,0,1,0,0,2,0,17,0,0,0,0,0,134.5,0,0,0,0.5,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
226,19560,535.5,1,0,26,2,5,2,3,0,0,1,67,6,7,0,94,0,0,0,0,0,0,12,11,10,0,0,39,0,0,0,14,0,0,4,2,0,0,0,1,40,0,0,32,0,1,0,0,2,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,1,0,16,0,0,0,0,0,119,0,0,0,2.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
252,19924,509.5,0,0,31,2,4,7,1,1,0,3,29,5,13,0,83,0,0,0,0,0,0,3,16,23,0,0,20,0,3,0,29,4,0,2,1,0,2,0,2,1,0,0,24,0,0,0,2,6,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,147,0,0,0,20.5,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0
270,20207,400.5,0,0,0,1,0,7,2,0,0,1,62,1,2,0,4,0,0,0,0,0,0,2,28,34.5,0,0,13,0,3,0,20,0,0,1,0,0,0,0,0,1,1,0,26,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,170.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
300,20679,471,0,0,21,0,2,6,0,3,0,1,60,6,4,0,14,1,0,0,0,0,0,1,9,12.5,0,0,7,0,8,0,34,1,0,2,0,0,1,0,0,1,1,0,16,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,38,0,0,0,0,0,211,0,0,0,2.5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
310,NA,589.5,0,0,145,1,1,2,1,1,0,0,57,8,14,0,21,0,0,0,0,0,0,4,11,10.5,0,0,27,0,2,0,93,0,1,7,3,0,0,0,1,10,0,0,5,0,6,0,0,1,0,0,0,3,2,0,2,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,124.5,0,0,0,2.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
363,NA,432.5,0,0,19,1,1,0,2,0,0,1,42,10,10,0,7,0,0,0,0,0,0,5,14,24,0,0,16,0,3,0,34,2,0,8,1,0,0,0,2,14,0,0,13,0,4,0,0,0,1,0,0,2,0,0,1,0,5,0,1,0,0,2,0,0,0,4,0,0,0,0,0,168.5,0,1,0,10,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
