"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Artemisia","Betula","Caryophyllaceae","Cyperaceae","Ericaceae","Koenigia.islandica","Asteraceae.subf..Cichorioideae","Picea.mariana.type","Pinus.undiff.","Ranunculaceae.undiff.","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Fabaceae","Juniperus.type","Poaceae","Onagraceae","Rosaceae","Campanula.type","Oxyria.digyna.type","Pinus.banksiana.type","Polygonum.viviparum","Salix.vestita.type","Saxifraga.cernua.type","Saxifraga.oppositifolia.type","Picea.undiff.","Salix.undiff.","Ambrosia.type","Amaranthaceae","Fraxinus.nigra.type","Populus.tremuloides.type","Quercus","Pinus.strobus","Impatiens","Thalictrum","Viburnum.edule","Salix.herbacea.type","Myrica.gale","Juglans.cinerea","Fagus","Brassicaceae","Saxifraga.stellaris.type","Castanea.dentata","Apiaceae","Saxifragaceae.undiff.","Tsuga.canadensis","Acer.spicatum","Polygonaceae.undiff.","Acer.saccharum"
72.5,5905,0.00728597449908925,0.309653916211293,0.0163934426229508,0.123861566484517,0,0.302367941712204,0.00910746812386157,0.00728597449908925,0,0.0218579234972678,0.00546448087431694,0.00364298724954463,0.0145719489981785,0,0,0,0.0455373406193078,0,0.00182149362477231,0,0.0200364298724954,0.0309653916211293,0,0.0182149362477231,0.00182149362477231,0,0.0127504553734062,0.0309653916211293,0.00364298724954463,0.00364298724954463,0,0,0,0,0.00182149362477231,0.00182149362477231,0.00182149362477231,0.00364298724954463,0,0,0,0,0,0,0,0,0,0,0,0
80,6321,0,0.374757281553398,0.0058252427184466,0.213592233009709,0,0.100970873786408,0.00388349514563107,0,0,0.0737864077669903,0,0.00194174757281553,0,0,0.00194174757281553,0,0.058252427184466,0,0.00194174757281553,0,0.0660194174757282,0.00194174757281553,0,0,0,0.00388349514563107,0.00388349514563107,0.0718446601941748,0.00970873786407767,0.00194174757281553,0,0,0.00194174757281553,0,0,0,0,0,0,0,0,0,0,0.00194174757281553,0,0,0,0,0,0
85,6598,0.00212765957446809,0.308510638297872,0.0148936170212766,0.202127659574468,0.00212765957446809,0.270212765957447,0.00212765957446809,0.00638297872340425,0,0.00851063829787234,0.0106382978723404,0,0.00425531914893617,0,0.00638297872340425,0.00212765957446809,0.0553191489361702,0,0.0148936170212766,0,0.0148936170212766,0.00425531914893617,0,0.00212765957446809,0,0.00212765957446809,0.0127659574468085,0.0425531914893617,0.00212765957446809,0,0,0,0,0.00212765957446809,0,0,0,0.00425531914893617,0.00212765957446809,0,0,0,0,0,0,0,0,0,0,0
90,6875,0.00324149108589951,0.298217179902755,0.0194489465153971,0.244732576985413,0,0.210696920583468,0.00810372771474878,0,0,0.0307941653160454,0.0145867098865478,0.00810372771474878,0,0,0.00162074554294976,0,0.06645056726094,0,0.0145867098865478,0,0.0210696920583468,0,0,0,0,0,0.00810372771474878,0.0372771474878444,0.00162074554294976,0.00324149108589951,0.00324149108589951,0,0,0,0,0.00486223662884927,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97.5,6998,0.00407331975560081,0.270875763747454,0.0122199592668024,0.14867617107943,0.00203665987780041,0.270875763747454,0.00203665987780041,0.00407331975560081,0,0.0325865580448065,0.0142566191446029,0.00814663951120163,0.0142566191446029,0,0.00203665987780041,0.00203665987780041,0.0672097759674134,0,0.00610997963340122,0,0.0244399185336049,0.0346232179226069,0,0,0,0.00203665987780041,0.0122199592668024,0.054989816700611,0,0,0,0.00203665987780041,0,0,0,0,0,0.00203665987780041,0.00610997963340122,0,0,0,0,0,0,0,0,0,0,0
105,7120,0,0.309255079006772,0.0135440180586907,0.243792325056433,0.00451467268623025,0.167042889390519,0.00225733634311512,0,0,0.0112866817155756,0,0.0564334085778781,0.00451467268623025,0,0,0.00225733634311512,0.0677200902934537,0,0,0,0.0474040632054176,0,0,0.00225733634311512,0,0.0090293453724605,0.00225733634311512,0.0496613995485327,0.00225733634311512,0.00451467268623025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112.5,7243,0,0.175675675675676,0.027027027027027,0.132882882882883,0.00675675675675676,0.22972972972973,0.009009009009009,0.0135135135135135,0,0.0225225225225225,0.00675675675675676,0.0653153153153153,0.0112612612612613,0,0,0,0.119369369369369,0,0.0135135135135135,0,0.0540540540540541,0.0292792792792793,0,0.0045045045045045,0,0.00675675675675676,0.0112612612612613,0.036036036036036,0.00675675675675676,0.0045045045045045,0,0,0.00225225225225225,0,0,0,0.00225225225225225,0,0.00225225225225225,0,0,0,0,0,0.0045045045045045,0.00225225225225225,0,0,0,0
120,7366,0,0.166368515205725,0.0304114490161002,0.137745974955277,0.0035778175313059,0.0983899821109123,0.0035778175313059,0,0,0.037567084078712,0,0.257602862254025,0.00178890876565295,0,0,0.00536672629695885,0.118067978533095,0,0.00536672629695885,0,0.0465116279069767,0,0.00178890876565295,0.0071556350626118,0,0.00178890876565295,0.00178890876565295,0.0554561717352415,0.0107334525939177,0.00178890876565295,0,0,0,0,0,0.00178890876565295,0,0.00178890876565295,0.00178890876565295,0,0,0,0,0,0,0,0.00178890876565295,0,0,0
127.5,7488,0,0.162025316455696,0.0253164556962025,0.0455696202531646,0.00506329113924051,0.210126582278481,0.00759493670886076,0.00253164556962025,0,0.0227848101265823,0.00253164556962025,0.0632911392405063,0.010126582278481,0,0,0,0.243037974683544,0,0.00759493670886076,0,0.0936708860759494,0.00759493670886076,0,0.00506329113924051,0,0.00506329113924051,0.0126582278481013,0.0430379746835443,0.00253164556962025,0.0126582278481013,0,0,0,0,0,0,0,0.00253164556962025,0,0,0,0,0,0,0.00759493670886076,0,0,0,0,0
135,7611,0,0.131291028446389,0.0262582056892779,0.074398249452954,0.00218818380743982,0.150984682713348,0.0109409190371991,0.00437636761487965,0,0.0131291028446389,0.0153172866520788,0.105032822757112,0.0240700218818381,0,0,0.00218818380743982,0.216630196936543,0,0.050328227571116,0,0.0393873085339169,0.0218818380743982,0.00437636761487965,0.0087527352297593,0.00218818380743982,0.0153172866520788,0.0131291028446389,0.050328227571116,0.00656455142231947,0.00437636761487965,0,0,0,0,0,0,0,0.00437636761487965,0.00218818380743982,0,0,0,0,0,0,0,0,0,0,0
140,7692,0,0.0537634408602151,0.032258064516129,0.0376344086021505,0.0161290322580645,0.17741935483871,0.00537634408602151,0,0,0.00537634408602151,0.00806451612903226,0.161290322580645,0.0295698924731183,0,0,0,0.287634408602151,0,0.0349462365591398,0,0.0510752688172043,0.010752688172043,0,0.00268817204301075,0,0.00268817204301075,0.0188172043010753,0.0403225806451613,0.00806451612903226,0,0,0,0,0.00537634408602151,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00268817204301075,0.00537634408602151,0.00268817204301075
145,NA,0,0.0402684563758389,0.00894854586129754,0.0156599552572707,0.00447427293064877,0.185682326621924,0.00223713646532438,0,0,0.00223713646532438,0.00447427293064877,0.293064876957494,0.0559284116331096,0,0,0,0.279642058165548,0.00223713646532438,0.029082774049217,0,0.0156599552572707,0.0111856823266219,0,0,0,0.00447427293064877,0.00894854586129754,0.0268456375838926,0,0.00223713646532438,0,0.00223713646532438,0.00223713646532438,0,0,0,0,0,0,0,0,0.00223713646532438,0,0,0,0,0,0,0,0
150,NA,0,0.0116822429906542,0.0186915887850467,0,0.00700934579439252,0.186915887850467,0.00467289719626168,0.00233644859813084,0,0.00233644859813084,0,0.252336448598131,0.00467289719626168,0,0,0,0.252336448598131,0,0.0257009345794393,0,0.0373831775700935,0.00233644859813084,0,0.00233644859813084,0,0,0.00467289719626168,0.0771028037383178,0.102803738317757,0.00233644859813084,0,0,0,0,0,0,0,0,0.00233644859813084,0,0,0,0,0,0,0,0,0,0,0
