"sample.depths","sample.ages","Abies","Acer.negundo","Acer.saccharum.type","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Caryophyllaceae","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Indeterminable","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Juglans.nigra","Larix","Lycopodium.type","Moraceae","Myricaceae","Myriophyllum","Onagraceae","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium.type","Quercus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia","Sphagnum","Thalictrum","Tsuga","Typha.Sparganium","Ulmus","Unknown","Urtica.type","Vitis"
130,3190,4,1,0,28,1,3,0,4,1,25,0,0,3,6,3,0,1,0,2,1,2,6,0,0,0,2,1,0,0,0,0,0,28,198,28,0,0,3,1,1,2,4,0,0,1,0,0,2,0,0,1,3,1,0,0
140,3447,4,0,0,45,1,3,0,4,1,53,0,0,1,3,4,1,0,0,2,1,4,9,0,0,0,4,1,0,1,0,0,3,25,281,33,0,0,5,6,0,0,7,0,0,0,0,0,0,0,0,0,2,1,0,0
150,3705,4,0,0,38,0,5,0,6,1,40,0,0,0,3,1,3,0,0,2,0,3,1,0,0,0,0,2,0,1,0,0,0,26,232,4,1,0,4,1,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0
160,3962,4,0,0,32,1,0,1,4,0,42,0,0,0,4,5,0,1,0,3,0,10,10,0,0,0,3,3,0,2,0,0,1,14,248,15,0,0,6,2,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0
170,4219,2,0,0,28,1,2,0,7,2,53,0,0,1,12,1,0,0,0,1,0,3,2,0,0,0,3,1,0,1,0,0,2,17,210,9,0,0,0,7,0,1,4,0,0,2,0,0,1,0,0,1,2,0,0,0
180,4476,7,0,0,68,1,4,0,15,4,74,1,1,3,7,4,0,0,0,2,1,9,5,0,0,0,2,0,0,1,0,0,1,30,401,49,0,0,12,3,0,0,15,0,0,1,0,0,1,0,0,0,2,0,0,0
190,4733,3,0,0,29,0,4,0,9,1,48,0,0,0,5,5,0,0,0,1,0,2,6,0,0,0,2,0,0,0,0,0,0,18,229,21,0,0,7,5,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0
200,4990,5,0,0,43,2,9,0,10,5,43,0,0,1,7,3,4,0,0,1,0,4,12,0,0,0,6,0,0,2,0,0,1,13,277,46,0,0,9,4,0,1,7,0,0,1,0,0,0,0,0,0,0,2,0,0
210,5248,2,0,0,39,3,3,0,6,2,22,0,0,1,9,4,1,0,0,2,1,2,6,0,0,0,1,0,0,0,0,0,0,5,234,15,0,0,3,6,0,2,6,0,0,4,0,0,0,2,0,1,3,1,0,1
220,5437,4,0,1,43,4,4,0,10,2,45,0,0,5,15,3,0,0,1,3,0,10,6,0,0,0,0,1,0,1,0,0,0,20,225,19,0,0,7,6,0,1,9,0,0,0,0,0,2,0,0,0,1,0,0,0
230,5558,1,0,0,29,1,20,1,9,1,34,0,0,1,6,6,1,0,0,2,0,3,2,2,0,0,0,0,0,0,0,0,0,5,233,8,0,0,7,2,0,3,8,0,0,1,0,0,0,0,0,0,0,0,0,0
240,5680,2,0,0,37,3,5,2,7,4,51,0,0,5,15,1,1,0,0,3,0,3,6,0,1,0,1,2,0,3,0,0,0,8,240,19,0,0,9,11,0,7,5,0,0,1,0,0,2,1,0,1,2,2,0,0
250,5802,0,0,0,38,3,1,0,11,2,32,0,0,0,11,1,1,1,0,3,0,3,1,0,0,0,0,2,0,5,0,0,1,7,239,6,0,0,4,2,0,5,6,0,0,1,0,0,0,0,0,2,1,1,0,0
260,5923,0,0,0,43,4,5,0,9,3,43,0,0,6,24,5,0,1,0,7,1,9,4,0,0,0,1,0,0,2,0,0,5,5,228,25,0,0,8,5,0,5,17,0,0,1,0,0,0,0,0,0,3,1,0,0
270,6045,1,0,0,31,8,6,0,17,1,49,0,0,1,13,2,1,1,0,3,0,3,4,0,0,0,1,0,0,0,0,0,4,3,242,17,0,0,8,5,0,2,11,0,0,3,0,0,1,0,0,1,3,1,0,0
280,6166,0,0,0,38,4,16,0,11,6,41,1,1,4,18,2,0,0,0,0,2,6,1,0,0,0,0,1,0,0,1,0,5,6,211,23,0,1,18,3,0,0,12,0,0,3,0,0,1,0,0,0,2,0,0,0
290,6288,1,1,0,33,2,3,0,8,1,45,0,0,2,9,2,1,0,0,3,2,9,0,0,1,0,8,1,0,0,0,0,2,4,186,0,8,0,1,0,0,1,10,0,0,1,1,0,0,0,0,0,2,0,0,0
310,6531,0,0,0,36,7,6,0,16,1,50,0,0,1,13,2,2,1,0,2,0,10,0,0,0,0,0,0,0,0,0,0,2,4,193,12,0,0,8,0,0,3,17,0,0,1,0,0,0,0,0,0,2,1,0,0
320,6652,0,0,0,29,3,2,1,12,0,29,0,0,1,12,5,2,0,0,1,0,9,0,2,0,0,0,1,0,0,0,0,4,4,198,11,0,0,7,2,0,4,9,0,0,3,1,0,1,0,0,0,0,2,0,0
330,6774,1,0,0,37,4,8,0,12,3,24,0,0,3,13,3,0,0,0,2,1,9,0,0,1,0,0,0,0,0,0,0,1,5,266,10,0,0,6,2,1,0,10,0,0,1,0,0,0,0,0,0,1,1,0,0
340,6895,1,0,0,50,2,14,0,11,0,36,0,0,3,18,4,1,1,0,5,0,3,1,0,0,0,1,1,0,2,0,0,3,6,233,2,0,0,12,2,0,2,15,0,0,1,0,0,1,0,0,1,2,0,0,0
350,7017,1,0,0,27,0,3,1,11,5,34,1,0,0,11,4,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,2,202,27,0,0,10,1,0,0,4,0,0,0,1,0,0,0,0,0,2,1,0,0
370,7260,0,0,0,21,5,8,0,18,0,36,0,0,1,15,5,2,0,0,3,1,4,1,0,0,0,0,0,0,0,0,0,4,2,211,6,0,1,4,3,0,3,11,0,0,4,0,0,0,0,0,1,3,0,0,0
380,7381,1,0,1,29,8,17,1,20,4,52,0,2,5,42,10,2,0,0,2,1,8,3,1,0,0,1,0,0,2,0,0,1,8,289,8,0,0,17,5,0,4,13,0,0,4,1,0,0,0,0,0,1,0,0,0
390,7503,0,0,1,21,6,9,0,17,4,32,0,0,1,29,5,4,0,0,1,0,6,0,0,0,0,0,0,0,2,0,0,2,4,222,13,0,0,10,6,0,6,13,0,0,7,1,0,0,0,0,0,3,1,0,0
410,7746,0,0,0,30,8,30,0,24,0,44,0,0,0,43,5,3,0,0,0,0,7,0,5,0,0,1,0,0,3,0,0,0,2,190,9,0,0,11,2,0,4,5,0,0,2,0,0,0,0,0,1,0,0,0,0
420,7921,0,0,0,36,11,27,0,33,2,53,0,0,2,69,6,1,0,0,0,1,5,3,5,0,0,0,0,0,4,0,0,1,8,220,2,0,0,16,11,0,3,3,0,1,3,0,0,1,0,0,0,2,2,1,0
430,8150,0,0,0,28,11,15,0,19,1,43,0,0,2,37,5,0,0,0,0,1,4,2,1,0,0,0,0,0,5,0,0,1,12,170,2,0,0,10,12,0,8,1,0,0,4,1,0,1,0,0,1,2,1,0,0
440,8379,0,0,0,37,5,13,2,10,1,24,0,0,0,25,7,1,0,0,0,2,8,1,1,0,0,0,1,0,2,0,0,0,8,195,3,0,0,8,9,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0
450,8608,0,0,0,29,4,8,1,10,3,35,1,0,0,28,9,0,1,0,1,1,1,2,0,0,0,1,0,0,0,0,0,1,9,195,2,0,0,4,10,0,2,0,0,0,4,0,0,0,0,0,1,2,1,0,0
460,8837,0,0,0,52,2,12,0,21,5,72,0,0,0,28,8,0,0,0,2,1,10,1,0,0,0,0,0,0,6,0,0,1,17,263,0,0,0,17,9,0,2,4,0,0,3,1,0,1,0,0,1,7,0,0,0
470,9065,0,0,0,42,7,5,0,9,2,38,0,0,2,45,3,1,0,0,0,1,3,2,1,0,0,0,0,0,2,0,0,2,10,209,0,0,0,9,12,0,1,6,0,0,5,0,0,1,0,0,0,1,0,0,0
480,9294,0,0,0,31,12,16,1,18,1,45,0,0,0,52,8,4,0,0,0,2,19,0,0,0,0,0,0,0,5,0,0,2,11,234,0,0,0,15,10,0,7,6,0,0,5,1,0,0,0,0,1,1,2,0,0
490,9523,0,0,0,25,5,12,1,12,2,23,0,0,0,33,6,1,1,0,0,0,3,0,0,0,0,1,0,0,2,0,0,1,11,204,0,0,0,9,7,0,5,2,0,0,1,0,0,0,0,0,0,4,1,0,0
500,9752,0,0,0,18,28,27,0,33,3,30,0,0,1,42,4,1,0,0,2,0,11,2,0,0,0,7,0,0,3,0,0,2,24,320,0,0,0,13,7,2,3,7,0,0,3,0,0,2,0,0,0,7,2,0,0
510,9981,0,0,0,5,1,5,0,13,0,33,0,0,1,36,5,0,2,0,2,0,3,1,0,0,0,1,0,0,3,0,0,2,18,197,3,0,0,6,17,0,1,3,0,0,5,0,1,0,1,0,1,2,1,0,0
530,10439,0,0,0,1,1,11,0,12,0,25,0,0,2,25,3,2,2,0,1,0,2,1,0,0,0,3,0,0,0,1,0,1,15,217,3,0,0,9,9,0,5,4,0,0,4,0,0,0,0,0,1,4,1,0,1
540,10668,0,0,0,4,3,7,0,13,0,29,0,0,0,21,4,1,0,0,0,0,4,1,0,0,0,1,0,0,12,0,0,0,27,209,0,0,0,3,8,0,1,5,0,0,4,0,0,0,0,0,0,9,1,0,0
550,10897,0,0,0,2,2,2,0,11,0,26,0,0,0,22,1,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,1,21,227,0,0,0,4,13,0,2,4,0,0,1,0,0,0,0,0,1,4,0,0,0
560,11125,0,0,0,1,2,3,0,14,3,29,0,0,1,19,4,1,0,0,4,1,7,6,0,0,0,1,0,0,16,0,0,4,28,0,0,213,0,4,16,0,1,6,0,0,3,0,0,0,0,0,1,5,2,0,0
570,NA,0,0,0,1,2,4,0,11,0,22,0,0,0,18,4,6,1,0,1,0,6,2,0,0,0,1,1,0,12,0,0,2,85,0,0,157,0,5,11,0,3,7,0,0,3,0,0,0,0,0,0,11,1,0,0
590,NA,0,0,2,1,10,3,0,18,2,45,0,0,0,26,9,13,3,0,4,0,13,16,0,0,0,8,1,0,9,0,0,7,118,0,0,77,0,6,7,0,9,15,0,0,2,2,0,0,0,0,0,26,2,0,0
600,NA,0,0,0,2,9,7,0,8,4,17,0,0,1,13,7,9,0,0,1,0,24,6,0,0,0,11,5,0,0,0,0,7,150,0,0,94,0,11,2,0,4,7,1,0,4,1,0,0,1,0,0,12,1,0,1
610,NA,0,0,0,2,8,11,0,11,1,5,1,0,2,19,8,8,0,0,0,1,17,1,0,0,0,14,3,1,0,0,0,6,175,0,0,77,0,12,3,0,3,19,0,0,2,0,0,1,0,0,0,23,1,0,0
630,NA,0,0,0,6,7,9,0,7,1,9,0,0,1,33,23,5,0,0,5,2,21,2,0,0,1,1,5,0,0,3,0,7,168,0,0,69,0,9,1,0,2,10,0,0,3,0,0,3,0,0,1,37,2,1,0
640,NA,0,1,0,16,13,10,0,11,5,47,0,0,4,74,106,5,1,0,18,3,53,3,0,1,0,0,33,1,0,0,0,7,119,0,0,83,0,19,4,3,0,24,2,0,8,0,3,3,0,0,1,31,6,0,0
