"sample.depths","sample.ages","Abies","Cyperaceae","Picea","Taxus","Alnus","Myrica","Pinus","cf..Myrica","Betula.greater.than.20.microm","Apiaceae","Rosaceae.undiff.","Cornus","Poaceae","Ericales","Quercus","Salix","Ulmus","Urticaceae","Sorbus","Juniperus","Betula.less.than.20.microm","Acer","Asteraceae.undiff.","Ranunculaceae.undiff.","Thalictrum","Saxifragaceae","Caryophyllaceae","Ambrosia","Ostrya_Carpinus","Tsuga","Brassicaceae","Platanus","Populus","Artemisia","Primulaceae","Plantago","Fagus","Amaranthaceae","Fabaceae","Epilobium","Oxyria.digyna","Rumex","Campanulaceae"
445,7875,0.031034483,0.006896552,0.289655172,0.013793103,0.034482759,0.006896552,0.017241379,0.010344828,0.465517241,0,0.010344828,0,0.003448276,0,0,0.003448276,0.003448276,0,0,0.010344828,0.086206897,0,0.003448276,0,0,0,0,0,0,0,0,0,0.003448276,0,0,0,0,0,0,0,0,0,0
465,NA,0.066985646,0.002392344,0.200956938,0.076555024,0.023923445,0.007177033,0.011961722,0.004784689,0.504784689,0,0.011961722,0,0.002392344,0,0.011961722,0,0,0,0,0,0.064593301,0.004784689,0,0,0.002392344,0,0,0,0,0,0,0,0.002392344,0,0,0,0,0,0,0,0,0,0
475,NA,0.076205288,0.00311042,0.256609642,0.018662519,0.00777605,0.00311042,0.021772939,0.00933126,0.505443235,0,0.00311042,0,0,0.00311042,0.01244168,0,0.00155521,0.00466563,0,0.00777605,0.049766719,0,0.00155521,0,0,0,0,0,0,0,0,0,0.01088647,0,0,0,0.00155521,0.00155521,0,0,0,0,0
485,NA,0.068614994,0.007623888,0.191867853,0.020330368,0.015247776,0.007623888,0.021601017,0.001270648,0.545108005,0,0.011435832,0.002541296,0.002541296,0,0.00635324,0,0,0.001270648,0,0,0.076238882,0,0.002541296,0,0.002541296,0,0,0,0,0.001270648,0.001270648,0,0.011435832,0.001270648,0,0,0,0,0,0,0,0,0
495,NA,0.063122924,0,0.182724252,0.004983389,0.029900332,0.011627907,0.016611296,0.003322259,0.581395349,0,0.006644518,0.00166113,0,0,0.006644518,0.003322259,0,0,0,0,0.088039867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,NA,0.046511628,0.00166113,0.093023256,0.00166113,0.033222591,0.019933555,0.021594684,0.003322259,0.632890365,0,0.00166113,0.003322259,0.006644518,0.00166113,0.013289037,0.003322259,0,0.00166113,0,0.024916944,0.07641196,0,0.003322259,0,0.003322259,0,0,0,0,0,0.00166113,0,0.003322259,0,0,0,0,0.00166113,0,0,0,0,0
510,NA,0.011976048,0.002994012,0.080838323,0,0.053892216,0.008982036,0.011976048,0.01497006,0.631736527,0,0.005988024,0.002994012,0.002994012,0.002994012,0.002994012,0.005988024,0,0.002994012,0,0.035928144,0.086826347,0,0.008982036,0.002994012,0.002994012,0,0,0,0,0,0,0,0.01497006,0,0.002994012,0,0,0,0,0,0,0,0
515,NA,0.073068894,0.002087683,0.14822547,0,0.058455115,0.006263048,0.029227557,0.027139875,0.432150313,0.002087683,0,0.006263048,0,0.012526096,0,0.004175365,0,0,0,0.041753653,0.146137787,0,0.004175365,0.004175365,0.002087683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,NA,0.002754821,0.011019284,0.1184573,0,0.024793388,0.093663912,0.008264463,0.016528926,0.429752066,0,0.002754821,0,0.013774105,0.008264463,0.008264463,0.005509642,0,0,0,0.074380165,0.159779614,0,0.011019284,0.002754821,0,0,0,0,0,0,0,0,0,0.005509642,0,0,0,0,0.002754821,0,0,0,0
525,NA,0.004285714,0.012857143,0.118571429,0,0.025714286,0.132857143,0.01,0.022857143,0.258571429,0,0.002857143,0,0.072857143,0.027142857,0.004285714,0,0.001428571,0.002857143,0,0.161428571,0.108571429,0,0.002857143,0.005714286,0.018571429,0,0.002857143,0,0,0,0.001428571,0,0,0.001428571,0,0,0,0,0,0,0,0,0
530,NA,0,0.021963824,0.033591731,0,0.018087855,0.19379845,0.010335917,0.012919897,0.262273902,0,0.00129199,0,0.096899225,0.028423773,0.002583979,0.007751938,0,0.005167959,0,0.11369509,0.145994832,0,0.010335917,0.009043928,0.021963824,0,0,0,0,0,0.00129199,0,0,0.00129199,0,0,0,0.00129199,0,0,0,0,0
535,NA,0.001519757,0.009118541,0.013677812,0,0.034954407,0.170212766,0.012158055,0.031914894,0.279635258,0.001519757,0,0,0.08662614,0.031914894,0.006079027,0.007598784,0.001519757,0.006079027,0,0.117021277,0.142857143,0,0.019756839,0.012158055,0.010638298,0,0,0,0,0,0,0,0,0.001519757,0,0,0,0,0,0.001519757,0,0,0
540,NA,0,0.014018692,0.009345794,0,0.004672897,0.322429907,0.004672897,0.014018692,0.196261682,0,0,0,0.079439252,0,0.004672897,0.009345794,0,0,0,0.009345794,0.299065421,0,0.028037383,0,0.004672897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
545,NA,0,0.017857143,0.038533835,0,0.020676692,0.247180451,0.002819549,0.015977444,0.195488722,0.002819549,0.00093985,0,0.090225564,0.047932331,0.004699248,0.020676692,0.002819549,0.004699248,0,0.004699248,0.256578947,0,0.016917293,0.005639098,0.00093985,0.00093985,0,0,0,0,0,0,0,0,0.00093985,0,0,0,0,0,0,0,0
550,NA,0,0.028700906,0.013595166,0,0.042296073,0.252265861,0.018126888,0.108761329,0.14652568,0,0.003021148,0,0.080060423,0.069486405,0,0.01510574,0,0.004531722,0,0,0.170694864,0,0.02265861,0.009063444,0.001510574,0,0.001510574,0,0.004531722,0,0,0,0.003021148,0,0.003021148,0,0,0.001510574,0,0,0,0,0
552,NA,0.001068376,0.02991453,0.028846154,0,0.039529915,0.21474359,0.008547009,0.02457265,0.13034188,0.004273504,0.002136752,0.001068376,0.096153846,0.049145299,0,0.018162393,0,0.00534188,0,0.00534188,0.317307692,0,0.008547009,0.009615385,0,0,0,0,0,0,0,0,0,0.003205128,0,0,0,0.001068376,0,0.001068376,0,0,0
553,NA,0,0.062322946,0.039660057,0,0.033994334,0.090651558,0.02266289,0.016997167,0.161473088,0,0.002832861,0.002832861,0.039660057,0.152974504,0,0.028328612,0,0.002832861,0,0.016997167,0.300283286,0,0.002832861,0.016997167,0,0,0,0,0,0,0,0,0,0.002832861,0.002832861,0,0,0,0,0,0,0,0
555,NA,0,0.122171946,0.058823529,0,0.027149321,0.058823529,0.027149321,0.004524887,0.081447964,0.004524887,0,0,0.027149321,0.194570136,0,0.040723982,0.004524887,0,0,0.004524887,0.303167421,0,0.022624434,0.009049774,0,0,0,0,0.004524887,0,0,0,0,0.004524887,0,0,0,0,0,0,0,0,0
560,NA,0,0.182648402,0.03652968,0,0.02739726,0.02739726,0.095890411,0.00456621,0.02283105,0.02283105,0.00456621,0,0.0456621,0.210045662,0,0.077625571,0,0.00456621,0,0.00456621,0.205479452,0,0.01369863,0.00913242,0,0,0,0,0,0,0,0,0,0.00456621,0,0,0,0,0,0,0,0,0
565,NA,0,0.380681818,0.017045455,0,0.056818182,0,0.090909091,0,0.022727273,0,0,0,0.147727273,0.034090909,0,0.056818182,0,0,0,0,0.147727273,0,0,0.022727273,0,0.005681818,0.005681818,0,0,0,0,0,0,0.005681818,0,0,0,0,0,0,0.005681818,0,0
567,NA,0.008510638,0.489361702,0.017021277,0,0.038297872,0,0.042553191,0,0,0,0.008510638,0,0.046808511,0.021276596,0,0.042553191,0.004255319,0,0,0.021276596,0.195744681,0,0.008510638,0,0,0,0,0,0,0,0,0,0,0.012765957,0,0,0,0,0,0,0.038297872,0.004255319,0
568,NA,0,0.184397163,0.035460993,0,0.070921986,0,0.092198582,0.007092199,0,0,0,0,0.042553191,0.056737589,0,0.127659574,0,0,0,0,0.09929078,0,0.007092199,0.028368794,0,0,0.014184397,0,0,0,0,0,0,0.042553191,0.007092199,0,0,0.007092199,0,0,0.177304965,0,0
570,NA,0,0.164021164,0.026455026,0,0.015873016,0,0.084656085,0.005291005,0.058201058,0,0,0,0.052910053,0.084656085,0,0.111111111,0,0,0,0,0.031746032,0,0.026455026,0,0.031746032,0,0,0,0,0,0,0,0,0,0.010582011,0,0,0.021164021,0,0.005291005,0.26984127,0,0
572,NA,0,0.379746835,0.03164557,0,0.025316456,0.012658228,0.113924051,0.006329114,0,0,0,0,0.050632911,0.151898734,0,0.107594937,0,0,0,0,0.006329114,0,0.018987342,0,0,0,0,0,0,0,0,0,0,0.044303797,0,0,0,0,0,0,0.050632911,0,0
573,NA,0,0.347305389,0.02994012,0,0.005988024,0.005988024,0.065868263,0.011976048,0,0,0,0,0.041916168,0.233532934,0,0.167664671,0,0,0,0.005988024,0.005988024,0,0,0.005988024,0,0,0,0,0,0,0,0,0,0.05988024,0,0,0,0.005988024,0,0,0.005988024,0,0
574.5,NA,0,0.129032258,0.032258065,0,0.019354839,0.019354839,0.103225806,0.019354839,0.090322581,0,0.012903226,0,0.051612903,0.225806452,0,0.15483871,0.006451613,0.006451613,0,0.04516129,0.025806452,0,0.006451613,0,0,0,0,0,0,0,0,0,0,0.038709677,0,0,0,0.006451613,0,0,0,0,0.006451613
575.5,NA,0,0.106060606,0.045454545,0,0,0.007575758,0.060606061,0.007575758,0.022727273,0,0,0,0.083333333,0.143939394,0,0.431818182,0,0.015151515,0,0,0.015151515,0,0,0,0,0,0,0,0.022727273,0,0,0,0,0.037878788,0,0,0,0,0,0,0,0,0
577,NA,0,0.130952381,0.035714286,0,0,0,0.142857143,0.023809524,0,0,0,0,0.107142857,0.035714286,0,0.380952381,0,0,0,0,0.023809524,0,0,0,0,0,0.011904762,0,0,0,0,0,0,0.095238095,0,0,0,0,0,0.011904762,0,0,0
