"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Larix","Asteraceae.subf..Cichorioideae","Picea","Quercus","Ranunculaceae.undiff.","Salix","Sarcobatus.vermiculatus","Asteraceae.subf..Asteroideae.undiff.","Alnus","Ambrosia","Rosaceae.undiff.","Fraxinus","Myrica","Pinus","Populus","Amorpha","Poaceae","Saxifragaceae.undiff.","Abies","Corylus","Fabaceae.undiff.","Apiaceae","Sedum","Ulmus","Juglans","Thalictrum","Carpinus","Ericaceae","Epilobium","Acer","Rubiaceae","Carya","Brassicaceae","Elaeagnus","Shepherdia.canadensis","Urticaceae","Lamiaceae","Rumex","Campanulaceae","Caryophyllaceae","Parnassia","Shepherdia.argentea","Menispermum","Plantago","Solanaceae","Rubus","Caprifoliaceae"
325,6654,2402,52,338,24,24,62,10,0,260,4,0,58,2,18,184,4,10,0,34,1226,4,0,66,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0
335,6863,4540,342,844,46,86,96,12,0,798,6,0,182,6,22,630,110,18,14,64,978,106,0,136,4,4,16,6,0,0,0,0,4,0,0,0,0,2,0,0,0,2,0,0,2,0,2,2,0,0,0,0,0,0
350,7236,1406,136,326,46,52,54,12,0,194,2,8,62,4,18,270,22,4,0,46,48,6,2,84,4,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
360,7484,1042,30,428,26,88,20,8,0,210,0,0,34,2,10,74,10,2,0,8,36,16,0,34,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
370,7732,1798,54,750,48,42,80,18,0,324,2,6,112,0,12,98,10,6,0,10,60,70,0,70,0,0,10,0,0,0,0,0,6,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,2,0,0,0,0,0
380,7980,1178,118,350,32,30,104,0,0,218,2,0,70,6,0,58,12,6,0,2,32,32,0,90,4,0,4,0,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
390,8228,1346,40,530,36,48,74,10,0,194,2,2,76,6,12,116,12,8,6,18,30,34,0,76,0,0,4,2,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,NA,1126,70,68,18,88,64,14,0,538,0,0,60,2,16,20,18,8,0,2,46,14,0,58,0,4,0,4,0,0,2,0,2,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
410,NA,1136,104,142,44,52,88,12,0,390,0,8,92,2,10,22,26,6,2,2,34,0,0,74,0,0,0,2,2,0,4,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,2,0,0,0,0
425,NA,1118,86,66,56,60,86,0,0,408,8,0,110,2,14,12,14,16,0,2,88,6,0,58,2,0,6,6,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0
435,NA,804,70,54,38,56,92,0,0,296,2,0,38,0,2,4,24,0,0,2,22,42,0,50,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
450,NA,1112,140,78,106,92,70,0,0,324,6,2,112,8,12,18,14,12,0,0,36,0,2,60,0,0,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0
455,NA,628,50,80,32,18,22,2,0,202,12,6,36,2,12,8,8,6,2,2,50,2,0,36,2,2,4,6,6,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,2,2,0,0
465,NA,792,70,60,58,16,62,0,0,280,6,2,50,0,16,12,4,12,0,0,46,0,0,68,0,2,4,6,2,0,2,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0
470,NA,572,116,40,36,20,24,4,0,176,0,0,40,2,10,12,10,4,2,0,32,0,0,26,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0
480,NA,448,46,32,26,16,22,0,0,168,0,0,24,2,8,10,0,14,0,0,30,4,0,22,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,2,0
490,NA,796,82,68,56,10,44,0,0,368,0,0,32,6,12,10,12,12,0,0,28,18,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
500,NA,998,78,30,32,40,54,0,0,544,0,0,50,2,14,8,6,0,2,2,16,48,0,42,0,0,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,16,0,0,4,0,0,0,0,0,0,0,0,0
505,NA,616,100,36,62,18,76,0,0,94,0,0,44,0,4,10,14,4,0,0,16,46,0,66,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,20,0,0,2,0,0,0,0,0,0,0,0,0
510,NA,514,106,34,38,16,82,0,0,62,2,0,34,0,10,10,10,0,0,2,8,28,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,4,0,0,0,0,0
520,NA,434,56,30,22,6,104,0,0,50,0,0,24,0,18,8,12,4,0,2,2,12,0,62,0,0,2,2,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,2,0
530,NA,394,28,48,20,24,36,0,0,56,10,0,34,0,8,10,18,4,0,2,2,26,0,38,0,0,6,0,0,0,18,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2
