"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Larix","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Alnus.incana","Ambrosia","Fabaceae","Alnus.viridis","Myrica","Populus","Amaranthaceae","Poaceae","Epilobium","Fagus","Salix","Tsuga","Fraxinus","Ostrya","Rosaceae.undiff.","Ranunculaceae.undiff.","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Acer","Rubus.chamaemorus","Thalictrum","Abies","Rumex","Polygonum.viviparum","Plantago","Platanus","Brassicaceae","Rubiaceae","Carya","Caryophyllaceae","Castanea","Juglans"
136,4409,679,3,142,1,1,3,5,2,312,4,0,3,1,7,0,0,191,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
140,4463,700,1,103,2,1,4,3,2,294,10,0,4,0,4,1,0,255,6,1,1,4,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,4517,824,0,152,0,0,4,6,2,308,3,0,5,2,10,1,0,313,1,0,1,5,0,0,3,0,2,1,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
150,4601,648,1,110,0,2,1,8,4,281,6,0,2,0,5,1,0,220,3,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,4690,605,4,105,0,0,3,4,2,268,1,0,5,0,6,0,0,197,2,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
160,4752,687,0,104,0,1,1,3,4,252,5,1,4,0,8,2,0,292,4,0,0,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,4852,618,4,93,0,3,2,4,2,259,4,1,1,0,20,0,0,214,6,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,4960,632,5,127,0,0,3,4,2,250,1,0,0,0,12,3,0,212,4,0,2,3,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,5037,659,2,133,0,1,2,1,1,249,4,0,1,1,3,0,0,250,2,2,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,5119,583,3,118,0,0,4,1,3,185,8,0,2,1,7,0,0,240,2,1,1,3,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,5207,574,3,120,0,1,4,2,2,235,1,0,3,0,6,0,0,192,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,5349,1189,4,187,0,2,1,4,3,427,6,0,4,2,13,3,0,511,4,1,1,10,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
195,5478,694,5,119,0,1,4,1,1,261,4,0,4,0,8,0,0,283,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
200,5618,580,1,78,0,1,4,1,4,232,6,0,3,0,2,3,0,234,3,3,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,5738,719,4,110,0,2,4,0,4,303,1,3,3,2,10,0,0,267,0,0,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,5933,608,3,57,0,3,2,1,4,226,2,1,2,0,10,1,0,282,3,2,0,4,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
216,6147,631,4,81,0,4,6,6,6,260,3,0,1,0,3,1,0,232,2,8,2,7,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,6302,719,7,88,0,6,7,9,28,310,8,1,3,0,21,0,0,187,0,14,4,10,3,0,8,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,6465,712,4,134,0,15,15,11,56,258,7,1,2,1,6,2,0,111,1,46,3,20,3,0,5,0,1,1,0,0,3,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
230,6730,1022,11,234,0,16,23,38,67,339,8,3,9,1,10,7,1,109,2,96,2,22,0,0,16,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
236,7019,891,22,174,0,9,29,60,7,214,13,1,9,1,22,4,0,143,0,130,6,17,1,0,17,0,4,1,0,0,2,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
240,7225,565,13,88,0,6,40,23,2,156,2,0,8,1,4,10,0,115,1,21,7,21,2,0,31,0,3,1,0,0,2,4,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0
