"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.undiff.","Betula","Carya","Castanea","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus","Herbs.undiff.","Indeterminable","Juglans","Larix","Liquidambar","Myrica","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae","Populus","Quercus","Rumex","Salix","Tilia","Tsuga","Ulmus","Unknown"
560,9859,0,3,4,1,4,10,2,8,5,0,7,1,8,0,0,8,3,1,1,0,0,0,20,1,4,27,161,0,4,0,69,0,0,1,0,48,0
580,10083,0,7,11,2,6,7,1,10,4,0,6,2,10,0,0,19,2,2,1,1,0,0,23,0,15,15,177,0,8,4,37,0,1,5,0,58,3
600,10308,1,1,14,1,2,1,3,21,5,0,5,1,8,0,0,9,1,6,1,0,0,0,2,0,21,9,129,1,6,0,49,0,1,1,0,52,4
620,10532,4,5,7,1,8,8,2,27,9,0,6,4,11,0,0,35,3,4,6,4,0,0,22,6,79,21,189,1,14,10,72,0,0,2,0,56,3
640,11064,6,3,3,0,4,10,0,38,3,0,4,4,15,0,0,29,0,6,5,2,0,0,11,32,46,4,377,0,9,7,47,0,1,1,0,51,4
660,11595,4,1,3,0,1,4,0,13,1,0,2,1,12,0,0,34,0,3,1,4,0,0,5,54,48,2,311,0,7,16,19,0,1,0,0,13,2
670,11861,2,0,5,2,3,15,2,5,0,0,0,5,24,0,1,11,0,2,0,2,0,0,11,89,6,0,114,0,3,0,11,0,2,1,0,21,3
680,12126,0,1,10,1,2,31,5,14,0,0,8,12,38,0,2,32,4,10,0,6,0,0,15,147,1,1,11,1,18,3,31,0,4,0,0,17,5
700,12658,1,0,4,1,5,21,2,9,1,0,3,8,20,0,0,7,4,6,1,5,0,0,18,186,0,0,4,0,6,2,13,1,3,0,0,9,3
720,13189,0,4,7,2,5,31,0,2,0,0,4,2,18,0,0,12,1,4,0,1,0,0,5,181,0,0,5,0,7,0,13,0,5,1,0,9,3
740,13721,0,2,4,2,9,29,4,1,0,0,5,12,24,0,0,25,1,10,0,3,0,0,16,170,0,0,3,0,12,6,14,0,2,0,0,4,2
760,14252,3,0,0,2,4,18,4,1,0,0,1,8,20,0,0,16,6,7,0,2,0,0,23,163,0,0,2,0,6,1,18,0,0,0,0,5,4
780,NA,4,1,0,3,13,39,2,2,3,0,0,19,23,0,0,40,3,8,0,1,0,0,31,214,0,0,6,0,7,1,26,0,4,0,0,5,1
810,NA,0,0,2,0,6,21,0,1,1,0,0,8,10,0,0,18,1,14,0,4,0,0,5,242,0,0,1,0,12,0,7,0,0,0,0,2,3
820,NA,0,0,1,0,7,11,0,1,0,0,0,32,33,0,0,36,2,7,0,4,0,0,6,154,0,1,2,0,4,0,7,0,2,0,0,4,0
830,NA,0,1,2,0,6,18,0,2,1,0,1,33,14,0,0,17,4,13,1,5,0,0,10,198,0,0,2,1,3,0,11,0,3,0,0,1,6
840,NA,0,0,3,0,6,1,2,1,0,0,1,11,9,0,0,21,1,3,2,3,0,0,5,266,0,0,1,0,2,0,10,0,0,0,0,0,2
850,NA,0,0,1,0,8,20,1,1,0,0,1,10,13,0,0,16,1,5,0,6,0,0,4,215,0,0,1,0,1,0,7,0,2,0,0,1,3
860,NA,0,0,1,0,6,7,2,2,1,0,0,8,12,0,0,6,1,5,0,5,0,0,5,249,0,1,3,0,2,0,3,0,0,0,0,0,1
870,NA,0,2,0,1,2,14,2,0,0,0,0,14,10,0,0,30,3,11,0,14,0,0,5,216,0,0,2,0,3,0,8,0,1,0,0,2,1
