"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Betula","Amaranthaceae.undiff.","Picea","Quercus","Salix","Ulmus","Alnus","Acer","Fraxinus","Juglans","Pinus","Populus","Poaceae","Cyperaceae","Herbs.undiff.","Cupressaceae","Fagus","Tsuga","Abies","Aquifoliaceae","Corylus","Larix","Ostrya.Carpinus","Asteraceae.subf..Asteroideae.undiff.","Myrica","Ericaceae","Sarcobatus.vermiculatus","Thalictrum","Tilia","Carya","Rosaceae","Ephedra","Shepherdia"
280,5647,266,0,0,35,1,24,7,4,4,13,1,4,0,158,0,2,1,0,0,1,2,1,1,0,3,4,0,0,0,0,0,0,0,0,0,0
290,5835,248,3,1,41,0,12,6,0,4,14,0,8,0,152,1,0,1,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
300,6022,306,0,0,20,0,4,1,0,2,7,0,3,1,262,0,0,1,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
310,6209,264,0,1,18,1,20,4,0,6,10,0,13,0,181,2,0,2,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0
320,6397,241,1,0,21,0,3,2,0,2,12,1,2,0,192,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
330,6584,268,1,1,14,1,5,2,1,3,8,0,5,0,220,0,0,1,0,0,0,0,0,0,2,1,1,1,0,0,0,1,0,0,0,0,0
340,6771,240,1,0,20,0,5,8,0,1,4,1,1,0,195,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
350,6959,355,1,1,16,2,8,9,0,2,6,0,4,0,300,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
360,7146,245,0,2,36,2,10,5,1,2,10,0,3,0,164,1,0,1,0,0,1,0,2,0,2,0,2,1,0,0,0,0,0,0,0,0,0
370,7333,301,0,2,47,0,11,5,1,4,6,1,1,0,203,0,1,0,1,1,2,1,3,0,2,3,4,1,1,0,0,0,0,0,0,0,0
380,7521,235,0,2,36,0,15,3,0,5,5,0,2,0,154,0,4,1,1,0,0,2,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0
390,7708,286,5,0,51,2,7,3,0,0,16,1,3,1,180,0,1,2,0,0,2,1,3,0,0,5,2,0,0,0,0,1,0,0,0,0,0
400,7895,314,1,1,56,2,19,3,1,7,21,0,3,0,180,0,7,3,0,1,1,0,3,0,1,3,1,0,0,0,0,0,0,0,0,0,0
410,8083,256,0,0,50,0,31,7,0,0,17,0,2,0,139,0,1,4,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
420,8258,253,1,1,32,0,30,2,0,3,8,0,2,0,164,0,0,2,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0
430,8431,236,0,0,27,3,16,4,0,2,9,0,3,0,170,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
440,8604,343,1,1,34,0,23,2,1,2,19,1,3,0,243,0,0,2,0,3,0,1,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0
450,8777,282,1,0,31,1,16,3,2,1,20,0,1,0,190,0,0,4,0,3,0,0,2,0,0,4,2,0,1,0,0,0,0,0,0,0,0
460,8950,253,5,1,23,0,18,7,3,2,17,0,1,0,158,0,0,2,2,4,0,0,3,0,0,3,3,1,0,0,0,0,0,0,0,0,0
470,9123,253,1,2,28,1,37,10,1,0,9,0,4,0,144,0,3,0,1,2,1,0,3,0,0,3,2,1,0,0,0,0,0,0,0,0,0
480,9296,233,4,3,25,2,42,6,1,4,6,0,3,1,104,0,1,5,4,5,0,0,1,0,0,6,5,2,3,0,0,0,0,0,0,0,0
490,9469,222,3,0,47,0,54,11,0,0,7,0,3,0,80,0,0,4,0,7,0,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0
500,9642,241,2,3,43,2,47,14,3,3,5,2,9,0,44,6,2,9,1,8,0,0,0,0,0,13,3,0,3,0,0,18,0,1,0,0,0
510,9815,266,0,5,24,0,58,20,4,5,11,0,3,0,64,4,2,14,4,27,0,0,1,0,0,8,4,0,5,1,0,0,0,2,0,0,0
520,9988,295,1,9,33,0,55,20,5,2,10,0,3,0,70,4,3,23,1,31,0,0,0,0,1,13,1,0,9,0,0,0,0,1,0,0,0
530,10161,218,0,2,40,0,32,13,0,2,6,0,5,0,64,1,2,13,0,22,0,3,0,0,0,2,5,1,4,0,0,0,0,0,0,1,0
540,NA,464,7,3,57,2,97,22,6,9,5,1,12,4,133,2,4,38,6,37,0,0,2,0,2,0,1,2,11,0,0,0,0,1,0,0,0
550,NA,505,10,11,38,2,97,37,13,8,8,0,10,1,150,4,6,23,4,63,0,3,0,0,1,1,5,3,0,0,0,1,0,3,1,0,2
