"sample.depths","sample.ages","Acer.negundo","Acer.rubrum","Alnus.incana.type","Ambrosia.type","Betula","Bidens.type","Carya","Caryophyllaceae","Iva.annua.type","Corylus","Cyperaceae","Fraxinus..tricolpate.","Fraxinus.undiff.","Gleditsia","Poaceae.undiff.","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Liquidambar","Morus","Nyssa","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.undiff.","Planera.aquatica","Platanus","Quercus","Rhus","Rubus","Rumex","Salix","Sambucus","Spiraea.type","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Xanthium","Zea.mays","Amaranthaceae","Cupressaceae.undiff.","Acer.saccharinum","Cephalanthus.occidentalis","Populus.deltoides.type","Viburnum.acerifolium.type","Viburnum.lentago.type","Celtis.Maclura.type","Fraxinus.pennsylvanica.F..americana.type","Artemisia","Asteraceae.subf..Cichorioideae","Plantago.undiff.","Taxodium","Thalictrum","Urtica","Toxicodendron.radicans","Fraxinus.quadrangulata.F..nigra.type","Tilia","Acer.saccharum","Prunus.virginiana.type","Lamiaceae.undiff.","Plantago.major","Polygonum.hydropiper.type","Clethra","Fabaceae","Juglans.undiff.","Onagraceae.undiff.","Apiaceae","Berchemia.scandens","Mentha.type","Humulus","Calycanthus","Plantago.lanceolata","Picea","Polygonum.aviculare","Fagus","Ilex.type","Abies","Galium","Brassicaceae","Impatiens","Cirsium.Carduus.type","Myrica.type","Ranunculus.flabellaris.type","Gaura","Saxifragaceae","Achillea.type","Epilobium","Shepherdia.argentea","Prunus.undiff.","Potentilla","Viburnum.opulus.type","Cornus.canadensis.type","Prunus.americana.type","Larix","Shepherdia.canadensis"
74,4972,0.00228571428571429,0.00228571428571429,0,0.0502857142857143,0,0.0137142857142857,0.0251428571428571,0.0114285714285714,0,0,0.0548571428571429,0.0571428571428571,0.00914285714285714,0.00228571428571429,0.0342857142857143,0,0,0,0.00914285714285714,0,0,0,0.00457142857142857,0.00571428571428571,0,0,0.294857142857143,0,0,0,0.194285714285714,0,0,0.0205714285714286,0.00457142857142857,0.00685714285714286,0,0,0.00685714285714286,0.0708571428571429,0.00228571428571429,0.0891428571428571,0.00685714285714286,0,0,0,0.00457142857142857,0.00228571428571429,0,0,0.00457142857142857,0,0.00457142857142857,0,0,0,0,0,0,0,0.00228571428571429,0,0,0.00228571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,5599,0.00589101620029455,0,0,0.0751104565537555,0.00147275405007364,0.0147275405007364,0.0309278350515464,0.0721649484536082,0.00294550810014728,0,0.0294550810014728,0.0471281296023564,0.0103092783505155,0.00441826215022091,0.0559646539027982,0,0,0,0.00441826215022091,0,0,0.00589101620029455,0.00147275405007364,0.00736377025036819,0,0.00147275405007364,0.220913107511046,0,0,0,0.0471281296023564,0,0,0.0706921944035346,0.0103092783505155,0.0736377025036819,0.00294550810014728,0.00147275405007364,0.0471281296023564,0.0427098674521355,0,0.0942562592047128,0,0,0.00147275405007364,0,0.00589101620029455,0,0,0,0.00147275405007364,0.00147275405007364,0.00147275405007364,0,0,0,0,0,0,0,0.00441826215022091,0,0,0,0,0,0,0.00147275405007364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,6225,0,0,0.00130039011703511,0.0403120936280884,0,0.0195058517555267,0.0533159947984395,0.0273081924577373,0,0,0.0455136540962289,0.0390117035110533,0.0130039011703511,0,0.0806241872561769,0,0,0,0,0,0,0,0.00130039011703511,0.00260078023407022,0,0.0104031209362809,0.226267880364109,0,0,0,0.0377113133940182,0.00130039011703511,0,0.0741222366710013,0.00390117035110533,0.0897269180754226,0,0,0.107932379713914,0.0143042912873862,0,0.0962288686605982,0,0,0,0,0.00130039011703511,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00650195058517555,0,0,0,0,0.00650195058517555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,6852,0,0,0.00133067198935462,0.0691949434464404,0,0.0172987358616101,0.0399201596806387,0.0332667997338656,0,0,0.0306054557551564,0.0345974717232202,0.00266134397870925,0,0.186294078509647,0,0,0,0.00133067198935462,0,0,0,0,0.00199600798403194,0,0,0.296739853626081,0,0,0,0.00665335994677312,0,0,0.0252827677977379,0.00665335994677312,0.0505655355954757,0,0,0.110445775116434,0.00665335994677312,0,0.0359281437125748,0.00133067198935462,0,0,0.00133067198935462,0,0.00133067198935462,0,0,0,0,0,0,0,0,0,0,0,0,0.031936127744511,0,0,0.00266134397870925,0,0.00399201596806387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,7651,0.00144300144300144,0,0.00288600288600289,0.0562770562770563,0.00288600288600289,0.0360750360750361,0.0404040404040404,0.0317460317460317,0.00577200577200577,0.00288600288600289,0.00577200577200577,0.0360750360750361,0.0115440115440115,0,0.0274170274170274,0.00144300144300144,0,0,0,0,0,0,0.00144300144300144,0.00865800865800866,0,0.00144300144300144,0.272727272727273,0,0,0,0.0505050505050505,0.00865800865800866,0,0.0418470418470418,0.00577200577200577,0.13997113997114,0.00288600288600289,0,0.088023088023088,0.0101010101010101,0.00144300144300144,0.0735930735930736,0,0,0.00144300144300144,0.00288600288600289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158730158730159,0,0,0,0,0.0101010101010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,7767,0,0,0.0054757015742642,0.0657084188911704,0.00136892539356605,0.0177960301163587,0.0396988364134155,0.0123203285420945,0,0.00136892539356605,0.0451745379876797,0.0492813141683778,0.00684462696783025,0,0.0876112251882272,0,0,0,0.00136892539356605,0,0,0.00136892539356605,0,0.00342231348391513,0,0,0.290212183436003,0,0,0,0.0232717316906229,0,0,0.026009582477755,0.00684462696783025,0.120465434633812,0,0,0.0999315537303217,0.00136892539356605,0,0.0410677618069815,0.00136892539356605,0,0,0.00136892539356605,0.0027378507871321,0.0027378507871321,0,0,0,0,0,0,0,0,0,0,0,0,0.0246406570841889,0,0,0.0027378507871321,0,0.0164271047227926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,8171,0,0,0.000952380952380952,0.0742857142857143,0.000952380952380952,0.04,0.040952380952381,0.00952380952380952,0.00285714285714286,0.00285714285714286,0.0114285714285714,0.0342857142857143,0.019047619047619,0,0.166666666666667,0.00285714285714286,0,0.000952380952380952,0.00285714285714286,0,0,0,0,0.0019047619047619,0.0019047619047619,0,0.186666666666667,0,0,0,0.00476190476190476,0.0114285714285714,0,0.0380952380952381,0.00476190476190476,0.0476190476190476,0,0,0.161904761904762,0.000952380952380952,0,0.0733333333333333,0.0019047619047619,0,0,0,0,0,0,0,0,0.000952380952380952,0,0,0.00285714285714286,0,0,0,0.000952380952380952,0,0.0361904761904762,0,0,0,0,0.0123809523809524,0,0,0.000952380952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,8806,0,0,0,0.0429936305732484,0.00318471337579618,0.0334394904458599,0.0812101910828025,0.0318471337579618,0,0,0.0398089171974522,0.00955414012738853,0.00159235668789809,0,0.176751592356688,0.00159235668789809,0,0,0,0,0,0.00159235668789809,0.00159235668789809,0.00159235668789809,0,0,0.348726114649682,0,0,0,0.00796178343949045,0.00318471337579618,0,0.017515923566879,0.0222929936305732,0.0143312101910828,0,0,0.0987261146496815,0,0.00159235668789809,0.00636942675159236,0.00318471337579618,0,0,0,0,0,0,0,0,0.00159235668789809,0,0,0,0,0,0,0,0,0.036624203821656,0,0,0.00318471337579618,0,0.00796178343949045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9095,0,0,0.00297176820208024,0.0683506686478455,0.00445765230312036,0.037147102526003,0.0549777117384844,0.0401188707280832,0.00148588410104012,0.00297176820208024,0.0193164933135215,0.011887072808321,0.00148588410104012,0,0.193164933135215,0,0,0.00297176820208024,0,0,0,0.00445765230312036,0,0.00148588410104012,0,0,0.347696879643388,0,0,0,0.011887072808321,0.00297176820208024,0,0.0133729569093611,0.0104011887072808,0.0104011887072808,0.00148588410104012,0,0.0713224368499257,0.00891530460624071,0.00297176820208024,0.0312035661218425,0.00445765230312036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00148588410104012,0,0.0222882615156018,0,0,0.00594353640416048,0,0.00297176820208024,0,0,0,0.00297176820208024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,9739,0,0,0.00388726919339164,0.0621963070942663,0.0252672497570457,0.0174927113702624,0.0991253644314869,0.0485908649173955,0.00194363459669582,0.00777453838678328,0.021379980563654,0.00583090379008746,0,0,0.087463556851312,0,0,0,0,0,0,0.00583090379008746,0.00194363459669582,0.0184645286686103,0,0.00388726919339164,0.36734693877551,0,0,0,0.0194363459669582,0,0,0.0097181729834791,0.0194363459669582,0.0136054421768707,0,0,0.0524781341107872,0.0233236151603499,0.00194363459669582,0.00777453838678328,0.00194363459669582,0,0.00194363459669582,0.00388726919339164,0.00194363459669582,0.00388726919339164,0,0,0.00194363459669582,0,0,0,0,0,0,0,0,0,0.0447035957240039,0,0,0.00194363459669582,0,0.00388726919339164,0,0.00194363459669582,0,0.00388726919339164,0.00194363459669582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,10640,0,0,0.00732064421669107,0.0644216691068814,0.00732064421669107,0.068814055636896,0.0907759882869693,0.0102489019033675,0,0.0366032210834553,0.0219619326500732,0.0161054172767204,0.00439238653001464,0.00439238653001464,0.202049780380674,0,0.00732064421669107,0.00292825768667643,0.00146412884333821,0,0,0.0219619326500732,0.00146412884333821,0.00732064421669107,0.00292825768667643,0,0.259150805270864,0.00146412884333821,0,0,0,0.00439238653001464,0,0.0322108345534407,0.0248901903367496,0.00439238653001464,0,0,0.0497803806734993,0.00292825768667643,0,0.00439238653001464,0.0117130307467057,0,0,0,0.00292825768667643,0,0.00146412884333821,0,0,0.00146412884333821,0,0,0.00585651537335286,0,0,0,0,0,0.00146412884333821,0.00146412884333821,0,0,0,0.00146412884333821,0,0,0,0.00439238653001464,0,0.00146412884333821,0.00292825768667643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,11670,0.00373482726423903,0,0.00933706816059757,0.0205415499533147,0.00933706816059757,0.0242763772175537,0.0915032679738562,0.0261437908496732,0,0.00186741363211951,0.11391223155929,0.0186741363211951,0.00746965452847806,0,0.119514472455649,0,0,0,0,0,0,0.0410830999066293,0.00186741363211951,0.00933706816059757,0,0,0.377217553688142,0,0,0,0.00186741363211951,0,0,0.0224089635854342,0.0186741363211951,0.00186741363211951,0,0,0.0336134453781513,0.00746965452847806,0,0.00186741363211951,0.00186741363211951,0,0,0,0.00186741363211951,0,0,0,0,0.00186741363211951,0.00373482726423903,0.00186741363211951,0,0.00186741363211951,0,0.00186741363211951,0,0,0.00186741363211951,0,0,0.00373482726423903,0,0.00373482726423903,0,0.00186741363211951,0,0,0.00186741363211951,0.00466853408029879,0,0.00186741363211951,0.00186741363211951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,12314,0,0,0.0094022834116857,0.0402955003357958,0.0147750167897918,0.0389523169912693,0.0564137004701142,0.0402955003357958,0,0.00134318334452653,0.09670920080591,0.0188045668233714,0.0094022834116857,0,0.213566151779718,0.00134318334452653,0.00134318334452653,0.00268636668905306,0,0,0,0.0188045668233714,0,0.0073875083948959,0.00134318334452653,0.00268636668905306,0.200134318334453,0,0,0,0.00268636668905306,0,0,0.0174613834788449,0.025520483546004,0.00671591672263264,0.00268636668905306,0,0.0805910006715917,0.0120886501007388,0.00268636668905306,0.00805910006715917,0.0107454667562122,0,0.00537273337810611,0.00268636668905306,0.00134318334452653,0,0.00134318334452653,0,0,0.00268636668905306,0.00134318334452653,0,0,0,0.00268636668905306,0,0,0,0.00805910006715917,0.00134318334452653,0,0.00134318334452653,0,0.00671591672263264,0,0,0,0.00134318334452653,0,0.0174613834788449,0,0.00134318334452653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,12912,0,0,0.0091324200913242,0.0273972602739726,0.00782778864970646,0.0221787345075016,0.0547945205479452,0.0704500978473581,0,0.00391389432485323,0.125244618395303,0.0182648401826484,0.00260926288323549,0,0.22570123939987,0,0,0.00130463144161774,0,0,0,0.0182648401826484,0.00391389432485323,0.00130463144161774,0,0,0.221787345075016,0,0,0,0.00391389432485323,0.00130463144161774,0,0.0260926288323549,0.0195694716242661,0.00652315720808871,0.00391389432485323,0,0.056099151989563,0.0195694716242661,0.00652315720808871,0,0,0,0,0,0.00391389432485323,0,0,0,0,0.00260926288323549,0,0,0,0.00130463144161774,0,0,0,0,0.00260926288323549,0,0,0.00782778864970646,0,0.0104370515329419,0,0,0,0,0,0.0091324200913242,0,0,0,0.000652315720808871,0.00391389432485323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142.5,13007,0.0037243947858473,0,0.0111731843575419,0.0484171322160149,0.00931098696461825,0.0502793296089385,0.100558659217877,0.0614525139664804,0,0,0.0335195530726257,0.0130353817504655,0.00558659217877095,0,0.074487895716946,0,0,0.00558659217877095,0,0,0,0.0763500931098696,0.0037243947858473,0.00465549348230913,0,0.00186219739292365,0.279329608938547,0,0.0037243947858473,0,0.00558659217877095,0.0037243947858473,0,0.0242085661080074,0.0242085661080074,0.0037243947858473,0.0037243947858473,0,0.0633147113594041,0.0111731843575419,0.00558659217877095,0.00558659217877095,0.0037243947858473,0,0.00186219739292365,0.0037243947858473,0.0037243947858473,0,0,0,0,0,0.0037243947858473,0,0,0.00186219739292365,0.00186219739292365,0,0,0,0.00186219739292365,0,0,0.00558659217877095,0,0.0037243947858473,0,0.00186219739292365,0,0.00931098696461825,0,0.0167597765363128,0,0,0,0.000931098696461825,0,0.00186219739292365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,13102,0.00129366106080207,0,0.0116429495472186,0.0336351875808538,0.00258732212160414,0.0284605433376455,0.0478654592496766,0.0672703751617076,0.00129366106080207,0,0.104786545924968,0.0232858990944373,0.00388098318240621,0,0.245795601552393,0,0,0,0,0.00129366106080207,0,0.0284605433376455,0.00388098318240621,0.00646830530401035,0,0,0.160413971539457,0,0.00129366106080207,0,0.0129366106080207,0.00129366106080207,0,0.0323415265200517,0.018111254851229,0.00129366106080207,0.00129366106080207,0,0.0478654592496766,0.0633893919793014,0,0.00129366106080207,0.00388098318240621,0,0.00258732212160414,0.00129366106080207,0.00258732212160414,0.00258732212160414,0,0,0,0.00388098318240621,0.00129366106080207,0,0,0.00129366106080207,0,0,0,0,0,0,0,0.00388098318240621,0,0.0116429495472186,0,0,0,0,0,0.00776196636481242,0,0,0,0.00129366106080207,0,0.00258732212160414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,13292,0.00312744331508991,0,0.00469116497263487,0.0218921032056294,0.0109460516028147,0.0203283815480844,0.0281469898358092,0.0484753713838937,0,0.0156372165754496,0.0578577013291634,0.0203283815480844,0.0125097732603597,0,0.209538702111024,0,0,0,0,0,0,0.0688037529319781,0,0.00312744331508991,0,0.00625488663017983,0.242376856919468,0,0.00156372165754496,0,0.0140734949179046,0.00312744331508991,0.00625488663017983,0.0484753713838937,0.0156372165754496,0.00156372165754496,0,0,0.0484753713838937,0.0328381548084441,0.00156372165754496,0.00312744331508991,0.0172009382329945,0,0,0,0.00938232994526974,0,0,0,0,0.00156372165754496,0,0,0.00156372165754496,0.00156372165754496,0,0,0,0,0,0,0,0,0,0.00625488663017983,0,0,0,0,0,0.00469116497263487,0,0.00156372165754496,0,0.000781860828772478,0,0,0.00156372165754496,0.00312744331508991,0,0,0,0,0,0,0,0,0,0,0,0,0,0
