"sample.depths","sample.ages","upland.sum","Abies","Acer","Alnus","Betula","Caprifoliaceae.undiff.","Castanea","Cornus","Corylus","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex.Nemopanthus","Juniperus.Thuja","Larix","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.subg..Pinus.undiff.","Pinus.subg..Strobus.undiff.","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus","Salix","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae","Cyperaceae","Lamiaceae","Poaceae","Ranunculaceae.undiff.","Rosaceae","Thalictrum"
35.5,1895,473,10,3,8,209,0,0,0,2,12,2,0,0,0,0,0,4,10,48,17,82,40,0,0,4,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
37,2238,921,8,2,3,330,3,0,0,2,18,48,0,0,5,0,10,13,7,170,9,208,40,0,4,6,0,2,0,29,3,0,0,0,0,0,1,0,0,0,0
38,2466,464,8,2,4,219,0,0,0,1,23,3,0,0,0,0,0,9,5,53,8,78,28,0,0,4,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0
39,2695,1099,8,3,0,725,0,0,0,0,15,14,0,1,0,0,0,28,3,94,4,130,36,0,2,4,0,0,0,29,2,1,0,0,0,0,0,0,0,0,0
40.5,3037,680,10,10,4,250,0,0,0,0,36,13,0,0,1,0,1,10,15,118,18,140,26,1,1,9,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0
43,3608,1204,3,10,6,440,0,0,0,8,33,67,0,0,0,0,39,28,18,90,43,212,146,0,11,17,0,6,1,21,2,0,0,0,0,0,0,3,0,0,0
44.5,3951,492,7,2,4,185,0,0,0,1,16,5,0,1,1,0,0,6,18,64,25,86,30,0,0,8,0,0,0,31,0,1,0,0,0,0,0,0,0,0,1
46,4293,872,6,1,7,238,0,0,0,5,8,13,0,2,8,0,4,22,16,26,92,152,202,0,5,8,0,2,0,43,0,0,0,0,0,4,0,7,1,0,0
47.5,4636,711,8,3,6,173,0,0,0,0,3,2,0,0,0,0,0,6,27,62,70,160,142,0,0,12,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0
49,4978,575,2,1,4,100,0,0,0,0,0,1,0,1,0,0,0,6,47,73,92,113,73,0,0,5,0,1,0,56,0,0,0,0,0,0,0,0,0,0,0
50,5207,802,7,11,5,313,0,0,0,0,1,1,2,1,3,0,6,18,50,42,100,82,90,0,2,9,0,0,0,53,2,0,0,0,0,1,0,2,1,0,0
52,5664,659,7,8,5,215,0,0,0,0,4,2,0,0,5,0,0,12,53,34,102,64,79,0,1,8,0,0,0,56,1,0,0,0,0,1,0,1,0,1,0
54,6120,724,3,8,3,264,0,0,0,0,0,2,0,0,3,0,0,8,48,38,97,76,88,0,0,7,0,0,0,78,0,0,1,0,0,0,0,0,0,0,0
56,NA,644,5,9,7,151,0,0,0,0,0,1,0,0,1,0,0,16,56,42,112,84,98,0,0,10,0,0,0,46,4,0,0,0,0,0,0,1,0,1,0
58.5,NA,2469,28,18,15,402,0,0,0,27,7,36,0,3,7,0,14,42,80,112,356,494,657,0,14,47,0,15,0,46,4,0,0,0,0,43,0,2,0,0,0
