"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asplenium.rhizophyllum","Asteraceae.undiff.","Athyrium","Betula","Botrychium","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus.occidentalis","Cheilanthes","Cornus","Corylus","Cyperaceae","Dennstaedtia","Dryas","Dryopteris.type","Equisetum","Ericaceae","Eriocaulon","Fagus","Filicopsida.undiff.","Fraxinus","Galium","Humulus","Ilex","Indeterminable","Isoëtes","Iva","Juglans","Juniperus.Thuja","Larix","Lemnaceae","Liquidambar","Lycopodium.type","Morus","Myrica","Myriophyllum","Nemopanthus.mucronatus","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Other.upland.herbs","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonum","Polypodium","Polystichum","Populus","Potamogetonaceae.Triglochin","Pteridium.type","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rubus","Rumex","Salix","Sambucus","Sanguisorba","Saxifragaceae","Selaginella","Stachys.type","Thalictrum","Tilia","Tsuga.canadensis","Typha","Ulmus","Unknown","Urtica","Vitis"
55.5,1475,12,0,6,4,5,0,2,0,0,0,0,89,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,2,24,0,1,0,0,0,38,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,30,0,3,0,97,22,1,0,0,0,0,2,6,75,0,0,0,0,1,0,0,0,0,0,0,0,85,0,1,0,0,0
60.5,1670,1,0,0,1,7,0,3,0,0,0,0,84,0,0,0,1,0,0,0,0,0,0,0,0,5,0,3,3,25,0,3,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,19,1,1,0,36,11,1,0,0,0,1,1,11,77,0,0,0,0,5,0,0,0,0,0,0,0,54,0,1,5,0,0
65.5,1880,2,0,7,5,17,0,1,2,0,0,0,202,0,1,1,1,0,0,0,0,1,1,0,0,5,0,0,2,76,0,8,0,0,0,26,0,0,2,2,0,0,0,0,1,4,0,0,0,0,0,2,25,0,0,10,134,20,4,0,0,0,8,0,7,110,0,0,0,0,1,0,0,0,0,1,0,0,97,0,9,0,0,0
70.5,2104,2,0,8,5,5,1,2,0,0,0,0,99,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,0,9,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,21,2,5,3,51,16,1,0,0,0,0,0,10,27,0,0,0,0,1,0,0,0,0,0,0,0,58,0,4,6,0,0
75.5,2342,3,0,18,3,12,0,1,0,0,0,0,209,0,3,0,1,0,0,0,0,0,3,1,0,3,0,1,0,83,0,9,0,0,1,18,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,33,0,5,8,86,13,1,0,0,0,5,1,2,101,0,0,0,0,5,0,0,0,0,0,0,2,144,0,4,1,0,2
80.5,2587,3,0,13,1,6,1,0,0,0,0,0,100,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55,0,6,3,0,0,32,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,2,16,0,5,3,52,13,1,0,0,0,3,0,4,42,0,0,0,0,0,0,0,0,0,0,0,2,99,0,1,24,0,0
85.5,2835,3,2,9,5,8,0,2,0,0,0,0,95,0,3,0,0,0,0,0,0,1,3,0,0,3,0,0,0,45,0,4,0,0,1,14,0,0,2,0,0,0,0,2,0,1,0,0,2,4,0,0,4,1,1,6,73,18,1,0,0,0,9,0,0,56,0,0,0,0,0,0,0,0,0,0,0,1,83,1,7,0,0,0
90.5,3082,1,0,9,0,24,0,4,2,0,0,0,148,1,2,1,1,0,0,0,0,0,0,0,0,8,0,2,0,42,0,12,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,2,7,4,3,26,0,0,9,86,18,0,0,0,1,1,2,8,100,0,0,0,0,4,0,0,0,0,0,0,2,57,0,1,12,0,0
95.5,3323,0,0,6,1,11,0,1,1,0,0,0,79,0,4,0,1,0,0,0,1,0,3,0,0,2,0,0,0,35,0,8,0,0,0,16,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,17,0,6,4,53,18,1,0,1,0,1,1,3,48,0,0,0,0,0,0,0,0,0,0,0,0,37,0,2,0,0,0
100.5,3552,3,1,6,7,13,0,0,0,0,0,0,102,1,1,0,4,0,1,0,0,1,0,0,0,5,0,0,0,47,1,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,7,0,0,5,49,14,1,0,0,0,7,0,4,66,0,0,0,0,2,0,0,0,0,0,0,2,48,0,5,31,0,0
105.5,3766,4,0,12,4,24,0,2,0,0,0,0,105,0,2,1,3,0,0,0,0,0,5,0,0,5,0,0,0,47,0,14,0,0,1,8,0,0,1,0,0,0,2,0,0,1,0,0,0,0,2,0,14,0,3,9,104,22,5,0,0,0,3,3,5,101,1,0,0,0,0,0,0,0,0,0,0,0,31,0,4,0,0,0
110.5,3960,5,0,6,4,22,1,1,0,0,0,0,105,0,2,0,1,0,0,0,0,4,0,0,0,8,0,0,0,41,0,14,1,0,1,9,0,0,0,3,0,0,0,0,0,0,0,0,0,3,7,1,13,0,2,12,63,16,1,0,0,0,0,0,4,109,1,0,0,0,1,0,0,0,0,0,0,0,32,3,3,22,0,0
115.5,4136,1,1,5,2,32,0,3,2,0,0,0,93,0,0,1,0,0,0,0,0,0,3,0,0,6,0,0,0,23,0,8,0,0,0,6,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,2,14,0,1,9,81,20,2,0,0,0,1,0,4,138,0,1,0,0,1,0,0,0,0,0,0,0,15,0,4,0,0,0
120.5,4300,4,0,7,3,31,0,0,0,0,0,0,69,0,2,0,0,0,0,0,0,1,0,0,0,3,0,0,0,16,0,11,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,23,1,4,13,63,19,10,0,0,0,5,0,4,115,0,0,0,0,2,0,0,0,0,0,0,0,15,0,4,14,0,0
125.5,4460,3,3,9,8,59,0,4,1,0,0,0,124,0,4,0,0,0,0,0,2,0,2,10,0,3,0,1,1,36,0,2,0,0,1,11,0,0,0,0,0,0,0,0,0,13,0,0,2,1,0,6,34,1,14,64,115,24,0,0,0,0,2,5,3,199,0,0,0,0,9,0,0,0,0,0,0,0,18,0,3,0,0,1
130.5,4622,4,0,7,5,27,0,1,0,0,0,0,58,0,3,0,2,0,0,0,0,2,0,0,0,5,0,0,0,16,0,5,0,0,0,21,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,1,15,0,4,28,40,21,2,0,0,0,0,0,6,80,0,0,0,0,1,0,0,0,0,0,0,0,14,0,1,5,0,0
135.5,4793,3,0,21,5,34,0,3,1,0,0,0,193,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,41,0,20,0,0,0,28,0,0,3,1,0,0,0,0,0,9,0,0,0,1,1,4,39,1,2,34,180,27,2,0,0,0,3,0,22,157,1,0,0,0,3,0,0,0,0,0,0,0,26,0,6,0,0,0
140.5,4979,5,0,8,7,10,1,4,0,0,0,0,86,0,1,0,0,0,0,3,0,1,0,0,0,11,0,0,0,48,0,11,0,0,0,57,0,0,1,0,0,0,0,3,0,0,0,0,0,4,0,1,25,0,5,6,56,17,5,0,0,0,4,0,6,56,0,0,0,0,1,0,0,0,0,0,0,0,19,5,6,0,0,0
145.5,5188,1,0,3,2,10,0,0,0,0,0,0,85,0,1,0,0,1,0,0,0,0,3,0,0,4,0,0,0,60,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2,14,1,0,0,73,21,0,0,0,0,6,0,4,49,0,0,0,0,0,0,0,0,0,0,0,0,28,0,3,0,0,0
150.5,5421,0,0,11,5,17,0,2,0,0,0,0,92,0,2,0,1,0,0,0,0,1,0,0,0,8,0,0,0,51,0,13,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,14,2,3,0,60,15,3,0,1,0,0,0,7,38,0,0,0,3,5,0,0,0,0,0,0,1,61,0,5,7,0,0
155.5,5659,0,1,3,0,8,0,2,1,0,0,0,85,0,3,0,0,0,0,0,0,0,0,0,0,4,0,1,0,31,0,6,0,0,0,54,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,14,0,0,0,82,19,1,0,0,0,2,0,7,54,0,2,0,0,4,0,0,0,0,0,0,1,135,0,6,0,0,0
160.5,5891,1,0,4,5,16,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,22,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,0,5,0,32,9,2,0,0,0,1,1,4,28,0,0,0,0,1,0,0,0,0,0,0,2,154,2,6,4,0,0
170.5,6336,0,0,9,5,23,0,0,2,0,0,0,66,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,2,30,0,9,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,14,2,1,0,53,14,2,0,0,0,2,1,2,58,0,0,0,0,0,0,0,0,0,0,0,2,101,0,4,1,0,0
180.5,6756,3,0,10,5,32,0,0,0,0,1,0,60,0,1,1,0,1,0,0,0,0,0,0,0,4,0,0,1,49,0,3,0,0,0,5,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,24,0,0,8,80,20,6,0,0,0,1,0,7,41,0,0,0,0,6,0,0,1,0,0,0,0,111,1,4,6,0,0
190.5,7151,0,0,5,4,33,0,2,2,0,0,0,106,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,22,0,9,0,0,0,5,0,1,0,0,0,0,1,0,0,2,0,0,1,5,0,0,33,0,0,5,63,15,6,0,0,0,2,2,10,51,0,0,0,0,3,0,2,0,0,0,0,0,97,2,8,6,0,1
200.5,7520,1,1,5,2,11,1,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,25,0,7,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,7,0,0,0,50,16,0,0,0,0,1,5,1,49,0,0,0,0,0,0,0,0,0,0,0,0,103,0,9,2,0,0
210.5,7863,0,0,2,2,16,1,2,1,0,0,0,66,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,21,0,8,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,15,0,0,0,144,33,2,0,0,0,0,0,1,45,0,0,0,0,2,0,0,0,0,0,0,0,105,1,5,8,0,0
220.5,8181,1,0,3,2,15,0,2,1,0,0,0,40,0,0,0,1,0,4,0,0,0,1,2,0,14,0,1,0,9,0,6,0,0,1,9,0,0,1,0,0,2,0,0,0,0,0,0,1,2,0,0,16,0,5,3,94,31,3,0,0,0,1,7,5,33,1,0,0,0,0,0,0,0,0,0,0,0,63,1,3,3,0,0
230.5,8473,7,0,4,1,20,0,1,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,13,0,5,5,115,35,0,0,0,0,0,0,1,44,0,0,0,0,6,0,0,0,0,0,0,0,63,0,7,6,0,0
240.5,8738,3,0,5,1,19,0,0,2,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,7,0,5,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,7,0,1,8,109,28,0,0,0,0,0,12,4,86,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,4,0,1
250.5,8976,1,0,1,1,14,2,1,0,0,0,0,40,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,7,0,2,0,0,1,19,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,23,1,2,0,88,20,2,0,0,0,0,6,7,77,0,0,0,0,1,0,0,0,0,0,0,0,172,0,6,1,0,0
260.5,9188,2,0,5,1,24,0,2,0,0,0,1,75,0,0,0,0,0,1,0,0,0,0,2,0,11,0,0,0,2,0,12,0,0,0,14,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,29,0,10,10,145,29,3,0,0,0,2,16,3,81,1,0,0,0,1,0,0,0,0,0,0,0,115,1,10,1,0,0
270.5,9373,2,0,1,2,13,2,0,0,0,0,0,64,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,1,2,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,13,168,44,1,0,0,0,0,13,5,87,0,0,0,0,0,0,0,0,0,0,0,0,31,0,2,1,0,3
280.5,9531,6,0,2,1,26,0,1,1,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,21,0,10,11,145,46,0,0,0,0,2,1,9,47,0,0,0,0,5,0,0,0,0,0,0,0,29,0,3,4,0,0
290.5,9663,23,0,0,2,32,1,1,1,0,0,0,67,0,0,0,0,0,0,0,1,0,0,0,0,6,0,1,0,0,0,7,0,0,1,24,0,0,0,0,0,0,0,4,0,2,0,0,0,2,1,1,23,0,0,30,301,50,3,0,0,0,0,16,7,141,0,0,0,0,2,0,0,0,1,0,0,0,20,0,7,1,0,0
300.5,9773,0,0,0,0,26,0,1,0,0,0,0,42,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,16,125,42,2,0,0,0,0,16,12,77,0,0,0,0,2,0,0,0,0,0,0,0,18,1,1,1,0,0
310.5,9864,3,0,2,1,15,0,2,1,0,0,0,49,0,0,2,0,0,0,1,0,0,0,0,0,9,0,0,0,1,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,13,0,6,15,275,63,2,0,0,0,0,2,4,53,0,0,0,0,2,0,0,0,0,0,0,0,13,0,2,0,0,0
320.5,9939,0,0,0,1,24,0,4,1,0,0,0,39,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,5,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,23,1,16,25,166,47,2,0,0,0,1,8,5,77,0,0,0,0,1,0,0,0,0,0,0,1,17,0,3,0,0,0
330.5,10002,5,0,1,3,44,0,4,0,0,0,0,44,0,0,0,0,3,0,0,1,0,0,0,0,6,0,1,0,5,0,3,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,22,0,3,19,211,43,3,0,0,0,4,8,4,123,0,0,0,0,1,0,0,0,0,0,0,0,23,2,7,1,0,2
340.5,10055,3,0,0,0,24,0,5,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,6,0,0,1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,19,173,42,2,0,0,0,3,21,5,123,0,0,0,0,0,0,0,0,0,0,0,0,17,0,3,1,0,0
350.5,10103,2,0,1,0,32,0,3,0,0,0,0,59,0,0,0,0,0,0,3,0,0,0,0,0,7,0,1,0,1,0,1,0,0,0,13,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,3,27,0,1,19,130,40,3,0,0,0,2,10,12,76,0,0,0,0,4,0,0,0,0,0,0,0,7,1,4,0,0,0
360.5,10148,5,0,2,1,36,0,2,0,0,0,0,72,0,0,0,0,0,0,0,0,0,1,0,0,8,0,1,0,2,0,8,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,27,0,2,19,239,47,2,0,0,0,6,24,14,109,0,0,0,0,2,0,0,0,0,0,0,0,11,1,7,8,0,0
370.5,10193,9,0,0,1,15,0,0,1,0,0,0,65,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,18,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,25,0,13,3,209,49,1,0,0,0,0,10,2,77,0,0,0,0,2,0,0,0,0,0,0,0,6,1,1,0,0,0
380.5,10242,10,0,0,3,27,0,1,0,0,0,0,97,0,2,0,0,0,0,0,0,4,0,0,0,5,0,2,0,4,0,4,0,0,0,64,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,27,1,7,18,283,48,4,0,0,0,0,0,12,90,0,3,0,0,2,0,0,0,0,0,0,0,24,0,6,0,0,0
390.5,10298,28,0,1,0,55,0,3,1,0,0,0,125,0,4,0,0,0,0,0,0,0,1,0,0,18,0,0,1,2,0,18,0,0,0,38,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,54,1,16,26,389,43,5,0,0,0,5,0,17,194,3,0,0,0,13,0,0,0,2,0,0,1,25,2,2,4,0,0
400.5,10365,14,0,2,0,28,1,1,4,0,0,0,26,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,35,163,57,0,0,0,0,1,0,11,48,0,0,0,0,1,0,0,0,0,0,0,0,12,0,3,0,0,0
410.5,10444,5,0,1,1,8,0,2,0,0,0,0,34,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,3,0,0,0,15,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,14,0,2,23,179,58,1,0,0,0,6,0,1,48,0,0,0,0,3,0,0,0,0,0,0,0,11,0,4,0,0,0
420.5,10541,3,3,0,5,24,0,0,3,0,0,0,45,0,2,0,1,0,0,0,0,10,8,0,0,6,0,0,0,0,0,7,0,0,0,15,0,0,0,0,0,0,0,0,0,1,3,0,1,4,0,1,17,1,20,35,251,51,6,0,0,0,9,7,30,85,0,0,0,0,2,0,0,0,0,0,0,0,15,4,5,1,0,0
430.5,10657,2,0,0,0,13,0,3,0,0,0,0,61,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,1,0,3,0,0,0,34,0,0,0,0,2,0,0,3,0,0,0,0,0,4,0,1,13,0,1,4,144,45,3,0,0,0,1,5,2,62,0,0,0,1,4,0,0,0,0,0,0,0,5,2,0,3,3,0
440.5,10798,4,1,5,1,7,0,2,1,0,0,0,40,0,0,0,0,0,0,0,0,4,2,0,0,2,0,3,0,0,0,8,0,0,0,7,0,0,1,0,4,0,0,0,0,4,1,0,0,0,0,1,7,0,7,8,179,56,2,0,0,0,4,0,8,32,0,0,0,0,3,0,0,0,0,0,0,0,3,1,2,0,0,0
450.5,10974,3,0,3,0,12,0,1,1,1,0,0,90,0,0,0,1,0,0,0,0,2,2,0,0,10,1,2,0,0,0,3,0,0,0,11,2,0,0,0,3,0,0,3,0,3,0,0,1,0,0,0,13,0,10,5,114,38,2,0,0,0,7,0,6,26,0,0,0,0,3,0,0,0,0,0,0,0,3,1,2,0,0,0
460.5,11202,7,0,3,2,21,0,5,0,0,0,0,149,0,0,0,0,0,0,3,0,1,2,0,0,13,0,3,0,1,0,5,0,0,0,82,0,0,1,3,13,0,0,2,0,0,0,0,0,0,0,0,18,1,27,9,75,22,1,0,0,0,3,1,9,19,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,1,0,0
470.5,11479,10,0,2,0,25,0,1,0,0,0,0,47,0,1,0,1,0,0,0,0,4,5,0,0,39,4,1,0,0,0,1,0,0,0,42,11,0,0,2,39,0,0,6,0,10,0,0,1,0,0,1,16,0,22,24,75,29,6,0,0,0,12,0,8,23,1,0,0,0,6,0,0,0,0,0,0,0,2,3,1,0,0,0
478.5,11731,15,0,0,6,25,0,5,0,0,0,0,63,0,1,0,0,0,0,0,0,1,10,0,0,66,0,3,0,1,0,8,0,0,0,18,19,0,0,2,67,0,0,24,0,1,0,0,0,0,0,0,18,1,41,61,28,21,14,0,0,0,23,0,16,18,0,0,0,0,5,0,0,0,0,0,0,0,10,3,2,0,0,0
480.5,11798,17,0,0,0,43,0,9,1,0,0,0,94,0,0,0,1,1,0,3,3,2,7,0,0,13,0,2,0,0,0,1,0,0,0,133,1,0,0,1,33,0,0,5,0,0,0,0,0,0,0,0,32,0,163,75,110,29,17,0,0,0,8,0,27,10,0,0,0,1,6,0,0,0,0,0,0,0,2,0,1,1,0,0
485.5,11970,22,0,0,0,16,0,1,2,0,0,0,50,0,0,0,0,0,0,0,0,0,14,0,0,9,0,0,0,0,2,0,0,0,0,64,0,0,0,1,2,0,0,7,0,6,1,0,0,0,0,0,13,2,129,39,67,27,9,0,0,0,4,1,11,6,0,4,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0
490.5,12150,18,0,0,0,21,0,2,3,0,0,0,47,0,0,0,0,0,0,0,0,8,12,0,0,9,0,1,0,1,0,0,0,0,2,23,0,0,1,1,1,0,0,2,0,9,0,0,0,0,0,1,15,1,105,69,86,33,14,0,0,0,7,0,5,26,0,0,0,0,0,0,0,0,0,0,1,0,12,1,0,0,0,0
500.5,12529,17,0,0,0,30,0,5,1,0,0,0,25,0,1,1,1,2,0,0,0,0,26,0,0,1,0,1,0,0,0,1,0,0,0,34,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,17,1,177,74,25,22,12,0,0,0,18,2,6,3,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,6,0
510.5,12927,2,0,0,0,1,0,8,2,0,0,0,28,0,1,0,0,1,0,0,0,3,10,0,0,5,0,2,0,1,0,3,0,0,0,39,0,0,0,0,4,0,0,0,0,1,8,0,0,0,0,0,18,3,166,63,12,20,7,0,0,0,21,1,5,9,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,1,1,0
520.5,13336,13,0,0,0,0,0,5,2,0,0,0,13,0,0,0,0,0,0,0,1,4,10,0,0,5,0,0,0,0,0,13,0,0,0,34,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,15,3,144,49,8,18,7,0,0,0,5,1,0,14,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,1,0
527.5,NA,3,0,0,0,0,0,3,2,0,0,0,18,0,1,0,0,0,0,0,0,3,18,0,1,4,1,0,0,0,0,0,0,5,0,18,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,3,1,146,48,3,15,0,0,0,0,56,2,4,8,1,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,3,0
530.5,NA,4,0,0,1,0,2,10,1,0,0,0,29,0,0,1,1,0,0,0,0,0,19,0,0,10,0,2,0,0,1,4,0,0,0,51,0,0,0,4,3,0,0,0,0,0,0,0,2,0,0,0,4,1,171,76,29,21,11,0,0,0,79,4,8,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,11,0
