"sample.depths","sample.ages","Acer","Alnus","Amaranthaceae","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Boehmeria","Brassicaceae","Campanulaceae","Carya","Castanea","Celtis","Cephalanthus","Convolvulaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Eriocaulon","Fabaceae","Fraxinus","Galium","Ilex","Impatiens","Indeterminable","Juglans","Lamiaceae","Liliaceae","Liquidambar","Malvaceae","Mimosaceae","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Onagraceae","Osmunda","Ostrya.Carpinus","Phacelia","Picea","Pinus","Planera.aquatica","Plantago","Poaceae","Polygonum","Primula","Quercus","Ranunculaceae","Rhamnus","Rhus","Sagittaria","Salix","Sparganium","Tilia","Typha","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica","Utricularia","Viburnum","Xyris"
220,13374,0,205,0,4,16,1,0,25,0,30,2,0,0,0,1,0,0,0,0,5,0,19,1,0,0,0,0,0,0,23,0,0,0,0,0,1,0,0,1,0,0,0,19,0,0,0,0,0,0,16,0,0,13,0,0,11,0,0,0,0,3,0,0,9,11,0,0,17,0
230,13935,0,238,0,0,10,0,0,13,0,28,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,13,0,0,15,0,0,0,0,0,2,3,1,1,0,0,3,0
240,14496,0,262,0,0,14,1,1,31,0,7,2,0,0,7,0,0,1,0,0,3,0,11,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,14,1,0,20,0,0,6,3,0,0,0,0,1,1,0,1,0,0,0,0
250,15058,0,238,0,2,23,0,3,19,0,4,1,0,0,5,0,3,5,0,0,3,0,64,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,14,0,0,0,10,1,0,0,1,0,0,20,0,0,61,0,0,3,0,0,0,0,4,0,2,1,3,0,0,0,0
260,15619,0,127,0,1,27,1,0,36,0,6,0,1,0,1,0,1,1,0,0,9,0,31,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,7,0,0,26,0,0,13,0,0,16,0,1,0,0,1,1,2,18,29,0,0,0,0
270,16180,0,156,0,3,36,3,0,20,0,3,0,0,0,1,0,0,6,0,0,2,0,22,0,0,1,0,0,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,5,0,0,46,0,0,16,0,0,14,0,0,0,1,0,0,6,8,119,0,0,0,0
280,16556,0,81,0,2,28,0,2,16,0,2,2,0,0,1,0,0,2,0,0,4,0,135,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,4,0,0,16,1,0,23,0,0,3,0,0,0,0,3,0,5,38,29,0,0,0,0
290,16780,0,95,0,0,16,1,0,11,0,2,5,0,0,3,0,0,0,0,0,3,0,118,0,0,0,0,0,0,0,24,3,1,0,0,0,0,0,0,0,0,0,0,65,0,0,0,3,0,0,11,0,0,34,0,0,0,2,0,0,0,6,1,7,21,15,0,0,0,0
300,17004,0,188,0,0,6,0,0,8,0,5,71,0,0,0,2,0,0,0,0,2,0,13,0,0,0,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,6,0,0,20,0,0,0,0,1,0,5,55,2,0,0,0,0
310,17228,0,91,0,1,19,1,2,14,0,2,96,0,0,0,1,2,0,0,1,3,0,68,0,0,0,1,1,0,1,18,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,13,3,0,20,0,0,1,8,0,0,0,8,0,5,34,0,0,0,1,0
320,17453,0,127,0,0,22,2,0,23,0,5,37,0,0,0,0,2,0,0,0,1,0,47,0,0,0,1,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,14,2,0,20,0,0,0,3,0,0,0,1,0,4,17,63,0,0,0,0
330,17677,0,239,0,1,18,0,0,6,0,9,15,0,0,2,1,2,0,0,0,5,0,57,1,0,1,0,0,0,1,16,0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,0,16,0,0,17,0,0,3,3,0,0,0,0,0,7,20,5,0,0,3,0
340,17901,0,209,2,0,17,3,0,10,0,3,30,0,0,3,3,0,0,0,0,5,0,53,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,2,1,1,0,0,7,0,0,0,1,0,0,33,0,0,23,0,0,3,1,0,0,1,1,0,12,5,0,0,1,1,0
350,18126,0,265,0,0,10,0,3,4,0,12,7,0,0,0,1,0,0,0,0,4,0,23,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,13,1,0,9,0,0,6,1,0,0,0,1,0,2,3,0,0,0,0,0
360,18350,0,76,0,2,25,1,6,22,0,6,1,0,0,4,0,1,0,0,0,8,0,156,0,1,0,0,0,0,0,13,0,1,2,0,0,0,0,0,3,9,0,0,2,0,0,0,2,1,0,33,0,0,33,0,0,0,0,0,0,0,0,0,7,6,1,0,0,0,0
370,18574,0,20,0,1,28,5,7,28,0,0,0,0,0,2,2,1,0,0,0,11,0,103,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,14,0,0,0,2,0,1,0,1,0,0,76,1,0,39,0,1,2,6,3,0,0,2,0,9,7,1,0,1,3,0
380,18798,0,14,0,6,30,1,0,21,0,1,6,0,0,1,2,0,0,0,0,5,0,131,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,3,0,0,98,3,1,18,1,0,3,1,1,0,0,3,0,18,11,4,0,0,0,0
390,19023,0,22,0,1,27,3,5,36,1,0,1,0,0,3,5,1,0,0,2,7,0,128,0,0,0,1,0,0,0,23,0,0,0,0,0,0,0,2,8,0,0,0,1,0,0,0,1,0,0,55,1,0,43,1,1,2,3,1,0,0,3,0,4,20,4,0,0,2,0
400,19247,1,46,0,0,39,2,8,30,1,3,5,0,0,3,11,2,0,0,0,11,0,92,1,0,2,0,0,0,2,20,0,1,0,0,0,0,0,0,12,0,0,0,1,0,1,2,2,0,0,63,0,0,23,0,8,4,1,3,0,1,2,0,10,3,6,0,0,3,0
410,19471,0,33,0,1,48,4,8,48,0,2,1,0,0,13,0,4,2,0,0,16,0,93,1,0,1,0,0,0,0,8,1,0,1,0,0,0,0,1,20,2,0,1,1,0,1,7,7,0,0,69,1,0,45,0,5,9,4,1,1,1,0,0,9,31,4,0,2,1,0
413,19539,0,12,0,1,29,0,0,45,0,2,0,0,0,3,4,0,0,0,0,8,0,80,0,0,2,0,0,1,0,27,0,0,1,1,0,0,0,0,12,0,3,2,3,4,0,2,8,0,0,73,2,0,39,0,3,0,2,1,0,0,5,0,6,12,1,0,0,0,0
420,19696,1,23,0,1,14,0,4,31,0,0,2,0,0,0,1,0,0,0,1,9,0,106,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,12,0,0,1,1,0,0,2,1,0,0,77,0,0,32,0,5,3,5,0,0,1,2,0,7,8,3,0,0,3,0
430,19920,2,29,1,2,26,3,6,39,0,2,14,0,0,4,1,1,0,0,0,13,0,123,0,0,0,0,1,0,1,24,1,1,2,0,0,0,0,2,13,0,0,0,6,0,0,2,1,0,0,99,3,0,39,0,7,7,2,0,0,1,0,0,10,12,3,0,2,3,0
440,20144,0,20,0,1,23,1,4,32,0,3,4,0,0,5,5,0,0,0,0,19,0,120,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,1,8,0,0,0,1,0,0,4,1,0,0,59,0,0,34,0,6,8,2,3,0,0,1,1,9,11,3,0,1,1,0
450,20368,1,17,0,0,30,2,2,66,0,0,0,0,0,8,0,0,0,0,0,7,0,90,2,0,0,0,0,0,0,18,1,1,0,0,0,0,0,1,35,0,0,1,6,0,0,6,4,0,0,69,1,0,34,0,5,1,4,0,1,1,0,1,3,33,3,0,0,0,0
456,20503,0,16,0,1,30,3,3,25,0,2,2,0,0,2,1,0,0,0,0,13,0,92,0,0,0,0,0,0,1,16,1,0,0,0,0,0,0,4,15,0,1,0,0,0,0,3,3,0,0,93,0,0,26,0,5,3,2,0,5,0,0,0,4,7,0,0,0,0,0
460,20593,0,7,0,0,36,4,1,42,0,4,0,1,0,5,1,1,0,0,0,7,0,84,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,18,0,0,0,2,0,0,3,1,0,0,114,0,0,17,0,7,1,2,1,2,4,0,0,9,9,1,0,0,0,0
466,NA,0,21,1,0,20,1,1,36,0,2,3,0,0,2,8,1,0,0,0,8,0,89,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,2,9,0,0,1,1,0,0,4,1,0,0,93,1,0,29,0,4,0,6,0,1,3,0,0,3,7,1,0,0,0,0
