"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Other.shrubs","Other.trees","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva","Other.herbs","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum","Ranunculaceae.undiff.","Rosaceae","Rumex","Secale","Thalictrum","Urtica","Zea","Botrychium","Dennstaedtia","Diphasiastrum.complanatum","Dryopteris","Equisetum","Huperzia.lucidula","Lycopodium.annotinum","Lycopodium.obscurum","Lycopodium.undiff.","Osmunda","Pteridium","Pteridophyta.undiff.","Woodsia","Sphagnum","Brasenia.schreberi","Isoëtes","Myriophyllum","Nuphar","Nymphaea","Other.aquatics","Potamogeton","Typha","Typha.Sparganium.undiff.","Utricularia","Spore..monolete.","Spore..trilete.","Indeterminable..broken.","Indeterminable..corroded.","Indeterminable..crumpled.","Indeterminable..hidden.","Unknown"
80,653,1,4,5,0,31,0,0,54,1,39,0,0,13,3,0,0,3,3,18,5,2,3,9,0,0,0,0,0,17,10,2,0,0,3,8,3,40,0,0,251,3,0,0,0,0,9,2,0,6,0,2,1,0,0,2,3,0,0,0,0,0,0,9,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,3,0,0,3,11,0,1,0,1,0,23,0,6,5,8,11,4
88,788,0,8,5,0,32,0,0,55,1,28,1,0,15,5,0,0,2,4,17,2,0,0,6,1,0,0,0,0,11,10,3,0,0,4,15,4,23,3,0,252,3,0,0,0,0,11,3,0,2,0,2,3,0,0,1,7,0,0,0,1,0,0,4,4,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,2,4,0,0,2,7,0,0,0,14,0,0,0,2,0,13,2,1,2,5,8,3
96,967,0,3,4,0,17,1,0,47,0,30,0,0,7,1,0,0,3,2,27,4,1,0,4,0,0,0,0,0,15,11,3,0,0,3,6,3,36,2,0,274,0,0,0,0,0,18,3,0,2,0,3,2,0,0,0,2,0,0,0,2,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,7,0,1,0,13,1,0,1,1,0,3,0,7,5,9,14,3
104,1171,0,4,3,0,16,0,0,44,2,21,1,0,0,2,0,0,2,1,27,2,3,0,2,1,0,0,0,0,14,9,4,0,0,2,8,1,20,2,0,279,2,0,0,0,0,8,9,0,2,0,0,4,0,0,1,5,0,0,0,2,0,0,14,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,8,0,1,0,10,0,0,0,3,1,15,1,2,1,5,3,1
112,1370,1,4,2,0,29,0,0,24,1,23,1,0,10,1,0,0,1,2,21,2,1,2,1,0,0,0,1,0,24,7,1,0,0,2,9,8,33,1,1,285,1,0,0,0,0,16,3,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,2,6,0,3,0,15,0,0,0,4,0,2,1,5,4,6,16,1
120,1540,1,4,3,1,28,0,0,33,0,24,1,0,8,0,0,0,0,1,23,2,3,4,1,0,0,0,0,0,25,10,2,0,0,2,6,3,40,1,0,268,0,0,0,0,0,11,5,0,2,0,0,3,0,0,1,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,3,0,0,1,10,0,0,0,1,0,3,0,4,6,4,6,2
128,1703,1,1,7,0,34,0,0,40,4,22,1,0,20,1,0,3,3,1,29,4,3,3,1,1,0,0,1,0,27,11,4,0,0,0,9,8,47,1,0,293,1,0,0,0,0,17,2,0,0,0,0,6,1,0,0,4,0,0,0,0,0,0,27,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,19,0,0,1,4,0,2,0,24,0,1,0,5,0,5,4,3,2,9,4,3
136,1857,0,2,7,0,34,0,0,52,0,31,0,0,13,2,0,0,1,1,26,0,1,1,0,0,0,0,0,0,26,12,2,0,0,2,11,4,49,1,0,294,1,0,0,0,0,11,5,0,3,0,0,3,0,0,0,4,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,1,9,0,0,1,17,0,1,0,2,1,2,0,7,4,13,13,1
144,NA,0,2,3,0,37,0,0,35,1,22,2,0,17,2,0,1,2,0,41,4,1,0,0,0,0,0,0,0,23,5,5,0,0,1,8,2,41,2,0,285,2,0,0,0,1,14,8,0,2,0,0,6,0,1,0,5,0,0,0,2,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,4,0,2,0,20,0,0,0,3,0,2,0,4,4,9,11,2
152,NA,0,1,3,1,35,0,0,41,1,22,2,0,21,0,0,1,4,2,39,2,2,1,3,1,0,0,1,0,39,10,1,0,0,1,9,8,22,1,0,268,1,1,0,0,0,14,6,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,8,1,2,0,11,0,0,0,2,0,0,0,6,2,11,16,3
168,NA,0,1,4,0,23,0,0,51,1,25,0,0,12,0,0,0,1,0,31,3,0,1,0,0,0,0,0,0,35,4,1,0,0,4,6,2,31,0,0,294,2,0,0,0,0,14,2,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,1,3,0,10,0,0,0,2,1,0,0,8,2,7,12,3
184,NA,0,1,4,0,8,0,0,42,0,16,0,0,4,3,0,1,2,1,24,7,1,3,0,1,0,0,2,0,26,5,1,0,0,1,11,5,55,0,0,302,1,0,0,0,1,11,3,0,2,0,0,9,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,17,0,1,1,22,0,2,0,5,2,2,0,6,3,7,9,1
200,NA,0,2,5,0,9,0,0,40,3,17,0,0,9,0,0,0,1,0,27,0,0,2,1,0,0,0,0,0,34,7,1,0,0,2,16,5,35,1,0,291,0,0,0,0,0,14,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,4,0,1,0,15,0,1,0,1,1,1,0,3,8,3,9,1
