"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.undiff.","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Rhus","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae.undiff.","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva.annua.type","Iva.undiff.","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Primula.type","Ranunculaceae.undiff.","Rosaceae","Rumex","Stellaria","Thalictrum","Urtica","Zea"
132,1907,0,0.031347962,0.015673981,0.003134796,0.003134796,0,0,0,0.062695925,0.001567398,0.023510972,0.004702194,0,0,0.004702194,0,0,0.007836991,0.007836991,0.111285266,0.009404389,0.001567398,0,0.006269592,0.001567398,0,0,0,0.001567398,0,0.167711599,0.05015674,0.006269592,0,0.009404389,0.001567398,0.045454545,0.006269592,0.001567398,0.343260188,0,0.001567398,0.001567398,0,0,0,0.031347962,0.010971787,0,0.003134796,0.001567398,0,0,0,0,0,0.006269592,0,0,0,0,0,0.001567398,0,0,0.010971787,0,0,0,0,0.001567398,0,0
136,1945,0,0.036458333,0.005208333,0,0.012152778,0,0,0,0.059027778,0,0.013888889,0,0,0,0.015625,0,0,0.010416667,0.005208333,0.137152778,0.003472222,0.005208333,0.001736111,0,0,0,0,0,0.001736111,0,0.170138889,0.029513889,0.013888889,0.003472222,0.013888889,0.008680556,0.053819444,0.003472222,0,0.329861111,0,0,0,0,0,0.001736111,0.026041667,0.015625,0,0,0,0,0,0,0.001736111,0,0.003472222,0,0,0.001736111,0,0,0.003472222,0,0,0.010416667,0,0.001736111,0,0,0,0,0
140,1983,0,0.016897081,0.012288786,0.001536098,0.00921659,0,0,0,0.070660522,0,0.024577573,0,0,0,0.006144393,0.001536098,0,0.001536098,0.004608295,0.132104455,0.006144393,0.001536098,0,0,0.001536098,0,0,0,0.003072197,0,0.165898618,0.02764977,0.01843318,0,0.012288786,0,0.052227343,0.00921659,0,0.35483871,0,0,0,0,0,0,0.036866359,0.007680492,0,0.003072197,0,0.004608295,0,0,0,0.001536098,0.003072197,0,0,0,0,0,0.001536098,0,0,0.007680492,0,0,0,0,0,0,0
144,2021,0,0.029962547,0.011235955,0.001872659,0.005617978,0,0,0,0.082397004,0,0.024344569,0.001872659,0,0,0.013108614,0,0,0.007490637,0.009363296,0.13670412,0.009363296,0.001872659,0,0.003745318,0,0,0,0,0,0,0.146067416,0.024344569,0.009363296,0,0.003745318,0.007490637,0.050561798,0.005617978,0,0.348314607,0.003745318,0,0,0,0,0,0.041198502,0.009363296,0,0,0,0.001872659,0,0,0,0.001872659,0,0,0,0,0,0,0,0,0,0.005617978,0,0,0,0,0.001872659,0,0
148,2059,0.001919386,0.009596929,0.005758157,0.001919386,0.007677543,0.001919386,0,0,0.084452975,0,0.030710173,0.003838772,0,0,0.007677543,0,0.001919386,0,0.005758157,0.113243762,0.005758157,0.001919386,0,0,0.003838772,0,0,0,0.003838772,0.001919386,0.117082534,0.030710173,0.011516315,0.003838772,0.015355086,0.011516315,0.053742802,0.003838772,0,0.378119002,0.001919386,0,0,0,0,0,0.046065259,0.007677543,0,0,0,0.003838772,0,0,0,0.001919386,0.011516315,0,0,0,0,0,0,0,0,0.005758157,0,0.001919386,0,0,0,0,0
152,2096,0,0.027586207,0.006896552,0,0.013793103,0,0,0,0.081034483,0,0.036206897,0.001724138,0,0,0.005172414,0,0.001724138,0.017241379,0.012068966,0.120689655,0.013793103,0.003448276,0,0.001724138,0,0,0,0,0,0,0.160344828,0.020689655,0.024137931,0,0.006896552,0.006896552,0.037931034,0.006896552,0,0.339655172,0,0,0,0,0,0,0.020689655,0.015517241,0,0.001724138,0,0,0,0,0.001724138,0.003448276,0.001724138,0,0,0,0,0,0.001724138,0,0,0.005172414,0,0,0,0,0.001724138,0,0
156,2134,0,0.023722628,0.00729927,0,0.009124088,0,0,0,0.072992701,0.001824818,0.025547445,0,0,0,0.010948905,0,0,0.001824818,0.018248175,0.135036496,0.00729927,0.00729927,0,0.003649635,0,0,0,0,0,0,0.200729927,0.031021898,0.00729927,0.003649635,0.020072993,0.003649635,0.052919708,0.001824818,0,0.291970803,0,0,0,0,0,0,0.034671533,0.01459854,0,0.001824818,0.001824818,0,0,0,0.001824818,0.001824818,0,0,0,0,0,0,0.001824818,0,0,0,0,0.001824818,0,0,0.001824818,0,0
160,2172,0,0.027350427,0.003418803,0.001709402,0.01025641,0,0,0,0.07008547,0,0.015384615,0.001709402,0,0,0.013675214,0,0,0.008547009,0.008547009,0.136752137,0.005128205,0.003418803,0,0,0,0,0,0,0,0,0.182905983,0.027350427,0.015384615,0.001709402,0.005128205,0.005128205,0.044444444,0.006837607,0,0.34017094,0,0.001709402,0.001709402,0,0,0.001709402,0.027350427,0.003418803,0,0.001709402,0,0.001709402,0,0,0,0,0.008547009,0,0,0,0,0,0.006837607,0,0,0.01025641,0,0,0,0,0,0,0
164,2210,0,0.013409962,0.009578544,0.001915709,0.009578544,0,0,0,0.063218391,0.003831418,0.019157088,0,0,0,0.019157088,0,0.001915709,0.001915709,0.009578544,0.126436782,0.001915709,0.005747126,0,0.007662835,0.001915709,0,0,0,0,0,0.214559387,0.03256705,0.013409962,0.003831418,0.013409962,0,0.042145594,0.003831418,0.001915709,0.340996169,0,0,0,0,0,0.001915709,0.011494253,0.009578544,0,0.001915709,0,0,0,0,0.001915709,0,0,0,0,0,0,0,0.001915709,0,0,0.001915709,0,0.001915709,0,0,0.003831418,0,0
168,2248,0,0.018382353,0.007352941,0,0.003676471,0,0,0,0.075367647,0,0.018382353,0.001838235,0,0,0.022058824,0,0,0.007352941,0.011029412,0.126838235,0.014705882,0.001838235,0,0,0.003676471,0,0,0,0,0,0.185661765,0.020220588,0.018382353,0.003676471,0.007352941,0.009191176,0.055147059,0.003676471,0,0.336397059,0,0,0,0,0,0,0.022058824,0.001838235,0,0,0,0.001838235,0,0,0,0.009191176,0.012867647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,2286,0,0.026622296,0.006655574,0,0,0,0,0,0.059900166,0.001663894,0.019966722,0.003327787,0,0,0.016638935,0,0,0.001663894,0.014975042,0.114808652,0.009983361,0.001663894,0.001663894,0,0.001663894,0,0,0,0,0,0.206322795,0.029950083,0.008319468,0.001663894,0.008319468,0.001663894,0.039933444,0.004991681,0,0.342762063,0,0.001663894,0,0,0,0.003327787,0.03327787,0.011647255,0,0,0,0.001663894,0,0,0.001663894,0.001663894,0.014975042,0,0,0,0,0,0.001663894,0,0,0.003327787,0,0,0,0,0,0,0
176,NA,0,0.019434629,0.010600707,0,0.003533569,0,0,0,0.097173145,0,0.021201413,0.005300353,0,0,0.017667845,0,0.001766784,0.012367491,0.014134276,0.109540636,0.001766784,0.005300353,0.001766784,0,0.001766784,0,0,0,0.001766784,0,0.203180212,0.022968198,0.003533569,0,0.001766784,0.003533569,0.044169611,0.001766784,0,0.335689046,0,0,0,0,0,0,0.03180212,0.014134276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007067138,0,0,0.005300353,0,0,0,0,0,0,0
