"sample.depths","sample.ages","Betula","Carya","Ericaceae","Ilex","Juglans.cinerea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Fraxinus","Myricaceae","Poaceae","Plantago","Castanea.dentata","Tsuga.canadensis","Fagus.grandifolia","Acer.rubrum","Ostrya.Carpinus","Salix","Populus","Amaranthaceae","Larix.laricina","Liquidambar.styraciflua","Liriodendron.tulipifera","Acer.undiff.","Juglans.nigra","Corylus","Nyssa","Picea","Tilia.americana","Cupressaceae","Artemisia","Caryophyllaceae","Rubus","Lamiaceae","Apiaceae","Oenothera","Cyperaceae","Polygonum","Asteraceae.subf..Cichorioideae","Verbena","Abies","Thalictrum","Sanguisorba"
110,934,0.10443864229765,0.0574412532637076,0.00261096605744125,0,0.00522193211488251,0,0,0.0522193211488251,0.524804177545692,0,0.010443864229765,0.00522193211488251,0.0339425587467363,0,0.00783289817232376,0.010443864229765,0.00261096605744125,0,0.0574412532637076,0.0365535248041775,0.031331592689295,0.00522193211488251,0.0156657963446475,0.00261096605744125,0,0,0,0,0,0.0130548302872063,0.00261096605744125,0.0130548302872063,0,0,0.00261096605744125,0.00261096605744125,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1046,0.0930930930930931,0.0840840840840841,0.003003003003003,0,0.009009009009009,0,0,0.09009009009009,0.465465465465465,0,0.018018018018018,0.015015015015015,0.012012012012012,0.006006006006006,0,0.003003003003003,0.003003003003003,0,0.045045045045045,0.057057057057057,0.057057057057057,0,0.003003003003003,0,0.012012012012012,0,0,0,0,0.009009009009009,0,0.009009009009009,0,0.003003003003003,0.003003003003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,1159,0.0988023952095808,0.0538922155688623,0,0,0.00898203592814371,0,0,0.0419161676646707,0.610778443113772,0,0.0119760479041916,0.0179640718562874,0.0269461077844311,0,0.0179640718562874,0.0029940119760479,0,0,0.029940119760479,0.0239520958083832,0.0329341317365269,0,0.00598802395209581,0,0,0,0,0,0,0.0119760479041916,0,0,0,0,0.0029940119760479,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1272,0.0966542750929368,0.070631970260223,0.00743494423791822,0,0,0.00371747211895911,0,0.0892193308550186,0.513011152416357,0,0.0148698884758364,0.0148698884758364,0.0446096654275093,0,0.0185873605947955,0.0148698884758364,0.00743494423791822,0,0.0297397769516729,0.0297397769516729,0.0148698884758364,0,0,0.00743494423791822,0.0185873605947955,0,0,0.00371747211895911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1385,0.0875706214689266,0.0536723163841808,0.00282485875706215,0,0,0,0.00564971751412429,0.0564971751412429,0.6045197740113,0,0.00282485875706215,0.00847457627118644,0.0282485875706215,0,0.0282485875706215,0.00282485875706215,0.00282485875706215,0,0.0395480225988701,0.0112994350282486,0.0282485875706215,0.00564971751412429,0.00282485875706215,0,0.019774011299435,0,0,0,0,0.00564971751412429,0,0.00282485875706215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,1498,0.125668449197861,0.0748663101604278,0,0.00267379679144385,0.00267379679144385,0,0,0.0561497326203209,0.540106951871658,0,0.0053475935828877,0.00802139037433155,0.0481283422459893,0,0.0160427807486631,0,0,0,0.018716577540107,0.0240641711229947,0.0454545454545455,0,0.0133689839572193,0,0.00802139037433155,0,0,0,0,0.00802139037433155,0,0,0,0.00267379679144385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,1611,0.0886850152905199,0.055045871559633,0,0,0.00611620795107034,0,0,0.0672782874617737,0.590214067278288,0,0,0.00611620795107034,0.0275229357798165,0.00305810397553517,0.0091743119266055,0.00305810397553517,0.0152905198776758,0,0.0091743119266055,0.0428134556574924,0.0336391437308868,0,0,0.00305810397553517,0.0122324159021407,0,0,0,0,0.0214067278287462,0,0,0,0,0.00611620795107034,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,1723,0.109510086455331,0.069164265129683,0,0.00288184438040346,0.00864553314121038,0,0,0.069164265129683,0.544668587896254,0,0.00576368876080692,0.0115273775216138,0.031700288184438,0,0.00288184438040346,0.0288184438040346,0.0115273775216138,0,0.0115273775216138,0.0518731988472622,0.0144092219020173,0,0.00288184438040346,0.00864553314121038,0,0,0,0,0,0,0,0.00864553314121038,0,0,0.00288184438040346,0,0.00288184438040346,0,0,0,0,0,0,0,0,0,0,0,0
190,1836,0.0659340659340659,0.0302197802197802,0,0,0.00549450549450549,0,0,0.0494505494505494,0.585164835164835,0,0.0137362637362637,0.0164835164835165,0.0357142857142857,0,0.0274725274725275,0.0164835164835165,0.00824175824175824,0,0.0274725274725275,0.0274725274725275,0.0384615384615385,0.00549450549450549,0.010989010989011,0,0,0,0,0,0,0.0164835164835165,0,0.0192307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,1949,0.0864864864864865,0.0513513513513514,0.0027027027027027,0,0,0,0,0.0594594594594595,0.532432432432432,0,0.00540540540540541,0.0162162162162162,0.0405405405405405,0,0.0243243243243243,0.0027027027027027,0.0027027027027027,0,0.0189189189189189,0.0432432432432432,0.0513513513513514,0,0.0216216216216216,0.00540540540540541,0,0,0,0,0.00540540540540541,0.0189189189189189,0,0.00810810810810811,0,0,0.0027027027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,1998,0.126315789473684,0.0473684210526316,0,0,0.00789473684210526,0,0,0.0736842105263158,0.489473684210526,0,0.00526315789473684,0.0105263157894737,0.0631578947368421,0,0.0184210526315789,0.0105263157894737,0.00263157894736842,0,0.0368421052631579,0.0447368421052632,0.0447368421052632,0,0,0,0.00263157894736842,0,0,0.00263157894736842,0,0.00789473684210526,0,0,0,0,0.00263157894736842,0.00263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0
210,2039,0.0789473684210526,0.0233918128654971,0,0,0,0,0.00292397660818713,0.0292397660818713,0.552631578947368,0,0.00584795321637427,0.0204678362573099,0.0380116959064327,0,0.0292397660818713,0.0087719298245614,0.0087719298245614,0,0.0497076023391813,0.0146198830409357,0.0760233918128655,0,0.0263157894736842,0,0.0087719298245614,0,0,0,0,0.0175438596491228,0,0.0087719298245614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,2081,0.065359477124183,0.0261437908496732,0,0.00326797385620915,0.00326797385620915,0,0.00326797385620915,0.0686274509803922,0.490196078431373,0,0,0.0130718954248366,0.0718954248366013,0,0.0163398692810458,0.0261437908496732,0,0,0.0620915032679739,0.0490196078431373,0.042483660130719,0,0.0294117647058824,0.00326797385620915,0,0.00326797385620915,0.00326797385620915,0,0,0.0163398692810458,0,0,0,0,0.00326797385620915,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,2122,0.135646687697161,0.0662460567823344,0,0,0.0157728706624606,0.0126182965299685,0,0.0536277602523659,0.44794952681388,0,0.00630914826498423,0.00315457413249211,0.0410094637223975,0,0.0126182965299685,0.0220820189274448,0,0,0.0536277602523659,0.056782334384858,0.0315457413249211,0.0126182965299685,0.00315457413249211,0.0126182965299685,0,0,0,0,0,0,0,0.00946372239747634,0,0,0.00315457413249211,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,2164,0.107361963190184,0.0337423312883436,0,0,0.00613496932515337,0,0.0184049079754601,0.0920245398773006,0.496932515337423,0,0.00613496932515337,0.00613496932515337,0.0521472392638037,0,0.0184049079754601,0.00306748466257669,0.00613496932515337,0,0.0337423312883436,0.0368098159509202,0.0276073619631902,0.00613496932515337,0.0276073619631902,0,0.00306748466257669,0,0,0,0,0.0122699386503067,0,0.00306748466257669,0,0,0,0.00306748466257669,0,0,0,0,0,0,0,0,0,0,0,0,0
230,2205,0.0779944289693593,0.0362116991643454,0.00278551532033426,0,0.00835654596100279,0,0.00557103064066852,0.0501392757660167,0.481894150417827,0,0.00835654596100279,0.0222841225626741,0.0696378830083565,0,0.0139275766016713,0.0167130919220056,0.00278551532033426,0.00278551532033426,0.0612813370473538,0.0194986072423398,0.0501392757660167,0.00278551532033426,0.0222841225626741,0,0,0,0.00278551532033426,0,0,0.0194986072423398,0,0.0139275766016713,0,0,0,0.00278551532033426,0,0.00278551532033426,0.00278551532033426,0,0,0,0,0,0,0,0,0,0
235,2247,0.079646017699115,0.0678466076696165,0,0,0.00589970501474926,0,0,0.0825958702064897,0.480825958702065,0,0.0117994100294985,0.0088495575221239,0.0412979351032448,0,0.0324483775811209,0.0147492625368732,0.00294985250737463,0,0.0324483775811209,0.0530973451327434,0.0383480825958702,0,0.0176991150442478,0,0.00294985250737463,0,0.00589970501474926,0,0,0.0117994100294985,0,0.00589970501474926,0,0,0,0,0,0.00294985250737463,0,0,0,0,0,0,0,0,0,0,0
240,2288,0.0923076923076923,0.0276923076923077,0.00307692307692308,0,0,0,0,0.04,0.56,0,0.00307692307692308,0.0215384615384615,0.0369230769230769,0,0.0307692307692308,0.0215384615384615,0.00307692307692308,0,0.0553846153846154,0.00307692307692308,0.0430769230769231,0,0.0153846153846154,0,0.00615384615384615,0,0.00307692307692308,0,0,0.0153846153846154,0,0.0153846153846154,0,0,0,0,0,0,0,0.00307692307692308,0,0,0,0,0,0,0,0,0
245,2330,0.0878787878787879,0.0818181818181818,0,0.00303030303030303,0,0,0,0.0787878787878788,0.566666666666667,0,0.00303030303030303,0.0121212121212121,0.0151515151515152,0,0.00909090909090909,0.00303030303030303,0,0,0.0151515151515152,0.0363636363636364,0.0575757575757576,0,0.0181818181818182,0,0.00303030303030303,0,0,0,0,0.00606060606060606,0,0,0,0,0.00303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,2371,0.0838323353293413,0.0389221556886228,0.0029940119760479,0.0029940119760479,0.00898203592814371,0,0.00598802395209581,0.0419161676646707,0.523952095808383,0,0.0029940119760479,0.0209580838323353,0.0508982035928144,0,0.0269461077844311,0.00598802395209581,0.0029940119760479,0.0029940119760479,0.0838323353293413,0.0149700598802395,0.0419161676646707,0,0.0209580838323353,0.0029940119760479,0.0029940119760479,0,0,0.0029940119760479,0,0.0029940119760479,0,0.0029940119760479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,2413,0.0761904761904762,0.0857142857142857,0.00317460317460317,0.00634920634920635,0.00317460317460317,0,0,0.0793650793650794,0.568253968253968,0,0,0.00634920634920635,0.0349206349206349,0,0.00634920634920635,0.00634920634920635,0,0,0.019047619047619,0.0634920634920635,0.019047619047619,0,0.00634920634920635,0,0,0,0,0,0,0.00952380952380952,0,0.00317460317460317,0,0,0,0,0,0.00317460317460317,0,0,0,0,0,0,0,0,0,0,0
260,2454,0.0837988826815642,0.0642458100558659,0,0,0,0,0,0.0418994413407821,0.522346368715084,0,0.00279329608938547,0.0195530726256983,0.0837988826815642,0,0.00837988826815642,0.0195530726256983,0.00837988826815642,0,0.0391061452513966,0.0195530726256983,0.0391061452513966,0.0111731843575419,0.0167597765363128,0.00837988826815642,0,0,0,0,0,0.00279329608938547,0,0,0.00279329608938547,0,0.00279329608938547,0.00279329608938547,0,0,0,0,0,0,0,0,0,0,0,0,0
265,2496,0.11965811965812,0.00854700854700855,0,0.0056980056980057,0,0,0,0.0313390313390313,0.527065527065527,0,0.00854700854700855,0.00854700854700855,0.0826210826210826,0,0.0341880341880342,0.0256410256410256,0.00854700854700855,0,0.056980056980057,0.0113960113960114,0.0227920227920228,0.00854700854700855,0.0142450142450142,0.00854700854700855,0,0,0,0.00284900284900285,0,0.00854700854700855,0,0.00284900284900285,0,0,0.00284900284900285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,2537,0.0810810810810811,0.072072072072072,0,0.003003003003003,0.009009009009009,0,0.003003003003003,0.042042042042042,0.456456456456456,0,0.003003003003003,0.018018018018018,0.0750750750750751,0,0.009009009009009,0.009009009009009,0.003003003003003,0,0.0780780780780781,0.024024024024024,0.033033033033033,0.003003003003003,0.024024024024024,0,0.012012012012012,0.003003003003003,0,0,0,0.018018018018018,0,0.021021021021021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,2579,0.14,0.00666666666666667,0,0,0,0,0,0.00333333333333333,0.42,0,0,0.01,0.126666666666667,0,0.07,0.0233333333333333,0,0.00666666666666667,0.0633333333333333,0.00333333333333333,0.02,0.00666666666666667,0.0433333333333333,0.01,0.00666666666666667,0,0,0,0,0.00666666666666667,0,0.03,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,2620,0.0787878787878788,0.0393939393939394,0,0,0.00909090909090909,0,0,0.0363636363636364,0.506060606060606,0,0.00606060606060606,0.0181818181818182,0.103030303030303,0,0.00909090909090909,0,0.00606060606060606,0,0.0393939393939394,0.0212121212121212,0.0454545454545455,0,0.0121212121212121,0.00303030303030303,0.00303030303030303,0,0,0.00303030303030303,0,0.0151515151515152,0,0.0363636363636364,0,0,0.00606060606060606,0,0,0,0,0.00303030303030303,0,0,0,0,0,0,0,0,0
285,2662,0.133738601823708,0.0121580547112462,0,0,0.00303951367781155,0,0,0.0182370820668693,0.604863221884498,0,0.0060790273556231,0.0182370820668693,0.0577507598784195,0,0.0243161094224924,0.00911854103343465,0.0060790273556231,0.00303951367781155,0.0547112462006079,0.0121580547112462,0.0060790273556231,0.00303951367781155,0.00911854103343465,0,0,0,0,0,0,0.00303951367781155,0,0.0060790273556231,0.00303951367781155,0,0,0,0,0.00303951367781155,0,0,0.00303951367781155,0,0,0,0,0,0,0,0
290,2703,0.0991735537190083,0.046831955922865,0.00275482093663912,0.00275482093663912,0.00826446280991736,0,0.00275482093663912,0.0550964187327824,0.49862258953168,0,0.00550964187327824,0.00826446280991736,0.046831955922865,0,0.0247933884297521,0.00550964187327824,0.00550964187327824,0,0.0578512396694215,0.0165289256198347,0.0606060606060606,0.00550964187327824,0.0137741046831956,0,0.00275482093663912,0,0,0,0,0.00826446280991736,0,0.0220385674931129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,2744,0.0828220858895705,0.0122699386503067,0,0,0.00306748466257669,0,0,0.00920245398773006,0.619631901840491,0,0.0214723926380368,0.00920245398773006,0.0674846625766871,0,0.0460122699386503,0.00613496932515337,0.00613496932515337,0,0.0460122699386503,0.00613496932515337,0.00613496932515337,0,0.0276073619631902,0,0.00306748466257669,0.00306748466257669,0,0,0,0.0214723926380368,0,0.00306748466257669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,2806,0.0769230769230769,0.0434782608695652,0,0,0.00334448160535117,0.00668896321070234,0,0.0367892976588629,0.57190635451505,0,0.00668896321070234,0.0167224080267559,0.0635451505016722,0,0.00334448160535117,0.0367892976588629,0.00334448160535117,0,0.0334448160535117,0.020066889632107,0.0434782608695652,0,0.00668896321070234,0.00334448160535117,0,0,0,0.00668896321070234,0,0.0100334448160535,0,0.00668896321070234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,2888,0.105405405405405,0.0648648648648649,0.00540540540540541,0,0.0027027027027027,0,0.0027027027027027,0.0972972972972973,0.508108108108108,0,0,0.00540540540540541,0.0378378378378378,0,0.0189189189189189,0.0108108108108108,0.0027027027027027,0.0027027027027027,0.0162162162162162,0.0621621621621622,0.0459459459459459,0,0.00810810810810811,0,0,0,0,0,0,0.0027027027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,2970,0.0777479892761394,0.0428954423592493,0,0,0.00268096514745308,0,0,0.0375335120643432,0.563002680965147,0,0.00268096514745308,0.0241286863270777,0.0589812332439678,0,0.0160857908847185,0.0107238605898123,0.0107238605898123,0,0.0509383378016086,0.0134048257372654,0.0348525469168901,0,0.00804289544235925,0,0.00268096514745308,0,0.00268096514745308,0,0,0.00536193029490617,0,0.0268096514745308,0,0,0.00804289544235925,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,3053,0.140298507462687,0.00298507462686567,0,0,0.00298507462686567,0,0,0.0208955223880597,0.519402985074627,0,0.00895522388059702,0.017910447761194,0.0895522388059701,0,0.0626865671641791,0.0119402985074627,0.00298507462686567,0,0.0417910447761194,0.0149253731343284,0.017910447761194,0,0.0149253731343284,0.00597014925373134,0.00597014925373134,0.00298507462686567,0,0,0,0.00597014925373134,0,0.00597014925373134,0,0,0,0,0.00298507462686567,0,0,0,0,0,0,0,0,0,0,0,0
320,3135,0.086053412462908,0.0801186943620178,0,0,0.0029673590504451,0,0.0029673590504451,0.0890207715133531,0.445103857566766,0,0.00890207715133531,0.0267062314540059,0.0445103857566766,0,0.0178041543026706,0.00890207715133531,0.0029673590504451,0,0.0474777448071217,0.00890207715133531,0.0712166172106825,0,0.0148367952522255,0.00593471810089021,0,0,0,0.0029673590504451,0,0.0207715133531157,0,0.0118694362017804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,3217,0.129518072289157,0.0120481927710843,0,0,0.00301204819277108,0,0.00301204819277108,0.0421686746987952,0.481927710843373,0,0.00903614457831325,0.0271084337349398,0.0512048192771084,0,0.0391566265060241,0.00602409638554217,0.00602409638554217,0.00301204819277108,0.0271084337349398,0.0120481927710843,0.0331325301204819,0,0.0331325301204819,0.00602409638554217,0.00602409638554217,0,0,0.00301204819277108,0,0.0240963855421687,0,0.036144578313253,0,0,0,0.00301204819277108,0,0,0.00301204819277108,0,0,0,0,0,0,0,0,0,0
330,3299,0.108359133126935,0.0278637770897833,0,0.00309597523219814,0,0,0,0.0371517027863777,0.476780185758514,0,0.00619195046439629,0.0185758513931889,0.0681114551083591,0,0.0247678018575851,0,0,0,0.0804953560371517,0,0.0402476780185759,0,0.0402476780185759,0.00619195046439629,0.00309597523219814,0,0,0,0,0.0247678018575851,0,0.0309597523219814,0,0,0,0,0,0,0,0,0,0.00309597523219814,0,0,0,0,0,0,0
335,3381,0.133136094674556,0.00591715976331361,0,0.0029585798816568,0.0029585798816568,0,0,0.0236686390532544,0.526627218934911,0,0,0.014792899408284,0.0650887573964497,0.0029585798816568,0.029585798816568,0.00887573964497041,0.00591715976331361,0,0.0502958579881657,0.0118343195266272,0.0443786982248521,0,0.0325443786982249,0.0029585798816568,0.00591715976331361,0.00591715976331361,0,0.00887573964497041,0,0.0118343195266272,0,0,0,0,0,0,0,0,0.0029585798816568,0,0,0,0,0,0,0,0,0,0
340,3463,0.131313131313131,0.0437710437710438,0.00336700336700337,0,0.00336700336700337,0.00336700336700337,0,0.0707070707070707,0.424242424242424,0,0.0101010101010101,0.0202020202020202,0.0505050505050505,0,0.00673400673400673,0.0303030303030303,0,0,0.063973063973064,0.0235690235690236,0.0404040404040404,0.0101010101010101,0.0134680134680135,0.00673400673400673,0,0,0,0.00336700336700337,0,0.0134680134680135,0,0.0101010101010101,0.00336700336700337,0.00336700336700337,0.00336700336700337,0.00673400673400673,0,0,0,0,0,0,0,0,0,0,0,0,0
345,3545,0.105381165919283,0.0739910313901345,0,0,0.00896860986547085,0,0.00672645739910314,0.0582959641255605,0.419282511210762,0,0.00224215246636771,0.00896860986547085,0.0448430493273543,0.00224215246636771,0.047085201793722,0.00448430493273543,0.00672645739910314,0.00448430493273543,0.0291479820627803,0.031390134529148,0.0852017937219731,0.00224215246636771,0.0201793721973094,0,0.00224215246636771,0,0,0.00224215246636771,0,0.0179372197309417,0,0.0112107623318386,0,0,0.00448430493273543,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,3627,0.103260869565217,0.0298913043478261,0,0.00271739130434783,0.00815217391304348,0,0.00815217391304348,0.0353260869565217,0.513586956521739,0,0,0.0190217391304348,0.0516304347826087,0,0.0298913043478261,0.0135869565217391,0.00543478260869565,0,0.0597826086956522,0.016304347826087,0.0597826086956522,0,0.016304347826087,0,0.00815217391304348,0,0,0,0,0.0108695652173913,0,0.00815217391304348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,3709,0.127450980392157,0.0163398692810458,0,0,0.00326797385620915,0,0.00326797385620915,0.0359477124183007,0.408496732026144,0,0.0130718954248366,0.00980392156862745,0.0980392156862745,0,0.0686274509803922,0,0.0065359477124183,0.00326797385620915,0.0915032679738562,0.00980392156862745,0.00980392156862745,0.00326797385620915,0.0228758169934641,0.00980392156862745,0.0130718954248366,0,0,0,0,0.0130718954248366,0,0.0326797385620915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,3791,0.0902612826603325,0.0308788598574822,0,0.00475059382422803,0,0,0.0118764845605701,0.0641330166270784,0.484560570071259,0,0.00712589073634204,0.00475059382422803,0.0427553444180523,0,0.00950118764845606,0.00475059382422803,0.00475059382422803,0,0.0855106888361045,0.0261282660332542,0.0688836104513064,0.00237529691211401,0.0166270783847981,0.00475059382422803,0.00237529691211401,0,0,0.00712589073634204,0,0.0190023752969121,0,0.00712589073634204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,3873,0.0941176470588235,0.0676470588235294,0,0,0,0,0.0117647058823529,0.0794117647058823,0.458823529411765,0,0.00588235294117647,0.0235294117647059,0.0588235294117647,0,0.0411764705882353,0.0147058823529412,0.00294117647058824,0,0.0529411764705882,0.0117647058823529,0.0352941176470588,0.00588235294117647,0.00294117647058824,0.00294117647058824,0,0,0,0,0,0.0176470588235294,0,0.0088235294117647,0,0,0,0,0.00294117647058824,0,0,0,0,0,0,0,0,0,0,0,0
370,3956,0.0683544303797468,0.0177215189873418,0,0,0.010126582278481,0,0,0.0126582278481013,0.526582278481013,0,0.00506329113924051,0.0151898734177215,0.0683544303797468,0,0.030379746835443,0,0.00253164556962025,0,0.126582278481013,0.00759493670886076,0.0481012658227848,0,0.0151898734177215,0.00253164556962025,0,0,0,0,0,0.0177215189873418,0,0.0227848101265823,0,0,0.00253164556962025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
