"sample.depths","sample.ages","upland.sum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Fagus","Larix","Asteraceae.subf..Cichorioideae","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Polygonaceae.undiff.","Populus.tremuloides.type","Quercus","Ranunculaceae.undiff.","Taxus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Poaceae","Abies.balsamea","Acer.saccharum","Pinus.banksiana.type","Pinus.strobus","Picea.undiff.","Salix.undiff.","Ericaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Ostrya.Carpinus","Rosaceae.undiff.","Myrica.gale","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Acer.rubrum","Amaranthaceae","Castanea.dentata","Populus.balsamifera.type","Juniperus.type","Carya.ovata","Diervilla.lonicera","Acer.pensylvanicum","Corylus.cornuta","Impatiens","Tilia","Potentilla.palustris.type","Celtis.occidentalis","Arceuthobium.pusillum","Liliaceae","Juglans.nigra","Caryophyllaceae","Glaux.maritima","cf..Sarcobatus.vermiculatus","Morus.rubra.type","Shepherdia.canadensis","Acer.nigrum","Cornus.sericea","Epilobium","Viburnum.edule","Elaeagnus.commutata","Pinus.resinosa.type","Prunus.pensylvanica","Populus.grandidentata.type","cf..Oxyria.digyna","Salix.herbacea.type","Sambucus","Rumex.type","Thalictrum"
240,5483,518,0,16,6,1,1,312,4,3,2,0,0,14,29,0,0,1,0,3,1,3,1,3,0,1,100,4,2,0,6,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,5683,636,1,13,10,2,2,292,4,0,0,0,0,24,84,0,0,6,0,5,1,7,6,11,2,13,126,13,0,0,5,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,6183,567,0,13,14,0,1,333,7,0,1,0,2,8,24,0,0,5,0,2,0,4,6,6,2,0,120,5,0,0,4,1,0,0,1,0,3,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,6482,607,2,20,6,0,1,345,5,1,3,0,0,18,27,0,1,12,0,4,0,7,3,5,2,0,114,10,0,0,5,2,1,0,0,3,1,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,6682,810,2,30,12,1,0,565,12,3,2,0,0,30,36,0,1,7,0,1,3,5,6,9,2,4,41,23,1,1,3,1,0,1,0,0,2,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,6882,644,0,15,16,2,3,470,9,4,1,0,2,16,18,0,0,11,0,1,0,1,5,4,3,1,39,13,1,1,4,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,7182,517,0,21,4,0,2,272,6,2,2,0,1,17,24,0,3,4,0,2,0,4,6,9,0,0,110,6,0,0,4,0,0,3,0,4,0,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,7682,552,2,27,9,0,1,247,3,1,2,0,1,34,22,0,6,14,0,14,1,3,5,11,1,0,114,12,0,0,6,4,0,0,0,4,0,3,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,8182,532,1,10,10,2,1,292,15,0,7,0,0,14,17,0,0,11,0,3,1,1,2,1,3,0,116,7,1,0,3,3,0,1,1,1,2,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,8681,599,4,2,35,2,1,335,14,0,5,0,0,35,14,0,7,25,0,8,1,4,5,13,1,9,44,14,2,0,5,1,0,4,0,1,0,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,9165,598,0,3,71,2,0,382,7,0,3,0,0,14,13,0,4,12,0,8,7,2,2,16,3,3,23,13,0,0,3,2,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,9700,564,0,2,148,3,1,237,7,3,1,0,3,28,12,0,11,15,0,7,0,5,1,13,2,2,20,22,1,0,7,0,0,5,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
450,9967,733,0,1,387,2,1,141,15,0,1,0,0,22,15,0,12,23,0,2,4,6,2,3,0,0,65,7,5,0,2,2,0,3,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
460,NA,839,0,0,207,3,16,211,24,0,0,0,14,43,8,0,22,46,0,1,12,4,4,3,2,1,142,12,21,0,1,2,2,4,1,1,0,7,1,0,1,0,9,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0
475,NA,350,0,3,50,4,7,128,2,0,0,0,0,27,14,0,0,9,0,0,0,7,1,7,0,11,52,4,5,0,1,0,0,0,0,5,0,1,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
476,NA,464,0,2,59,0,1,215,1,0,0,0,14,24,10,0,0,5,0,0,1,7,4,5,2,13,70,5,4,0,1,0,0,4,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11,0,0,0,0,0,0
485,NA,360,0,2,92,0,1,125,1,0,0,0,9,68,8,0,1,9,0,0,0,0,1,0,1,4,19,4,3,0,0,0,0,2,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
490,NA,378,0,4,30,0,1,90,0,0,0,0,9,20,13,0,14,79,0,2,2,5,1,14,3,18,50,5,1,0,1,3,1,5,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
495,NA,184,0,1,28,1,5,28,2,0,0,0,3,18,2,0,3,8,0,0,0,6,1,0,0,16,51,1,2,0,0,0,1,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,NA,270,0,5,45,0,1,45,6,0,0,0,21,22,9,0,4,14,0,0,1,9,1,2,1,17,49,1,2,0,0,1,0,4,0,3,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,NA,311,0,5,16,2,2,88,0,0,0,1,2,21,13,0,3,5,0,0,5,5,3,4,2,81,40,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,NA,434,0,0,24,2,2,66,0,0,1,0,0,40,2,0,2,21,0,0,0,0,1,1,0,189,67,2,2,0,0,0,0,0,1,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0
515,NA,101,0,1,5,0,1,39,1,0,0,0,0,2,7,0,2,4,0,0,1,0,0,0,0,28,2,1,1,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,NA,297,0,8,42,4,9,81,1,0,0,0,3,8,13,0,1,22,0,2,5,8,1,3,0,11,52,2,6,0,0,0,0,2,0,1,0,0,0,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
535,NA,377,0,6,35,0,5,88,3,1,0,0,0,55,3,0,2,21,0,0,0,1,4,5,0,62,76,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
545,NA,442,0,9,52,2,2,88,13,0,0,0,0,45,5,0,4,57,0,4,0,10,3,0,2,28,64,3,10,0,2,0,0,5,0,5,6,0,0,0,0,0,13,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
550,NA,243,0,2,15,1,2,20,3,0,1,0,0,29,10,0,1,20,0,1,0,6,1,1,0,35,66,1,5,0,4,0,1,6,0,4,2,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
560,NA,119,0,0,3,0,1,23,2,0,0,0,0,16,1,0,0,11,0,0,0,2,1,0,0,14,35,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,NA,120,0,1,7,1,1,15,2,0,0,0,0,15,1,0,0,2,0,0,0,6,0,0,0,11,53,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576,NA,349,0,10,25,0,1,53,2,0,0,0,0,41,4,0,3,9,0,0,2,1,2,2,1,17,161,1,3,1,0,0,0,1,0,2,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
