"sample.depths","sample.ages","upland.sum","Abies","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fraxinus.nigra.type","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Myrica","Populus.balsamifera","Betula","Amaranthaceae.undiff.","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Rosaceae.undiff.","Poaceae","Brassicaceae","Sarcobatus.vermiculatus","Iva.annua","Iva.xanthifolia","Cornus.sericea","Fraxinus.pennsylvanica","Fabaceae.undiff.","Caryophyllaceae","Acer.rubrum","Vitis","Potentilla","Tilia","Lamiaceae","Castanea","Juglans.cinerea","Thalictrum","Acer.saccharum","Carya","Shepherdia.canadensis","Humulus","Polygalaceae","Apiaceae","Cornus.undiff.","Ranunculus","Elaeagnus","Urtica.type","Ephedra.torreyana.type","Dalea","Dryas","Saxifraga"
450,8081,670,8,26,8,7,15,5,7,8,0,19,5,0,43,259,9,0,8,0,5,211,4,1,1,10,0,5,0,2,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,8380,567,16,34,10,7,12,4,9,11,0,8,3,2,29,0,11,279,2,0,4,97,9,2,3,2,0,6,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
470,8679,675,5,19,6,6,12,3,15,9,0,8,6,0,30,357,3,0,3,2,8,158,7,3,3,1,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,8978,684,12,28,15,3,19,5,15,4,0,0,11,1,40,346,2,0,3,2,5,143,8,4,2,1,0,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,9276,495,8,17,32,12,16,1,6,4,0,2,4,0,66,186,2,0,1,1,1,115,5,2,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
497,9486,816,1,11,44,4,11,1,12,11,0,1,17,2,109,312,2,0,6,3,6,243,8,3,3,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
502,9635,673,21,21,40,0,15,0,5,6,0,4,11,2,61,0,0,296,5,2,1,163,2,3,4,1,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
505,9725,504,0,10,25,2,6,1,9,11,0,1,6,1,82,0,0,178,1,0,4,143,4,5,2,3,0,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,9874,649,0,21,46,6,11,1,9,14,0,3,7,1,83,0,0,228,4,0,6,162,15,6,14,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
515,10024,678,0,18,62,2,11,1,8,6,0,2,13,3,99,0,0,300,2,0,3,125,7,3,8,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,10173,661,0,15,40,9,19,2,11,8,0,3,18,4,101,0,0,309,3,0,4,82,7,3,10,4,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,10323,511,2,14,48,15,20,12,6,3,0,1,8,2,75,0,0,150,5,0,0,114,16,1,4,4,0,6,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535,10622,458,1,6,9,2,14,15,4,1,0,0,5,4,50,0,0,159,7,1,0,155,8,0,2,8,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
540,10771,636,3,3,0,7,16,0,21,9,0,2,6,6,86,0,0,382,4,1,3,57,2,4,7,5,1,4,0,1,3,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
545,10921,614,0,3,1,3,25,3,17,3,0,7,19,5,113,0,0,256,8,1,4,100,6,8,10,9,0,6,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
550,11070,653,0,1,3,2,35,6,24,17,0,10,25,8,152,0,0,161,17,1,11,101,8,6,7,22,0,22,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,3,0,0,0,0,0,0
555,NA,616,0,1,3,8,36,2,25,39,0,10,15,10,155,0,0,123,17,2,27,36,19,8,10,31,0,19,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,4,1,0,0,0,0,1,1,0,0,0,0
560,NA,522,0,1,2,2,25,2,25,45,0,6,11,2,84,0,0,153,12,1,20,26,18,14,11,24,0,22,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,1,0,1,1,1,1,0
565,NA,484,0,1,4,4,43,2,19,31,0,2,3,6,75,0,0,185,7,0,9,4,11,11,7,22,0,17,0,1,5,4,0,1,0,1,0,0,0,0,0,1,1,0,1,2,1,1,0,0,0,0,1,0,0,0,0,1
585,NA,385,1,3,5,7,35,5,25,21,0,8,0,7,39,0,0,114,4,0,3,15,12,10,13,26,0,17,0,1,2,3,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0
605,NA,437,0,2,2,7,39,1,16,17,0,7,1,9,42,0,0,153,16,0,5,5,16,13,22,38,0,15,0,0,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
625,NA,456,0,0,4,3,33,2,14,33,0,12,1,3,69,0,0,149,19,1,4,10,5,7,6,64,0,6,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,2,0
