"sample.depths","sample.ages","Alnus.undiff.","Ambrosia.type","Betula","Carya","Castanea","Asteraceae.undiff.","Cupressaceae","Cyperaceae","Fagus","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Rumex","Trees.undiff.","Tsuga","Ulmus","Acer","Fraxinus","Myrica","Populus","Poaceae","Plantago","Aquifoliaceae","Artemisia","Ericaceae","Salix","Juglans","Herbs.undiff.","Liquidambar","Nyssa","Amaranthaceae","Abies","Alnus.viridis.type","Corylus","Tilia","Larix","Cistaceae"
305,9989,0.0037037037037037,0.00555555555555556,0.0407407407407407,0,0,0,0.00555555555555556,0,0.0148148148148148,0.0166666666666667,0.00185185185185185,0.0666666666666667,0.012962962962963,0.290740740740741,0.00185185185185185,0.355555555555556,0.00555555555555556,0,0.00925925925925926,0.0037037037037037,0.00740740740740741,0.0037037037037037,0.109259259259259,0.0037037037037037,0.0111111111111111,0,0,0.00185185185185185,0.00740740740740741,0,0,0,0,0.0148148148148148,0,0,0.00185185185185185,0.0037037037037037,0,0,0
315,10133,0.0150659133709981,0.00376647834274953,0.0621468926553672,0.00376647834274953,0,0,0,0.00376647834274953,0.00941619585687382,0.0188323917137476,0.00376647834274953,0.0207156308851224,0.0583804143126177,0.35969868173258,0.00188323917137476,0.273069679849341,0.00564971751412429,0,0.0131826741996234,0.00941619585687382,0.00753295668549906,0.00753295668549906,0.0677966101694915,0.00376647834274953,0.0112994350282486,0,0,0,0.0244821092278719,0,0,0.00376647834274953,0,0,0.00188323917137476,0,0.00376647834274953,0.00564971751412429,0,0,0
325,10339,0.00574712643678161,0,0.0440613026819923,0,0,0.00957854406130268,0.0114942528735632,0.0153256704980843,0.00766283524904215,0.0114942528735632,0,0.0613026819923372,0.0651340996168582,0.398467432950192,0.00191570881226054,0.116858237547893,0.00191570881226054,0.00191570881226054,0.0306513409961686,0.00766283524904215,0.00383141762452107,0,0.0708812260536398,0.00383141762452107,0.00957854406130268,0,0,0.00191570881226054,0.113026819923372,0,0,0.00383141762452107,0,0,0,0,0,0,0,0,0.00191570881226054
335,10842,0.0130151843817787,0,0.0433839479392625,0,0.00216919739696312,0.00650759219088937,0.00433839479392625,0.0151843817787419,0.0086767895878525,0.0195227765726681,0.00433839479392625,0.06941431670282,0.0672451193058568,0.394793926247288,0.00216919739696312,0.112798264642082,0.00216919739696312,0,0.00650759219088937,0.00650759219088937,0,0,0.0455531453362256,0,0.00433839479392625,0,0,0.00216919739696312,0.145336225596529,0.00433839479392625,0,0.00216919739696312,0,0,0,0.00216919739696312,0.00433839479392625,0,0.00216919739696312,0.00216919739696312,0.00650759219088937
345,11344,0.00574712643678161,0.00191570881226054,0.0689655172413793,0,0,0.00574712643678161,0,0.00574712643678161,0.00383141762452107,0.0114942528735632,0.00191570881226054,0.074712643678161,0.116858237547893,0.442528735632184,0.00191570881226054,0.078544061302682,0,0,0,0.00383141762452107,0.00957854406130268,0.00574712643678161,0.0402298850574713,0,0.00191570881226054,0,0,0,0.0938697318007663,0,0,0.00383141762452107,0,0,0,0.00574712643678161,0.00191570881226054,0,0,0,0.0134099616858238
355,11846,0.0150093808630394,0.00187617260787992,0.0825515947467167,0.00187617260787992,0,0.00562851782363977,0,0.0150093808630394,0.00375234521575985,0.00938086303939963,0.0525328330206379,0.112570356472795,0.0393996247654784,0.377110694183865,0.00187617260787992,0.0544090056285178,0.00375234521575985,0.00187617260787992,0.00562851782363977,0.0131332082551595,0,0.00938086303939963,0.0281425891181989,0,0.00938086303939963,0,0,0,0.050656660412758,0,0,0.00375234521575985,0,0,0,0.0131332082551595,0.0393996247654784,0,0,0.00187617260787992,0.0469043151969981
365,12335,0.0297029702970297,0,0.0561056105610561,0,0,0.00165016501650165,0.00165016501650165,0.0033003300330033,0,0.0099009900990099,0.171617161716172,0.094059405940594,0.0412541254125413,0.280528052805281,0,0.0066006600660066,0.00495049504950495,0.00825082508250825,0.00165016501650165,0.00165016501650165,0.00165016501650165,0.0033003300330033,0,0.00165016501650165,0.0181518151815182,0.00165016501650165,0,0.00165016501650165,0.0198019801980198,0,0,0.00495049504950495,0,0,0,0.0132013201320132,0.212871287128713,0,0,0.0066006600660066,0.00165016501650165
375,12818,0.0323275862068966,0,0.0172413793103448,0.0021551724137931,0,0.0021551724137931,0,0.00646551724137931,0.0021551724137931,0.00862068965517241,0.232758620689655,0.114224137931034,0.00862068965517241,0.342672413793103,0.0021551724137931,0.0172413793103448,0.0150862068965517,0,0,0.00431034482758621,0,0.0021551724137931,0.00431034482758621,0.0021551724137931,0.021551724137931,0,0,0.0021551724137931,0.0323275862068966,0,0,0,0.0021551724137931,0,0,0.0107758620689655,0.105603448275862,0,0,0.00431034482758621,0.00431034482758621
380,13059,0.0115273775216138,0,0.0288184438040346,0,0,0.00576368876080692,0.00288184438040346,0.00288184438040346,0.00288184438040346,0.0230547550432277,0.115273775216138,0.121037463976945,0.00864553314121038,0.432276657060519,0,0.0288184438040346,0.0172910662824208,0,0,0,0,0.0144092219020173,0.00288184438040346,0,0.00576368876080692,0,0,0,0.0634005763688761,0.00288184438040346,0,0,0,0,0.00288184438040346,0.00864553314121038,0.031700288184438,0,0,0.00288184438040346,0.0634005763688761
385,13300,0.00381679389312977,0,0.0209923664122137,0,0,0.00190839694656489,0.00381679389312977,0.00763358778625954,0,0.0286259541984733,0.179389312977099,0.24236641221374,0.00190839694656489,0.379770992366412,0.00190839694656489,0.0515267175572519,0.00381679389312977,0,0,0,0,0.0114503816793893,0.00763358778625954,0,0.00763358778625954,0,0,0,0.00763358778625954,0.00190839694656489,0,0,0,0,0,0.00381679389312977,0.00190839694656489,0,0,0,0.0305343511450382
