"sample.depths","sample.ages","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Caryophyllaceae","Cyperaceae","Ericaceae","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Asteraceae.subf..Asteroideae.undiff.","Poaceae","Carya.ovata","Castanea.dentata","Centaurea","cf..Oxyria.digyna","Pinus.banksiana.type","Pinus.strobus","Salix.herbacea.type","Picea.undiff.","Salix.undiff.","Rosaceae.undiff.","Amaranthaceae","Tsuga.canadensis","Ostrya.Carpinus","Populus.tremuloides.type","Quercus","Ranunculaceae.undiff.","Polygonum.viviparum","Larix","Alnus.incana.type","Myrica.gale","Urtica.type","Juniperus.type","Onagraceae","Abies.balsamea","Taxus","Thalictrum","Ulmus","Ephedra","Potentilla.palustris.type","Fabaceae","Corylus.cornuta","Saxifraga.oppositifolia.type","Populus.balsamifera.type","Acer.saccharum","Salix.vestita.type","Liliaceae","Asteraceae.subf..Cichorioideae","Acer.pensylvanicum","Shepherdia.canadensis","Brassicaceae","Juniperus.communis.Thuja.occidentalis.type","Acer.spicatum","cf..Sarcobatus.vermiculatus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Polygonaceae.undiff.","Plantaginaceae","Saxifraga","Prunus","Tilia","Salix.reticulata.type"
55,3171,0.351432880844646,0.00452488687782805,0.0180995475113122,0.14630467571644,0,0.221719457013575,0.024132730015083,0,0.105580693815988,0.0135746606334842,0,0.00754147812971342,0,0,0,0.00301659125188537,0.0377073906485671,0.00301659125188537,0,0.0467571644042232,0.00754147812971342,0.00150829562594268,0,0.00150829562594268,0,0.00150829562594268,0,0,0,0.00150829562594268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00150829562594268,0.00150829562594268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,3459,0.357864357864358,0.00144300144300144,0.0187590187590188,0.193362193362193,0,0.240981240981241,0.0274170274170274,0,0.062049062049062,0.00577200577200577,0,0.025974025974026,0,0,0,0.00721500721500722,0.0202020202020202,0.00144300144300144,0,0.0245310245310245,0.00432900432900433,0,0.00288600288600289,0,0,0,0.00144300144300144,0,0,0,0,0,0,0,0,0.00144300144300144,0,0,0,0,0,0,0,0,0,0,0.00288600288600289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,3748,0.427168576104746,0.00490998363338789,0.0147299509001637,0.155482815057283,0.00327332242225859,0.227495908346972,0.0245499181669394,0,0.0507364975450082,0.00654664484451719,0,0.0229132569558101,0,0,0,0,0.00654664484451719,0.0130932896890344,0,0.0212765957446809,0.00654664484451719,0,0.00327332242225859,0,0,0,0.00327332242225859,0,0,0,0.00490998363338789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016366612111293,0.0016366612111293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,4036,0.366788321167883,0.00182481751824818,0.0109489051094891,0.145985401459854,0,0.264598540145985,0.0182481751824818,0,0.0930656934306569,0.00912408759124088,0.00182481751824818,0.0145985401459854,0,0,0,0,0.0200729927007299,0.00364963503649635,0,0.0456204379562044,0.00182481751824818,0,0,0,0,0.00182481751824818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,4324,0.422029702970297,0.00371287128712871,0.0136138613861386,0.206683168316832,0,0.16460396039604,0.0099009900990099,0.00618811881188119,0.051980198019802,0.00495049504950495,0.00123762376237624,0.0297029702970297,0,0,0,0.00123762376237624,0.0222772277227723,0.00742574257425743,0,0.0321782178217822,0.00371287128712871,0.00495049504950495,0.00123762376237624,0,0,0,0,0,0,0.00123762376237624,0.00123762376237624,0,0,0.00247524752475248,0,0,0,0,0,0,0,0,0,0.00123762376237624,0,0,0.00495049504950495,0,0.00123762376237624,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4613,0.345323741007194,0.00359712230215827,0.0251798561151079,0.27158273381295,0.00179856115107914,0.158273381294964,0.0161870503597122,0,0.0719424460431655,0.00719424460431655,0.00359712230215827,0.00719424460431655,0,0,0,0.00359712230215827,0.0413669064748201,0.00179856115107914,0,0.0251798561151079,0.00539568345323741,0,0,0,0,0.00179856115107914,0,0,0.00179856115107914,0.00179856115107914,0,0.00179856115107914,0,0,0,0,0,0,0,0,0,0,0,0,0.00179856115107914,0,0.00179856115107914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,4901,0.334183673469388,0.0102040816326531,0.0306122448979592,0.206632653061224,0.00255102040816327,0.229591836734694,0,0.00255102040816327,0.0739795918367347,0.0076530612244898,0.0127551020408163,0.0102040816326531,0,0,0,0.0076530612244898,0.0178571428571429,0.0153061224489796,0.00255102040816327,0.0204081632653061,0.00255102040816327,0,0.00255102040816327,0,0,0.00255102040816327,0,0,0,0,0,0.00255102040816327,0,0,0,0,0,0,0,0,0,0,0,0.00255102040816327,0,0,0,0,0,0.00255102040816327,0,0,0,0,0,0,0,0,0,0,0,0,0
90,5189,0.379310344827586,0.0013262599469496,0.00795755968169761,0.309018567639257,0,0.168435013262599,0.0106100795755968,0.0026525198938992,0.0291777188328912,0.00397877984084881,0.00397877984084881,0.0225464190981432,0,0,0,0,0.0238726790450928,0.00663129973474801,0,0.00663129973474801,0.00795755968169761,0,0.0026525198938992,0,0,0.00397877984084881,0,0.00530503978779841,0,0.0013262599469496,0.0026525198938992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,5477,0.381342062193126,0.0016366612111293,0.016366612111293,0.284779050736498,0,0.181669394435352,0.0114566284779051,0,0.0294599018003273,0.00327332242225859,0,0.0245499181669394,0,0,0,0.00327332242225859,0.0310965630114566,0.00327332242225859,0,0.00654664484451719,0.00818330605564648,0,0.0016366612111293,0,0,0,0,0,0,0,0,0.00490998363338789,0,0,0,0,0,0,0,0,0,0.0016366612111293,0,0,0,0,0.00490998363338789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,5766,0.314903846153846,0.00480769230769231,0.0408653846153846,0.310096153846154,0.00240384615384615,0.168269230769231,0.0144230769230769,0,0.0120192307692308,0.0144230769230769,0.00480769230769231,0.0168269230769231,0,0,0,0.0144230769230769,0.0336538461538462,0.0216346153846154,0,0.00721153846153846,0,0.00961538461538462,0.00480769230769231,0,0,0,0,0.00240384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00240384615384615,0,0,0,0,0,0,0,0,0,0,0,0
105,6054,0.355083459787557,0.00910470409711684,0.0121396054628225,0.241274658573596,0.00303490136570561,0.238239757207891,0.00303490136570561,0,0.0197268588770865,0.0106221547799697,0.00151745068285281,0.0212443095599393,0,0,0,0.00151745068285281,0.0227617602427921,0.00910470409711684,0,0.00606980273141123,0.0136570561456753,0.00303490136570561,0.00303490136570561,0,0,0,0,0.00151745068285281,0,0,0.0106221547799697,0.00151745068285281,0,0,0,0,0,0,0,0,0,0.00151745068285281,0,0,0,0,0.00455235204855842,0,0,0,0,0.00455235204855842,0.00151745068285281,0,0,0,0,0,0,0,0,0,0
110,6342,0.342158859470468,0.00203665987780041,0.0183299389002037,0.213849287169043,0,0.256619144602851,0.00407331975560081,0,0.0509164969450102,0.0162932790224033,0.00814663951120163,0.00814663951120163,0,0,0,0.00203665987780041,0.0305498981670061,0.00407331975560081,0,0.0142566191446029,0.00610997963340122,0.00814663951120163,0.00610997963340122,0,0,0.00203665987780041,0,0.00203665987780041,0,0,0,0,0,0.00203665987780041,0,0,0,0,0,0,0,0.00203665987780041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,6631,0.225746268656716,0.0111940298507463,0.0317164179104478,0.251865671641791,0.00559701492537313,0.298507462686567,0.00746268656716418,0,0.041044776119403,0.00559701492537313,0.00186567164179104,0.0242537313432836,0,0,0,0.00373134328358209,0.0186567164179104,0.0279850746268657,0.00186567164179104,0.00746268656716418,0.0130597014925373,0.00746268656716418,0,0,0,0,0.00373134328358209,0.00746268656716418,0,0,0,0.00186567164179104,0,0.00186567164179104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,6919,0.152219873150106,0.0126849894291755,0.0486257928118393,0.158562367864693,0.00211416490486258,0.380549682875264,0.00422832980972516,0,0.0676532769556025,0.0190274841437632,0.00211416490486258,0.00422832980972516,0,0,0,0.00634249471458774,0.0824524312896406,0.00634249471458774,0.00634249471458774,0.00845665961945032,0.0126849894291755,0.00422832980972516,0,0,0,0,0,0.0190274841437632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00211416490486258,0,0,0,0,0,0,0,0,0
125,7207,0.183673469387755,0.00742115027829314,0.0630797773654917,0.051948051948052,0.00556586270871985,0.294990723562152,0.00742115027829314,0,0.0278293135435993,0.0166975881261596,0.00556586270871985,0.0463821892393321,0,0,0,0.0352504638218924,0.0705009276437848,0.0222634508348794,0,0.00742115027829314,0.038961038961039,0.00556586270871985,0.00371057513914657,0,0,0.00371057513914657,0,0.0705009276437848,0,0,0.00371057513914657,0,0,0,0,0.00371057513914657,0,0,0,0,0,0,0,0.00371057513914657,0,0,0.0148423005565863,0,0,0,0,0.00371057513914657,0,0,0.00185528756957328,0,0,0,0,0,0,0,0
130,NA,0.196125907990315,0.0217917675544794,0.0532687651331719,0.116222760290557,0.00242130750605327,0.26634382566586,0.0121065375302663,0,0.026634382566586,0.036319612590799,0.00242130750605327,0.0508474576271186,0,0,0,0.00242130750605327,0.0750605326876513,0.00726392251815981,0,0.00242130750605327,0.0460048426150121,0.00242130750605327,0,0,0,0.00968523002421308,0,0.0460048426150121,0,0,0.00242130750605327,0,0,0.00242130750605327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00484261501210654,0,0,0.00484261501210654,0.00484261501210654,0.00484261501210654,0,0,0,0,0
135,NA,0.0997067448680352,0.0351906158357771,0.064516129032258,0.0439882697947214,0.00879765395894428,0.30791788856305,0.00879765395894428,0,0.0527859237536657,0.032258064516129,0.00293255131964809,0.00586510263929619,0,0,0,0.0117302052785924,0.258064516129032,0.00586510263929619,0,0.0175953079178886,0.00293255131964809,0.0146627565982405,0.0117302052785924,0,0,0.00293255131964809,0,0.00293255131964809,0,0,0,0,0,0,0.00293255131964809,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00293255131964809,0,0,0,0,0,0.00293255131964809,0,0,0,0,0,0,0,0
140,NA,0.193877551020408,0.0306122448979592,0.0816326530612245,0.183673469387755,0,0.0714285714285714,0.0102040816326531,0,0.0408163265306122,0.0816326530612245,0.0408163265306122,0,0,0,0,0.0510204081632653,0.0612244897959184,0.0408163265306122,0,0.0204081632653061,0.0204081632653061,0.0408163265306122,0.0102040816326531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102040816326531,0,0,0.0102040816326531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,NA,0.0869565217391304,0.0326086956521739,0.0760869565217391,0.0815217391304348,0.016304347826087,0.28804347826087,0.0217391304347826,0,0.0760869565217391,0.0217391304347826,0,0.0706521739130435,0,0,0,0.0380434782608696,0.0543478260869565,0.0108695652173913,0,0.0271739130434783,0.016304347826087,0.00543478260869565,0.0271739130434783,0,0,0,0,0.0108695652173913,0,0,0.0108695652173913,0,0,0,0,0,0,0,0,0,0,0.00543478260869565,0,0.00543478260869565,0,0,0,0,0,0,0,0.00543478260869565,0,0,0,0,0,0.0108695652173913,0,0,0,0,0
150,NA,0.141592920353982,0.0265486725663717,0.115044247787611,0.168141592920354,0.0265486725663717,0.0619469026548673,0.0353982300884956,0,0.132743362831858,0.0088495575221239,0.0265486725663717,0.0176991150442478,0,0,0,0.0176991150442478,0.088495575221239,0.0176991150442478,0.0176991150442478,0.0176991150442478,0.0176991150442478,0.0176991150442478,0.0176991150442478,0,0,0.0088495575221239,0,0,0,0,0,0,0,0,0.0088495575221239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0088495575221239,0,0,0,0
155,NA,0.144736842105263,0.0263157894736842,0.105263157894737,0.184210526315789,0,0.131578947368421,0.0131578947368421,0,0.0789473684210526,0.0526315789473684,0.0394736842105263,0.0131578947368421,0,0,0,0.0263157894736842,0.0526315789473684,0.0131578947368421,0,0.0263157894736842,0.0131578947368421,0.0263157894736842,0,0,0,0,0,0.0131578947368421,0,0,0,0.0131578947368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263157894736842,0,0,0,0,0,0,0,0,0
160,NA,0.172248803827751,0.00717703349282297,0.0334928229665072,0.179425837320574,0.00239234449760766,0.37799043062201,0.0191387559808612,0,0.0358851674641148,0.00478468899521531,0,0.0119617224880383,0,0,0,0.00956937799043062,0.100478468899522,0.00478468899521531,0.00239234449760766,0.00717703349282297,0.00478468899521531,0.00239234449760766,0.00239234449760766,0,0,0,0,0.0119617224880383,0,0,0,0.00239234449760766,0,0.00239234449760766,0,0,0,0,0,0,0,0,0,0.00239234449760766,0,0,0,0,0,0,0,0.00239234449760766,0,0,0,0,0,0,0,0,0,0,0
165,NA,0.235668789808917,0.0127388535031847,0.0764331210191083,0.10828025477707,0.0191082802547771,0.24203821656051,0.0127388535031847,0,0.0191082802547771,0.0254777070063694,0,0.0318471337579618,0,0,0,0.00636942675159236,0.089171974522293,0,0.0127388535031847,0.0318471337579618,0.0318471337579618,0.00636942675159236,0.0127388535031847,0,0,0,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00636942675159236,0,0,0,0,0,0,0,0.00636942675159236,0.00636942675159236,0,0
170,NA,0.154761904761905,0.0595238095238095,0.154761904761905,0.273809523809524,0,0.0238095238095238,0.0595238095238095,0,0.0357142857142857,0.0119047619047619,0.0119047619047619,0.0357142857142857,0,0,0,0.0357142857142857,0.0238095238095238,0.0238095238095238,0,0.0357142857142857,0.0119047619047619,0.0119047619047619,0,0,0,0.0119047619047619,0,0.0119047619047619,0,0,0.0119047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,NA,0.218390804597701,0.126436781609195,0.183908045977011,0.160919540229885,0.0344827586206897,0,0.0574712643678161,0,0.0229885057471264,0.0114942528735632,0.0114942528735632,0.0114942528735632,0,0,0,0.0114942528735632,0.0689655172413793,0.0114942528735632,0,0.0459770114942529,0,0,0,0,0,0.0114942528735632,0,0,0,0,0,0,0,0,0.0114942528735632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,NA,0.0638297872340425,0.0957446808510638,0.180851063829787,0.0851063829787234,0.0106382978723404,0.0638297872340425,0.0319148936170213,0,0.0638297872340425,0.0106382978723404,0.0425531914893617,0.127659574468085,0,0,0,0.0212765957446809,0.0638297872340425,0.0212765957446809,0,0.0319148936170213,0.0212765957446809,0.0106382978723404,0.0212765957446809,0,0,0,0,0.0212765957446809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106382978723404,0
200,NA,0.0814814814814815,0.037037037037037,0.111111111111111,0.111111111111111,0.0666666666666667,0.0444444444444444,0.0444444444444444,0,0.0518518518518519,0.0518518518518519,0.0222222222222222,0.214814814814815,0,0,0,0.0148148148148148,0.037037037037037,0.0296296296296296,0,0.0222222222222222,0,0,0.0222222222222222,0,0,0,0,0,0,0,0.00740740740740741,0.00740740740740741,0,0,0,0,0,0,0,0,0,0,0,0.00740740740740741,0,0,0.00740740740740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00740740740740741
