"sample.depths","sample.ages","upland.sum","Betula","Cyperaceae","Picea","Quercus","Salix","Tsuga","Alnus","Ambrosia","Amaranthaceae","Poaceae","Abies.balsamea","Pinus.strobus","Pinus.banksiana.P..resinosa","Artemisia","Carya","Ulmus","Acer.saccharum","Larix","Myrica.gale","Corylus","Fagus","Fraxinus.nigra","Ostrya","Ericaceae","Populus","Rosaceae","Cupressaceae","Fraxinus.americana","Asteraceae.subf..Asteroideae.undiff.","Ranunculus","Juglans.cinerea","Platanus","Thalictrum","Shepherdia.canadensis"
280,10352,223,31,1,29,10,3,1,6,0,1,2,0,3,105,4,1,3,1,4,5,1,0,2,5,0,0,0,2,0,0,2,1,0,0,0
290,10739,224,44,1,10,8,0,0,5,5,1,1,0,13,101,1,0,6,0,2,9,0,0,4,8,0,2,0,0,0,0,0,0,2,1,0
300,11125,236,57,0,16,15,5,1,3,3,0,1,0,3,94,2,1,4,0,1,16,0,0,2,3,0,2,0,1,0,2,4,0,0,0,0
310,NA,224,51,0,40,12,1,0,3,1,4,0,0,0,85,4,1,1,0,1,8,0,0,3,3,0,0,0,3,0,1,2,0,0,0,0
320,NA,220,46,3,36,15,5,0,4,2,0,0,1,4,82,5,0,3,0,6,0,0,0,0,3,0,3,0,0,0,1,0,1,0,0,0
330,NA,221,23,2,94,19,3,0,7,7,0,0,0,3,49,1,0,4,0,2,1,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0
335,NA,216,24,4,105,16,1,0,4,2,2,1,0,4,32,1,1,5,0,0,0,0,0,0,4,0,5,0,3,1,1,0,0,0,0,0
340,NA,231,10,12,95,18,3,0,4,1,0,0,0,3,47,6,1,12,0,1,4,0,0,2,9,0,2,0,0,0,1,0,0,0,0,0
345,NA,215,8,5,107,17,3,1,0,0,1,0,0,5,35,5,2,8,1,0,0,0,0,0,3,1,4,0,8,0,0,0,0,1,0,0
350,NA,238,8,15,56,25,1,0,2,2,1,2,1,3,59,11,1,7,0,0,1,0,0,0,3,0,18,0,18,1,2,0,0,0,0,1
355,NA,226,34,0,27,15,4,0,1,2,0,7,1,2,57,10,1,10,1,0,0,0,0,0,4,1,24,0,20,1,1,0,0,3,0,0
370,NA,115,15,2,15,7,1,0,2,3,0,2,0,2,39,3,0,11,0,0,0,0,0,0,0,1,9,0,2,0,0,0,0,0,0,1
