"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Cyperaceae","Fabaceae.undiff.","Ostrya.Carpinus","Picea","Pinus.undiff.","Populus.tremuloides.type","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Poaceae","Pinus.strobus","Tsuga.canadensis","Pinus.banksiana.P..resinosa","Carya","Corylus","Fraxinus.nigra.type","Larix","Tilia","Acer.saccharum","Chenopodium.type","Acer.rubrum","Cupressaceae","Juglans.cinerea","Xanthium","Iva.annua","Brassicaceae","Celtis","Polygonum.lapathifolium.type","Humulus.Cannabis.sativa","Rosaceae","Fraxinus.pennsylvanica.type","Asteraceae.subf..Cichorioideae","Apiaceae","Amorpha.canescens","cf..Lysimachia.thyrsiflora","Urtica.type","Vitis","Rubiaceae","cf..Cephalanthus","Juglans.nigra","Morus","Populus.balsamifera.type","Abies","Acer.saccharinum","Dalea.purpurea","Platanus","Zanthoxylum","Laportea.type","Rumex","Impatiens.capensis","Euphorbia","Iva.xanthifolia","Plantago","Acer.spicatum","Ranunculaceae","Ephedra","Tidestromia","cf..Sambucus","Lycopus.type","cf..Ceanothus","Myrica.gale"
1220,7165,255,6,27,12,0,11,1,28,11,47,4,3,9,17,13,15,15,0,14,0,2,6,0,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1223,7208,184,9,19,5,0,5,1,15,13,55,3,1,4,13,10,8,5,0,8,0,1,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1226,7252,240,14,8,10,0,7,1,41,10,45,8,3,3,26,9,14,15,0,9,0,1,0,0,0,0,6,0,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1230,7309,198,11,9,7,0,7,0,21,6,36,3,5,14,17,9,12,16,0,10,0,6,1,0,0,2,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1233,7353,250,4,12,14,0,8,1,27,3,82,5,2,11,17,7,19,10,0,10,1,6,0,1,1,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1236,7396,267,8,18,7,0,2,0,34,5,96,0,1,3,16,8,13,15,0,26,1,8,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1240,7454,452,9,41,20,0,3,2,67,43,124,4,6,6,30,24,23,6,0,11,0,11,7,1,0,0,6,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1243,7497,246,11,12,6,0,2,4,51,13,44,3,8,3,13,11,18,7,0,16,0,4,2,1,0,1,8,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
1253,7641,228,10,20,14,0,1,1,42,14,24,6,3,3,22,10,21,8,0,10,0,1,4,2,0,1,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1256,7684,204,9,5,8,0,4,2,42,9,19,4,2,4,22,4,34,2,0,19,2,3,3,0,1,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1260,7742,464,23,11,29,0,4,3,112,22,26,10,10,10,40,19,45,7,0,58,2,2,3,0,0,1,15,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1263,7785,209,16,6,10,0,1,2,44,15,7,8,6,8,19,8,22,2,0,24,0,0,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1266,7828,243,6,3,8,0,3,2,76,15,6,9,2,3,8,5,46,9,0,27,0,1,5,0,0,1,4,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1270,7886,197,6,4,4,0,2,2,57,4,10,2,4,7,14,6,34,4,0,24,0,0,5,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1273,7929,265,12,3,7,0,6,0,46,5,13,2,21,8,13,13,42,8,0,49,0,0,1,0,0,0,5,0,0,0,0,2,1,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1276,7973,287,0,7,6,0,2,1,78,8,20,2,4,11,19,8,53,7,0,44,1,1,2,1,0,1,6,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1280,8030,204,5,7,5,0,6,1,50,10,7,4,2,2,16,6,35,1,0,34,0,0,5,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1286,NA,313,13,17,9,0,6,1,73,25,8,7,1,5,23,5,52,9,0,46,0,4,1,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1290,NA,308,7,19,17,0,4,1,81,15,9,8,6,1,22,3,66,6,0,35,0,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1296,NA,256,5,7,10,0,3,1,77,11,5,8,3,4,13,5,53,7,0,30,0,1,2,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1300,NA,251,5,23,6,0,2,4,44,15,10,5,2,10,19,3,40,2,0,49,1,1,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1306,NA,217,4,24,10,0,1,2,43,20,7,1,4,3,28,5,21,2,0,30,0,4,3,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1310,NA,286,6,45,7,0,2,0,61,23,13,2,3,13,24,4,26,5,0,35,0,6,6,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1316,NA,292,7,38,6,0,3,1,56,38,5,1,4,7,35,7,40,4,0,29,1,1,1,2,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320,NA,342,8,27,9,0,5,2,77,19,6,8,1,8,24,11,49,7,0,61,0,3,7,2,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
