"sample.depths","sample.ages","upland.sum","Picea","Abies","Larix","Cupressaceae","Pinus","Betula","Populus","Fraxinus.nigra","Fraxinus.pennsylvanica","Quercus","Ulmus","Ostrya.Carpinus","Salix","Acer.saccharum","Acer.rubrum","Tilia","Juglans.cinerea","Juglans.nigra","Carya","Tsuga","Fagus","Morus","Castanea","Alnus","Corylus","Myrica","Ericaceae","Thalictrum","Cornus","Poaceae","Artemisia","Ambrosia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae","Plantago","Rosaceae","Brassicaceae","Apiaceae","Cyperaceae"
410,11723,305,41,25,0,0,149,31,1,0,0,15,1,5,0,0,0,0,1,1,0,7,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,11875,435,11,2,0,1,246,42,0,8,0,68,9,22,0,4,3,0,0,0,0,5,3,0,0,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
425,11951,338,43,22,1,2,194,24,2,0,0,9,0,4,1,1,1,0,0,0,0,7,0,0,0,24,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
430,12027,344,42,17,1,1,182,25,2,0,0,6,0,7,3,0,0,0,0,0,0,1,0,0,0,49,0,0,0,1,0,0,2,2,0,0,0,0,0,0,3
435,12103,343,47,14,1,0,177,15,2,3,0,12,0,10,1,2,0,0,0,0,1,0,0,0,0,48,0,0,0,2,0,0,0,5,0,0,0,0,0,0,3
440,12179,369,46,11,0,1,171,26,2,0,0,7,0,10,1,1,0,0,1,0,0,1,0,0,0,66,7,0,0,0,0,3,2,5,0,1,0,0,0,0,7
445,12255,289,38,24,2,1,174,14,0,0,0,7,0,17,2,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
450,12331,317,56,35,0,1,123,19,3,9,0,14,0,31,0,0,0,0,0,0,0,1,1,0,0,18,1,0,0,2,0,0,1,1,0,0,0,0,0,0,1
455,12407,299,71,16,0,1,149,8,0,4,0,15,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4
460,12483,348,49,7,0,3,220,15,2,3,0,22,0,15,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1
465,12566,321,59,23,0,2,182,9,0,3,0,14,0,21,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,2
470,12702,398,39,19,0,2,264,17,1,1,0,16,0,13,0,0,0,0,0,0,3,0,2,0,1,12,0,0,0,1,0,0,1,2,0,0,0,0,0,0,4
475,12838,343,34,10,0,1,184,15,2,6,0,45,0,32,1,0,2,0,0,0,0,1,1,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3
480,12974,413,53,29,0,1,215,27,0,8,0,26,0,34,0,0,0,0,0,0,0,1,0,0,0,3,5,3,0,0,0,0,2,1,0,0,1,0,0,0,4
485,13111,285,42,34,1,1,154,10,1,0,0,15,0,14,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2
490,13247,306,39,27,0,4,170,13,1,4,0,14,2,19,2,0,0,0,0,0,0,2,1,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
495,13383,301,34,18,0,3,181,5,0,4,0,19,0,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
500,13519,415,61,30,0,4,188,35,3,6,0,31,0,24,7,0,1,0,0,0,1,0,0,0,0,6,1,0,0,0,0,6,1,3,0,0,0,0,0,0,7
505,13601,301,35,26,0,3,98,12,2,43,0,33,0,32,0,0,2,0,0,0,1,0,1,0,0,3,0,0,0,1,0,1,0,0,2,1,0,0,0,0,5
510,13682,309,85,41,1,1,115,16,2,9,0,12,1,13,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,6
515,13763,305,57,28,0,2,112,14,2,5,0,30,1,35,2,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,0,0,6
520,13844,299,49,16,0,5,168,27,7,2,0,4,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,1,1,1,1,0,0,0,0,6
525,13926,278,38,26,1,2,101,25,3,11,0,12,0,38,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,1,1,0,0,0,0,0,11
530,14007,270,92,13,0,7,49,28,0,4,0,24,0,17,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,4,3,0,0,0,0,0,14
535,14088,289,82,8,0,19,59,13,17,8,0,22,0,32,6,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,7,0,2,2,1,0,0,0,0,5
540,14170,304,188,3,0,1,61,4,2,1,0,7,0,4,5,0,0,0,1,0,2,0,0,0,0,8,0,0,0,1,0,2,2,2,0,0,0,0,0,0,10
545,14251,226,123,2,0,4,36,3,2,3,0,8,1,6,4,0,0,0,0,1,2,0,1,0,0,4,0,0,0,2,0,0,3,4,2,0,0,0,0,1,14
550,NA,294,192,3,0,3,45,12,0,0,0,1,0,4,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,2,4,2,2,0,0,0,0,0,16
