"sample.depths","sample.ages","Abies","Acer","Alnus","Anacardiaceae","Betula","Carya","Celtis","Cephalanthus","Corylus","Ericaceae","Fagus","Fraxinus","Ilex","Itea","Juglans","Liquidambar","Morus","Myrica","Nyssa","Ostrya.Carpinus","Pinus..1.2.grains.","Pinus..whole.grains.","Planera.aquatica","Platanus","Quercus","Rubus.type","Salix","Taxodium","Tilia","Ulmus","Vitis","Alternanthera","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Galium","Iva","Lythrum","Malvaceae","Onagraceae","Poaceae","Polygonum","Vigna"
127,4237,0,0.00442477876106195,0,0,0.00442477876106195,0.00442477876106195,0,0.00442477876106195,0,0,0,0.0132743362831858,0,0,0,0.0176991150442478,0,0,0,0,0.0132743362831858,0.0221238938053097,0,0,0.084070796460177,0,0,0.0309734513274336,0,0,0.00442477876106195,0,0,0.0176991150442478,0,0.0265486725663717,0.0353982300884956,0.323008849557522,0,0.0132743362831858,0,0,0,0.380530973451327,0,0
147,4525,0,0,0,0,0,0.00711743772241993,0,0,0,0,0,0.00711743772241993,0,0,0,0.00711743772241993,0,0,0,0,0.0177935943060498,0.0106761565836299,0,0,0.0711743772241993,0,0,0.0854092526690391,0,0,0.00355871886120996,0,0,0.00355871886120996,0.00355871886120996,0.0213523131672598,0,0.455516014234875,0,0.0177935943060498,0,0,0,0.288256227758007,0,0
167,4813,0,0,0.00342465753424658,0,0,0.0205479452054795,0,0,0,0,0,0,0,0,0,0,0,0.00342465753424658,0,0,0.00684931506849315,0.0102739726027397,0.00342465753424658,0,0.0684931506849315,0,0,0.0342465753424658,0,0,0.00342465753424658,0,0,0.00684931506849315,0,0.0308219178082192,0.00342465753424658,0.530821917808219,0,0.00342465753424658,0,0,0.00342465753424658,0.267123287671233,0,0
187,5101,0,0,0.00340136054421769,0,0,0.00680272108843537,0,0,0,0,0,0.00340136054421769,0,0,0,0.00680272108843537,0,0,0,0,0.00680272108843537,0.00680272108843537,0.00340136054421769,0,0.064625850340136,0,0,0.0238095238095238,0,0,0,0,0,0.0170068027210884,0,0.0340136054421769,0.0102040816326531,0.568027210884354,0,0.00340136054421769,0,0,0,0.241496598639456,0,0
205,5361,0,0,0,0,0,0.00317460317460317,0,0,0,0,0,0.00317460317460317,0,0,0,0,0,0,0,0,0,0.0126984126984127,0,0,0.0285714285714286,0,0.00952380952380952,0.019047619047619,0,0.00634920634920635,0,0,0,0.00317460317460317,0,0.0634920634920635,0.00317460317460317,0.638095238095238,0,0,0,0,0,0.20952380952381,0,0
220,5577,0,0,0,0,0,0.0064516129032258,0,0,0,0,0,0.0032258064516129,0,0,0,0,0,0,0,0,0.0032258064516129,0,0,0,0.0193548387096774,0,0,0.0129032258064516,0,0.0032258064516129,0,0,0,0,0,0.103225806451613,0.0064516129032258,0.683870967741935,0,0.0032258064516129,0,0,0,0.154838709677419,0,0
228,5672,0,0,0,0,0,0.00732600732600733,0,0,0,0,0,0.010989010989011,0,0,0,0,0,0,0,0.00366300366300366,0.010989010989011,0.0146520146520147,0,0,0.0952380952380952,0,0,0.010989010989011,0,0.00366300366300366,0.00366300366300366,0,0.00366300366300366,0,0,0.0476190476190476,0.10989010989011,0.41025641025641,0,0.021978021978022,0,0,0,0.245421245421245,0,0
232,5719,0,0,0,0,0,0.0101694915254237,0,0,0,0,0,0.00338983050847458,0,0,0,0,0,0,0,0,0,0.00677966101694915,0,0,0.0338983050847458,0,0.00338983050847458,0.023728813559322,0,0.00677966101694915,0,0,0.00677966101694915,0.0135593220338983,0,0.0508474576271186,0.00338983050847458,0.576271186440678,0,0.00677966101694915,0.0135593220338983,0,0,0.240677966101695,0,0
238,5791,0.00346020761245675,0,0,0,0,0.0207612456747405,0.00346020761245675,0.00346020761245675,0,0,0,0,0,0,0,0.00346020761245675,0,0,0,0,0.0103806228373702,0.013840830449827,0,0,0.0622837370242214,0,0,0.013840830449827,0,0,0,0,0.00346020761245675,0,0,0.0311418685121107,0.0242214532871972,0.602076124567474,0,0,0,0,0,0.204152249134948,0,0
243,5850,0,0,0,0,0,0.00906344410876133,0,0,0,0,0,0.00604229607250755,0,0,0,0.00604229607250755,0,0.00302114803625378,0,0,0.00302114803625378,0.0211480362537764,0,0,0.0483383685800604,0,0,0.0120845921450151,0,0.00302114803625378,0.00906344410876133,0,0.00906344410876133,0,0,0.0241691842900302,0.0513595166163142,0.6797583081571,0,0.00906344410876133,0,0,0,0.105740181268882,0,0
