"sample.depths","sample.ages","Acer.saccharum","Acer.undiff.","Alnus","Betula","Carya","Castanea","Chamaecyparis.thyoides","Corylus","Cupressaceae.Taxaceae.undiff.","Ericaceae","Fagus","Fraxinus","Ilex","Juglans","Liquidambar","Nyssa","Ostrya","Picea","Pinus","Quercus","Salix","Sambucus.type","Sarcobatus.vermiculatus","Tilia","Trema","Tsuga","Ulmus","Vitis","Acalypha","Ambrosia","Apiaceae","Asteraceae..high.spine.","Asteraceae..low.spine.","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Euphorbiaceae.undiff.","Fabaceae","Iridaceae","Plantago","Poaceae","Polygonum","Primulaceae","Rosaceae","Rubiaceae","Rumex","Saxifragaceae","Thalictrum","Urtica","Violaceae","Botrychium","Lycopodium","Osmunda","Sphagnum","Hippuris.vulgaris","Myriophyllum","Nymphaea","Pontederiaceae","Sagittaria","Typha","Indeterminable","Unknown.spore","Unknown.undiff."
155,8339,0,0,4,2,2,0,0,6,1,7,0,0,15,0,1,16,0,0,17,84,0,0,0,0,0,0,0,1,1,0,0,4,0,0,15,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,70,0,0
175,9129,5,2,8,9,2,1,1,6,10,3,0,0,21,1,2,46,0,0,36,155,1,0,0,0,0,0,0,19,0,0,0,1,2,0,10,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,76,2,5
195,9632,1,0,11,15,3,0,0,1,15,3,0,0,13,0,1,34,0,0,49,122,0,0,0,0,0,0,1,1,0,0,0,0,1,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,81,0,0
205,9766,2,0,23,37,0,0,0,6,24,3,0,0,5,0,0,7,0,0,27,143,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,1,7
215,9900,0,0,9,50,3,1,0,2,0,6,0,0,20,0,0,7,0,0,27,142,0,0,0,1,0,0,0,0,2,1,0,2,2,0,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,10,0,0,0,1,0,0,128,2,0
225,10035,0,1,14,10,8,0,0,4,6,0,0,0,2,0,0,1,2,0,143,142,0,0,0,0,0,1,2,0,0,0,2,0,1,0,16,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,48,5,15
235,10169,0,0,24,3,6,2,0,0,0,4,0,0,6,0,1,6,0,0,159,95,0,0,0,0,0,0,1,0,0,0,0,2,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,78,0,0
255,NA,0,0,44,10,0,5,0,0,1,5,1,0,1,0,1,3,0,0,242,45,0,0,0,0,0,0,1,0,0,0,0,8,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,50,4,0
265,NA,0,0,72,3,10,0,0,6,3,3,0,0,5,0,0,5,0,0,160,64,1,0,0,1,0,1,1,0,0,0,0,14,2,0,14,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,0,97,4,0
275,NA,0,0,50,6,7,0,0,1,0,12,0,0,6,0,0,3,0,3,173,75,0,0,0,0,0,5,2,0,0,0,0,8,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,1,57,7,0
