"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Castanea","Corylus","Cupressaceae","Cyperaceae","Elaeagnus","Ericaceae","Fagus","Fraxinus","Herbs.undiff.","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Liquidambar","Lycopodium.type","Myrica","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Populus","Quercus","Rhamnaceae.Vitaceae","Rosaceae.undiff.","Rumex","Salix","Sanguisorba","Sarcobatus.vermiculatus","Shepherdia","Sphagnum","Taxus","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus"
300,3312,1,16,6,0,0,0,0,0,0,71,0,0,0,4,4,0,0,31,14,3,0,0,0,4,0,0,2,0,0,15,3,11,104,40,0,0,1,3,22,1,0,0,0,0,0,0,1,0,0,2,0,63,0,5
310,3411,3,15,11,0,2,0,3,0,0,87,1,0,0,13,2,0,0,33,16,1,1,0,0,0,0,0,2,0,0,10,1,11,176,20,0,1,0,4,23,0,1,0,0,0,1,0,0,1,0,0,0,37,0,8
310,3411,3,15,11,0,2,0,3,0,0,87,1,0,0,13,2,0,0,33,16,1,1,0,0,0,0,0,2,0,0,10,1,11,176,20,0,1,0,4,23,0,1,0,0,0,1,0,0,1,0,0,0,37,0,8
320,3583,3,14,7,0,2,0,1,0,0,100,0,0,1,4,2,0,0,22,10,0,0,0,0,0,0,0,2,0,0,6,2,18,122,35,0,1,2,3,20,0,0,0,0,0,0,0,0,0,0,4,0,9,0,6
340,3991,0,10,9,0,1,0,2,2,0,81,2,0,0,2,3,0,0,12,4,1,1,0,0,0,0,1,2,0,1,9,5,19,121,46,0,0,1,4,24,2,0,0,1,0,0,0,0,2,0,1,1,7,1,12
360,4398,0,10,7,0,0,2,0,0,0,99,2,1,1,7,2,0,1,29,12,0,0,0,0,0,0,0,4,0,1,14,4,20,141,39,0,2,1,3,48,0,0,0,0,0,0,0,0,0,0,1,0,12,0,18
380,4806,0,9,18,1,1,0,0,0,0,90,3,0,0,1,0,0,0,11,8,2,1,0,0,0,0,1,2,0,0,11,5,21,142,43,0,0,2,0,39,0,0,0,1,0,0,0,0,0,0,0,0,13,0,12
400,5111,0,5,10,1,0,0,1,1,0,72,1,0,0,1,2,0,0,19,8,0,1,0,0,1,0,1,1,0,0,11,0,23,116,37,0,1,1,1,24,1,0,0,2,0,0,0,0,2,1,1,0,20,0,13
422,5445,1,5,8,0,1,0,2,0,0,78,4,0,0,0,1,0,0,11,3,2,0,0,0,0,0,2,0,1,0,5,3,18,76,20,0,1,2,2,12,1,0,0,0,0,0,0,0,3,0,3,0,17,0,14
430,5567,0,11,14,1,1,0,1,0,0,147,0,0,0,19,3,0,0,22,10,3,0,0,0,0,0,1,2,0,0,4,5,14,125,20,0,3,1,1,11,0,0,0,1,0,0,0,0,3,0,1,0,68,1,26
440,5719,1,10,9,0,1,1,1,0,0,59,1,0,0,0,3,0,0,7,9,0,1,0,0,1,0,1,0,0,0,6,2,16,132,28,0,0,1,1,17,0,0,0,0,0,0,0,0,1,0,1,0,65,0,9
460,6023,0,13,9,1,1,0,0,0,0,65,1,0,0,1,2,0,0,7,13,1,0,0,0,1,0,0,0,0,0,12,1,14,109,32,0,0,1,0,33,0,0,0,0,0,0,0,0,0,0,1,0,55,0,16
480,6328,0,7,9,0,0,0,0,0,0,42,0,0,0,1,0,0,0,7,7,1,0,0,0,1,0,0,1,0,0,7,1,26,158,48,0,1,1,1,21,0,0,0,0,0,0,0,0,0,0,1,0,64,0,13
500,6632,0,9,23,0,1,0,1,1,0,49,0,0,0,1,4,0,0,3,10,0,0,0,0,0,0,1,3,0,0,13,1,43,128,55,0,1,1,0,34,0,1,0,2,0,0,0,1,6,0,1,0,49,0,15
521,6952,0,13,13,1,1,0,1,0,0,83,0,0,0,0,4,0,0,12,13,1,0,2,0,2,1,0,2,0,1,21,0,54,185,71,0,4,0,1,56,0,0,0,0,0,0,0,1,0,0,2,0,43,0,23
540,7241,2,11,6,0,1,0,1,0,0,50,1,0,1,0,3,0,0,6,17,2,0,0,0,1,0,0,4,0,0,25,2,72,273,64,0,4,0,1,66,0,0,0,0,0,0,0,0,1,0,2,0,30,0,20
550,7397,2,10,11,1,4,0,1,0,0,30,1,0,0,0,2,0,0,4,12,2,1,0,0,1,0,2,5,0,0,17,2,34,370,92,0,1,3,2,60,0,0,0,1,0,0,0,0,1,0,1,0,6,0,6
560,7556,2,7,2,2,0,0,1,0,0,29,0,0,0,0,2,0,0,4,13,0,0,0,0,0,0,0,2,0,0,24,1,38,274,65,0,1,0,0,43,0,0,0,2,0,0,0,0,1,0,0,0,6,0,7
580,7876,0,6,4,1,1,0,1,1,0,26,0,0,0,0,0,0,0,5,7,1,0,1,0,1,0,0,0,0,0,37,2,56,233,60,0,2,1,7,63,0,0,0,1,1,0,1,0,1,0,0,0,4,0,22
590,8035,2,4,12,0,0,0,2,1,0,31,1,0,3,1,1,0,0,4,7,1,0,0,0,0,0,0,1,0,0,24,5,48,256,36,0,1,1,3,36,0,0,0,0,1,0,0,0,1,0,1,0,3,0,7
600,8195,0,5,6,0,1,0,0,0,0,25,0,0,1,0,1,0,0,1,10,1,0,0,0,1,0,0,1,0,0,15,3,47,140,45,0,1,1,1,29,0,0,0,0,0,0,0,1,1,0,0,0,2,0,9
621,8530,4,3,15,0,0,0,1,0,0,49,0,0,2,0,1,0,0,0,3,1,0,0,0,1,0,0,5,0,0,8,3,110,122,40,0,1,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8
640,8833,4,2,7,0,0,0,1,0,0,41,0,0,2,1,2,0,0,1,6,0,0,0,0,0,0,0,5,0,0,4,3,107,161,64,0,0,0,2,18,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4
660,9153,3,1,5,0,3,0,1,0,0,32,0,0,0,0,5,0,0,1,3,0,0,0,0,0,0,0,1,0,0,4,6,114,102,63,0,1,2,0,21,0,2,0,0,0,0,0,1,1,0,0,0,0,0,3
680,9472,3,1,14,2,3,0,1,1,0,51,0,0,3,0,1,0,0,0,6,0,0,0,0,2,0,0,2,0,0,3,3,96,74,33,0,0,2,3,14,0,0,0,1,0,1,0,0,0,0,0,0,2,1,2
700,9791,5,0,14,0,2,0,2,0,0,107,1,0,1,0,3,0,0,0,11,4,0,0,0,2,0,0,5,0,0,3,6,182,51,54,0,0,6,6,25,0,0,0,1,0,0,1,0,1,0,0,0,0,1,13
721,10126,0,1,7,1,0,0,5,0,0,67,0,0,0,5,1,0,0,0,3,0,0,0,0,2,0,0,2,0,0,4,5,177,24,36,0,1,6,3,14,0,0,0,1,0,0,0,0,1,0,0,0,1,0,5
740,10430,0,2,27,0,5,0,3,1,0,72,0,0,2,2,2,0,0,1,4,0,1,0,0,0,0,0,12,0,0,10,11,163,21,55,0,1,7,13,29,0,0,0,2,0,0,0,0,0,0,0,0,1,0,7
760,10749,1,1,11,2,1,0,1,0,0,61,1,0,2,0,1,0,0,0,2,1,0,0,0,1,0,0,3,0,0,5,9,145,13,43,0,0,4,2,12,0,0,0,2,0,0,0,0,1,0,0,0,1,1,8
780,11068,1,2,6,0,0,0,2,0,0,90,3,0,2,0,0,0,0,0,5,2,0,0,0,3,0,0,10,0,0,3,12,327,17,52,0,0,8,6,23,0,0,1,1,0,0,0,0,0,0,0,0,2,0,5
790,11168,1,1,3,0,4,0,8,0,0,90,1,0,0,0,5,0,0,1,1,1,0,0,0,2,0,0,8,0,0,6,26,211,19,29,0,2,13,15,20,0,1,0,6,0,0,0,0,0,0,0,0,2,1,10
800,11268,0,1,2,0,0,0,6,0,0,127,2,0,0,0,4,0,0,1,4,4,1,0,0,3,0,0,16,0,0,4,23,72,9,3,0,1,9,18,23,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6
810,11369,0,3,0,0,1,0,1,0,0,111,0,0,0,0,1,0,0,0,5,4,0,0,0,2,0,0,13,0,0,9,37,46,12,9,0,0,4,7,19,0,1,0,0,0,0,0,1,0,0,0,0,2,1,12
820,11469,0,5,1,0,4,0,4,0,0,68,0,0,1,0,5,0,0,0,7,1,0,0,0,5,0,1,41,0,0,14,45,43,23,10,0,2,4,13,23,0,1,0,4,0,0,0,0,1,0,0,0,0,0,9
830,11569,0,3,0,1,5,0,8,2,0,39,0,0,0,3,8,0,0,1,4,5,0,0,0,4,0,0,36,0,0,12,49,34,22,2,0,0,6,24,24,0,0,0,9,0,0,0,0,0,0,0,0,0,1,5
840,11669,0,0,0,2,2,0,13,0,0,27,3,0,0,0,2,0,0,0,4,1,0,0,0,2,0,2,28,0,0,8,82,35,22,4,0,0,3,12,35,0,0,0,5,0,0,2,0,2,0,0,0,1,0,12
850,11769,0,1,1,1,0,0,4,1,0,37,1,0,1,2,1,0,0,0,5,2,0,0,0,1,0,1,11,0,0,10,120,15,15,8,0,0,2,27,24,0,0,0,5,0,0,0,1,0,0,0,0,0,0,4
855,11819,0,2,3,0,2,0,5,3,0,18,0,0,0,0,2,0,0,0,6,2,0,0,0,0,0,0,23,0,0,5,119,13,9,4,0,0,1,30,28,0,1,0,9,0,0,0,0,0,0,0,0,0,2,10
860,11869,1,3,4,0,0,0,6,0,0,27,0,0,3,0,4,0,1,2,4,4,2,0,0,0,0,1,39,0,0,6,124,30,17,8,0,0,2,25,28,0,0,0,7,0,0,0,0,4,0,0,0,1,1,8
864,11912,1,2,5,0,2,0,7,0,0,30,1,0,0,8,6,0,1,1,7,4,2,0,0,0,0,0,18,0,0,13,39,22,4,3,0,0,6,88,35,0,0,0,12,0,0,0,0,0,0,0,0,0,0,6
866,11935,1,1,6,0,2,0,4,1,0,37,1,0,0,9,3,1,0,1,4,1,0,0,0,0,0,0,2,0,0,5,41,27,19,5,0,0,2,109,7,0,0,0,5,0,0,1,0,0,0,0,0,1,1,2
869,11969,1,0,8,0,3,0,23,3,0,43,0,0,0,0,28,0,0,0,4,4,0,1,0,0,0,2,2,0,0,9,12,39,9,10,0,0,10,57,33,0,0,1,17,0,0,0,0,0,0,0,0,3,0,4
872,12004,2,0,8,0,6,0,16,0,0,92,0,0,0,1,4,0,0,0,4,3,0,0,0,0,0,0,0,0,0,9,25,61,13,11,0,0,5,122,24,0,1,0,6,0,0,0,1,0,0,0,0,4,0,7
875,12038,1,1,10,1,4,0,12,3,0,47,0,0,0,0,8,0,0,0,6,0,1,0,0,0,0,2,1,0,0,6,5,35,14,7,0,0,10,106,31,0,0,1,7,0,0,2,0,1,0,0,1,2,0,6
879,12084,1,1,3,0,0,0,9,5,0,56,2,0,0,2,16,0,0,0,3,2,0,0,0,0,0,3,1,0,0,7,18,61,20,16,0,0,6,95,8,1,1,0,3,0,0,3,0,0,0,0,0,1,2,7
881,12107,0,0,4,0,14,0,25,2,0,40,0,0,2,0,11,0,0,0,0,5,0,0,1,0,0,2,1,0,0,6,14,29,11,2,2,0,6,86,13,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0
910,12438,0,1,9,0,3,0,8,4,0,55,0,0,1,0,10,1,0,0,1,1,0,0,0,1,0,10,0,0,0,3,19,33,19,10,0,0,8,176,11,0,0,0,7,0,0,4,0,1,0,0,0,1,0,3
913,12473,0,1,14,1,9,0,13,0,0,65,0,0,3,0,12,0,0,0,4,4,0,0,0,1,0,4,0,0,0,5,10,37,15,13,0,0,4,244,16,0,1,0,12,0,0,5,0,0,0,0,0,1,0,7
915,12495,1,0,8,0,2,0,9,6,0,54,1,0,0,2,10,0,0,0,4,0,0,0,0,0,0,4,0,0,0,8,17,36,18,8,0,0,6,171,10,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1
920,12553,2,2,16,0,0,0,17,1,0,38,0,0,1,0,25,0,0,0,3,3,0,1,0,0,0,5,1,0,0,2,13,52,16,8,0,0,10,33,21,0,1,0,49,0,0,2,0,0,0,0,0,3,0,4
925,12610,4,1,11,0,1,0,37,1,0,24,2,0,2,0,60,0,0,0,4,8,0,0,0,0,0,0,0,0,0,4,35,62,18,10,0,0,18,22,10,0,1,1,28,0,0,3,0,0,1,0,0,2,0,0
931,12678,0,1,18,2,4,0,50,3,1,23,0,1,2,0,39,0,0,0,0,15,0,0,0,0,0,2,0,0,0,2,22,47,10,12,0,0,30,6,14,0,7,0,29,0,0,1,0,0,0,0,0,0,0,2
935,12724,4,0,20,0,7,0,53,4,0,20,0,0,1,0,70,0,0,0,6,13,0,0,0,0,0,3,0,0,0,7,40,52,15,11,0,0,37,1,10,0,3,2,31,0,0,0,2,0,0,0,0,1,0,1
941,NA,5,0,19,0,11,0,62,0,0,14,0,0,1,0,41,0,0,0,0,11,0,0,0,0,0,1,0,0,0,4,25,59,5,9,0,0,16,5,11,0,5,1,22,0,0,0,0,0,0,0,0,0,0,1
942,NA,1,0,8,0,3,0,40,1,0,8,0,0,1,0,14,2,0,0,0,7,0,0,0,0,0,0,0,0,0,2,11,10,0,6,0,0,8,0,8,0,2,0,11,0,0,0,2,0,0,0,0,0,0,1
950,NA,0,0,7,1,1,0,36,1,0,15,0,0,0,0,20,1,0,1,0,5,0,0,0,0,0,1,0,0,0,1,16,25,8,9,0,0,5,3,7,0,2,2,11,0,0,0,0,0,0,0,0,0,0,3
953,NA,0,1,12,5,18,0,80,2,1,17,0,0,1,0,44,1,0,1,5,20,0,0,0,0,0,3,0,0,0,5,25,44,17,15,0,0,19,1,19,0,8,1,24,0,0,1,1,0,1,0,0,1,0,1
