"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Betula","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Taxus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Poaceae","Abies.balsamea","Acer.saccharum","Corylus.cornuta","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Prunus.pensylvanica","Rumex.type","Tsuga.canadensis","Viburnum.opulus","Picea.undiff.","Ericaceae.undiff.","Artemisia","Juglans.cinerea","Rosaceae.undiff.","Juniperus.type","Carya.ovata","Castanea.dentata","Juniperus.communis.Thuja.occidentalis.type","Larix","Ostrya.Carpinus","Sambucus","Rubiaceae","Picea.glauca.type","Acer.saccharinum","Viburnum.nudum","Tilia","Lamiaceae","Caryophyllaceae","Salix.undiff.","Pinus.resinosa.type","Prunus.virginiana","Nemopanthus.mucronatus","Amaranthaceae","Brassicaceae","Plantago","Ranunculaceae.undiff.","Thalictrum","Rosaceae.cf..Prunus.serotina","Asteraceae.subf..Cichorioideae","Populus.balsamifera.type","Viburnum.edule","Fabaceae.undiff.","Onagraceae","Saxifraga","Rhamnus.cathartica","Shepherdia.canadensis","cf..Oxyria.digyna","Vaccinium","Cornus.sericea","Dryas","Oxytropis.maydelliana.type","Potentilla.palustris.type","Salix.vestita.type","Caprifoliaceae.undiff.","Apiaceae","Viburnum.lentago","Salix.herbacea.type","Armeria.maritima","Polygonum.viviparum","Saxifraga.oppositifolia.type","Impatiens"
275,10425,530,1,0,3,136,0,194,2,0,4,2,39,7,31,14,1,4,8,4,5,2,0,1,31,8,0,0,2,0,18,0,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,10559,425,0,0,2,159,0,103,5,0,3,1,27,6,9,26,1,2,4,3,0,3,0,0,22,3,0,0,2,0,25,0,1,1,0,1,1,0,0,3,1,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,10691,423,0,1,2,13,2,91,14,0,6,1,39,34,33,44,1,1,12,5,0,0,4,1,17,19,0,0,3,0,35,0,2,0,1,17,0,0,0,1,6,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,10821,450,0,0,1,8,0,127,11,0,2,0,44,6,89,32,0,1,4,5,0,1,2,3,20,17,0,0,2,0,16,1,3,0,1,19,0,0,3,0,4,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,10949,399,0,1,1,5,0,113,22,0,4,1,4,6,58,15,0,3,3,6,1,0,0,4,23,9,0,0,0,0,5,0,2,0,1,65,0,0,2,1,2,0,0,1,0,0,0,0,2,32,1,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,11075,565,0,1,1,9,2,204,1,2,4,1,14,10,117,22,0,5,7,10,2,0,0,1,18,18,0,0,1,0,3,1,5,0,0,58,0,0,3,0,1,0,0,0,0,0,0,0,2,28,0,0,0,0,0,0,0,0,0,0,10,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,NA,779,0,0,0,38,0,174,64,0,10,0,8,29,187,24,2,5,11,21,0,2,0,1,24,27,0,1,1,0,5,1,16,0,1,15,0,0,5,2,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,1,0,0,0,21,0,1,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
310,NA,629,0,1,4,12,0,45,167,0,2,0,7,10,10,9,0,13,6,57,2,0,0,0,22,11,0,0,2,0,6,0,19,0,4,11,0,0,0,0,0,0,0,1,0,0,0,0,3,180,0,0,0,0,0,0,17,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
315,NA,517,0,0,3,8,0,35,209,0,1,0,13,11,3,5,0,9,1,113,2,0,0,0,16,7,0,0,0,0,7,0,12,0,3,2,1,0,1,0,1,0,0,1,0,0,0,0,4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,3,0,0,0,0,0,0,0,0
320,NA,429,0,0,3,17,0,25,137,2,3,0,8,6,4,5,0,0,2,103,0,0,1,1,13,7,0,0,0,0,3,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,55,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0
325,NA,599,0,0,13,9,1,21,195,0,0,0,14,2,0,1,0,4,1,183,0,1,0,0,12,2,0,0,0,0,3,1,28,1,17,0,0,0,1,0,1,0,0,0,0,0,0,0,8,57,0,0,0,0,0,0,0,4,0,0,0,0,4,1,0,0,0,11,0,0,0,0,0,0,0,1,2,0,0,0,0,0
330,NA,706,0,0,13,6,1,28,263,0,0,0,15,10,2,5,0,3,6,169,1,0,0,0,20,6,0,0,1,0,7,0,28,0,9,5,0,0,0,0,0,0,0,2,0,1,0,0,4,66,0,0,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,20,0,0,0,0,0,5,0,0,0,2,0,0,0,0
335,NA,549,0,0,9,8,1,25,191,0,2,1,9,9,0,7,0,8,1,93,0,0,1,1,34,1,0,0,2,0,6,3,15,0,10,2,0,1,0,0,0,0,0,0,0,0,0,0,6,86,0,0,0,1,0,0,1,2,0,0,0,1,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0
340,NA,525,0,0,4,1,0,40,141,0,6,1,4,8,2,10,0,4,11,95,2,1,3,0,19,0,0,0,0,0,9,1,16,0,17,2,0,0,0,0,6,0,0,1,0,0,0,0,4,104,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,8,0,1,0,0,0,0,0,0,0,0
345,NA,426,0,0,3,2,1,24,51,1,0,0,12,5,0,9,0,6,2,97,2,0,2,0,34,0,0,0,2,0,12,0,10,0,26,6,0,0,0,0,1,0,0,2,0,0,0,0,3,99,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,2,1,0
350,NA,368,0,0,7,1,2,31,25,1,4,3,33,19,1,21,0,3,3,33,0,0,2,2,18,10,0,0,0,0,10,0,3,0,14,5,1,0,2,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
355,NA,356,0,0,5,1,0,24,22,0,4,5,15,11,11,22,0,5,2,49,2,0,3,0,13,0,0,0,0,0,24,0,2,0,2,4,1,0,2,0,1,0,0,7,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,NA,93,0,0,10,3,0,20,13,0,0,0,1,6,0,4,0,2,1,6,0,0,0,0,5,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
365,NA,414,0,0,24,14,3,104,13,1,11,7,11,56,10,21,0,6,12,31,1,0,3,0,21,2,0,0,0,0,20,4,11,1,2,10,0,0,1,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,1,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,NA,243,0,0,8,5,3,60,20,0,9,0,10,8,0,14,0,8,16,22,2,0,1,1,20,0,0,0,0,0,9,0,9,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6
372,NA,171,0,0,4,3,0,42,11,0,2,0,21,8,0,10,1,3,8,10,0,0,0,0,21,0,0,0,0,0,10,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5
