"sample.depths","sample.ages","Acer.rubrum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Caryophyllaceae","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Asteraceae.subf..Cichorioideae","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Ranunculaceae.undiff.","Salix","Saxifragaceae","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Amaranthaceae","Rosaceae","Abies.balsamea","Acer.saccharum","Pinus.banksiana.type","Pinus.strobus","Rumex.type","Juniperus.communis.Thuja.occidentalis.type","Picea.undiff.","Larix","Quercus","Fabaceae","Tsuga.canadensis","Ericaceae","Thalictrum","Viburnum.lentago","Acer.saccharinum","Carya.ovata","Acer.pensylvanicum","Myrica.gale","Viburnum.edule","Juglans.cinerea","Cornus.undiff.","Taxus","Ostrya.Carpinus","Corylus.cornuta","Rubiaceae","Populus.balsamifera.type","Cornus.alternifolia","Shepherdia.canadensis","Onagraceae","Asteraceae.undiff.","Cerealia","Brassicaceae","Aralia.hispida","Plantago","Lamiaceae","Polygonaceae.undiff."
200,5756,0,0.00210084033613445,0.00210084033613445,0.00210084033613445,0,0,0.384453781512605,0,0.0126050420168067,0,0.0819327731092437,0.00210084033613445,0.00840336134453781,0,0.0672268907563025,0.00840336134453781,0.00210084033613445,0,0.247899159663866,0,0.00210084033613445,0.00210084033613445,0,0,0.00840336134453781,0.096638655462185,0.00210084033613445,0.00840336134453781,0.0315126050420168,0,0.00630252100840336,0.0126050420168067,0,0,0,0,0,0.00420168067226891,0,0,0,0,0,0.00210084033613445,0.00210084033613445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,5991,0,0.00266666666666667,0.00266666666666667,0.0133333333333333,0,0.00266666666666667,0.389333333333333,0,0.0186666666666667,0.00266666666666667,0.064,0,0,0,0.0506666666666667,0.016,0,0,0.194666666666667,0,0,0,0,0.00266666666666667,0,0.12,0,0.0106666666666667,0.0773333333333333,0,0.00533333333333333,0.0106666666666667,0,0.00533333333333333,0,0.008,0,0.00266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,6225,0,0.0240641711229947,0.0106951871657754,0.0106951871657754,0,0,0.655080213903743,0,0.0106951871657754,0,0.0828877005347594,0,0,0,0.0213903743315508,0.00802139037433155,0.0213903743315508,0,0.0561497326203209,0,0,0,0,0,0,0.0374331550802139,0,0,0.0294117647058824,0,0,0.0106951871657754,0,0.00267379679144385,0,0.00267379679144385,0,0,0,0,0,0,0.0053475935828877,0,0,0.00267379679144385,0.00802139037433155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,6460,0,0.00657894736842105,0,0.0087719298245614,0.00219298245614035,0.0043859649122807,0.710526315789474,0,0.0307017543859649,0,0.037280701754386,0.00219298245614035,0.0043859649122807,0,0.0394736842105263,0.0131578947368421,0.0043859649122807,0,0.0197368421052632,0,0,0,0,0,0.00219298245614035,0.0482456140350877,0.00219298245614035,0.00219298245614035,0.0307017543859649,0,0.00657894736842105,0.0087719298245614,0,0.00219298245614035,0,0.00657894736842105,0,0,0,0,0,0,0,0,0,0,0.0043859649122807,0.00219298245614035,0,0,0,0,0,0,0,0,0,0,0,0,0
280,6695,0,0.0220913107511046,0.00147275405007364,0.0147275405007364,0,0,0.726067746686303,0,0.0117820324005891,0.00294550810014728,0.00294550810014728,0,0,0,0.0544918998527246,0.0132547864506627,0.00441826215022091,0,0.0191458026509573,0,0.00147275405007364,0,0,0,0,0.0471281296023564,0.00294550810014728,0.00736377025036819,0.0338733431516937,0,0.00589101620029455,0.0132547864506627,0,0.00441826215022091,0,0.00147275405007364,0,0,0,0,0,0.00147275405007364,0,0.00147275405007364,0,0.00147275405007364,0.00147275405007364,0,0.00147275405007364,0.00147275405007364,0,0,0,0,0,0,0,0,0,0,0
300,6930,0,0.0149253731343284,0,0.0149253731343284,0,0,0.753731343283582,0,0.00559701492537313,0.00186567164179104,0,0.00186567164179104,0,0,0.0447761194029851,0.0111940298507463,0.0111940298507463,0,0.0279850746268657,0,0,0.00373134328358209,0,0.00186567164179104,0,0.0541044776119403,0.00186567164179104,0.00373134328358209,0.0242537313432836,0,0.00746268656716418,0.00932835820895522,0,0,0,0.00373134328358209,0,0,0,0,0,0,0,0,0,0.00186567164179104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,7165,0,0.0138888888888889,0.00231481481481481,0.0277777777777778,0,0,0.685185185185185,0,0.0208333333333333,0.00231481481481481,0.00462962962962963,0.00231481481481481,0.00231481481481481,0,0.0393518518518519,0.0138888888888889,0.00694444444444444,0,0.00925925925925926,0,0,0.00231481481481481,0,0,0,0.0555555555555556,0.00231481481481481,0.00925925925925926,0.0601851851851852,0,0.00925925925925926,0.0115740740740741,0,0.00231481481481481,0,0.00694444444444444,0,0,0,0,0,0,0,0,0.00231481481481481,0,0.00462962962962963,0,0,0.00231481481481481,0,0,0,0,0,0,0,0,0,0,0
340,7399,0,0.0104529616724739,0.00348432055749129,0.0156794425087108,0,0,0.700348432055749,0,0.0226480836236934,0,0.00696864111498258,0,0.00348432055749129,0,0.0331010452961672,0.00871080139372822,0.0278745644599303,0,0.0156794425087108,0,0.00174216027874564,0.00348432055749129,0,0,0,0.0714285714285714,0.00522648083623693,0.00348432055749129,0.0348432055749129,0,0.00522648083623693,0.0174216027874564,0,0,0,0.00696864111498258,0,0,0,0,0,0,0,0,0,0.00174216027874564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,7634,0,0.00838574423480084,0.00209643605870021,0.0230607966457023,0.00209643605870021,0.00209643605870021,0.70020964360587,0,0.0335429769392034,0.00209643605870021,0.00838574423480084,0,0.00419287211740042,0,0.0356394129979036,0.010482180293501,0.0293501048218029,0,0.0167714884696017,0,0.00419287211740042,0.00209643605870021,0,0,0,0.0691823899371069,0,0.00419287211740042,0.0188679245283019,0,0.00209643605870021,0.0125786163522013,0,0,0.00209643605870021,0,0,0,0,0,0,0,0,0,0,0,0.00628930817610063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,7869,0,0.0218978102189781,0.00364963503649635,0.0675182481751825,0.00182481751824818,0,0.706204379562044,0,0.0346715328467153,0,0,0,0,0,0.0237226277372263,0.00547445255474453,0.0273722627737226,0,0.00912408759124088,0,0.00182481751824818,0.00182481751824818,0,0,0.00182481751824818,0.041970802919708,0.00182481751824818,0.0109489051094891,0.0127737226277372,0,0,0.00912408759124088,0,0.00912408759124088,0,0,0,0.00182481751824818,0,0,0,0,0,0.00364963503649635,0,0,0,0,0,0,0.00182481751824818,0,0,0,0,0,0,0,0,0,0
400,8118,0,0.00520833333333333,0.00347222222222222,0.0625,0,0.00347222222222222,0.697916666666667,0,0.0590277777777778,0,0.00173611111111111,0.00173611111111111,0,0,0.0243055555555556,0.0121527777777778,0.0225694444444444,0.00173611111111111,0.00173611111111111,0,0,0,0,0.00173611111111111,0,0.0486111111111111,0,0.00520833333333333,0.0121527777777778,0,0,0.0173611111111111,0.00173611111111111,0.00694444444444444,0.00173611111111111,0,0,0,0,0,0,0,0.00173611111111111,0,0,0.00347222222222222,0,0,0,0,0.00173611111111111,0,0,0,0,0,0,0,0,0,0
420,8410,0,0.0115942028985507,0.00289855072463768,0.150724637681159,0,0,0.539130434782609,0,0.0347826086956522,0,0.00289855072463768,0,0,0,0.0289855072463768,0.00289855072463768,0.0782608695652174,0.00289855072463768,0,0,0,0.00579710144927536,0,0,0.0115942028985507,0.0579710144927536,0.00289855072463768,0,0.0144927536231884,0,0,0.0260869565217391,0,0.00289855072463768,0,0.00289855072463768,0,0.00579710144927536,0,0,0,0,0.00289855072463768,0,0,0,0,0.00289855072463768,0,0,0.00869565217391304,0,0,0,0,0,0,0,0,0,0
440,8702,0,0.0598086124401914,0,0.287081339712919,0,0.00239234449760766,0.466507177033493,0,0.0119617224880383,0,0,0,0,0,0.0334928229665072,0.00478468899521531,0.0215311004784689,0,0.00956937799043062,0,0,0.00239234449760766,0,0,0.00956937799043062,0.0430622009569378,0,0.00717703349282297,0.00239234449760766,0,0,0.0215311004784689,0,0.00956937799043062,0,0,0,0.00478468899521531,0,0,0,0,0,0,0,0.00239234449760766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,9210,0,0.00533807829181495,0.00177935943060498,0.439501779359431,0,0.00177935943060498,0.361209964412811,0,0.00355871886120996,0,0.00177935943060498,0,0,0,0.0195729537366548,0.00533807829181495,0.0551601423487545,0.00177935943060498,0.00889679715302491,0,0.00355871886120996,0.00177935943060498,0,0,0.00533807829181495,0.0338078291814947,0,0.00177935943060498,0.00711743772241993,0,0,0.0213523131672598,0.00177935943060498,0.00711743772241993,0,0.00355871886120996,0,0.00177935943060498,0,0,0,0,0,0.00177935943060498,0,0,0,0,0,0,0.00177935943060498,0.00177935943060498,0,0,0,0,0,0,0,0,0
480,9791,0,0.00325732899022801,0,0.680781758957655,0,0,0.120521172638436,0,0.00325732899022801,0,0,0.00162866449511401,0.00162866449511401,0,0.0211726384364821,0.00488599348534202,0.0602605863192182,0,0.0211726384364821,0,0.00162866449511401,0,0.00325732899022801,0,0,0.00325732899022801,0,0.00325732899022801,0.0146579804560261,0,0,0.0179153094462541,0,0.00162866449511401,0.00162866449511401,0,0,0.00814332247557003,0,0,0,0,0.0146579804560261,0.00325732899022801,0.00162866449511401,0.00162866449511401,0,0,0,0,0.00162866449511401,0,0.00162866449511401,0.00162866449511401,0,0,0,0,0,0,0
500,NA,0,0,0.00302114803625378,0.54380664652568,0,0.00151057401812689,0.108761329305136,0,0.0392749244712991,0.00151057401812689,0.00604229607250755,0.00151057401812689,0,0,0.06797583081571,0.0211480362537764,0.0166163141993958,0.00453172205438067,0.013595166163142,0,0.00604229607250755,0.00604229607250755,0,0,0,0.00755287009063444,0,0.013595166163142,0.0105740181268882,0,0.00151057401812689,0.0558912386706949,0,0.0105740181268882,0.00604229607250755,0.00151057401812689,0,0.00453172205438067,0,0,0,0,0.0166163141993958,0,0,0,0.00151057401812689,0,0.00151057401812689,0,0,0,0.00302114803625378,0.00151057401812689,0.0120845921450151,0.00302114803625378,0.00302114803625378,0.00453172205438067,0,0,0
510,NA,0,0,0,0.38785046728972,0.00700934579439252,0.0116822429906542,0.119158878504673,0,0.0560747663551402,0,0.00233644859813084,0,0.044392523364486,0,0.158878504672897,0.00934579439252336,0.0280373831775701,0,0.00934579439252336,0,0.00934579439252336,0.00934579439252336,0.00233644859813084,0.00233644859813084,0.00700934579439252,0.00467289719626168,0,0.0116822429906542,0.00934579439252336,0,0,0.058411214953271,0,0.00467289719626168,0,0.00233644859813084,0,0.00934579439252336,0,0,0,0,0.00467289719626168,0,0,0,0,0,0,0,0.00467289719626168,0.00700934579439252,0.00233644859813084,0,0,0,0,0.0163551401869159,0,0,0
520,NA,0,0.0016260162601626,0,0.404878048780488,0.0016260162601626,0.0113821138211382,0.11869918699187,0,0.0341463414634146,0,0,0,0.0292682926829268,0,0.151219512195122,0.0048780487804878,0.0260162601626016,0.0016260162601626,0.0097560975609756,0,0.0048780487804878,0.0097560975609756,0,0.0016260162601626,0.0032520325203252,0.0097560975609756,0.0016260162601626,0.040650406504065,0.016260162601626,0,0.0016260162601626,0.0211382113821138,0.0016260162601626,0.0292682926829268,0.0341463414634146,0,0,0.0032520325203252,0,0,0,0,0.0065040650406504,0,0,0,0,0,0,0,0.0016260162601626,0.0065040650406504,0.0016260162601626,0,0,0,0,0,0.0097560975609756,0,0
530,NA,0,0.00173913043478261,0,0.483478260869565,0.00521739130434783,0.00521739130434783,0.163478260869565,0,0.0156521739130435,0,0.00173913043478261,0,0.0226086956521739,0,0.142608695652174,0.00521739130434783,0.0243478260869565,0,0.00695652173913044,0,0.00521739130434783,0.00347826086956522,0,0.00521739130434783,0,0.00521739130434783,0,0.0295652173913043,0.00869565217391304,0,0,0.031304347826087,0,0.00347826086956522,0.00347826086956522,0.00173913043478261,0,0,0,0,0,0,0.0156521739130435,0.00347826086956522,0,0,0,0,0,0,0.00173913043478261,0,0,0,0,0,0,0,0.00347826086956522,0,0
540,NA,0,0,0,0.236842105263158,0,0.0184210526315789,0.102631578947368,0,0.00263157894736842,0,0.00263157894736842,0,0.0289473684210526,0,0.421052631578947,0.00263157894736842,0,0,0.0131578947368421,0,0.00789473684210526,0.0131578947368421,0,0,0.00526315789473684,0,0,0.0657894736842105,0,0,0,0.0236842105263158,0,0.0289473684210526,0,0,0.00263157894736842,0,0,0,0,0,0.00263157894736842,0,0,0,0,0,0,0,0.00263157894736842,0,0.00526315789473684,0,0,0,0,0,0.0105263157894737,0.00263157894736842,0
550,NA,0,0.0021551724137931,0.0021551724137931,0.219827586206897,0.0021551724137931,0.204741379310345,0.0689655172413793,0,0.00431034482758621,0,0,0,0.0258620689655172,0,0.256465517241379,0.00646551724137931,0.0107758620689655,0,0.00431034482758621,0,0.0495689655172414,0.0107758620689655,0,0.00431034482758621,0.0021551724137931,0,0.0021551724137931,0.0452586206896552,0,0,0,0.0387931034482759,0.0021551724137931,0.00646551724137931,0,0,0,0,0,0,0,0,0.0021551724137931,0.00646551724137931,0,0,0,0,0,0,0,0,0.00646551724137931,0.0129310344827586,0,0,0,0,0,0,0.0021551724137931
