"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.undiff.","Betula","Cannabaceae","Caprifoliaceae","Carya","Castanea","Celtis","Cornus","Corylus","Cupressaceae","Cyperaceae","Ephedra","Ericaceae","Fabaceae.undiff.","Fagus","Fraxinus","Herbs.undiff.","Ilex","Indeterminable","Isoëtes","Iva","Juglans","Larix","Liquidambar","Morus","Myriophyllum","Nuphar","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae","Quercus","Rhamnaceae.Vitaceae","Rhus","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Sparganium.type","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown..monolete.","Unknown..trilete.","Urticaceae"
90.5,NA,0,8,12,3,7,0,1,11,10,32,0,0,14,2,1,0,0,9,16,0,0,0,5,10,0,0,4,64,0,0,1,0,0,0,0,3,0,11,28,40,0,1,21,3,1,238,1,0,0,0,0,2,0,0,1,1,3,0,8,5,3,3
97.5,NA,2,4,5,3,17,1,0,8,8,37,1,0,18,1,0,0,1,6,20,0,0,0,0,4,0,0,5,66,0,4,2,0,0,0,0,5,1,8,21,55,0,5,24,4,0,269,2,1,0,0,0,2,0,0,1,1,4,2,7,4,9,0
104.5,NA,1,1,8,1,16,0,0,10,4,38,0,0,18,1,0,0,1,13,15,1,0,0,6,13,0,0,3,89,0,1,1,0,0,0,0,6,1,7,43,49,0,5,33,4,0,279,3,0,1,0,0,3,0,0,1,0,6,0,4,5,8,0
111,NA,0,5,9,1,9,0,0,15,8,32,0,0,10,0,0,0,1,4,11,0,0,0,0,5,2,0,4,113,0,2,0,0,0,0,0,2,1,8,28,40,0,11,28,3,0,258,2,0,0,0,0,1,0,0,0,1,4,0,10,3,6,0
117.5,NA,0,2,8,2,9,0,0,12,1,35,0,0,12,0,0,0,1,4,18,0,0,1,1,8,0,0,6,116,1,1,4,0,0,0,0,2,0,10,22,21,0,5,24,4,0,308,1,0,0,0,0,1,0,0,0,0,4,0,13,4,5,0
124,NA,0,2,4,4,10,1,0,15,9,23,0,0,9,0,0,0,1,3,15,0,0,0,1,11,1,0,6,147,0,4,0,0,0,0,0,8,1,4,28,54,0,6,28,2,0,248,0,0,0,0,0,1,0,0,0,0,3,0,10,2,6,1
130.5,NA,0,6,5,0,10,0,1,6,4,32,0,0,23,0,0,0,0,10,19,0,0,0,3,9,1,0,3,135,0,4,0,0,0,0,0,5,1,8,30,39,0,3,19,1,0,271,0,0,0,0,0,3,0,1,0,1,3,0,16,0,4,1
137,NA,0,3,9,7,19,1,0,14,6,25,0,0,5,1,0,0,0,2,25,0,0,0,3,4,0,0,9,122,0,3,0,0,2,0,0,8,1,9,19,52,0,5,24,1,0,243,0,0,0,0,0,6,0,0,0,1,5,0,11,3,3,0
143,NA,0,15,12,11,27,0,1,12,17,65,1,0,25,0,0,0,5,14,32,0,0,1,8,16,1,0,16,472,1,9,1,0,2,0,0,20,0,13,54,96,0,19,45,1,1,537,7,0,0,0,0,5,2,0,6,6,5,3,37,7,23,0
149,NA,1,2,9,2,14,0,1,9,3,23,0,0,11,0,1,0,0,4,13,0,0,0,2,12,2,0,4,218,1,5,0,0,0,0,0,14,0,5,21,50,0,7,27,6,0,252,2,0,0,0,0,1,0,0,0,3,2,2,14,5,11,0
154,NA,0,2,8,1,9,0,0,12,6,30,0,0,7,0,0,0,3,6,16,0,0,0,3,12,0,0,9,136,1,2,0,0,0,0,0,7,1,5,20,41,0,8,13,2,0,321,0,0,1,0,0,2,0,0,2,0,1,0,15,3,6,0
160,NA,1,6,13,6,10,0,0,11,8,24,0,0,10,0,0,0,1,8,23,0,0,0,0,12,2,0,5,95,1,3,0,0,0,0,0,3,0,2,30,42,0,1,31,0,1,273,0,0,0,0,0,2,0,0,0,0,0,0,9,3,7,0
164,NA,0,2,4,9,14,0,1,13,6,32,0,0,5,0,0,0,0,5,16,0,0,0,1,8,0,0,4,72,0,2,0,1,0,0,0,3,2,3,32,43,0,3,35,1,0,247,1,0,1,0,0,7,0,0,0,0,2,2,8,4,7,0
169,NA,0,3,5,5,19,0,0,7,5,26,0,0,4,0,0,0,1,4,23,0,0,1,2,16,0,0,6,70,0,3,0,0,0,0,0,2,1,3,18,38,0,3,36,0,3,257,1,0,0,0,0,4,1,0,1,2,2,1,10,0,5,2
174,NA,0,3,8,3,14,0,0,7,2,25,1,0,12,0,0,0,1,5,15,0,0,0,0,5,0,0,8,57,0,1,0,0,0,0,0,3,0,4,39,37,0,3,29,6,0,260,0,0,1,0,0,4,0,2,2,1,2,1,12,1,2,0
179,NA,0,11,12,5,29,0,1,20,14,53,0,0,18,0,2,0,1,14,42,1,1,1,1,16,0,0,9,199,1,6,0,0,0,0,0,24,2,6,66,83,0,12,62,4,2,483,7,0,0,0,0,3,0,0,1,1,1,0,20,1,8,2
184,NA,0,0,11,3,19,0,1,11,7,22,0,0,8,0,0,0,0,6,17,0,0,1,0,14,0,0,4,76,1,0,0,0,0,0,0,6,2,7,43,29,0,5,33,0,0,251,0,0,1,0,0,4,0,0,1,1,0,0,10,3,4,1
189,NA,0,2,6,4,14,0,0,7,5,20,1,0,14,0,1,0,2,6,27,0,0,0,0,16,2,0,4,150,0,4,1,0,0,0,0,10,1,4,29,39,0,3,36,7,0,231,1,0,0,0,0,3,0,0,0,2,1,3,11,1,9,0
194,NA,0,8,7,6,11,0,0,14,5,14,0,0,9,0,0,0,1,6,21,0,0,0,0,11,0,0,6,193,1,3,0,0,1,0,0,13,0,8,33,40,0,2,22,0,1,265,0,0,0,0,0,4,0,0,1,0,0,0,17,3,7,0
199,NA,0,3,9,2,15,0,0,7,11,25,0,0,8,0,0,0,1,14,32,0,0,0,1,11,2,0,1,103,1,1,1,0,0,0,0,8,1,9,41,29,0,4,32,2,2,219,0,0,0,0,0,2,1,1,0,0,0,1,14,1,8,0
204,NA,0,4,7,4,17,1,1,11,2,24,0,1,8,0,1,0,1,3,20,0,0,0,2,8,0,0,9,115,0,8,0,0,0,0,0,9,1,7,25,42,0,6,25,2,1,247,1,0,0,0,0,5,0,0,0,2,0,0,11,3,4,1
209,NA,0,7,9,4,13,0,0,8,8,18,0,0,7,0,0,0,2,31,12,0,0,0,1,16,0,0,22,73,0,6,1,1,0,0,0,9,2,4,31,29,0,8,25,1,0,240,0,0,0,0,1,6,0,0,0,5,0,0,15,2,6,3
214,NA,0,5,7,4,12,0,0,12,7,19,1,0,8,0,0,0,0,8,20,0,0,0,0,20,0,0,9,82,0,5,0,0,1,0,0,15,1,3,29,40,0,9,18,6,2,238,1,0,0,0,0,4,0,0,0,4,0,1,15,2,6,0
219,NA,1,3,5,4,13,0,0,6,3,15,0,0,20,0,1,0,0,7,17,0,0,0,1,21,0,0,2,42,1,4,0,0,0,0,0,4,1,4,17,31,0,4,21,0,1,324,0,0,0,0,0,2,0,1,0,1,0,0,17,3,7,1
224,NA,0,2,4,5,14,0,1,4,6,11,0,0,12,0,0,0,2,8,23,0,0,1,1,7,1,0,3,53,1,9,0,0,1,0,0,3,1,7,33,19,0,7,19,3,3,330,0,0,2,0,0,3,0,0,0,0,0,0,9,0,3,0
229,NA,0,5,9,4,12,0,0,6,7,13,0,0,8,0,0,0,3,8,36,0,0,0,0,7,1,0,5,74,1,5,0,0,0,0,0,5,0,4,27,40,0,5,27,3,0,306,0,0,0,0,1,6,0,0,0,2,0,0,19,3,7,3
234,NA,0,1,6,4,14,0,2,19,4,12,0,0,10,0,0,0,3,3,20,0,0,0,2,14,3,0,6,93,1,2,1,0,0,0,0,18,0,10,19,46,0,6,39,0,0,225,0,0,1,0,0,6,2,0,0,0,0,1,17,4,11,0
239,NA,0,11,10,5,21,0,0,23,17,40,0,4,14,2,0,0,3,31,47,0,0,0,1,16,2,0,16,173,0,6,1,0,0,0,0,13,2,17,56,74,0,10,82,5,0,470,3,0,0,0,1,9,0,0,1,2,1,3,29,11,11,1
244,NA,0,1,5,9,29,0,0,11,5,11,0,0,3,0,0,0,2,5,19,0,0,1,2,15,1,0,12,88,1,9,0,0,1,0,0,7,2,6,30,52,0,6,43,1,1,230,2,0,0,0,0,6,0,0,0,1,0,0,12,4,6,0
249,NA,0,3,7,3,24,0,0,10,11,17,0,0,6,0,1,0,0,6,23,0,0,0,0,13,0,0,7,68,1,2,0,0,0,0,0,7,1,6,32,37,0,5,41,1,1,233,1,0,0,0,1,3,1,0,0,2,0,0,11,1,8,2
259,NA,0,2,9,6,31,0,0,12,9,9,0,0,4,0,0,0,0,19,13,0,0,1,2,13,1,1,15,168,2,5,0,0,0,0,1,6,0,13,29,38,0,1,37,3,0,226,2,0,0,0,0,3,1,4,1,2,0,0,13,5,7,3
263,NA,0,3,12,4,18,0,1,8,9,15,0,0,2,0,0,0,0,6,18,0,0,1,1,12,1,0,10,195,0,2,2,0,0,0,0,6,1,11,27,51,0,4,44,0,1,252,1,0,0,0,2,2,0,0,0,2,0,1,13,7,3,0
268,NA,0,3,12,14,48,0,1,24,20,33,1,2,6,2,0,0,1,28,64,1,0,0,1,15,3,1,29,308,1,9,0,0,1,0,1,13,3,17,49,84,0,16,89,2,3,417,1,0,1,0,1,7,0,1,1,5,0,1,23,12,8,1
273,NA,0,5,7,4,19,0,0,12,5,9,0,0,4,0,1,0,2,15,32,0,1,0,0,14,0,0,13,150,1,3,0,0,0,0,0,6,0,8,32,45,0,9,44,0,0,253,1,0,0,0,1,2,1,1,1,0,0,0,8,3,5,0
278,NA,0,5,7,4,22,0,0,18,5,11,0,0,2,0,0,1,1,11,13,0,0,0,0,12,3,0,5,133,1,8,0,1,0,0,0,15,1,8,28,49,0,5,23,1,5,233,0,0,0,0,0,6,1,1,0,1,0,1,18,0,8,0
283,NA,0,2,8,9,25,0,0,20,13,16,0,0,1,0,0,0,1,15,21,0,0,1,0,9,2,0,6,159,1,6,0,0,0,0,0,4,1,7,23,44,0,1,31,0,0,227,1,0,0,0,0,6,0,0,1,0,0,0,17,3,14,0
288,NA,0,7,9,9,17,0,1,15,7,7,0,2,2,0,0,0,0,18,22,1,0,0,2,7,0,0,7,234,0,7,0,0,0,0,0,9,1,7,25,48,0,2,33,1,2,261,1,0,0,1,2,2,0,0,0,1,0,1,15,3,4,2
293,NA,0,10,9,5,18,0,1,8,4,9,0,0,4,0,0,0,1,26,17,0,0,0,1,12,2,0,6,112,0,6,0,0,1,0,0,12,2,24,32,38,0,11,27,5,1,207,2,0,0,0,0,1,0,0,0,2,1,0,20,4,10,0
298,NA,0,4,7,8,14,0,0,7,6,10,0,0,1,0,0,0,2,4,18,0,0,0,0,12,0,0,7,131,1,5,1,0,0,0,0,17,1,17,29,59,0,3,34,2,2,251,0,0,0,1,0,1,0,1,0,0,2,0,10,2,9,2
303,NA,0,10,1,6,26,0,1,8,9,6,0,0,1,0,1,0,1,18,13,0,0,0,1,15,0,0,7,88,2,5,0,0,1,0,0,13,1,6,41,33,0,4,36,2,0,255,0,0,0,0,0,4,0,0,1,1,0,0,22,2,7,1
308,NA,0,15,11,7,32,0,2,15,12,14,0,1,9,0,0,0,2,24,27,0,0,0,2,22,1,0,10,217,3,10,2,0,2,0,0,19,2,18,50,77,0,22,71,3,5,522,1,0,1,0,0,5,0,2,0,3,1,1,40,4,13,1
313,NA,1,8,5,7,16,0,0,11,10,8,0,0,4,0,0,0,1,13,15,0,0,0,0,6,1,0,1,226,2,4,0,0,0,0,0,16,1,8,31,26,0,6,37,7,0,266,1,0,0,0,1,1,2,1,0,1,0,0,21,1,10,0
318,NA,1,11,5,6,25,0,0,10,0,4,0,0,5,0,1,0,1,9,10,0,0,0,1,12,0,1,5,159,3,3,0,0,0,0,0,10,0,7,20,38,0,5,24,0,1,265,0,0,0,0,2,5,1,1,0,2,1,0,21,3,6,0
330,NA,0,14,6,16,27,0,0,13,9,3,0,0,4,0,2,0,0,5,11,0,0,1,1,10,2,0,3,159,1,4,1,0,0,0,0,28,0,3,41,24,0,5,28,2,3,228,0,0,0,0,0,3,2,0,0,4,0,0,34,1,6,3
334,NA,0,18,4,8,16,0,1,6,3,4,0,0,13,0,2,0,4,17,10,0,0,0,0,13,0,0,4,114,1,11,0,0,0,0,0,38,0,5,27,49,0,4,19,1,0,214,0,0,1,0,0,2,1,2,1,5,0,0,41,8,6,0
339,NA,0,33,6,7,14,0,0,9,3,4,0,0,12,0,0,0,2,5,10,0,0,0,2,5,2,1,6,122,0,9,0,0,0,0,0,51,0,11,27,30,0,1,24,3,0,206,0,0,0,0,0,0,1,1,0,9,1,1,65,1,6,0
344,NA,0,24,4,2,12,0,0,7,3,9,0,0,13,0,0,1,0,8,9,0,0,1,1,11,0,0,2,72,1,6,1,0,0,0,0,35,0,7,34,35,0,8,14,6,1,210,0,0,0,0,1,2,0,0,0,7,0,0,77,0,1,0
349,NA,1,49,9,19,22,0,0,18,5,7,0,1,19,0,0,0,3,15,24,0,0,0,1,22,0,0,7,213,2,6,1,0,0,0,0,91,2,21,49,52,0,12,46,12,3,414,0,0,0,0,0,2,2,1,0,11,0,0,144,6,8,1
354,NA,0,29,4,5,9,0,0,5,5,4,0,0,8,0,0,0,1,4,16,0,0,0,2,17,0,2,3,59,1,6,0,0,1,0,0,34,0,6,27,22,0,7,31,5,2,187,0,0,0,0,0,0,0,0,0,6,0,0,81,1,1,0
359,NA,0,30,6,8,11,1,1,5,3,7,0,0,7,0,0,0,2,2,9,0,0,0,1,8,3,0,5,45,0,2,1,0,0,0,0,48,0,10,22,29,0,3,14,3,1,220,0,0,1,0,0,1,1,0,0,8,0,0,72,1,6,0
364,NA,0,35,5,6,19,0,1,8,5,5,0,0,18,0,3,0,1,5,8,0,0,0,2,6,1,2,4,24,0,12,1,0,0,0,0,91,1,11,32,37,0,4,15,1,0,265,0,0,0,0,0,2,0,0,0,12,0,1,80,4,0,1
369,NA,0,31,2,6,19,1,0,3,5,4,0,0,13,0,2,0,3,7,8,0,0,0,0,10,2,0,4,40,0,6,0,1,1,0,0,66,0,5,21,20,0,6,11,6,2,173,1,0,0,0,0,4,0,0,0,4,0,1,78,2,1,0
374,NA,0,21,3,5,20,0,0,6,4,2,1,0,19,0,0,1,1,6,4,0,0,0,1,16,0,0,1,27,0,6,0,1,0,0,0,60,0,10,22,22,0,2,10,6,1,182,1,0,0,0,0,0,0,0,1,8,0,0,109,0,2,0
379,NA,0,29,2,7,13,0,1,8,2,4,0,0,13,0,1,0,2,16,6,0,0,1,1,10,0,0,1,41,0,3,0,0,0,0,0,80,0,9,22,25,0,2,12,4,2,171,0,0,2,0,0,5,0,0,0,5,0,0,72,2,2,4
384,NA,0,25,4,1,24,0,1,9,4,3,0,0,15,0,2,0,3,5,7,0,0,0,0,8,2,0,3,45,1,6,0,0,0,0,0,63,1,9,25,19,0,5,11,5,2,190,2,0,0,0,0,1,0,0,0,4,0,0,73,3,3,1
389,NA,0,25,5,5,15,0,2,11,4,2,0,0,13,0,0,0,2,3,8,1,0,0,0,12,3,0,4,45,1,6,1,0,3,0,0,57,3,12,24,20,0,7,14,11,0,243,1,0,0,0,0,4,0,0,0,4,0,0,65,2,3,0
394,NA,0,11,5,8,27,0,0,5,0,4,0,0,10,0,7,0,4,9,6,0,0,1,0,16,4,0,5,59,2,7,1,0,0,1,0,34,2,8,33,37,0,6,15,4,1,241,0,0,0,0,0,1,0,0,0,9,0,0,55,3,8,0
399,NA,0,25,3,8,23,0,0,7,4,4,0,0,8,0,0,0,4,2,17,0,0,0,0,7,2,0,4,69,4,5,0,0,0,0,0,39,2,14,20,37,0,3,11,7,5,193,3,0,0,0,0,6,0,0,0,5,0,1,52,2,5,0
404,NA,0,12,0,8,30,0,0,8,7,3,0,0,19,0,0,0,1,3,8,1,0,0,0,10,3,0,6,82,2,2,0,0,0,0,0,38,1,10,14,35,0,4,8,4,1,213,0,0,1,0,0,7,1,0,1,4,0,0,49,1,1,1
409,NA,1,39,8,23,57,0,2,25,15,16,0,2,13,0,1,0,8,17,29,0,0,0,0,20,3,0,11,188,1,8,0,0,0,0,0,59,1,39,62,98,0,6,42,12,8,325,2,0,0,0,0,9,1,3,3,15,0,1,92,7,19,1
414,NA,1,17,0,5,28,0,0,10,6,6,0,0,27,0,3,0,3,3,10,0,0,0,0,12,2,0,2,119,2,3,1,1,1,0,0,44,1,26,22,49,0,4,9,10,2,176,0,0,0,0,0,3,0,0,0,2,0,0,58,1,5,1
419,NA,0,21,6,11,27,0,1,12,4,16,0,0,9,0,0,0,1,10,6,0,0,0,0,11,0,0,2,112,2,4,0,0,0,0,0,40,0,13,58,52,0,5,15,3,1,145,1,0,0,0,0,4,0,0,2,13,0,1,74,3,10,0
430,NA,0,23,1,6,20,0,1,4,3,5,0,0,17,0,0,0,4,3,17,3,0,0,0,11,2,0,1,79,2,7,1,0,0,0,0,43,0,16,21,51,0,3,10,3,2,158,1,0,0,0,0,7,0,0,0,4,0,0,69,2,1,0
434,NA,1,34,5,9,17,0,0,9,4,7,0,0,10,0,0,0,4,8,5,0,0,0,0,9,0,0,7,143,2,8,3,0,0,0,0,47,0,15,32,49,0,3,10,2,1,167,0,0,0,0,0,3,0,1,0,6,0,0,67,2,5,0
439,NA,0,25,4,7,19,0,0,3,2,7,0,0,16,0,0,0,1,6,7,0,0,0,1,7,0,0,2,109,1,3,0,0,0,0,0,56,0,23,33,52,0,2,8,14,0,161,0,0,0,0,0,2,1,0,0,4,0,0,61,5,1,0
444,NA,0,19,2,11,9,0,0,9,2,7,0,0,11,0,0,0,0,3,8,0,0,0,1,17,1,0,2,57,0,6,0,0,2,0,0,63,0,19,23,45,1,5,6,18,1,175,1,0,0,0,0,5,1,0,0,9,0,1,58,1,3,0
449,NA,0,40,7,9,27,0,0,15,3,17,0,1,27,0,1,0,9,6,19,0,0,0,0,32,0,0,7,122,2,10,1,0,0,0,0,75,1,40,83,83,0,13,20,19,3,453,3,1,0,0,0,5,1,0,1,18,0,0,129,5,8,1
454,NA,1,29,1,11,23,0,0,11,2,13,0,0,18,0,1,0,1,1,7,3,0,0,0,14,0,0,2,176,0,8,1,0,0,0,0,37,2,27,21,49,0,6,7,25,2,190,0,0,0,0,0,1,0,2,0,7,0,0,49,3,11,0
459,NA,1,17,5,3,20,0,0,6,6,6,1,0,10,0,2,0,2,1,1,0,0,0,0,11,1,0,1,128,0,3,3,0,0,0,0,44,0,31,34,65,0,3,11,7,1,178,0,0,0,0,0,5,0,0,0,18,0,0,83,5,4,1
464,NA,0,20,1,5,9,0,0,9,4,11,0,0,14,0,0,0,2,2,5,0,0,0,1,10,0,0,1,3,1,3,0,0,0,0,0,28,0,20,30,53,0,2,19,14,1,184,0,0,0,1,0,1,0,0,0,4,0,0,71,2,6,0
469,NA,1,32,3,5,31,0,0,8,1,10,0,0,20,0,2,0,1,2,10,1,0,0,0,25,0,0,2,0,1,3,1,0,0,0,0,54,0,25,51,104,0,4,12,6,1,174,1,0,1,0,0,3,0,0,0,15,1,0,97,4,4,0
474,9566,0,12,4,2,19,0,0,6,1,7,0,0,11,0,1,0,4,1,9,0,0,0,0,8,1,0,1,0,0,2,2,0,0,0,1,36,2,28,34,59,0,1,8,16,0,182,0,0,0,0,0,2,1,0,0,11,0,0,92,2,11,1
479,9701,0,34,3,5,10,0,1,7,3,13,0,0,15,0,3,0,4,3,11,0,0,0,2,18,0,0,1,0,0,7,0,0,0,0,0,87,0,47,54,104,0,2,12,4,2,271,0,0,0,1,0,1,0,0,0,20,0,0,136,1,17,2
484,9832,2,41,4,3,9,0,0,7,0,13,0,0,12,0,0,0,4,0,1,0,0,1,0,25,0,0,1,0,0,9,2,0,1,0,0,64,3,30,49,63,0,3,3,20,2,157,0,0,0,0,0,0,0,0,0,11,0,0,176,2,9,1
489,9963,1,19,5,2,6,0,0,4,1,30,0,0,22,0,3,0,2,2,4,0,0,0,0,27,0,0,9,1,0,11,3,0,1,0,0,79,2,29,52,63,0,8,4,20,0,271,0,0,0,0,0,1,0,0,0,5,0,2,175,2,8,0
494,10094,1,25,4,3,7,0,0,7,3,6,0,0,13,0,3,0,3,1,5,0,0,0,0,27,1,0,4,0,0,9,1,0,0,0,0,71,0,28,31,84,0,3,8,13,1,163,0,0,1,1,0,0,0,0,0,12,0,0,129,1,5,1
499,10225,0,27,4,2,8,0,0,6,2,19,0,0,7,0,4,0,5,1,6,0,0,0,0,13,1,0,0,1,0,7,1,0,3,0,0,51,3,46,13,50,0,2,4,10,0,184,1,0,0,0,0,0,0,0,1,9,0,0,72,2,4,0
504,10356,1,19,2,5,4,0,0,3,0,45,0,0,5,0,2,0,2,5,3,0,0,0,0,90,1,0,2,0,0,10,2,0,0,0,1,47,2,42,5,48,0,2,13,31,0,262,0,0,1,0,0,0,0,0,0,3,0,1,115,0,7,2
509,10483,24,82,10,5,12,0,2,13,6,289,0,0,18,0,3,0,14,21,22,0,0,0,0,535,0,0,8,0,0,24,4,0,6,0,0,78,35,135,12,132,0,1,32,113,4,586,0,0,2,0,0,1,0,0,1,7,0,1,408,15,31,2
514,10613,9,13,2,0,5,0,0,2,0,120,0,0,4,0,0,0,4,1,10,0,0,0,0,132,1,0,4,0,0,7,1,0,0,0,0,10,12,66,0,121,0,1,11,15,0,65,0,0,1,0,0,1,1,0,0,1,0,1,113,2,9,1
519,10742,20,5,4,2,1,0,0,3,1,144,0,0,1,0,0,0,6,2,40,0,0,0,0,83,0,0,4,0,0,1,4,0,0,0,0,9,15,47,2,55,0,0,4,7,0,43,0,0,1,0,0,6,0,0,1,0,0,0,67,4,7,0
524,10872,29,5,7,0,1,0,0,6,1,110,0,0,0,0,3,0,16,2,20,0,0,0,0,159,0,0,2,0,0,2,2,0,0,0,0,7,38,91,0,84,0,0,9,37,0,60,0,0,0,0,0,3,0,0,1,0,0,2,86,4,3,2
535,11157,44,11,8,2,3,0,0,5,2,123,0,0,4,0,1,0,7,0,13,0,0,0,0,117,1,0,1,1,0,0,1,0,1,0,0,10,30,87,0,66,0,0,6,23,0,59,0,0,0,0,0,5,0,0,0,0,0,0,44,9,5,0
540,11347,68,4,5,2,3,0,0,11,3,80,0,0,1,0,0,0,14,2,22,0,0,0,0,74,0,0,1,0,0,3,3,0,0,0,0,22,43,78,1,60,0,0,7,58,1,31,0,0,1,0,0,2,0,0,0,0,0,0,49,5,3,4
544,11499,20,6,4,2,2,0,0,11,1,86,0,0,0,0,3,0,13,5,25,0,0,0,0,47,0,0,1,0,0,1,3,0,0,0,0,34,69,82,4,40,0,0,5,69,4,29,0,0,0,0,0,2,2,3,3,0,0,1,27,5,8,0
550,11731,25,4,24,3,7,0,0,32,11,188,4,0,0,0,0,0,12,11,36,0,1,0,0,99,0,0,8,0,0,0,9,0,0,0,1,43,169,65,2,58,0,2,27,187,0,92,0,0,2,0,0,15,0,0,2,3,0,0,60,17,14,1
554,11839,24,3,19,1,4,0,0,19,10,55,1,0,2,0,1,0,7,11,71,0,0,0,0,35,0,0,8,0,0,1,3,0,0,0,0,15,129,4,0,5,0,0,15,116,1,30,0,0,2,0,0,9,0,0,3,0,0,0,15,9,6,7
