"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus.incana","Betula","Carya","Castanea","Cephalanthus","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Hamamelidaceae","Ilex","Juglans.cinerea","Myrica.Comptonia.peregrina","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae","Cyperaceae","Galium","Iva.annua.type","Iva.xanthifolia","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Rosaceae","Rumex","Saxifraga","Stellaria","Thalictrum","Zea"
23,576,0,0.003856041,0.006426735,0.006426735,0.089974293,0.003856041,0.03470437,0.22622108,0,0.001285347,0,0.002570694,0.047557841,0.002570694,0.002570694,0,0.003856041,0,0.002570694,0.002570694,0.010282776,0.002570694,0.002570694,0.057840617,0.019280206,0.151670951,0,0,0.168380463,0,0.002570694,0.055269923,0.002570694,0,0.007712082,0.003856041,0.006426735,0,0,0.041131105,0,0,0,0,0.023136247,0.002570694,0,0.003856041,0,0,0.001285347,0
25,723,0,0.006393862,0.006393862,0.003836317,0.062659847,0.010230179,0.023017903,0.221227621,0,0,0,0,0.054987212,0.003836317,0.002557545,0,0.002557545,0,0.002557545,0,0.015345269,0.002557545,0.00511509,0.060102302,0.029411765,0.166240409,0,0,0.177749361,0,0.002557545,0.04859335,0,0,0.015345269,0,0.007672634,0.002557545,0,0.043478261,0.001278772,0,0,0,0.015345269,0.002557545,0,0.002557545,0,0,0,0.001278772
27,870,0,0.012113055,0.01615074,0.00269179,0.059219381,0.012113055,0.02960969,0.164199192,0,0.004037685,0,0,0.072678331,0.006729475,0,0,0.009421265,0,0,0,0.0269179,0,0,0.055181696,0.039030956,0.162853297,0.00269179,0,0.172274563,0,0,0.045760431,0.00269179,0.001345895,0.004037685,0.00269179,0.00269179,0,0.00269179,0.065948856,0,0,0,0.00269179,0.01884253,0,0,0.00269179,0,0,0,0
29,1017,0,0.002522068,0.007566204,0.002522068,0.061790668,0.015132409,0.017654477,0.179066835,0,0,0,0,0.051702396,0.002522068,0.002522068,0,0.011349306,0,0.002522068,0.002522068,0.018915511,0.002522068,0,0.036569987,0.032786885,0.167717528,0,0,0.177805801,0,0,0.076923077,0.010088272,0,0.002522068,0,0.007566204,0,0.002522068,0.071878941,0,0,0,0,0.032786885,0,0,0,0,0,0,0
31,1164,0,0.002735978,0.02872777,0.004103967,0.109439124,0.020519836,0.032831737,0.164158687,0,0.001367989,0,0,0.064295486,0.004103967,0,0,0.004103967,0,0.002735978,0.002735978,0.009575923,0,0.001367989,0.046511628,0.036935705,0.155950752,0.001367989,0,0.157318741,0,0.002735978,0.060191518,0.005471956,0.001367989,0,0,0.002735978,0,0,0.058823529,0,0,0,0,0.017783858,0,0,0,0,0,0,0
33,1311,0,0.004092769,0.016371078,0.001364256,0.092769441,0.006821282,0.030013643,0.19372442,0,0.001364256,0.001364256,0,0.060027285,0.006821282,0.001364256,0,0.008185539,0,0,0,0.021828104,0,0,0.062755798,0.04638472,0.126875853,0,0,0.219645293,0,0.001364256,0.049113233,0.004092769,0,0,0,0.004092769,0,0,0,0,0,0,0,0.020463847,0,0.016371078,0.001364256,0,0,0.001364256,0
35,1458,0,0.007462687,0.019900498,0.009950249,0.072139303,0.006218905,0.009950249,0.196517413,0,0,0,0,0.027363184,0.006218905,0.002487562,0,0.012437811,0,0,0.002487562,0.012437811,0,0.002487562,0.052238806,0.029850746,0.176616915,0,0,0.182835821,0,0,0.042288557,0.003731343,0.001243781,0.003731343,0,0.009950249,0,0,0.087064677,0.001243781,0,0,0,0.019900498,0,0,0,0,0.001243781,0,0
37,1605,0,0.003676471,0.017156863,0.009803922,0.082107843,0.009803922,0.006127451,0.232843137,0.00122549,0.00245098,0,0.00245098,0.06004902,0.003676471,0.00245098,0,0.00245098,0,0,0,0.018382353,0.003676471,0,0.049019608,0.022058824,0.165441176,0.00245098,0,0.161764706,0,0.00245098,0.052696078,0.006127451,0,0,0,0.006127451,0,0,0.06004902,0,0,0,0,0.011029412,0.00245098,0,0,0,0,0,0
39,1752,0,0.003722084,0.016129032,0.003722084,0.062034739,0.007444169,0.003722084,0.220843672,0,0,0,0,0.076923077,0.003722084,0.00248139,0,0.007444169,0,0.00248139,0.00248139,0.016129032,0,0,0.037220844,0.013647643,0.181141439,0.00248139,0,0.186104218,0,0.003722084,0.035980149,0.013647643,0,0.00248139,0.001240695,0.003722084,0,0.003722084,0.052109181,0,0,0,0.001240695,0.027295285,0.00248139,0,0.00248139,0,0,0,0
41,1900,0,0.006031363,0.007237636,0.003618818,0.059107358,0.006031363,0.021712907,0.261761158,0,0.002412545,0.002412545,0,0.07358263,0.006031363,0,0,0.007237636,0,0.003618818,0.002412545,0.014475271,0.002412545,0.001206273,0.049457177,0.031363088,0.138721351,0,0,0.178528347,0.001206273,0,0.038600724,0.009650181,0,0,0.002412545,0.009650181,0,0,0.037394451,0,0,0,0,0.014475271,0.003618818,0.001206273,0,0,0,0.002412545,0
43,2047,0,0,0.017045455,0.003409091,0.051136364,0.007954545,0.009090909,0.329545455,0,0.003409091,0,0,0.056818182,0.009090909,0.002272727,0,0.005681818,0,0.002272727,0.003409091,0.009090909,0.003409091,0,0.043181818,0.018181818,0.146590909,0.002272727,0,0.163636364,0,0,0.039772727,0.002272727,0,0,0.002272727,0.007954545,0,0,0.039772727,0,0,0,0.001136364,0.018181818,0,0.001136364,0,0,0,0,0
45,2194,0,0,0.018730489,0.003121748,0.05723205,0.012486993,0.005202914,0.323621228,0,0.003121748,0,0.002081165,0.052029136,0.003121748,0.002081165,0,0.01144641,0,0,0.002081165,0.017689906,0.002081165,0,0.020811655,0.024973985,0.110301769,0.002081165,0.002081165,0.200832466,0,0.006243496,0.027055151,0.005202914,0,0.002081165,0.003121748,0.009365245,0,0,0.042663892,0,0,0,0,0.021852237,0.003121748,0,0,0,0,0.002081165,0
47,NA,0,0,0.012084592,0.010070493,0.048338369,0.005035247,0.005035247,0.403826788,0,0,0,0,0.041289023,0.003021148,0.003021148,0,0.010070493,0,0,0,0.013091641,0.003021148,0.001007049,0.028197382,0.010070493,0.134944612,0,0,0.176233635,0,0,0.041289023,0.005035247,0,0,0,0.005035247,0,0.002014099,0.025176234,0.001007049,0,0,0,0.010070493,0.002014099,0,0,0,0,0,0
49,NA,0,0.003367003,0.019079686,0.005611672,0.054994388,0.006734007,0.023569024,0.300785634,0,0.005611672,0.003367003,0.002244669,0.052749719,0.006734007,0,0,0.008978676,0,0,0,0.02020202,0.002244669,0.002244669,0.032547699,0.012345679,0.142536476,0,0,0.171717172,0.002244669,0,0.031425365,0.002244669,0,0.015712682,0,0.003367003,0,0,0.032547699,0,0,0,0,0.031425365,0,0,0,0,0,0.003367003,0
51,NA,0,0.002212389,0.011061947,0.007743363,0.071902655,0.014380531,0.007743363,0.294247788,0,0,0.001106195,0,0.064159292,0.002212389,0,0,0.006637168,0,0,0.002212389,0.015486726,0.001106195,0,0.030973451,0.012168142,0.142699115,0.001106195,0,0.174778761,0,0,0.040929204,0.009955752,0,0.008849558,0,0.002212389,0.001106195,0,0.042035398,0,0,0,0.001106195,0.026548673,0,0,0.003318584,0,0,0,0
53,NA,0.001081081,0.004324324,0.016216216,0.007567568,0.052972973,0.007567568,0.004324324,0.36,0,0,0.002162162,0,0.055135135,0.003243243,0,0,0.012972973,0,0.003243243,0,0.012972973,0.001081081,0,0.023783784,0.012972973,0.139459459,0,0,0.215135135,0.001081081,0,0.028108108,0.002162162,0,0.001081081,0,0.004324324,0,0,0.017297297,0,0,0,0,0.00972973,0,0,0,0,0,0,0
55,NA,0,0.001228501,0.014742015,0.003685504,0.045454545,0.006142506,0.003685504,0.300982801,0,0.002457002,0,0,0.05036855,0.003685504,0,0,0.006142506,0,0,0,0.00982801,0,0,0.042997543,0.003685504,0.192874693,0.002457002,0,0.207616708,0,0,0.047911548,0.002457002,0.001228501,0.003685504,0,0.00982801,0,0,0.030712531,0,0,0,0,0.006142506,0,0,0,0,0,0,0
57,NA,0,0.002277904,0.012528474,0.005694761,0.0523918,0.006833713,0.006833713,0.307517084,0,0.002277904,0.002277904,0,0.047835991,0.002277904,0.003416856,0,0.006833713,0,0,0.002277904,0.014806378,0,0.002277904,0.037585421,0.014806378,0.176537585,0,0.002277904,0.179954442,0,0,0.029612756,0.003416856,0,0.002277904,0.002277904,0.005694761,0,0,0.048974943,0,0,0,0,0.012528474,0.003416856,0,0.001138952,0,0,0.001138952,0
59,NA,0,0.002143623,0.010718114,0.002143623,0.054662379,0.006430868,0.006430868,0.370846731,0,0.003215434,0,0,0.066452304,0.006430868,0,0,0.006430868,0,0,0,0.010718114,0.003215434,0,0.008574491,0.006430868,0.11789925,0,0,0.203644159,0.001071811,0.003215434,0.046087889,0.005359057,0,0.003215434,0,0.008574491,0,0,0.017148982,0.002143623,0,0,0,0.025723473,0.001071811,0,0,0,0,0,0
61,NA,0,0.003102378,0.009307135,0.003102378,0.055842813,0.008273009,0.003102378,0.397104447,0,0.002068252,0,0,0.059979317,0.003102378,0.002068252,0,0.005170631,0,0.002068252,0,0.006204757,0.003102378,0,0.017580145,0.005170631,0.130299897,0,0,0.217166494,0,0,0.025853154,0.002068252,0,0,0,0.005170631,0,0,0.017580145,0,0,0,0,0.012409514,0,0,0.003102378,0,0,0,0
