"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus.incana","Betula","Carya","Castanea","Cephalanthus","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Hamamelidaceae","Ilex","Juglans.cinerea","Myrica.Comptonia.peregrina","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae","Cyperaceae","Galium","Iva.annua.type","Iva.xanthifolia","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Rosaceae","Rumex","Saxifraga","Stellaria","Thalictrum","Zea","Huperzia.lucidula","Lycopodium.annotinum","Osmunda","Pteridium","Sphagnum","Typha","Spore..monolete.","Spore..trilete.","Indeterminable","Unknown"
21,429,1,6,9,5,50,17,17,147,0,0,2,2,26,5,0,0,11,0,0,0,11,3,3,29,2,194,0,0,109,1,0,49,2,0,3,0,5,0,0,50,0,0,0,0,37,0,0,2,1,0,0,0,0,2,3,21,0,0,23,0,12,0
23,576,0,3,5,5,70,3,27,176,0,1,0,2,37,2,2,0,3,0,2,2,8,2,2,45,15,118,0,0,131,0,2,43,2,0,6,3,5,0,0,32,0,0,0,0,18,2,0,3,0,0,1,0,0,0,0,13,5,0,5,3,13,2
25,723,0,5,5,3,49,8,18,173,0,0,0,0,43,3,2,0,2,0,2,0,12,2,4,47,23,130,0,0,139,0,2,38,0,0,12,0,6,2,0,34,1,0,0,0,12,2,0,2,0,0,0,1,0,0,0,14,6,0,17,0,17,0
27,870,0,9,12,2,44,9,22,122,0,3,0,0,54,5,0,0,7,0,0,0,20,0,0,41,29,121,2,0,128,0,0,34,2,1,3,2,2,0,2,49,0,0,0,2,14,0,0,2,0,0,0,0,0,0,0,14,5,0,20,3,5,0
29,1017,0,2,6,2,49,12,14,142,0,0,0,0,41,2,2,0,9,0,2,2,15,2,0,29,26,133,0,0,141,0,0,61,8,0,2,0,6,0,2,57,0,0,0,0,26,0,0,0,0,0,0,0,0,0,2,14,0,1,21,2,12,0
31,1164,0,2,21,3,80,15,24,120,0,1,0,0,47,3,0,0,3,0,2,2,7,0,1,34,27,114,1,0,115,0,2,44,4,1,0,0,2,0,0,43,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13,0,0,18,0,4,0
33,1311,0,3,12,1,68,5,22,142,0,1,1,0,44,5,1,0,6,0,0,0,16,0,0,46,34,93,0,0,161,0,1,36,3,0,0,0,3,0,0,0,0,0,0,0,15,0,12,1,0,0,1,0,0,0,0,55,0,0,7,0,15,0
35,1458,0,6,16,8,58,5,8,158,0,0,0,0,22,5,2,0,10,0,0,2,10,0,2,42,24,142,0,0,147,0,0,34,3,1,3,0,8,0,0,70,1,0,0,0,16,0,0,0,0,1,0,0,0,0,2,19,0,1,21,0,16,0
37,1605,0,3,14,8,67,8,5,190,1,2,0,2,49,3,2,0,2,0,0,0,15,3,0,40,18,135,2,0,132,0,2,43,5,0,0,0,5,0,0,49,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,12,5,0,21,2,20,0
39,1752,0,3,13,3,50,6,3,178,0,0,0,0,62,3,2,0,6,0,2,2,13,0,0,30,11,146,2,0,150,0,3,29,11,0,2,1,3,0,3,42,0,0,0,1,22,2,0,2,0,0,0,0,0,0,0,13,2,1,29,0,11,0
41,1900,0,5,6,3,49,5,18,217,0,2,2,0,61,5,0,0,6,0,3,2,12,2,1,41,26,115,0,0,148,1,0,32,8,0,0,2,8,0,0,31,0,0,0,0,12,3,1,0,0,0,2,0,2,0,2,20,6,1,37,2,8,0
43,2047,0,0,15,3,45,7,8,290,0,3,0,0,50,8,2,0,5,0,2,3,8,3,0,38,16,129,2,0,144,0,0,35,2,0,0,2,7,0,0,35,0,0,0,1,16,0,1,0,0,0,0,0,0,0,0,30,5,0,28,0,13,0
45,2194,0,0,18,3,55,12,5,311,0,3,0,2,50,3,2,0,11,0,0,2,17,2,0,20,24,106,2,2,193,0,6,26,5,0,2,3,9,0,0,41,0,0,0,0,21,3,0,0,0,0,2,0,0,0,5,15,5,2,69,5,18,0
47,NA,0,0,12,10,48,5,5,401,0,0,0,0,41,3,3,0,10,0,0,0,13,3,1,28,10,134,0,0,175,0,0,41,5,0,0,0,5,0,2,25,1,0,0,0,10,2,0,0,0,0,0,0,0,0,0,20,3,2,45,0,5,0
49,NA,0,3,17,5,49,6,21,268,0,5,3,2,47,6,0,0,8,0,0,0,18,2,2,29,11,127,0,0,153,2,0,28,2,0,14,0,3,0,0,29,0,0,0,0,28,0,0,0,0,0,3,0,0,0,0,5,2,1,17,2,15,3
51,NA,0,2,10,7,65,13,7,266,0,0,1,0,58,2,0,0,6,0,0,2,14,1,0,28,11,129,1,0,158,0,0,37,9,0,8,0,2,1,0,38,0,0,0,1,24,0,0,3,0,0,0,0,0,0,2,18,6,1,17,0,8,0
53,NA,1,4,15,7,49,7,4,333,0,0,2,0,51,3,0,0,12,0,3,0,12,1,0,22,12,129,0,0,199,1,0,26,2,0,1,0,4,0,0,16,0,0,0,0,9,0,0,0,0,0,0,0,0,1,3,24,3,2,46,4,15,0
55,NA,0,1,12,3,37,5,3,245,0,2,0,0,41,3,0,0,5,0,0,0,8,0,0,35,3,157,2,0,169,0,0,39,2,1,3,0,8,0,0,25,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,5,3,63,0,17,1
57,NA,0,2,11,5,46,6,6,270,0,2,2,0,42,2,3,0,6,0,0,2,13,0,2,33,13,155,0,2,158,0,0,26,3,0,2,2,5,0,0,43,0,0,0,0,11,3,0,1,0,0,1,0,0,0,2,14,3,2,40,2,11,0
59,NA,0,2,10,2,51,6,6,346,0,3,0,0,62,6,0,0,6,0,0,0,10,3,0,8,6,110,0,0,190,1,3,43,5,0,3,0,8,0,0,16,2,0,0,0,24,1,0,0,0,0,0,0,0,0,3,13,3,1,45,0,16,0
61,NA,0,3,9,3,54,8,3,384,0,2,0,0,58,3,2,0,5,0,2,0,6,3,0,17,5,126,0,0,210,0,0,25,2,0,0,0,5,0,0,17,0,0,0,0,12,0,0,3,0,0,0,0,0,0,2,17,3,1,71,3,12,0
