"sample.depths","sample.ages","upland.sum","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Picea.mariana.type","Pinus.undiff.","Quercus","Juniperus.type","Amaranthaceae","Poaceae","Corylus.cornuta","Myrica.gale","cf..Oxyria.digyna","Pinus.banksiana.type","Pinus.strobus","Salix.herbacea.type","Salix.vestita.type","Picea.undiff.","Salix.undiff.","Alnus.incana.type","Ostrya.Carpinus","Rosaceae.undiff.","Juniperus.communis.Thuja.occidentalis.type","Ranunculaceae.undiff.","Fagus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Abies.balsamea","Juglans.cinerea","Larix","Populus.tremuloides.type","Taxus","Carya.ovata","Caryophyllaceae","Fraxinus.nigra.type","Picea.glauca.type","Brassicaceae","Fabaceae.undiff.","Fraxinus.pennsylvanica.type","Picea.rubens.type","Thalictrum","Rhamnus.alnifolia.R..frangula","Onagraceae","Rubus.chamaemorus","Saxifraga.cernua.type","Urticaceae","Acer.saccharum","Rumex.type","Oxytropis.maydelliana.type","Tilia","Saxifraga.oppositifolia.type","Polygonum.viviparum","Saxifragaceae.undiff.","Acer.spicatum","Koenigia.islandica"
50,4009,497,148,0,2,155,73,6,38,5,0,0,0,22,1,3,0,11,0,2,0,23,1,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
55,4156,562,190,2,4,222,48,15,40,3,0,0,1,9,0,0,0,10,0,0,0,10,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
57,4214,599,189,0,12,246,52,15,27,2,0,0,1,13,0,0,0,5,2,1,0,18,12,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,4302,726,212,0,8,305,70,26,45,3,1,1,1,10,1,2,0,15,0,0,0,14,4,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
62,4361,443,168,0,1,173,45,12,11,5,0,3,2,4,0,0,0,5,1,1,0,5,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
65,NA,427,139,0,3,182,39,11,23,1,1,0,1,4,0,1,0,9,0,0,0,2,6,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
67,NA,505,104,0,3,306,35,4,17,3,1,0,0,2,1,1,0,9,1,0,0,6,7,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70,NA,401,84,0,4,218,50,13,6,4,0,0,3,5,0,2,1,3,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,NA,458,116,6,5,189,53,10,18,0,0,0,1,14,0,0,1,12,1,0,2,2,13,4,0,0,0,5,0,0,2,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,NA,463,100,1,7,155,117,20,21,1,0,0,0,11,0,0,0,5,0,0,0,2,15,0,1,0,0,0,0,2,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,NA,421,50,1,14,67,148,24,21,4,0,7,2,28,0,0,0,14,2,2,3,3,25,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
78,NA,357,58,6,19,48,71,24,16,3,2,0,1,42,0,0,2,21,1,0,3,2,26,4,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
80,NA,325,37,2,12,30,78,6,23,7,0,3,4,34,0,3,0,21,1,1,1,3,33,1,0,8,0,6,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
82,NA,574,75,6,18,77,75,7,12,12,4,1,4,108,0,0,2,51,1,0,0,3,98,1,0,6,0,0,0,3,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0
85,NA,447,76,3,15,35,38,0,17,9,1,4,5,51,0,0,4,26,4,2,3,6,122,1,0,6,0,1,0,4,0,0,0,1,2,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0
87,NA,497,64,6,14,81,19,0,55,4,1,0,15,15,0,0,0,86,2,0,0,2,126,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
90,NA,94,30,0,3,31,3,3,3,1,0,0,0,3,0,1,2,3,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,NA,86,24,1,3,11,12,10,2,6,0,0,0,6,0,0,1,4,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
95,NA,25,7,0,0,8,3,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
