"sample.depths","sample.ages","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Abies","Larix","Pinus.strobus","Pinus.banksiana.P..resinosa","Pinus.undiff.","Betula.greater.than.20.microm","Betula.less.than.20.microm","Populus.undiff.","Populus.tremuloides.type","Fraxinus.nigra","Fraxinus.pennsylvanica.type","Quercus","Ulmus","Ostrya.Carpinus","Acer.undiff.","Acer.rubrum.type","Acer.negundo.type","Acer.saccharum.type","Celtis","Juglans.nigra","Juglans.cinerea","Salix","Shepherdia.canadensis","Alnus.viridis.subsp..crispa.type","Alnus.incana.type","Cornus.canadensis","Cornus.sericea.type","Corylus","Juniperus.Thuja","Ericaceae","Myrica","Tilia","Morus.rubra","Dryas","Poaceae","Ambrosia.type","Artemisia","Carya","Eupatorium","Polygonum.undiff.","Polygonum.aviculare.type","Asteraceae.subf..Asteroideae.undiff.","Caryophyllaceae","Apiaceae","Brassicaceae","Chenopodiineae.undiff.","Iva.undiff.","Iva.xanthifolia","Dalea.purpurea","Platanus","Rumex","Sarcobatus.vermiculatus","Thalictrum","Urtica","Humulus","Cyperaceae.undiff."
257,NA,0.087677725,0.007109005,0.073459716,0,0.009478673,0.028436019,0.199052133,0.260663507,0.026066351,0.002369668,0.033175355,0,0,0,0.026066351,0.035545024,0.011848341,0,0,0,0,0,0.007109005,0,0.021327014,0,0.004739336,0.004739336,0,0,0.011848341,0.018957346,0,0,0,0,0,0.035545024,0.033175355,0.014218009,0,0,0,0,0,0,0,0,0.045023697,0,0,0,0,0,0.002369668,0,0,0,0
277,NA,0.041284404,0.03440367,0.038990826,0,0.004587156,0.03440367,0.165137615,0.160550459,0.055045872,0.002293578,0.025229358,0,0,0,0.080275229,0.036697248,0.016055046,0.004587156,0,0,0,0,0,0,0.038990826,0,0.02293578,0.002293578,0.002293578,0,0.009174312,0.01146789,0.004587156,0,0,0,0,0.029816514,0.050458716,0.018348624,0.002293578,0,0,0,0.013761468,0,0,0,0.082568807,0,0,0,0,0.002293578,0.006880734,0,0.002293578,0,0
297,NA,0.034682081,0.020231214,0.040462428,0,0.005780347,0,0.083815029,0.167630058,0.014450867,0.002890173,0.049132948,0,0,0,0.066473988,0.101156069,0,0.002890173,0,0,0,0.002890173,0,0,0.063583815,0,0,0.005780347,0,0,0.00867052,0.060693642,0,0,0,0,0,0.043352601,0.049132948,0.028901734,0.002890173,0,0,0.002890173,0.005780347,0.002890173,0.002890173,0,0.10982659,0,0,0,0,0,0.00867052,0.005780347,0.002890173,0,0.002890173
317,NA,0.032745592,0.002518892,0.090680101,0,0.005037783,0.017632242,0.279596977,0.292191436,0.010075567,0,0.025188917,0,0,0,0.037783375,0.020151134,0,0,0,0,0,0,0,0,0.01511335,0,0.005037783,0.002518892,0,0,0.007556675,0.020151134,0,0,0,0,0,0.037783375,0.040302267,0.010075567,0.002518892,0,0.002518892,0,0.002518892,0,0,0,0.037783375,0,0,0,0,0,0,0,0,0,0.002518892
337,NA,0.032098765,0.022222222,0.049382716,0,0.007407407,0.041975309,0.269135802,0.320987654,0.044444444,0.002469136,0.014814815,0,0,0,0.041975309,0.049382716,0,0,0,0,0,0,0,0,0.009876543,0,0,0.002469136,0,0,0.002469136,0.014814815,0,0,0,0,0,0.019753086,0.007407407,0,0.014814815,0,0,0,0.002469136,0.002469136,0,0,0.024691358,0,0,0,0,0,0,0,0,0.002469136,0
357,NA,0.066176471,0.026960784,0.093137255,0.004901961,0.019607843,0.00245098,0.12745098,0.156862745,0.100490196,0.009803922,0.031862745,0,0,0,0.024509804,0.039215686,0.00245098,0.00245098,0,0.012254902,0,0,0,0,0.051470588,0,0,0,0,0,0.022058824,0.044117647,0.00245098,0,0,0,0,0.041666667,0.029411765,0.014705882,0,0,0,0,0.019607843,0,0,0,0.029411765,0,0,0,0,0,0,0.004901961,0.007352941,0.004901961,0.007352941
377,NA,0.162650602,0.010040161,0.090361446,0,0.004016064,0.006024096,0.078313253,0.15060241,0.104417671,0.022088353,0.058232932,0,0.002008032,0,0.0562249,0.068273092,0.020080321,0,0,0,0,0,0,0,0.046184739,0,0.002008032,0.002008032,0,0,0.022088353,0.020080321,0,0,0.002008032,0,0,0.020080321,0.018072289,0.004016064,0,0,0,0,0,0,0,0,0.026104418,0,0,0,0,0,0.002008032,0,0,0,0.002008032
397,NA,0.097256858,0.029925187,0.072319202,0,0,0.024937656,0.164588529,0.199501247,0.132169576,0,0.017456359,0,0,0,0.032418953,0.067331671,0.004987531,0,0,0.007481297,0,0,0,0,0.004987531,0,0,0.002493766,0,0,0.002493766,0.06234414,0,0,0,0,0,0.017456359,0.024937656,0.002493766,0.002493766,0,0,0,0.002493766,0,0,0,0.017456359,0,0,0,0,0,0,0,0.007481297,0,0.002493766
437,NA,0.043668122,0.013100437,0.091703057,0,0.004366812,0.032751092,0.216157205,0.133187773,0.017467249,0.006550218,0.024017467,0,0.002183406,0,0.063318777,0.032751092,0.002183406,0,0,0,0,0,0,0,0.043668122,0,0.006550218,0,0,0,0.004366812,0.043668122,0,0.002183406,0.002183406,0,0,0.021834061,0.072052402,0.004366812,0.004366812,0,0,0,0.008733624,0,0,0,0.098253275,0,0,0,0,0,0.002183406,0,0,0,0.002183406
477,NA,0.036458333,0.010416667,0.046875,0,0.005208333,0.005208333,0.169270833,0.2109375,0.010416667,0,0.028645833,0.002604167,0,0,0.046875,0.065104167,0,0,0,0.002604167,0,0,0,0,0.088541667,0,0,0.002604167,0,0,0,0.0390625,0.002604167,0,0,0,0,0.028645833,0.106770833,0.0078125,0,0,0,0,0.005208333,0.005208333,0,0,0.057291667,0,0,0,0,0.002604167,0,0.005208333,0,0,0.0078125
497,NA,0.190196078,0.021568627,0.064705882,0,0.005882353,0.031372549,0.217647059,0.133333333,0.029411765,0.007843137,0.017647059,0,0,0,0.029411765,0.045098039,0.001960784,0,0,0,0,0,0,0,0.031372549,0.001960784,0.001960784,0.003921569,0.003921569,0,0.011764706,0.02745098,0,0.003921569,0,0.001960784,0,0.017647059,0.017647059,0.009803922,0,0.001960784,0,0,0.009803922,0,0,0,0.050980392,0,0.001960784,0,0,0,0.005882353,0,0,0,0
557,NA,0.112128146,0.018306636,0.061784897,0,0.00228833,0.032036613,0.196796339,0.086956522,0.034324943,0.00228833,0.013729977,0,0.00228833,0,0.064073227,0.052631579,0.009153318,0.00228833,0.00228833,0,0,0,0,0,0.059496568,0,0.00228833,0.00228833,0,0.00228833,0.018306636,0.038901602,0.00228833,0,0.00228833,0,0,0.029748284,0.036613272,0.006864989,0,0,0,0,0.011441648,0.004576659,0,0,0.080091533,0,0,0,0,0,0.00228833,0,0,0.006864989,0
577,NA,0.115138593,0.036247335,0.176972281,0,0.021321962,0.006396588,0.087420043,0.185501066,0.021321962,0.002132196,0.010660981,0,0.002132196,0.002132196,0.038379531,0.091684435,0,0,0,0.004264392,0,0,0,0,0.02771855,0,0.002132196,0,0,0,0.004264392,0.036247335,0,0,0,0,0,0.029850746,0.038379531,0.014925373,0,0,0,0,0.006396588,0,0,0,0.031982942,0,0,0,0,0,0,0,0,0,0.006396588
617,NA,0.106132075,0.025943396,0.070754717,0,0.009433962,0.018867925,0.172169811,0.148584906,0.016509434,0.007075472,0.025943396,0,0.011792453,0,0.04245283,0.049528302,0.004716981,0,0,0,0,0,0,0,0.047169811,0,0,0,0,0,0.007075472,0.037735849,0,0,0,0,0.002358491,0.016509434,0.087264151,0.009433962,0,0,0,0,0.016509434,0,0,0,0.056603774,0.002358491,0,0,0,0,0,0,0,0,0.007075472
637,NA,0.073170732,0.050997783,0.093126386,0,0.015521064,0.033259424,0.164079823,0.164079823,0.031042129,0,0.00886918,0,0,0,0.026607539,0.068736142,0.002217295,0,0,0,0,0,0,0,0.026607539,0,0.002217295,0,0,0,0.00443459,0.024390244,0,0,0,0,0,0.033259424,0.10421286,0.015521064,0.00443459,0,0,0,0.00886918,0.002217295,0,0,0.037694013,0,0,0,0,0,0.00443459,0,0,0,0
677,NA,0.146825397,0.033730159,0.156746032,0,0.009920635,0.029761905,0.192460317,0.162698413,0.017857143,0,0.011904762,0,0.013888889,0,0.041666667,0.01984127,0.015873016,0.001984127,0,0,0,0,0.001984127,0,0.025793651,0,0,0.001984127,0,0,0.007936508,0.021825397,0,0,0,0,0,0.015873016,0.011904762,0.003968254,0.009920635,0,0,0,0.001984127,0.001984127,0,0,0.031746032,0,0,0.003968254,0,0,0,0,0,0,0.003968254
737,NA,0.162393162,0.038461538,0.055555556,0,0.010683761,0.017094017,0.188034188,0.108974359,0.019230769,0.014957265,0.014957265,0,0.012820513,0.002136752,0.038461538,0.079059829,0.010683761,0.006410256,0,0.002136752,0,0,0,0,0.034188034,0.002136752,0,0.004273504,0,0,0.017094017,0.038461538,0,0,0,0,0,0.034188034,0.019230769,0.006410256,0,0,0,0,0.014957265,0,0.002136752,0,0.042735043,0,0,0,0,0,0,0,0,0.002136752,0
797,NA,0.055084746,0.012711864,0.052966102,0,0.004237288,0.036016949,0.247881356,0.18220339,0.029661017,0.008474576,0.029661017,0,0.033898305,0,0.048728814,0.097457627,0.01059322,0.002118644,0,0,0,0.004237288,0,0.004237288,0.014830508,0,0,0,0,0,0.021186441,0.031779661,0,0,0,0,0,0.012711864,0.01059322,0,0.006355932,0,0,0,0.002118644,0,0,0,0.027542373,0,0,0,0,0,0,0,0.004237288,0.004237288,0.004237288
857,NA,0.108597285,0.024886878,0.07239819,0,0.004524887,0.004524887,0.081447964,0.110859729,0.011312217,0.004524887,0.024886878,0,0.015837104,0,0.020361991,0.054298643,0.013574661,0.002262443,0,0,0,0,0,0,0.076923077,0.00678733,0,0.00678733,0,0,0.036199095,0.027149321,0.002262443,0,0,0,0.002262443,0.024886878,0.063348416,0.020361991,0.004524887,0,0.002262443,0,0.011312217,0,0,0.011312217,0.122171946,0.004524887,0,0,0.004524887,0,0.004524887,0,0.004524887,0.002262443,0.00678733
917,NA,0.181034483,0.019396552,0.153017241,0,0.006465517,0.004310345,0.153017241,0.135775862,0.012931034,0.017241379,0.025862069,0,0.004310345,0,0.032327586,0.032327586,0.006465517,0.002155172,0,0,0,0,0,0,0.043103448,0,0,0,0,0,0.017241379,0.0625,0,0,0,0,0,0.017241379,0.019396552,0.00862069,0,0,0,0,0.006465517,0.002155172,0,0,0.032327586,0,0,0,0,0,0,0.002155172,0,0.002155172,0
977,NA,0.172557173,0.024948025,0.145530146,0,0.006237006,0.014553015,0.151767152,0.141372141,0.062370062,0.020790021,0.006237006,0,0.006237006,0,0.051975052,0.024948025,0,0,0,0,0.002079002,0,0,0,0.014553015,0.002079002,0.002079002,0.002079002,0,0,0.043659044,0.031185031,0,0.004158004,0,0,0,0.014553015,0.004158004,0.006237006,0,0,0,0,0.01039501,0,0,0,0.024948025,0,0,0,0,0,0,0,0.004158004,0,0.004158004
1037,NA,0.190045249,0.020361991,0.192307692,0,0.002262443,0.004524887,0.131221719,0.092760181,0.004524887,0.004524887,0.00678733,0,0.00678733,0,0.022624434,0.029411765,0,0.002262443,0,0,0.002262443,0,0,0,0.040723982,0.009049774,0,0,0,0,0.033936652,0.061085973,0,0,0,0,0,0.038461538,0.040723982,0.018099548,0,0,0,0,0.00678733,0,0,0,0.029411765,0,0,0,0,0,0,0.002262443,0.002262443,0.002262443,0.002262443
1057,NA,0.211538462,0.019230769,0.177884615,0,0,0.002403846,0.067307692,0.074519231,0.03125,0.016826923,0.028846154,0,0.009615385,0,0.036057692,0.019230769,0.002403846,0.002403846,0,0,0,0,0,0,0.067307692,0.007211538,0,0,0,0.002403846,0.019230769,0.072115385,0,0.002403846,0,0,0,0.033653846,0.019230769,0.007211538,0,0,0,0,0.009615385,0.002403846,0,0,0.036057692,0,0,0,0,0,0,0,0.004807692,0.002403846,0.014423077
