"sample.depths","sample.ages","Abies","Acer","Alnus","Arceuthobium","Betula..small.","Betula.undiff.","Carya","Castanea","Corylus","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex.Nemopanthus","Juniperus.Thuja","Larix","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Populus","Quercus","Salix","Sambucus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Poaceae","Rosaceae","Rumex","Thalictrum"
25,2095,0.017241379,0.005747126,0.074712644,0.005747126,0,0.362068966,0,0,0.002873563,0,0.011494253,0.002873563,0,0.034482759,0,0,0,0.267241379,0,0.057471264,0.034482759,0.002873563,0.00862069,0,0,0,0.045977011,0.002873563,0.034482759,0.002873563,0.002873563,0,0.002873563,0,0,0,0,0.00862069,0.011494253,0,0
27,2267,0.028653295,0.011461318,0.071633238,0.005730659,0,0.458452722,0,0,0,0,0.00286533,0.00286533,0.00286533,0.020057307,0,0,0.008595989,0.223495702,0,0.045845272,0,0,0.025787966,0,0.00286533,0.00286533,0.040114613,0,0.014326648,0,0,0,0,0,0,0,0,0,0.017191977,0,0.014326648
28,2352,0.014457831,0.007228916,0.062650602,0,0,0.469879518,0,0,0.004819277,0,0.014457831,0,0.002409639,0.026506024,0,0,0,0.192771084,0.002409639,0.081927711,0.004819277,0,0.004819277,0,0,0.002409639,0.040963855,0.004819277,0.021686747,0.007228916,0,0,0.009638554,0,0,0,0.004819277,0.002409639,0.014457831,0,0.002409639
30,2524,0.021220159,0.034482759,0.079575597,0,0,0.541114058,0,0.00265252,0,0,0.00265252,0.00265252,0.00530504,0.01061008,0.00265252,0,0.013262599,0.137931034,0,0.063660477,0,0,0.00795756,0,0.00265252,0,0.037135279,0,0.01061008,0,0,0,0.00795756,0,0,0,0,0.00530504,0.01061008,0,0
32,2695,0.011940299,0.011940299,0.152238806,0,0,0.495522388,0,0,0.005970149,0,0.005970149,0,0.008955224,0.005970149,0,0,0,0.101492537,0.002985075,0.059701493,0,0,0.014925373,0,0,0,0.065671642,0,0.020895522,0,0,0,0.005970149,0.002985075,0,0,0,0,0.017910448,0,0.008955224
34,2866,0.020887728,0.01305483,0.049608355,0.002610966,0,0.498694517,0,0,0,0,0.005221932,0.002610966,0,0.018276762,0,0,0.018276762,0.190600522,0,0.062663185,0,0,0.036553525,0,0,0,0.052219321,0,0.005221932,0.002610966,0,0,0.002610966,0,0,0,0.002610966,0,0.01305483,0,0.002610966
36,3037,0.018404908,0.015337423,0.027607362,0,0,0.518404908,0,0,0.003067485,0,0.012269939,0,0,0,0,0,0,0.193251534,0,0.04601227,0.018404908,0,0.006134969,0,0,0,0.073619632,0,0.006134969,0,0,0,0.003067485,0.003067485,0,0,0.003067485,0,0.042944785,0,0.009202454
37,3123,0.011337868,0.0430839,0.029478458,0,0,0.390022676,0,0,0,0,0.009070295,0.002267574,0,0.002267574,0.004535147,0,0.002267574,0.160997732,0,0.140589569,0.009070295,0,0.022675737,0,0,0,0.036281179,0.002267574,0,0,0,0,0.002267574,0,0,0,0.002267574,0,0.117913832,0,0.011337868
38,3209,0.004854369,0.026699029,0.024271845,0,0,0.628640777,0,0,0,0,0.02184466,0.002427184,0.004854369,0.002427184,0,0,0,0.084951456,0.002427184,0.123786408,0.002427184,0,0.014563107,0,0,0,0.029126214,0.002427184,0,0.002427184,0,0,0.004854369,0,0,0,0,0,0.016990291,0,0
40.5,3423,0.041775457,0.033942559,0.020887728,0,0,0.368146214,0,0,0.002610966,0,0.010443864,0.002610966,0.002610966,0.023498695,0,0,0,0.088772846,0,0.211488251,0.026109661,0,0.026109661,0,0,0,0.08616188,0.002610966,0,0.005221932,0,0,0.002610966,0,0,0,0.015665796,0.005221932,0.023498695,0,0
42,3551,0.042134831,0.025280899,0.014044944,0.005617978,0,0.426966292,0,0,0.008426966,0,0.019662921,0.011235955,0.002808989,0.002808989,0,0,0,0.087078652,0,0.241573034,0.005617978,0.002808989,0.028089888,0,0,0,0.042134831,0.002808989,0,0.002808989,0,0,0.002808989,0.002808989,0,0,0.002808989,0,0.019662921,0,0
44,3674,0.032258065,0.035483871,0.009677419,0,0,0.529032258,0,0,0,0,0.016129032,0.012903226,0,0.003225806,0.006451613,0,0.003225806,0.093548387,0,0.148387097,0.003225806,0,0.035483871,0,0,0,0.035483871,0.003225806,0.003225806,0.003225806,0,0,0,0,0,0,0,0,0.025806452,0,0
47,3847,0.035363458,0.015717092,0.00589391,0,0,0.449901768,0,0,0,0,0.009823183,0.011787819,0.003929273,0,0,0,0,0.133595285,0.001964637,0.192534381,0.001964637,0.007858546,0.04518664,0,0,0,0.039292731,0,0.001964637,0.001964637,0,0,0.001964637,0,0,0,0.001964637,0.001964637,0.033398821,0,0.001964637
48,3904,0.051020408,0.020408163,0.006802721,0.003401361,0,0.442176871,0,0.003401361,0,0,0.013605442,0.017006803,0.010204082,0.006802721,0,0,0,0.156462585,0.010204082,0.163265306,0.006802721,0,0.020408163,0,0,0,0.023809524,0.003401361,0,0,0,0,0,0,0,0,0.027210884,0,0.010204082,0,0.003401361
50,4020,0.028571429,0.034285714,0.008571429,0.008571429,0,0.351428571,0,0,0.008571429,0,0.011428571,0,0,0,0,0,0.002857143,0.205714286,0,0.268571429,0.002857143,0.005714286,0.02,0,0,0,0.02,0.002857143,0,0,0,0,0.002857143,0,0,0,0.002857143,0,0.014285714,0,0
52,4206,0.005970149,0.032835821,0.023880597,0,0,0.447761194,0,0,0,0,0,0.014925373,0,0.002985075,0.011940299,0,0,0.107462687,0,0.244776119,0,0,0.017910448,0,0,0,0.047761194,0,0,0,0,0,0.011940299,0.002985075,0,0,0,0,0.026865672,0,0
53,4320,0.015665796,0.023498695,0.026109661,0,0,0.289817232,0,0,0,0,0.007832898,0.005221932,0,0.005221932,0,0,0,0.07310705,0.01305483,0.37075718,0.031331593,0,0.018276762,0.002610966,0,0,0.088772846,0,0,0.005221932,0,0,0.01305483,0,0,0,0.002610966,0,0.007832898,0,0
54,4434,0.034920635,0.012698413,0.044444444,0,0,0.206349206,0,0,0,0,0.003174603,0.00952381,0,0.003174603,0,0.003174603,0,0.063492063,0.00952381,0.406349206,0.082539683,0,0.019047619,0,0,0,0.085714286,0.006349206,0,0.003174603,0,0,0,0,0,0,0,0,0.006349206,0,0
55,4806,0.009852217,0.017241379,0.017241379,0,0,0.21182266,0,0,0,0,0,0.004926108,0,0,0.051724138,0,0,0.049261084,0,0.421182266,0.004926108,0,0.019704433,0,0,0,0.150246305,0.002463054,0,0.002463054,0,0.002463054,0.007389163,0,0,0,0.002463054,0,0.024630542,0,0
56,5177,0.009259259,0.021604938,0.024691358,0,0,0.175925926,0,0,0,0,0,0,0,0,0.00308642,0,0,0.018518519,0,0.444444444,0.092592593,0,0.024691358,0,0,0,0.172839506,0,0,0,0,0,0,0,0,0,0,0,0.012345679,0,0
58,5920,0.008695652,0.011594203,0.043478261,0,0,0.28115942,0,0,0.002898551,0,0,0.002898551,0,0,0.002898551,0,0,0.005797101,0.011594203,0.452173913,0.063768116,0,0.020289855,0,0,0,0.084057971,0,0,0,0,0.002898551,0,0,0,0,0,0,0.005797101,0,0
60,6663,0.020689655,0.037931034,0.087931034,0,0,0.246551724,0,0,0,0,0.001724138,0.013793103,0,0.001724138,0,0,0.001724138,0.00862069,0.006896552,0.398275862,0.022413793,0.005172414,0.05,0.003448276,0,0,0.029310345,0.001724138,0,0.001724138,0,0.001724138,0.013793103,0,0.001724138,0,0.005172414,0.018965517,0.017241379,0,0.001724138
62,7406,0.002298851,0.016091954,0.147126437,0.04137931,0.009195402,0.245977011,0,0,0,0,0.002298851,0.006896552,0.002298851,0.034482759,0,0,0,0.009195402,0.011494253,0.317241379,0.013793103,0,0.011494253,0.057471264,0,0,0.029885057,0.002298851,0,0.004597701,0,0,0.002298851,0,0,0,0.009195402,0,0.018390805,0,0.004597701
64,NA,0,0.016627078,0.078384798,0.007125891,0.007125891,0.185273159,0,0,0,0,0,0.007125891,0.002375297,0,0.004750594,0,0,0.009501188,0.009501188,0.508313539,0.040380048,0,0.028503563,0.03087886,0,0,0.045130641,0,0,0,0,0,0,0,0,0,0.004750594,0,0.011876485,0,0.002375297
65,NA,0.003960396,0.027722772,0.100990099,0,0,0.18019802,0,0.001980198,0,0,0,0.013861386,0,0.00990099,0,0.001980198,0.003960396,0.055445545,0.001980198,0.497029703,0,0,0.035643564,0.011881188,0,0,0.02970297,0,0,0.005940594,0,0.001980198,0.001980198,0.001980198,0,0.001980198,0.001980198,0.001980198,0.005940594,0,0
