"sample.depths","sample.ages","upland.sum","Abies","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Corylus","Ericaceae","Fagus","Herbs.undiff.","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Quercus","Tsuga","Ulmus","Alnus","Acer","Populus","Poaceae","Plantago","Cyperaceae","Fraxinus","Asteraceae.subf..Asteroideae.undiff.","Aquifoliaceae","Tilia","Larix","Salix","Juglans","Rosaceae","Myrica","Pinus.undiff.","Rumex","Thalictrum","Asteraceae.subf..Cichorioideae","Cupressaceae","Shepherdia","Sarcobatus.vermiculatus"
210,3978,386,24,0,0,191,0,0,2,1,7,18,1,14,72,26,5,5,3,6,0,0,0,0,4,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
230,4423,220,22,0,0,113,0,0,1,0,1,4,0,20,13,30,4,1,2,4,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
250,4867,371,21,0,0,197,1,0,0,0,2,4,1,19,28,45,3,25,3,11,3,0,0,0,1,3,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
270,5312,295,9,0,0,189,0,0,2,0,1,10,1,7,27,10,5,18,1,11,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
310,6201,301,2,0,0,178,0,1,0,0,1,10,1,13,14,29,7,9,10,17,5,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
330,6645,220,9,1,0,91,0,0,0,0,1,5,1,12,49,30,3,6,2,4,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,7090,453,16,1,0,135,0,1,0,0,4,2,1,32,167,45,16,17,7,3,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,7534,209,5,1,0,37,0,0,0,0,1,8,2,14,81,35,8,2,7,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
390,7979,250,15,1,0,75,0,0,0,0,1,3,1,12,83,31,11,3,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,8423,273,7,0,1,106,1,0,0,0,1,6,4,20,87,16,8,1,3,5,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
430,8867,356,54,0,1,118,0,0,0,0,1,5,0,58,78,20,8,3,1,4,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
450,9312,272,32,1,0,101,0,0,0,0,1,6,1,29,73,12,5,3,1,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
470,9756,414,43,0,0,148,0,1,0,0,0,15,6,22,114,12,19,1,5,14,1,0,3,0,2,4,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
490,10201,213,10,0,0,107,0,0,1,0,0,8,3,13,33,4,6,0,1,20,1,0,0,0,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0
510,10645,206,11,0,0,116,0,0,0,0,1,1,0,13,26,4,11,1,1,17,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
530,11090,258,16,0,0,72,0,1,1,0,0,7,2,35,17,11,11,0,1,68,2,1,2,0,2,1,1,0,0,3,3,0,1,0,0,0,0,0,0,0,0
550,11833,201,5,0,0,7,0,0,0,0,0,2,2,144,23,4,1,0,0,6,0,0,0,0,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
570,12576,381,0,1,14,36,0,6,0,1,0,31,2,38,82,2,0,1,0,8,0,0,17,2,114,0,6,0,0,0,20,0,0,0,0,0,0,0,0,0,0
590,13320,226,1,1,3,124,0,0,0,0,0,3,0,32,28,1,2,0,0,3,1,0,3,0,10,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
600,13691,288,0,0,12,44,0,1,1,0,1,26,7,45,27,6,3,1,2,34,0,0,26,0,12,0,2,0,0,0,3,1,2,0,26,4,2,0,0,0,0
605,13877,309,0,1,33,46,1,1,1,2,0,17,2,45,33,4,3,1,1,15,0,0,24,0,15,0,3,0,0,0,18,0,5,1,29,6,1,1,0,0,0
610,14063,140,1,1,8,14,0,0,0,0,0,8,5,28,17,4,0,1,0,4,0,0,10,0,5,0,4,0,0,0,17,0,0,0,6,6,1,0,0,0,0
615,14249,239,1,4,14,22,0,1,1,0,0,22,4,27,26,3,3,0,1,25,0,0,18,0,13,1,3,0,0,0,18,0,4,0,24,4,0,0,0,0,0
620,14434,138,0,0,7,7,0,1,0,1,0,11,0,13,9,2,1,0,0,10,0,0,15,0,14,0,5,0,0,0,19,0,1,1,15,2,0,1,2,1,0
625,14620,140,0,1,12,8,0,0,0,0,0,18,0,23,8,0,1,0,1,4,1,0,11,0,5,0,6,0,0,0,25,0,1,0,14,0,0,0,0,0,1
