"sample.depths","sample.ages","upland.sum","Abies","Artemisia","Betula","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Ericaceae","Picea","Quercus","Ulmus","Alnus","Ambrosia","Iva.annua","Myrica","Populus","Poaceae","Pinus.strobus","Pinus.banksiana.P..resinosa","Fraxinus.nigra","Larix","Ostrya.Carpinus","Salix","Asteraceae.subf..Asteroideae.undiff.","Humulus","Fraxinus.americana","Sarcobatus.vermiculatus","Corylus","Thalictrum","Onagraceae","Tsuga","Acer.rubrum","Castanea","Carya","Iva.xanthifolia","Rosaceae","Platanus","Acer.negundo","Juglans.cinerea","Shepherdia.argentea","Amorpha","Dalea.candida","Acer.saccharum","Celtis","Shepherdia.canadensis","Apiaceae","Caryophyllaceae"
160,2464,371,1,4,69,2,4,3,1,33,5,0,27,0,0,1,2,6,31,161,0,14,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,2775,352,4,3,67,0,5,3,0,23,4,0,35,3,0,1,1,6,22,162,2,3,3,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3087,325,2,8,58,2,1,2,1,27,3,0,28,1,0,1,1,4,18,161,1,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,3399,336,3,8,58,1,4,2,0,29,4,0,32,3,0,1,2,2,29,150,1,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,3711,363,3,6,50,2,7,2,0,25,1,2,43,4,0,2,4,8,27,168,0,3,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
260,4022,371,2,4,44,1,8,2,0,28,2,1,39,4,0,2,4,2,49,172,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,4334,337,2,6,50,2,1,9,0,21,3,1,34,1,0,2,2,1,24,172,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
300,4646,328,3,4,50,0,4,4,0,16,2,1,32,4,0,8,4,3,25,155,3,5,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
320,4957,354,3,3,52,1,3,4,1,23,2,0,26,5,1,0,4,5,50,159,3,4,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
340,5269,326,2,3,63,0,2,0,1,19,1,0,48,2,0,1,2,6,17,151,3,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,5581,367,1,6,54,1,7,2,0,13,5,2,38,4,1,5,0,2,39,178,0,4,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
370,5737,338,1,3,43,0,4,4,0,11,5,2,31,1,0,3,1,3,62,144,1,5,7,2,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
380,5893,381,3,6,35,1,4,2,0,9,1,1,22,2,0,2,0,3,115,160,2,3,3,1,2,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
390,6048,364,5,8,44,2,8,8,1,10,8,1,19,3,1,3,4,6,64,165,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
400,6204,352,1,3,66,4,15,1,0,17,5,2,36,4,0,1,3,6,53,123,2,2,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
410,6360,333,3,3,51,3,8,2,0,13,5,2,43,4,0,3,6,0,21,158,2,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
420,6494,346,0,10,47,2,8,4,1,14,7,0,36,3,0,3,20,6,3,168,1,0,2,3,1,0,1,1,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
440,6762,419,5,7,63,3,21,9,0,15,8,3,30,5,1,5,12,8,0,196,6,3,4,2,0,0,3,0,6,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
460,7030,346,1,8,77,5,22,6,0,6,7,2,37,4,0,0,6,12,3,136,2,0,1,2,3,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
480,7298,337,3,9,65,5,8,6,0,14,1,0,42,7,0,1,4,5,3,155,0,2,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
500,7566,339,0,3,60,4,4,2,0,21,3,1,42,7,1,1,9,6,0,170,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
510,7700,376,0,8,60,12,10,8,0,20,2,3,57,6,1,3,16,2,3,150,3,3,3,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,7833,365,0,3,40,3,8,9,0,23,3,3,70,0,0,2,8,5,0,180,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
530,7967,346,0,8,16,1,12,8,0,26,2,2,40,3,0,11,6,4,0,197,0,3,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,NA,392,0,13,26,5,5,3,0,45,3,2,1,9,1,12,16,1,0,241,0,3,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
550,NA,362,0,14,15,3,6,6,0,47,1,4,2,11,0,8,19,3,0,210,0,9,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,NA,337,1,4,34,1,0,4,0,35,7,3,0,1,0,12,8,2,0,210,0,6,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
570,NA,396,0,9,52,2,5,10,0,62,6,8,0,4,0,23,20,10,0,164,1,10,2,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,NA,337,0,9,40,2,7,14,0,109,24,13,1,3,1,0,11,4,1,64,3,22,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
590,NA,322,1,25,20,4,10,16,0,123,19,7,3,4,1,0,8,6,2,48,3,15,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
600,NA,322,0,16,16,2,14,10,0,142,12,4,3,11,0,0,10,3,2,58,1,9,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0
610,NA,305,0,21,36,5,26,26,0,60,14,15,2,4,0,0,12,9,0,60,4,2,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0
620,NA,356,2,39,29,4,20,49,2,36,18,24,0,5,0,0,7,10,0,77,8,1,0,13,4,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,1,0
630,NA,305,1,23,37,7,13,31,0,44,12,18,4,4,0,0,7,5,0,78,5,2,1,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
640,NA,328,0,42,15,6,4,53,0,54,7,12,2,6,0,0,12,10,0,81,5,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
650,NA,343,0,21,39,1,0,21,0,35,12,20,2,3,0,0,14,4,2,110,26,1,3,7,9,0,1,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,3
660,NA,334,0,27,34,4,7,12,0,43,13,18,1,0,0,0,17,10,0,130,4,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2
