"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Ericaceae","Picea","Salix","Asteraceae.subf..Asteroideae.undiff.","Alnus","Pinus","Populus","Poaceae","Rosaceae","Ambrosia.type","Herbs.undiff.","Sarcobatus.vermiculatus","Fraxinus","Myrica","Larix","Thalictrum","Ulmus","Abies","Corylus","Quercus","Shepherdia","Elaeagnus","Trees.undiff.","Ostrya.Carpinus","Polygonaceae.undiff.","Rumex"
200,5292,314,4,80,0,0,2,30,6,0,68,120,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
210,5556,368,12,73,2,3,0,22,2,1,78,168,3,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
220,5820,322,10,66,1,2,1,19,4,0,37,179,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
230,6084,481,13,90,5,1,1,39,3,0,76,244,0,2,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0
235,6216,360,10,97,1,1,1,35,2,0,46,158,2,0,0,0,2,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0
250,6612,348,6,108,3,2,5,21,4,0,83,107,2,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
260,6883,350,9,155,6,1,2,22,8,1,71,71,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
270,7289,393,15,151,1,8,0,42,7,0,131,33,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
280,7696,307,16,101,7,3,0,26,7,2,123,3,3,3,0,7,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
290,8102,388,12,140,7,2,1,39,4,6,162,9,0,0,1,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
300,8509,303,18,136,6,5,0,92,10,3,20,8,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
310,8915,390,17,198,6,2,0,123,9,1,7,13,2,4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,9118,235,13,44,5,1,0,149,4,1,1,11,0,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
320,9322,295,34,64,14,7,0,148,6,2,1,8,2,2,0,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
324,9484,262,17,38,11,18,0,152,5,3,2,7,1,4,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
326,NA,254,27,58,13,2,1,106,3,6,2,16,2,3,0,7,1,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0
330,NA,351,19,51,10,12,3,217,6,1,2,10,2,0,1,1,8,3,0,0,0,1,0,3,1,0,0,0,0,0,0,0
336,NA,295,44,63,19,15,1,43,34,2,5,22,15,12,0,7,0,0,0,0,0,2,0,1,3,0,6,0,0,1,0,0
340,NA,374,31,60,13,25,1,145,10,0,12,32,11,17,1,9,0,3,0,0,0,1,0,0,0,0,1,0,0,0,1,1
