"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Adiantum","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Brassicaceae","Carya","Caryophyllaceae","Castanea","Cephalanthus","Cornus.canadensis","Corylus","Cupressaceae","Cyperaceae","Dryas","Dryopteris.type","Ericaceae","Fabaceae","Fagus","Fraxinus","Ilex.Nemopanthus","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Lycopodium.type","Morus","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus.strobus","Pinus.undiff.","Plantago.major","Platanus","Poaceae.undiff.","Populus","Potamogetonaceae","Pteridium","Quercus","Rhus","Rumex","Salix","Sambucus","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica","Vitis","Zea.mays"
290,7284,0,0,0,34,0,1,2,0,0,2,0,0,54,0,0,2,0,0,0,0,1,1,1,1,0,0,0,39,16,0,3,0,0,2,1,0,1,0,0,0,0,0,23,3,61,15,0,6,0,0,2,0,67,0,0,2,0,1,0,0,0,0,5,60,0,32,2,0,0,0
300,7529,3,0,0,25,0,1,0,3,0,1,0,0,47,0,0,2,0,0,0,0,1,0,1,0,1,0,0,13,16,0,5,0,1,0,0,0,2,0,0,0,0,1,21,5,242,13,0,4,0,0,0,0,93,0,0,0,0,0,0,0,0,0,3,18,0,19,1,0,0,0
310,7775,2,0,0,11,0,8,0,0,0,0,0,0,69,0,0,0,0,1,0,0,2,1,3,0,1,0,0,9,8,0,2,1,0,1,0,0,2,1,0,0,0,0,28,1,203,22,0,2,0,0,0,0,74,0,0,0,0,0,0,0,0,0,5,7,0,20,0,0,0,0
320,8021,2,0,0,24,0,1,1,1,0,1,0,0,60,0,0,4,0,0,0,0,0,0,5,0,2,0,0,8,15,0,5,0,0,1,0,0,3,0,1,0,0,0,18,5,146,20,0,1,2,0,1,0,68,0,0,0,0,0,0,0,0,0,2,9,0,20,0,0,0,0
330,8266,1,0,1,2,0,2,0,2,0,1,1,0,79,0,0,2,0,0,0,0,0,4,4,0,0,0,0,7,17,0,2,0,0,0,0,0,4,0,0,0,0,0,21,3,157,49,0,3,1,2,1,3,75,0,0,0,0,0,0,0,0,0,0,5,0,16,1,0,0,0
340,8512,1,0,0,5,0,5,2,2,0,1,1,0,68,0,0,1,0,0,0,0,2,1,3,0,1,0,0,5,18,0,2,0,0,0,0,0,1,1,0,0,0,0,15,1,199,56,0,5,0,2,1,1,104,0,1,1,0,0,0,0,0,0,1,4,0,15,0,0,0,0
350,8757,3,0,0,3,1,4,3,2,0,4,0,0,51,0,0,1,0,0,0,0,2,5,10,0,3,0,0,2,14,0,3,0,0,1,0,0,6,0,0,0,0,0,15,1,124,168,0,6,0,7,1,7,84,1,0,2,0,0,0,2,0,0,0,6,0,17,0,0,0,0
360,9003,1,0,1,3,0,4,0,1,0,2,1,0,52,0,0,4,0,0,0,0,2,1,2,0,3,0,0,3,9,0,2,0,0,0,0,0,5,0,0,0,0,0,10,2,192,99,0,3,3,2,0,5,86,0,0,0,0,0,0,4,0,0,1,4,0,16,0,0,0,0
370,9248,2,0,0,3,0,5,2,1,0,0,1,0,34,0,0,1,0,0,0,0,1,6,2,0,1,0,0,2,9,0,4,0,0,0,0,0,3,0,0,0,0,0,5,5,77,242,0,2,1,4,1,7,38,0,0,1,0,0,0,1,0,0,1,5,0,11,0,1,0,0
380,9494,6,0,0,1,0,3,0,3,0,2,1,0,37,0,0,0,0,0,0,0,1,2,3,0,1,0,0,3,6,0,4,0,0,0,0,0,4,0,0,0,0,1,8,4,99,228,0,1,2,0,0,2,44,0,0,0,0,0,0,2,0,0,0,6,0,12,0,0,0,0
390,9740,3,0,0,3,0,7,0,0,0,1,0,0,36,0,0,2,0,0,0,0,0,2,4,0,1,0,0,0,6,0,5,0,0,0,0,0,4,0,0,0,0,0,16,4,43,276,0,2,4,1,0,7,37,0,0,2,0,0,0,2,0,0,0,10,0,15,0,0,0,0
400,9985,6,0,0,2,0,3,0,1,0,4,0,0,29,0,0,0,0,0,0,0,3,1,2,0,1,0,0,0,8,0,3,0,0,0,0,0,8,0,0,0,0,0,14,7,48,294,0,2,4,4,0,5,31,0,0,2,0,0,0,0,0,0,0,10,0,15,0,0,0,0
410,10231,5,0,0,2,0,6,0,1,0,0,0,0,44,0,0,0,0,0,0,0,4,4,5,0,0,0,0,2,7,0,4,0,0,0,0,0,3,0,0,0,0,0,11,6,64,225,0,4,5,5,1,3,32,0,0,2,0,0,0,1,0,0,1,4,0,11,0,0,0,0
420,10476,2,0,1,1,0,5,0,0,0,2,0,0,35,0,0,2,0,0,0,0,0,3,8,0,3,0,0,4,4,0,4,0,0,0,0,0,3,2,0,0,0,0,15,4,76,187,0,5,3,2,1,15,38,0,0,2,0,0,0,2,0,1,0,6,0,18,2,0,2,0
430,10722,4,0,0,3,0,2,0,0,0,2,2,0,42,0,0,1,0,0,0,0,1,1,1,0,0,0,0,3,3,0,6,0,0,0,0,0,6,0,0,0,0,0,9,4,35,258,0,1,2,3,0,12,41,0,0,0,0,0,0,0,0,0,0,8,1,13,1,0,0,0
440,10967,9,0,0,1,0,0,1,3,0,1,0,0,49,0,0,0,0,0,0,0,2,2,3,0,2,0,0,3,6,0,4,0,0,1,0,0,7,2,0,0,0,0,9,8,43,222,0,2,3,3,0,9,34,0,0,2,0,0,0,1,0,0,0,8,1,20,0,0,0,0
450,NA,17,0,0,2,1,0,0,1,0,2,0,0,64,0,0,2,0,0,0,0,6,6,6,0,1,0,0,0,5,1,4,0,0,1,0,0,6,0,0,0,0,0,18,19,24,198,0,2,5,6,0,12,46,0,0,4,0,0,0,3,0,0,1,5,1,8,2,0,0,0
460,NA,7,0,0,1,0,1,1,1,0,8,3,0,36,0,0,4,0,0,0,0,6,17,16,0,1,0,0,0,18,0,4,0,0,1,0,0,14,0,0,0,0,0,20,47,19,123,0,1,12,18,3,14,72,0,0,4,0,0,0,9,0,0,0,4,4,14,1,0,1,0
470,NA,3,0,0,0,0,4,2,0,0,16,5,0,40,0,0,0,0,0,1,1,5,17,16,0,3,0,0,0,3,0,10,0,0,4,0,0,23,4,0,0,0,0,10,132,16,123,0,0,6,12,1,6,33,0,0,12,1,0,0,2,0,0,0,4,2,9,2,0,4,0
480,NA,7,0,0,0,0,1,2,3,0,10,4,0,140,0,0,1,0,0,0,1,4,13,47,0,6,0,0,0,1,0,8,1,0,0,0,0,3,3,0,0,0,0,5,104,7,78,0,0,5,18,0,10,13,0,0,8,0,0,0,3,2,3,0,2,1,3,2,0,1,0
490,NA,6,0,0,0,0,18,2,3,0,22,6,0,160,0,0,0,0,1,0,0,5,7,106,0,5,4,0,0,1,0,4,0,0,0,0,0,1,4,0,0,0,0,4,63,15,104,0,0,8,3,2,13,12,0,0,21,0,0,0,1,3,12,0,0,0,6,5,0,0,0
500,NA,5,0,0,0,0,4,4,8,0,59,11,0,65,0,0,5,0,0,0,0,3,7,132,0,5,0,0,1,3,0,9,0,5,0,0,0,5,1,0,0,0,0,8,95,7,131,0,1,15,9,2,6,34,0,2,58,0,0,4,6,0,0,0,1,1,7,8,0,0,0
