"sample.depths","sample.ages","upland.sum","Abies","Acer.undiff.","Acer.rubrum","Acer.saccharum","Alnus.incana","Alnus.viridis.subsp..crispa","Betula.undiff.","Betula..small.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Other.shrubs","Other.trees","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva","Other.herbs","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Secale","Thalictrum","Urtica","Zea"
72,1336,554,0,0,0,4,6,0,45,0,3,6,3,1,0,1,0,0,0,1,20,0,1,0,0,0,0,0,0,3,0,35,1,3,0,0,2,6,1,208,2,1,160,0,0,0,0,0,12,2,0,5,0,0,6,0,2,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
76,1395,522,0,0,1,3,9,0,51,0,3,9,1,0,0,0,0,0,0,0,12,2,2,0,0,0,0,0,0,0,0,26,1,1,0,0,2,9,2,195,1,1,167,0,0,0,0,0,7,2,0,3,0,0,2,1,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
80,1455,525,0,0,2,1,10,0,60,0,6,14,0,0,0,1,0,0,1,0,10,3,2,1,1,0,0,0,0,0,0,41,1,3,0,0,2,3,3,154,1,0,166,0,0,0,0,1,11,6,0,3,0,1,2,0,0,1,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0
84,1615,524,0,0,0,0,5,0,64,0,6,11,1,0,0,0,0,0,0,1,14,1,3,0,0,0,0,0,0,1,0,26,0,2,0,0,0,7,1,186,1,0,163,0,0,0,0,1,10,1,0,2,0,0,7,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0
88,1810,537,0,0,0,2,10,0,57,0,3,12,1,0,0,0,0,1,0,1,17,1,3,1,0,0,1,0,0,0,0,47,3,2,0,0,1,5,1,136,0,0,204,0,0,0,0,0,6,3,0,3,0,0,6,0,0,1,2,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0
92,2004,531,0,0,1,7,8,0,65,0,4,9,0,0,0,0,0,0,0,2,29,2,0,0,1,0,1,0,0,1,0,30,0,2,0,0,2,7,2,134,2,0,196,0,0,0,0,0,2,9,0,2,0,0,4,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
96,2198,522,0,0,2,1,18,0,59,0,1,7,4,0,0,1,0,2,0,0,18,2,3,0,0,3,0,0,0,1,0,37,2,4,0,0,0,6,2,146,1,0,177,0,0,0,0,2,4,2,0,2,0,1,3,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
100,2393,528,0,0,1,9,12,0,59,0,5,9,0,0,0,0,0,0,0,3,15,1,0,0,0,1,0,0,0,0,0,29,4,3,0,0,0,5,0,130,2,0,212,0,0,0,0,0,9,3,0,1,0,0,5,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0
104,2587,524,0,1,0,5,7,0,48,0,1,7,0,0,0,0,0,2,0,0,16,1,2,0,0,0,0,0,0,0,0,50,1,4,0,0,0,3,1,120,0,0,221,0,0,0,0,1,11,7,0,2,0,3,4,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
108,2781,518,0,0,1,2,15,0,54,0,3,9,3,0,0,0,0,0,0,1,17,0,1,0,0,0,0,0,0,2,0,49,3,1,0,0,0,3,0,124,1,0,201,0,2,0,0,0,5,4,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
112,2976,518,0,0,0,3,10,0,46,0,4,12,0,0,0,0,0,0,0,0,20,1,3,0,0,0,0,0,0,1,0,36,1,3,0,0,0,3,3,96,1,0,249,1,0,0,0,0,6,6,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
116,3170,545,0,0,3,1,14,0,64,0,3,11,2,0,0,3,0,0,0,1,28,2,1,0,0,0,0,0,0,1,0,35,4,8,0,0,0,4,3,66,0,0,259,0,0,0,0,1,9,4,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
120,3364,538,0,0,1,1,10,0,69,0,1,4,2,0,0,1,0,1,0,0,24,0,6,0,0,0,0,0,0,0,0,45,4,2,0,0,0,4,0,86,0,0,237,0,0,0,0,0,8,5,0,2,0,4,3,0,0,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
124,3501,535,0,0,0,4,13,0,56,0,5,5,1,0,0,1,0,0,0,1,19,0,1,1,1,1,0,0,0,0,0,51,3,2,0,0,0,14,1,128,1,1,191,0,0,0,0,0,4,3,0,3,0,2,7,0,0,0,1,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
128,3619,518,0,0,0,1,16,0,54,0,7,4,1,0,0,0,0,0,0,1,16,6,1,0,0,0,2,0,0,0,0,67,3,3,0,0,0,4,2,92,4,0,208,1,0,0,0,0,5,5,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
132,3736,524,0,0,1,1,10,0,65,0,3,7,3,1,0,0,0,0,0,1,13,2,0,1,0,0,3,0,0,0,0,57,0,2,0,0,0,2,2,74,2,0,242,0,0,0,0,0,4,6,0,1,0,1,5,0,0,1,1,0,0,0,2,0,0,10,0,0,0,0,0,0,1,0,0
136,3854,534,0,0,0,5,9,0,59,0,0,2,1,0,0,0,0,0,0,1,25,2,0,1,1,0,0,0,0,0,0,48,0,6,0,0,0,7,7,96,4,0,227,1,0,0,0,0,1,7,0,1,0,0,3,0,0,2,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
