"sample.depths","sample.ages","Acer","Alnus","Amaranthaceae","Ambrosia.Iva","Arecaceae","Aster","Asteraceae.undiff.","Betula","Bursera.simaruba","Carya","Casuarina","Celtis","Cephalanthus","Cladium","Cupressaceae.Taxaceae","Cyperaceae.undiff.","Cyrilla.racemiflora","Ericaceae","Euphorbiaceae","Fabaceae","Fraxinus","Ilex","Lamiaceae","Liquidambar","Melastomataceae","Myrica","Nymphaea","Nyssa","Osmunda.regalis","Other.ferns","Pinus","Poaceae","Polygonaceae","Pteris.bahamensis","Quercus","Sagittaria","Typha","Ulmus","Unknown..monolete.","Unknown..tetracolpate.","Unknown..tricolporate.","Unknown..trilete.","Unknown..triporate.","Unknown.undiff.","Utricularia"
43,725,0,0,110,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,20,96,4,0,0,4,8,0,0,18,0,4,0,0,0,2
45,759,0,2,102,2,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,16,2,0,0,0,104,0,2,0,6,18,0,0,0,0,0,0,0,0,4
49,827,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,78,0,0,0,0,22,0,0,0,0,0,0,0,4,0
51,862,0,0,104,2,2,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,2,0,0,2,6,2,0,0,0,48,2,0,0,8,8,0,0,0,0,0,0,0,2,0
55,984,0,0,358,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,16,0,0,0,126,0,0,0,2,26,0,0,0,0,0,0,2,4,4
57,1045,0,2,182,2,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,76,0,8,0,12,12,2,0,0,0,0,4,0,0,2
61,1167,0,2,294,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,2,0,0,0,0,6,4,0,6,12,204,6,2,0,10,18,4,0,4,0,4,2,0,6,0
63,1228,0,2,280,4,0,0,0,0,0,0,0,0,0,10,0,2,0,2,0,0,0,0,0,2,0,18,12,0,4,16,218,2,2,0,8,28,0,0,12,0,0,0,0,0,8
65,1289,0,4,248,2,0,0,0,0,0,0,0,0,0,2,0,6,0,0,4,0,0,0,0,0,0,10,4,0,0,0,82,2,6,0,4,8,0,0,0,0,0,0,0,0,2
67,1351,0,0,462,4,0,0,4,0,0,0,0,0,0,2,0,6,0,2,0,0,0,0,0,0,0,18,10,0,0,18,86,2,4,0,18,12,2,0,18,0,2,0,2,0,2
71,1473,2,2,88,4,0,0,2,0,0,0,0,0,0,30,0,0,0,0,0,2,0,0,0,0,0,12,28,0,0,4,108,4,0,0,14,24,2,0,2,0,0,2,2,4,0
