"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Anacardiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Brasenia.schreberi","Brassicaceae","Campanulaceae","Caprifoliaceae","Carya","Caryophyllaceae","Castanea","Cerealia","Corylus","Cupressaceae","Cyperaceae","Diospyros.type","Dryopteris.type","Equisetum","Ericaceae","Fagus","Filicopsida.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex","Isoëtes","Juglans.cinerea","Juglans.nigra","Lamiaceae","Lemnaceae","Liquidambar","Lycopodium.type","Menyanthes.trifoliata","Myrica","Myriophyllum","Nuphar","Nyssa","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae.undiff.","Polemoniaceae","Polygonum","Populus","Potamogetonaceae","Potentilla.type","Pteridium.type","Quercus","Rhamnaceae","Rhamnaceae.Vitaceae.undiff.","Rubiaceae","Rumex","Sagittaria","Salix","Sanguisorba","Sparganium.type","Sphagnum","Thalictrum","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica.type"
50,8784,2,0,1,8,0,0,2,0,0,0,8,0,0,16,0,0,0,4,3,0,2,0,0,0,18,0,66,0,1,12,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,14,0,4,0,2,17,0,0,18,0,0,1,0,0,2,187,1,0,48,0,0,1,0,0,2,0,14,0,1,0,0
52.5,9232,8,1,0,13,0,0,2,0,0,0,7,0,0,31,4,0,0,1,1,0,0,0,10,0,7,0,14,0,0,4,0,4,0,0,15,0,0,0,0,0,1,0,0,0,0,1,0,3,9,13,122,0,0,11,0,0,0,0,1,1,65,0,0,9,0,1,0,1,0,0,0,3,0,1,0,0
55,9643,4,2,0,21,2,0,0,0,1,0,4,0,0,21,1,0,0,3,0,1,1,0,4,0,14,0,50,0,0,2,0,4,0,0,14,0,1,0,0,0,2,0,0,0,1,7,1,3,5,13,102,0,0,16,0,0,0,0,0,4,86,0,0,33,0,0,0,1,0,1,0,4,0,1,0,1
57.5,10013,6,0,0,13,0,0,1,0,0,0,2,1,0,41,4,0,0,0,1,0,0,0,3,1,11,0,12,0,0,1,0,8,0,0,17,0,0,0,0,0,0,0,0,0,8,2,0,0,11,21,119,0,0,8,0,0,0,0,1,2,29,0,0,1,0,0,3,0,0,3,0,1,1,2,0,0
60,10344,9,0,2,25,0,0,1,0,0,0,6,0,0,22,6,0,0,0,0,0,0,0,3,0,11,0,4,0,0,1,0,13,0,0,30,0,0,0,0,0,1,1,0,0,2,0,0,1,11,15,129,0,0,7,0,0,4,1,2,10,19,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
70,11367,13,0,0,16,0,0,0,0,0,0,2,0,0,24,11,0,0,1,1,0,0,0,1,1,20,0,3,0,0,1,0,8,1,0,63,0,0,0,0,0,7,0,0,2,1,0,0,0,12,14,124,0,0,19,0,0,2,0,4,7,14,0,0,0,0,0,3,2,0,2,0,0,0,1,0,0
80,12104,9,0,0,18,0,0,0,0,0,3,6,0,0,20,4,0,0,2,1,0,0,0,1,1,5,0,6,0,0,1,0,11,0,0,75,0,0,0,0,0,3,0,0,0,2,0,0,0,12,16,141,0,0,7,0,0,3,1,1,4,26,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
90,12680,13,0,1,15,0,0,1,0,0,0,4,0,0,22,10,0,0,0,1,0,1,0,3,0,13,0,12,0,1,1,0,7,0,1,36,0,0,0,0,0,1,0,1,1,1,0,0,2,12,11,123,0,0,7,0,0,2,1,1,4,36,0,0,3,0,0,2,1,1,1,0,0,0,1,0,1
100,13120,13,0,0,11,0,0,0,0,0,0,4,0,0,19,5,0,0,1,1,0,1,0,2,0,18,0,3,0,0,0,0,4,0,0,75,0,0,0,0,0,5,0,1,0,0,0,0,0,10,27,136,0,1,7,0,0,1,0,1,8,23,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0
110,13444,8,0,0,14,0,0,1,0,0,1,1,0,0,15,8,0,0,0,0,0,0,0,3,0,13,0,5,0,0,1,0,6,0,0,111,0,0,0,0,0,9,0,0,0,0,0,0,0,9,15,152,0,0,10,0,0,0,0,3,3,21,0,0,0,0,0,2,4,1,1,1,0,0,0,0,1
120,13671,20,0,0,5,1,0,2,0,0,0,7,0,0,19,5,0,0,1,0,0,0,0,4,1,13,0,2,0,0,0,0,12,0,0,105,0,0,1,0,0,3,0,0,1,0,0,0,0,14,24,127,0,0,7,0,0,1,0,1,3,23,0,0,0,0,1,2,1,1,1,1,0,0,3,0,0
130,13823,10,0,0,14,2,0,2,0,0,0,6,0,0,21,7,0,0,0,0,0,0,0,3,0,17,0,8,0,0,2,1,5,0,0,87,0,0,0,0,1,2,0,0,0,1,0,0,0,15,24,109,0,0,14,0,0,0,0,3,10,22,0,0,1,0,0,3,2,0,2,0,0,0,0,0,1
135,13877,12,1,0,11,0,0,0,0,0,0,5,0,1,18,8,0,0,0,1,0,0,0,1,0,11,0,5,0,1,2,0,6,0,0,96,0,0,0,0,0,4,0,1,1,0,0,0,0,13,48,115,0,0,8,0,0,4,0,3,2,24,0,0,0,0,0,2,2,0,1,0,0,0,1,1,0
140,13920,1,0,0,12,1,0,1,0,0,0,17,0,3,10,0,0,0,0,0,0,0,0,2,1,14,0,16,0,1,0,4,4,0,0,54,0,0,0,0,0,2,0,0,0,0,0,0,0,3,88,39,0,0,25,1,0,1,0,2,1,16,0,0,0,0,1,7,15,3,1,1,0,0,0,2,2
145,13954,4,0,0,9,0,0,5,0,0,1,16,0,0,18,0,1,0,0,0,0,0,0,1,2,6,0,7,1,0,0,0,4,0,0,210,0,0,0,0,0,7,0,0,0,0,0,0,0,13,78,63,0,0,21,0,0,1,0,3,3,27,0,0,0,0,1,2,9,1,1,0,0,0,0,1,0
150,13982,8,0,0,5,1,0,1,0,0,1,4,0,1,22,2,0,0,0,2,0,0,0,3,0,8,0,8,1,0,0,6,2,0,0,10,0,0,0,0,0,3,0,0,1,1,0,0,0,18,62,85,0,0,18,0,0,1,0,2,5,31,1,0,0,2,1,0,4,0,0,0,0,0,0,1,0
155,14006,7,0,0,3,0,0,1,0,0,1,10,0,1,17,0,0,0,1,0,0,0,0,1,3,9,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,104,55,0,0,21,0,0,0,0,1,4,16,0,0,0,0,1,7,10,1,2,1,0,0,0,1,0
160,14028,0,0,0,8,2,0,0,0,0,0,9,0,0,16,0,0,0,1,0,1,0,0,0,0,13,0,13,0,0,0,1,4,0,0,84,0,0,0,0,0,2,0,0,0,1,0,0,0,0,145,40,0,0,22,0,0,1,0,1,0,4,0,0,0,0,0,1,8,5,0,4,0,0,1,1,1
170,14064,0,0,0,5,3,0,0,0,0,1,20,0,1,6,0,0,0,0,0,0,0,0,0,2,6,0,11,1,1,0,0,0,0,0,8,0,1,0,0,0,3,0,0,0,0,0,0,0,0,151,43,0,0,21,0,0,0,0,2,0,5,0,0,0,1,1,1,19,1,1,0,0,0,0,4,0
180,14092,0,0,0,11,4,0,0,0,0,0,16,0,0,11,0,0,0,0,0,0,0,0,0,4,7,0,13,0,1,0,0,2,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,2,135,42,0,0,9,0,1,4,0,1,1,8,0,0,0,2,0,2,16,0,0,0,0,0,0,0,2
190,14114,0,0,0,8,0,0,0,0,0,1,8,0,11,10,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,1,0,0,12,1,1,0,0,0,4,0,0,0,0,0,0,0,1,159,42,0,0,15,0,0,1,0,3,1,6,0,0,0,0,0,2,8,1,0,1,0,0,0,2,2
200,14129,0,0,0,10,6,1,0,0,0,1,12,0,0,7,0,0,0,0,0,0,0,0,3,1,2,0,7,0,0,0,0,0,0,0,18,0,0,0,0,0,3,0,1,0,0,0,0,0,1,159,40,0,0,9,0,0,0,0,0,0,9,0,0,0,1,0,1,19,0,2,1,0,0,1,0,3
210,14140,0,0,0,5,6,0,1,0,0,0,12,0,8,11,0,0,0,0,0,0,0,0,0,1,2,0,8,0,2,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,2,167,42,0,0,10,0,0,0,0,1,0,6,0,0,0,0,0,3,17,0,0,2,0,0,0,0,0
220,14148,1,0,0,19,0,1,1,0,0,2,15,0,4,18,0,0,0,0,1,0,0,0,2,1,7,0,4,0,1,1,0,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,1,135,44,0,0,10,0,0,0,0,5,0,4,0,0,1,0,0,1,16,1,2,2,0,0,1,0,0
230,14154,0,0,0,12,0,0,0,0,0,2,16,0,0,19,0,0,0,0,0,0,0,0,0,0,4,0,6,0,1,0,0,4,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,155,29,0,0,16,0,0,0,0,2,2,11,0,0,1,1,0,3,13,0,1,0,0,0,0,0,1
235,14156,3,0,0,9,1,0,1,0,0,0,19,0,0,29,0,0,0,0,2,0,0,0,0,0,6,0,1,0,0,0,1,0,0,0,15,0,0,0,0,0,3,0,0,0,0,0,0,0,1,151,40,0,0,14,0,0,0,0,0,0,4,0,0,0,1,0,0,14,1,0,1,0,0,1,2,0
240,14159,0,0,0,9,0,0,1,0,0,0,14,0,0,54,0,0,1,0,0,1,0,0,0,2,7,0,2,0,0,0,0,1,0,0,15,0,0,0,0,0,2,0,0,1,0,0,0,0,2,107,45,0,0,35,0,0,0,0,0,2,5,0,0,0,1,0,3,4,3,0,0,0,0,2,0,0
245,14161,3,0,0,6,4,0,1,0,0,0,13,1,0,61,0,0,0,0,0,2,0,0,0,4,19,0,1,0,0,0,0,0,0,0,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,76,46,0,0,48,0,1,0,0,0,0,5,0,0,0,1,0,0,5,0,0,1,0,0,0,1,1
252,14165,1,0,0,6,0,0,0,0,0,1,9,0,1,56,0,0,1,0,1,1,0,0,0,1,16,0,3,0,0,0,2,1,0,0,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,47,65,0,0,72,0,1,1,0,0,0,8,0,0,0,1,0,2,1,0,0,1,0,0,0,0,1
255,14167,0,0,0,5,1,0,0,0,0,2,11,0,0,75,0,0,0,0,0,1,0,0,0,2,23,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,22,37,0,0,101,0,0,0,0,0,0,4,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0
265,14174,0,0,0,4,2,0,3,0,0,3,16,0,0,35,0,0,0,0,0,0,0,0,0,3,40,0,3,0,0,0,0,0,0,0,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,34,25,0,0,111,0,4,0,0,1,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,1
275,14184,0,0,0,5,0,0,0,0,0,2,11,2,0,28,0,0,0,0,0,2,0,0,0,1,49,0,1,0,1,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46,26,0,0,111,0,3,0,0,0,1,1,0,0,1,2,0,2,0,0,1,2,0,0,0,0,1
285,14196,2,0,0,2,2,0,2,0,0,0,9,0,0,25,0,0,0,0,0,2,0,0,0,0,42,0,1,0,1,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,43,28,0,0,118,1,8,0,0,0,0,1,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0
295,14210,2,0,0,3,0,0,0,0,0,0,10,2,0,21,0,0,2,0,0,2,0,0,0,0,44,0,1,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,21,0,0,139,0,7,0,0,0,0,2,0,0,0,3,0,0,1,0,2,0,0,0,0,0,0
305,14225,4,0,0,4,2,0,1,0,0,1,6,0,0,26,0,0,0,0,0,3,0,0,0,4,37,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,54,40,0,0,97,1,1,1,0,0,0,1,1,0,0,2,0,3,2,0,0,1,0,0,0,0,0
315,14242,1,0,0,5,0,0,0,0,0,1,15,0,0,21,0,0,0,0,0,3,0,0,0,0,23,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,48,0,0,118,2,1,0,0,0,1,2,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0
325,14261,2,0,0,10,1,0,1,0,0,3,11,0,0,25,0,0,0,0,0,2,0,0,0,0,34,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,2,28,39,0,0,113,0,2,0,0,0,0,2,0,0,0,0,0,5,0,0,2,0,0,0,1,1,1
345,14302,5,0,1,3,9,0,1,0,0,0,5,0,0,43,0,0,0,0,0,3,0,0,0,4,48,0,5,0,2,0,2,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,43,49,0,0,54,0,2,1,0,0,0,1,0,0,0,0,0,9,0,0,1,1,0,0,0,1,1
365,14348,1,0,0,4,1,0,1,0,0,1,7,0,0,40,0,0,1,0,1,3,0,0,0,0,31,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,23,47,0,0,78,0,4,0,0,0,0,2,0,0,0,0,0,10,1,0,0,0,0,0,0,1,1
385,14397,2,0,0,11,1,0,2,0,0,2,6,1,0,39,0,0,0,0,0,1,0,0,0,0,26,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,40,57,0,0,89,1,1,0,0,0,1,1,0,0,0,0,0,5,1,0,3,2,0,0,0,1,1
405,14448,0,0,0,10,2,0,1,0,0,1,4,1,0,25,0,0,0,0,0,6,0,0,0,0,46,0,1,0,1,0,2,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,49,58,0,0,70,0,1,0,0,0,2,5,0,0,0,1,0,4,2,0,0,2,0,0,1,2,0
415,14474,1,0,0,15,0,0,0,0,0,3,1,0,0,43,0,0,0,0,0,3,0,0,0,0,22,0,7,0,0,0,3,0,0,0,1,0,0,0,0,0,22,0,0,0,0,0,0,0,1,42,90,0,0,18,0,3,0,0,0,0,1,0,0,0,0,0,1,1,0,3,3,0,0,0,1,0
