"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Acer.undiff.","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Athyrium","Betula","Botrychium","Brassicaceae","Caltha","Campanulaceae","Cannabaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Cyperaceae","Decodon.verticillatus","Dryopteris.type","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Galium","Gentianaceae","Ilex","Indeterminable","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Liquidambar","Lycopodium.type","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Parnassia","Parthenocissus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonaceae.undiff.","Polygonum","Populus","Potamogetonaceae","Primulaceae","Prunus.Sorbus","Pteridium.type","Quercus","Ranunculaceae.undiff.","Ranunculus","Rhamnaceae.Vitaceae.undiff.","Rhus","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sambucus","Saxifraga.type","Solanaceae","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Unknown.undiff.","Viburnum","Woodsia"
80,2764,0,0,1,0,1,1,39,0,0,0,0,5,0,8,1,0,0,0,0,3,1,1,0,4,0,0,0,2,0,0,0,0,0,10,0,1,0,0,0,12,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,6,0,1,4,0,0,4,0,0,0,0,49,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0
90,2991,0,0,3,0,3,8,156,1,0,0,0,12,0,31,0,0,1,0,0,2,1,2,0,8,0,3,5,5,0,0,0,3,0,18,4,1,0,0,9,57,2,0,0,3,0,1,0,1,0,0,0,0,1,0,5,8,3,0,0,3,0,0,34,0,1,26,0,0,5,0,0,1,1,166,0,0,0,1,2,0,2,0,0,0,1,0,0,0,0,8,2,3,4,3,4,0,0,0
110,3341,0,0,5,0,0,2,98,1,0,0,0,9,0,21,0,1,0,0,0,5,2,0,0,2,0,0,3,1,0,0,0,2,0,13,2,0,0,0,3,20,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,10,0,0,13,0,0,1,0,0,0,0,97,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,4,1,3,1,3,3,0,0,0
120,3473,0,0,8,0,1,6,120,0,0,0,1,7,0,32,0,0,0,0,0,7,2,0,0,5,0,0,4,8,0,0,0,1,0,16,3,2,0,0,6,31,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,1,0,0,33,0,3,21,0,0,3,0,0,0,3,167,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,0,5,1,10,2,0,1,0
140,3672,0,0,1,0,3,0,94,0,0,0,0,6,0,20,0,0,0,0,0,1,0,1,0,1,0,2,5,1,0,0,0,0,0,8,0,1,0,0,2,45,4,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,17,0,1,9,0,0,3,0,0,0,0,70,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,5,0,5,2,0,4,0,1,0
150,3748,1,0,6,0,1,3,166,0,0,0,0,11,0,23,0,1,0,0,0,5,0,1,0,2,0,1,6,4,0,0,0,0,0,18,6,0,0,0,6,38,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,7,0,0,0,3,0,0,35,0,1,39,0,0,5,0,0,0,4,174,0,0,2,0,1,0,0,1,1,0,2,0,3,0,0,7,1,5,5,12,3,0,5,0
160,3815,1,0,3,0,0,1,60,0,0,0,0,2,0,5,0,0,0,0,0,3,0,0,0,4,0,1,2,0,0,0,0,0,0,7,0,1,0,0,5,16,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,10,0,1,10,0,0,0,0,0,0,0,43,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,3,1,0,0,0,0
180,3926,2,0,5,0,0,1,124,0,1,0,1,13,0,24,0,0,0,0,0,7,2,0,0,8,0,0,2,5,0,0,0,2,0,20,2,2,0,0,11,33,8,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,2,1,0,0,0,0,33,0,1,41,0,1,2,0,0,0,3,205,0,2,0,0,0,0,0,0,0,0,0,1,3,1,1,8,1,0,2,3,3,0,2,0
190,3976,0,0,2,0,0,0,39,0,0,0,0,0,0,9,0,0,0,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,7,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,2,0,0,0
210,4071,0,0,4,0,3,4,109,0,0,0,0,6,0,37,0,0,0,0,0,7,0,0,0,8,1,0,3,6,0,0,0,0,0,25,7,1,0,0,7,39,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,2,2,0,0,1,0,0,32,0,6,13,0,0,1,0,0,0,6,180,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,7,0,2,2,4,2,0,1,0
220,4119,0,0,3,0,2,0,47,0,0,0,1,5,0,14,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,1,0,0,5,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,4,0,0,5,0,0,3,0,0,0,0,63,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,2,0,1,0,0,0
240,4223,0,0,5,1,3,2,136,0,0,0,0,1,0,20,0,1,0,0,0,7,0,2,0,7,0,0,4,5,0,0,0,0,1,14,0,3,0,0,3,31,2,1,0,0,0,0,0,0,0,0,1,0,0,0,3,6,0,0,0,1,0,0,14,0,2,11,0,0,2,0,0,0,1,167,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,3,0,3,1,3,2,0,2,0
250,4281,0,0,0,0,0,1,32,0,0,1,0,2,0,5,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,0,0,2,1,2,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,1,1,0,2,0,0,0,0,38,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,5,0,2,0,1,0
270,4417,0,0,11,0,1,1,154,1,0,0,0,9,0,28,0,0,0,0,0,9,2,1,0,8,0,1,3,4,0,0,0,0,0,15,4,3,0,0,12,44,1,0,0,0,0,0,0,0,1,0,2,0,0,0,4,2,4,1,0,2,0,0,19,0,1,12,0,0,1,0,0,0,1,155,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,1,2,2,1,0,1,0
280,4498,0,0,0,0,0,0,26,0,0,0,0,1,0,5,0,0,0,0,0,2,0,0,0,3,0,0,1,1,0,0,0,0,0,11,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,9,0,0,3,0,0,2,0,0,0,0,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
290,4589,0,0,9,0,2,7,115,0,2,0,0,6,0,40,0,0,0,0,0,17,2,0,0,4,0,0,6,1,1,0,0,0,0,36,8,3,0,0,11,49,2,0,0,0,0,0,0,0,0,0,1,0,0,1,4,5,4,0,0,2,0,0,35,0,4,9,0,1,1,0,0,0,9,208,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,8,4,6,1,0,0,0
310,4799,0,0,0,0,0,0,29,0,0,0,0,1,0,8,0,0,0,0,0,4,0,0,0,3,0,0,0,2,0,1,0,0,0,2,0,3,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,9,0,1,4,0,0,1,0,0,0,0,53,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0
320,4913,0,0,3,1,1,5,103,0,1,0,0,5,0,44,0,0,0,0,0,14,0,1,0,18,0,0,6,3,1,0,0,0,0,30,8,5,0,0,13,46,1,0,0,1,0,0,0,0,0,0,3,0,0,0,3,4,1,0,0,2,0,0,27,0,4,8,0,0,3,0,0,0,10,290,0,0,0,0,1,0,0,0,1,0,0,0,3,0,1,3,0,3,3,5,4,0,3,0
330,5031,0,0,3,0,1,1,25,0,0,0,1,2,0,17,0,0,0,0,0,10,1,0,0,2,1,0,0,0,0,0,0,0,0,12,4,3,0,0,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,11,0,2,2,0,0,0,0,0,0,0,95,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0
340,5149,1,0,6,1,1,6,76,1,2,0,0,2,0,35,1,0,0,0,0,11,1,1,0,7,0,1,2,6,0,0,0,0,0,26,7,4,0,0,8,47,1,0,0,0,0,0,0,1,2,0,2,0,0,0,0,3,4,0,0,0,2,6,19,0,4,8,0,1,5,0,0,0,6,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,7,2,1,0,0,0,0
350,5266,0,0,1,2,0,0,11,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,4,0,0,0,0,3,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,3,0,1,5,0,0,7,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0
370,5485,0,0,8,0,2,1,96,0,1,0,0,6,0,36,0,0,0,0,0,13,0,0,0,7,0,1,4,4,0,0,0,1,0,23,3,1,0,0,5,59,2,0,0,0,0,0,0,0,0,0,1,0,2,0,1,4,0,1,0,1,0,0,29,0,4,11,0,1,1,0,0,0,6,276,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,12,0,6,6,5,3,0,0,0
390,5669,0,0,0,0,1,0,48,0,0,0,0,1,0,11,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,4,11,3,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,8,0,2,1,0,1,1,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,2,4,0,0
410,5821,0,0,5,0,1,3,217,0,1,0,1,10,0,45,0,0,0,0,0,18,0,0,0,9,0,0,4,3,0,0,0,2,0,36,0,2,0,0,17,73,1,0,0,0,0,1,0,0,2,0,1,0,1,0,6,9,0,0,0,0,3,3,29,0,9,13,0,1,3,0,0,0,13,287,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,26,1,6,1,4,0,0,2,0
420,5893,0,0,2,0,0,0,41,0,0,0,0,3,0,17,0,0,0,0,0,4,0,0,0,3,0,0,2,1,0,0,0,1,0,7,2,1,0,0,4,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,8,0,3,3,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,2,1,1,2,1,1,0
440,6054,0,1,4,0,0,7,118,0,0,0,1,9,0,34,0,1,0,0,0,2,1,0,0,1,0,2,3,3,0,0,0,0,0,21,1,2,0,0,8,52,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,0,0,0,0,0,0,28,0,5,5,0,0,2,0,0,0,6,263,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,15,1,4,2,4,3,3,0,0
460,6261,0,0,1,0,0,1,41,1,0,0,0,2,0,9,0,0,0,0,0,1,0,2,0,4,0,0,0,2,0,0,0,0,0,2,1,0,0,0,1,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8,0,1,2,0,4,0,0,0
480,6548,0,0,3,0,4,7,120,0,2,0,0,1,0,19,0,0,0,0,0,2,0,0,0,11,0,0,0,2,0,0,0,0,0,23,0,0,0,0,14,22,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,29,0,6,3,0,0,1,0,0,0,5,244,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,15,0,7,2,5,5,0,0,0
510,7202,0,0,1,0,0,0,31,1,0,0,1,2,0,8,0,0,0,0,0,2,0,0,0,1,0,1,0,3,0,0,0,0,0,4,1,0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,11,0,7,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,3,1,0,1,0,0,0
520,7495,0,0,10,0,0,1,67,0,2,0,0,4,0,40,0,0,0,0,0,2,0,1,0,8,0,0,2,6,0,0,0,0,1,33,0,3,0,0,3,46,2,0,1,2,0,0,0,0,0,0,2,0,0,0,3,0,2,1,0,0,0,0,29,0,4,4,0,0,2,0,0,0,2,214,0,0,0,3,0,0,0,1,0,0,0,1,1,0,2,24,1,3,2,4,1,0,2,0
530,7831,0,0,2,0,1,1,38,1,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,4,1,0,0,0,4,20,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,19,0,1,4,0,0,0,0,0,0,0,86,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,7,0,2,2,3,0,0,0,0
540,8201,1,0,5,0,0,4,106,0,4,0,0,4,0,29,0,0,0,0,0,0,0,0,0,12,0,1,0,3,0,0,0,1,0,9,1,3,0,0,8,63,9,0,0,2,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,1,0,0,85,0,3,2,0,0,0,0,0,0,1,261,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,23,0,1,7,1,4,0,0,0
550,8590,0,0,0,0,0,0,23,0,0,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,4,0,0,21,0,0,0,0,0,1,0,0,0,0,36,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,2,0,1,0,0,0
560,8986,0,0,1,0,1,3,79,1,0,0,1,5,0,45,0,0,0,0,0,0,0,0,0,3,0,4,0,5,0,0,0,0,0,2,0,4,0,0,6,38,1,0,0,0,0,0,0,0,2,0,7,0,0,0,1,4,3,0,0,1,0,2,130,0,1,6,0,0,3,0,0,0,0,128,0,0,0,0,1,0,0,3,0,0,0,0,2,0,0,8,1,4,0,6,12,0,1,0
570,9374,1,0,0,0,0,0,19,0,0,0,0,2,0,14,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,4,11,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,5,0,0,64,0,1,1,0,0,2,0,0,0,0,77,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,2,1,0,3,0,0,0
580,9740,1,0,0,0,0,0,39,0,3,0,1,3,0,32,0,0,0,0,0,0,1,0,0,3,0,3,1,6,0,0,0,1,0,1,2,4,0,0,5,30,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,6,0,0,3,0,0,148,0,0,4,0,0,4,0,0,0,1,154,0,0,0,0,1,0,1,2,0,0,0,1,1,0,0,16,1,2,3,4,7,1,0,0
590,10072,0,0,1,0,1,0,6,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,4,42,0,1,3,0,0,1,0,0,0,0,38,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0,1,1,2,2,0,0,0
610,10621,0,0,0,0,1,4,5,0,1,0,1,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,3,0,0,4,0,0,2,0,0,1,0,0,94,0,0,2,0,0,2,0,0,0,0,26,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,9,0,1,4,0,3,0,0,0
630,11034,2,0,1,0,3,1,15,0,0,0,0,3,1,55,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,5,0,0,1,30,7,0,0,0,0,0,1,0,1,0,4,0,0,1,0,4,9,0,0,4,5,48,230,0,3,3,0,1,6,0,0,0,3,85,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,14,2,5,0,0,7,0,1,0
640,11196,4,0,0,0,2,0,6,0,0,0,0,1,0,13,0,0,0,0,0,1,0,1,0,0,0,2,1,2,0,0,0,1,0,1,0,2,0,0,0,9,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,6,0,0,8,0,0,98,0,0,3,0,0,1,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
650,11336,4,0,1,2,1,1,20,1,0,0,0,1,0,70,0,0,0,0,0,0,2,0,0,0,0,1,1,10,0,0,0,1,0,0,0,4,0,0,0,11,5,4,0,0,1,0,0,0,2,1,7,0,1,2,0,5,7,0,0,7,0,0,303,0,3,7,0,0,9,0,0,0,0,107,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0,5,0,3,0,0,14,0,2,0
670,11586,6,0,0,1,0,0,12,0,1,0,0,1,0,31,0,0,0,0,0,0,1,1,0,0,0,2,1,3,0,4,0,0,0,0,1,1,0,0,0,6,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,0,0,12,1,16,91,0,1,2,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,1,0,1,3,0,1,0,0,0
690,11816,4,0,0,0,0,0,48,0,0,0,0,2,0,69,0,0,0,0,1,1,0,0,0,0,0,5,0,9,0,0,0,7,0,0,2,5,0,0,0,34,5,0,0,1,0,0,0,0,5,0,9,0,2,0,0,2,3,0,0,26,0,0,267,0,1,7,0,0,3,0,0,0,6,34,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,1,0,3,0,21,0,0,1
710,12031,9,0,0,0,0,1,23,0,1,0,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,1,0,0,0,1,0,0,1,3,5,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,2,0,0,37,0,0,103,0,0,4,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,5,0,1,0
730,12233,20,0,0,0,0,0,65,1,0,0,0,5,0,36,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,1,2,0,0,1,20,9,0,0,0,1,0,3,0,6,0,1,0,5,0,0,0,0,0,0,105,0,0,230,0,0,6,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,1,24,0,0,0
750,12426,5,0,0,0,1,0,36,0,1,0,0,0,0,13,0,0,0,0,0,0,1,0,0,1,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,16,8,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,46,8,5,23,0,0,3,0,0,1,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,0,1,0,1,0,0,0,0
760,12521,5,0,0,0,0,1,70,0,0,0,1,1,0,32,1,0,0,0,0,0,0,3,0,0,0,0,0,17,0,0,0,2,0,0,0,0,0,0,0,20,44,0,0,0,0,0,3,0,3,0,11,1,1,0,0,1,0,0,0,206,0,0,160,0,0,8,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,1,0,6,0,0,0
770,12614,1,0,0,0,0,0,20,1,0,0,0,1,0,15,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,26,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,0,0,0,55,2,5,15,0,0,7,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
790,12803,26,0,0,0,0,0,43,0,0,0,0,5,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,3,0,0,0,12,39,0,0,0,0,0,4,0,2,0,9,0,4,0,0,0,1,0,0,323,0,0,109,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,4,0,0,0,1,5,0,0,0
810,13005,3,0,0,0,0,0,13,1,0,0,1,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,28,0,0,0,0,0,3,0,3,0,5,0,1,0,0,0,3,0,0,70,9,9,38,0,0,11,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,1,0,1,0,0,0,0
830,13249,20,0,0,0,2,0,29,1,1,0,3,5,0,10,0,0,0,0,0,0,0,0,0,0,0,5,1,14,0,0,0,2,0,1,0,4,0,0,0,21,90,0,0,0,0,0,1,0,1,0,13,1,1,0,0,0,10,0,0,125,0,0,255,0,0,21,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0
