"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Castanea","Celtis","Corylus","Cupressaceae","Cyperaceae","Ephedra","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Herbs.undiff.","Indeterminable","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Lycopodium.type","Morus","Myrica","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonaceae.undiff.","Populus","Quercus","Rhamnaceae.Vitaceae","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia","Sphagnum","Taxus","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus","Unknown"
560,13214,2,1,0,0,1,22,2,5,10,109,7,0,64,0,0,1,3,21,83,0,0,0,13,2,14,17,0,1,1,1,0,29,0,0,0,0,0,3,577,1,0,6,0,0,44,0,35,23,0,1,0,16,0,2,0,0,1,0,0,0,1,14,0
570,13322,7,2,0,0,1,10,1,3,14,112,6,0,78,0,0,0,5,21,106,1,1,0,10,0,28,16,0,0,0,0,0,33,0,0,0,0,0,2,573,7,0,12,0,0,51,0,30,14,0,0,0,16,1,0,5,0,1,0,0,0,2,10,1
580,13429,0,1,0,0,1,11,0,11,12,89,8,0,46,0,0,0,4,44,119,1,0,0,26,3,18,13,0,0,0,0,0,26,0,0,0,0,0,8,634,0,0,6,0,0,36,0,49,21,0,1,1,19,1,0,3,0,2,0,0,0,0,13,0
590,13537,0,0,0,0,0,14,0,6,11,88,10,0,41,1,0,0,4,24,148,0,0,0,16,0,15,23,2,0,0,0,0,23,0,0,0,1,0,4,599,0,0,4,0,1,40,0,49,11,0,3,0,20,0,0,0,0,3,0,0,0,1,7,0
600,13624,8,1,0,0,0,8,0,5,6,89,9,0,37,0,0,1,1,19,66,1,0,0,8,0,32,14,0,0,0,0,0,22,0,0,0,0,0,3,544,4,0,5,0,0,77,0,24,13,0,1,0,11,0,1,3,0,4,0,0,0,4,6,0
610,13682,0,1,0,0,0,15,1,5,7,69,6,0,44,0,0,0,3,21,86,0,0,0,8,3,13,14,0,0,0,0,0,28,0,0,0,1,0,2,609,1,0,3,0,0,25,0,37,16,0,2,0,19,0,1,0,0,2,0,0,0,2,13,0
620,13739,7,1,0,0,0,16,1,8,9,148,7,0,53,0,0,1,5,28,127,0,0,0,13,0,26,17,0,0,0,0,0,33,0,0,0,3,0,6,711,7,0,7,0,0,104,2,57,26,1,6,0,44,0,2,5,1,3,0,1,0,2,14,1
630,13797,1,3,0,0,1,14,1,1,11,90,12,0,44,0,0,0,2,30,93,0,0,0,23,3,20,13,1,0,0,0,0,20,0,0,0,3,0,7,525,1,0,6,0,0,42,0,41,28,0,2,0,20,0,1,1,0,3,0,0,0,1,6,1
640,13855,0,1,0,0,1,15,3,7,6,84,10,1,37,0,0,0,3,29,101,1,0,0,34,1,20,22,1,1,0,0,0,22,0,0,0,1,0,6,560,0,0,4,0,0,38,0,39,18,1,1,0,28,2,2,4,1,3,1,0,1,1,9,0
650,13912,2,3,0,0,0,4,2,12,20,103,9,0,57,1,0,0,4,48,113,0,0,0,28,1,29,13,0,0,0,0,0,37,0,0,0,0,0,9,657,3,0,4,0,0,55,0,54,13,0,0,0,21,1,0,0,1,5,0,0,0,1,2,0
660,13970,0,3,0,0,0,10,0,6,12,85,5,1,29,1,0,0,4,30,98,0,0,0,19,1,15,17,0,0,0,0,0,49,0,0,0,0,0,1,574,1,0,2,0,0,29,0,31,30,1,1,0,17,0,1,5,0,1,0,0,0,0,23,0
670,14027,0,2,0,0,0,3,1,12,24,157,14,0,41,0,0,1,6,17,84,1,0,0,8,1,19,19,0,0,1,0,0,25,0,0,0,0,0,12,585,4,0,6,0,1,62,0,36,17,0,1,0,38,1,2,0,1,1,0,0,0,1,6,0
680,14085,3,3,0,0,0,4,0,10,27,104,9,0,34,0,0,0,6,27,75,0,0,0,23,1,17,18,1,1,0,0,0,25,0,0,0,0,0,6,607,1,0,3,0,0,25,0,39,18,0,0,0,28,1,1,2,0,1,0,0,0,0,9,1
690,14142,0,1,0,0,2,10,0,12,38,126,5,0,32,1,0,0,6,23,72,0,0,0,21,0,18,17,1,0,0,1,0,29,0,0,0,0,0,4,446,2,0,4,0,0,39,0,32,34,0,1,0,13,0,1,1,0,7,0,0,0,0,12,1
700,14200,0,0,0,0,0,8,1,12,43,120,9,0,37,0,0,1,7,16,61,0,0,0,14,2,26,15,2,1,0,0,0,13,0,0,0,0,0,10,423,4,0,4,0,0,43,0,27,19,1,2,0,14,1,1,1,0,2,0,0,0,1,4,0
710,14257,2,3,0,0,0,5,1,15,53,200,14,0,39,1,0,1,6,28,90,1,1,0,42,0,33,13,1,1,1,0,0,29,0,1,0,0,0,8,482,2,0,3,0,0,57,0,67,25,1,2,0,28,1,0,3,1,1,0,0,1,3,13,0
720,14366,0,2,0,0,1,4,1,13,43,148,3,0,28,0,0,1,6,50,90,0,1,0,73,2,45,19,1,0,1,0,0,20,0,0,0,1,0,29,507,2,0,3,0,0,64,0,59,39,0,2,0,24,2,1,9,0,1,0,0,0,5,9,1
730,14678,1,1,0,0,0,1,0,12,50,113,7,0,10,0,0,1,4,44,78,0,0,0,42,1,28,9,0,1,0,0,0,42,0,0,0,0,0,9,725,2,0,2,0,0,39,0,52,24,1,2,0,12,0,0,2,0,5,0,0,0,1,6,0
740,14991,0,4,0,0,0,1,1,6,37,131,17,0,12,1,0,0,2,44,113,1,0,0,45,4,49,11,2,1,0,0,0,19,0,0,0,0,0,7,474,4,0,7,0,0,50,0,41,19,0,2,0,14,0,0,3,0,5,0,1,0,4,3,0
750,15303,0,3,0,0,0,0,1,4,44,98,4,0,10,0,0,0,3,64,77,0,0,0,64,1,33,22,4,0,0,0,0,36,0,0,0,0,0,5,898,4,0,6,0,0,45,0,47,17,0,0,0,4,2,0,4,0,4,0,0,0,0,2,0
760,15616,0,0,0,0,1,2,1,4,37,74,10,0,9,4,0,0,6,37,87,0,0,0,85,5,28,17,2,0,0,0,0,29,0,0,0,0,1,4,840,1,0,5,0,0,46,0,35,28,0,0,1,14,0,0,4,0,1,0,0,0,2,4,0
770,15928,1,1,0,0,0,0,0,7,52,72,13,0,8,0,0,0,1,58,99,0,1,0,78,2,46,43,6,0,1,1,0,30,0,0,0,0,2,7,509,6,0,2,0,0,40,0,52,27,0,3,0,10,1,0,0,0,4,0,0,0,3,1,1
780,16178,1,2,0,0,0,1,0,6,57,55,3,0,3,0,0,0,1,42,37,0,1,0,99,2,27,9,3,0,0,0,0,32,0,0,0,0,0,0,761,1,0,2,0,0,34,0,29,21,0,2,0,6,1,0,3,0,4,0,0,0,0,3,0
790,16282,0,5,0,0,0,1,0,3,46,55,15,0,6,1,0,0,1,37,85,0,0,0,49,1,38,14,0,0,0,1,0,41,0,0,0,0,0,7,869,4,0,7,0,0,40,0,35,29,0,4,0,6,0,0,1,0,7,0,1,1,1,3,0
800,16386,3,1,0,0,0,1,0,5,46,86,17,0,11,0,0,1,5,40,118,0,0,0,36,3,45,15,0,0,0,0,0,37,0,0,0,0,1,9,1380,10,0,16,0,0,40,0,47,24,0,4,1,13,3,1,1,1,6,0,0,0,1,1,1
810,16481,0,8,0,0,0,3,1,6,55,94,11,0,22,0,0,0,2,20,136,0,0,0,34,1,55,24,2,0,0,0,0,22,0,1,0,0,0,3,809,2,0,4,0,0,43,0,39,15,0,3,1,8,1,0,1,0,8,0,0,0,1,2,1
825,16567,1,3,0,0,0,1,1,9,49,74,9,0,15,0,0,0,3,23,101,1,0,0,35,1,22,39,4,1,1,0,0,19,0,0,0,0,0,7,733,2,0,3,0,0,35,0,31,13,0,0,0,11,1,0,0,0,4,0,0,0,0,2,0
830,16596,0,3,0,0,0,2,0,7,52,95,14,0,17,2,0,1,2,13,158,0,1,0,60,4,34,27,0,0,0,0,1,10,1,1,0,0,0,4,753,1,0,6,0,0,22,0,25,6,0,2,1,10,0,0,0,1,4,0,0,0,0,1,1
840,16654,0,14,0,0,0,2,1,6,42,60,8,1,26,0,0,0,1,10,131,1,0,0,61,0,38,35,0,0,0,0,0,8,2,0,0,0,0,5,498,1,0,2,0,0,11,0,22,7,0,1,3,11,0,1,0,0,3,0,0,0,0,2,2
850,16712,0,1,0,0,0,1,0,8,52,72,7,0,9,0,1,1,2,67,82,0,1,0,73,0,49,16,3,1,0,0,0,34,0,2,0,0,0,10,715,5,0,3,2,1,45,0,65,28,1,1,0,14,2,0,1,1,0,0,0,0,2,12,1
855,16859,0,6,0,0,0,0,1,1,26,87,13,0,44,0,0,0,1,15,199,0,0,0,9,0,30,85,2,0,1,0,0,3,0,0,0,0,0,0,572,6,0,8,1,0,30,0,36,7,0,1,0,17,0,2,1,0,3,0,0,0,1,1,1
860,17007,0,8,0,0,0,1,0,2,35,157,16,0,53,0,0,0,1,20,280,0,1,0,16,1,46,58,0,0,0,0,0,6,0,1,0,0,0,4,423,4,0,10,0,0,37,0,47,16,0,3,0,31,2,0,0,0,2,0,0,0,1,4,0
870,17301,0,15,0,0,0,1,3,3,92,106,15,1,25,0,0,0,2,25,214,0,1,0,17,0,49,50,0,0,1,0,0,2,0,0,0,0,0,6,222,1,0,9,1,0,27,0,22,14,0,1,0,22,1,1,0,0,1,0,1,0,2,1,2
880,17596,0,11,0,0,0,2,0,2,72,110,8,0,23,2,0,1,1,29,305,0,2,0,20,1,48,82,0,0,0,0,0,3,0,1,0,0,0,1,291,2,0,9,0,0,29,0,25,9,0,1,0,13,1,1,0,0,2,0,0,0,1,0,0
890,17890,0,25,0,0,0,3,1,2,98,141,16,0,16,0,0,0,3,18,267,0,1,0,33,3,38,74,0,0,0,1,0,5,0,1,0,0,0,4,277,4,0,17,0,0,58,0,39,20,0,4,1,24,0,0,1,1,4,0,0,0,2,3,3
900,18669,0,12,0,0,0,0,0,2,98,140,20,0,6,0,1,0,1,32,285,0,0,0,14,1,54,87,1,0,0,0,0,1,1,0,0,0,0,4,256,6,0,17,0,0,77,1,30,11,1,5,1,23,1,0,0,0,7,0,0,0,0,1,1
910,19570,0,23,0,0,0,3,3,3,64,97,20,0,12,3,0,0,1,22,204,0,0,0,15,1,95,117,2,2,0,0,0,4,0,1,0,0,0,2,212,1,1,4,0,0,48,0,39,53,0,3,0,16,0,0,0,1,2,0,0,0,0,2,2
915,20020,0,11,0,0,1,0,1,5,87,134,33,0,11,0,0,0,1,15,184,0,0,0,31,1,67,131,0,1,0,0,0,1,2,0,0,0,0,3,152,3,0,18,1,0,70,0,45,16,0,3,1,23,1,0,0,0,8,0,0,0,0,0,3
930,21370,0,10,0,0,0,3,1,1,143,144,10,0,6,0,0,0,1,10,300,0,0,0,27,1,35,52,1,0,0,1,0,2,0,1,0,0,0,2,289,6,0,10,0,1,108,0,16,13,0,2,1,24,1,0,0,0,3,0,0,0,1,1,2
940,22271,0,21,0,0,0,2,3,4,93,121,24,0,12,2,0,0,0,14,360,0,0,0,19,1,78,205,1,0,0,0,0,2,2,0,0,0,0,1,202,0,1,8,0,0,99,0,31,17,1,3,0,18,0,0,0,0,3,0,0,0,1,4,1
945,22721,0,17,0,0,0,1,0,3,109,160,22,0,8,0,0,1,3,8,272,1,1,0,12,0,39,96,0,0,1,0,0,0,0,0,0,0,0,1,146,1,0,18,0,0,99,0,15,17,0,5,0,24,2,0,0,0,1,0,0,0,3,1,3
960,24071,0,14,0,0,0,4,1,8,87,215,26,0,13,1,1,0,1,10,238,0,0,0,11,2,112,104,1,0,0,0,0,1,1,0,0,0,0,1,122,1,0,5,0,0,133,0,33,9,0,2,0,21,2,0,0,1,1,1,0,0,1,3,4
965,24521,0,20,0,0,0,3,1,4,201,262,53,1,21,1,0,0,3,12,344,0,0,1,6,0,69,157,1,0,0,1,0,3,0,1,0,0,0,5,221,8,0,16,1,0,105,0,41,27,0,7,0,18,0,0,1,0,1,0,0,0,4,2,4
967,NA,0,15,0,0,0,0,1,2,83,130,20,0,6,1,0,0,2,7,240,0,0,0,13,0,119,114,2,0,0,1,0,0,0,0,0,0,0,1,159,1,0,8,0,0,118,0,19,10,0,3,0,12,0,0,0,0,1,0,0,0,2,5,2
