"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus.sericea","Corylus","Elaeagnus","Ephedra","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Larix","Liquidambar","Liriodendron","Magnolia","Morus","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus.strobus","Pinus.subg..Pinus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Vitis","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Caryophyllaceae","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Epilobium","Galium","Plantago.lanceolata","Plantago.major","Plantago.undiff.","Poaceae.undiff.","Polygonum","Ranunculus","Rosaceae.undiff.","Rumex","Sanguisorba","Scrophulariaceae","Thalictrum","Urticaceae","Xanthium","Zea"
125,1904,0.00253807106598985,0.00253807106598985,0.065989847715736,0.0050761421319797,0.0253807106598985,0.0812182741116751,0.0050761421319797,0,0,0,0,0,0,0.200507614213198,0.0253807106598985,0.0253807106598985,0,0.0126903553299492,0.00253807106598985,0.00253807106598985,0,0,0.00253807106598985,0,0,0,0.00253807106598985,0.083756345177665,0.00253807106598985,0.0279187817258883,0.00761421319796954,0.0355329949238579,0.0177664974619289,0,0.187817258883249,0.00253807106598985,0,0,0.0152284263959391,0.0380710659898477,0.0761421319796954,0.0050761421319797,0.0050761421319797,0,0.00253807106598985,0.00253807106598985,0,0,0,0,0.0152284263959391,0,0,0,0,0,0.0101522842639594,0,0,0,0,0,0,0.00253807106598985,0,0,0
135,2090,0,0.00238663484486874,0.0501193317422434,0.00238663484486874,0.0620525059665871,0.0835322195704057,0.0381861575178998,0,0,0,0,0,0,0.162291169451074,0.045346062052506,0.035799522673031,0,0.00238663484486874,0.00477326968973747,0.0071599045346062,0,0.00238663484486874,0,0,0,0,0,0.0429594272076372,0,0.00954653937947494,0.00238663484486874,0.0238663484486874,0.00954653937947494,0,0.26491646778043,0.00477326968973747,0,0,0.0143198090692124,0.0572792362768496,0.0572792362768496,0.00238663484486874,0.0071599045346062,0,0,0,0,0,0,0.00238663484486874,0.00238663484486874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,2251,0,0.00240384615384615,0.0480769230769231,0,0.127403846153846,0.0697115384615385,0.00961538461538462,0,0,0,0.00240384615384615,0,0,0.194711538461538,0.0264423076923077,0.0841346153846154,0,0.0120192307692308,0,0.00721153846153846,0,0,0,0,0,0,0.0168269230769231,0.0528846153846154,0,0,0.00480769230769231,0.00721153846153846,0.0216346153846154,0,0.168269230769231,0.00240384615384615,0,0,0.0168269230769231,0.03125,0.0769230769230769,0.00240384615384615,0,0,0.00240384615384615,0,0,0,0,0,0.00721153846153846,0,0,0,0,0,0.00480769230769231,0,0,0,0,0,0,0,0,0,0
155,2390,0,0.00235294117647059,0.0517647058823529,0.00941176470588235,0.0823529411764706,0.0752941176470588,0.00705882352941176,0.00235294117647059,0,0,0,0,0,0.202352941176471,0.0258823529411765,0.0682352941176471,0,0.00705882352941176,0,0,0,0,0,0,0,0,0,0.0517647058823529,0,0,0,0.00705882352941176,0.0188235294117647,0,0.249411764705882,0,0,0,0.0117647058823529,0.0258823529411765,0.091764705882353,0.00470588235294118,0.00235294117647059,0,0.00235294117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,2512,0,0.00253164556962025,0.0405063291139241,0.00253164556962025,0.113924050632911,0.0658227848101266,0.0177215189873418,0,0,0,0,0,0,0.215189873417722,0.00759493670886076,0.0278481012658228,0,0.00506329113924051,0,0,0,0,0,0,0,0,0.00253164556962025,0.0835443037974684,0,0.00253164556962025,0,0.0126582278481013,0.0151898734177215,0,0.258227848101266,0,0,0,0.0151898734177215,0.0126582278481013,0.0886075949367089,0,0.00253164556962025,0,0.00253164556962025,0,0,0,0,0,0.00253164556962025,0,0,0,0,0,0.00253164556962025,0,0,0,0,0,0,0,0,0,0
175,2619,0,0.00488997555012225,0.0464547677261614,0.00488997555012225,0.112469437652812,0.0440097799511002,0.0122249388753056,0,0,0,0,0,0,0.200488997555012,0.0537897310513447,0.0684596577017115,0,0.0097799511002445,0.00244498777506112,0,0,0,0,0,0,0,0.00244498777506112,0.0513447432762836,0.00244498777506112,0.00244498777506112,0,0.0097799511002445,0.00488997555012225,0,0.215158924205379,0.00244498777506112,0,0,0.0122249388753056,0.0342298288508557,0.0757946210268949,0.019559902200489,0.00244498777506112,0,0,0.00244498777506112,0,0,0,0,0.00244498777506112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,2668,0,0.00650759219088937,0.0433839479392625,0.00433839479392625,0.0954446854663774,0.0325379609544469,0.0238611713665944,0,0,0,0.00216919739696312,0,0,0.195227765726681,0.0151843817787419,0.0715835140997831,0,0.00433839479392625,0.00216919739696312,0.00650759219088937,0,0,0,0,0,0,0.00433839479392625,0.0737527114967462,0,0.00650759219088937,0,0.00433839479392625,0.0108459869848156,0,0.238611713665944,0,0,0,0.0238611713665944,0.0281995661605206,0.0932754880694143,0,0.00216919739696312,0,0.00216919739696312,0,0,0,0,0,0.00433839479392625,0,0,0,0,0,0.00433839479392625,0,0,0,0,0,0,0,0,0,0
190,2760,0,0,0.0654205607476635,0.00467289719626168,0.0794392523364486,0.0257009345794393,0.0350467289719626,0,0,0,0,0,0,0.210280373831776,0.0373831775700935,0.058411214953271,0,0.00700934579439252,0,0.00233644859813084,0,0,0,0,0,0,0.00467289719626168,0.088785046728972,0,0,0,0.00700934579439252,0.0163551401869159,0.00233644859813084,0.189252336448598,0.00233644859813084,0,0,0.0280373831775701,0.0257009345794393,0.107476635514019,0,0,0,0,0.00233644859813084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,2803,0,0.00252525252525253,0.0782828282828283,0.00252525252525253,0.118686868686869,0.0429292929292929,0.00757575757575758,0,0,0,0,0,0,0.232323232323232,0.0505050505050505,0.0429292929292929,0,0.0126262626262626,0.00505050505050505,0,0,0,0,0,0,0,0,0.0681818181818182,0,0.0101010101010101,0,0.0101010101010101,0.00757575757575758,0,0.151515151515152,0.00252525252525253,0,0,0.0202020202020202,0.0227272727272727,0.101010101010101,0.00252525252525253,0,0,0,0.00252525252525253,0,0,0,0,0.00505050505050505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,2887,0,0,0.072072072072072,0.0045045045045045,0.130630630630631,0.0563063063063063,0.0157657657657658,0,0,0,0,0,0,0.238738738738739,0.027027027027027,0.0518018018018018,0,0.009009009009009,0,0.0045045045045045,0,0,0,0,0,0,0.00675675675675676,0.0765765765765766,0,0.00225225225225225,0,0.00675675675675676,0.0045045045045045,0,0.146396396396396,0.00225225225225225,0,0,0.018018018018018,0.0337837837837838,0.0810810810810811,0.00225225225225225,0.0045045045045045,0,0,0,0,0,0,0,0.0045045045045045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
