"sample.depths","sample.ages","Abies","Acer.negundo","Alnus","Arceuthobium","Betula","Caprifoliaceae","Cupressaceae","Elaeagnus","Ephedra.nevadensis.type","Fraxinus","Larix","Picea","Pinus","Populus","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Tilia","Tsuga","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Caryophyllaceae","Chenopodiineae.undiff.","Cyperaceae","Galium","Iva.xanthifolia","Lamiaceae","Onagraceae","Poaceae","Ranunculus","Rosaceae","Rumex","Salsola","Thalictrum","Xanthium"
50,132,0,0,0.088,0,0.08,0,0,0.004,0,0,0,0.08,0.436,0,0,0.024,0,0,0,0,0,0,0,0.096,0.02,0,0,0,0.004,0.032,0,0,0,0,0.136,0,0,0,0,0,0
55,156,0,0,0.03125,0,0.072916667,0,0.003472222,0,0,0,0,0.111111111,0.416666667,0.006944444,0,0.059027778,0.003472222,0,0,0,0,0.006944444,0,0.125,0.003472222,0,0,0,0.013888889,0.024305556,0,0,0,0,0.118055556,0,0,0,0,0.003472222,0
60,182,0.012084592,0,0.024169184,0,0.045317221,0.003021148,0,0,0,0,0,0.099697885,0.552870091,0.006042296,0,0.036253776,0.003021148,0,0,0,0,0,0,0.084592145,0.009063444,0,0,0,0,0.039274924,0,0,0,0,0.084592145,0,0,0,0,0,0
65,208,0.004,0,0.04,0,0.072,0,0,0,0,0,0.004,0.048,0.412,0.004,0,0.048,0.004,0,0,0,0,0,0,0.14,0.016,0,0.004,0,0.008,0.068,0,0,0,0,0.124,0,0,0,0,0.004,0
70,236,0.004,0,0.048,0,0.076,0,0,0,0,0,0,0.052,0.4,0.004,0,0.024,0,0,0,0,0,0.004,0,0.216,0.008,0,0,0,0.004,0.076,0,0,0,0,0.08,0,0,0,0,0.004,0
75,265,0,0,0.048,0,0.04,0,0,0,0.004,0,0.004,0.104,0.396,0.004,0,0.04,0,0,0,0,0,0,0,0.14,0.02,0,0,0,0.008,0.064,0,0,0,0,0.124,0,0,0.004,0,0,0
80,296,0.004,0,0.052,0,0.056,0,0.004,0,0,0,0,0.076,0.448,0.008,0,0.012,0.004,0,0,0.004,0,0,0,0.14,0.016,0,0,0,0.012,0.06,0,0,0,0,0.096,0.004,0,0,0,0.004,0
90,360,0.012539185,0,0.062695925,0,0.028213166,0,0,0,0,0,0.003134796,0.103448276,0.517241379,0.003134796,0,0.003134796,0,0,0,0,0,0,0,0.12539185,0.006269592,0,0,0.006269592,0.015673981,0.047021944,0,0,0,0.003134796,0.062695925,0,0,0,0,0,0
100,429,0.008,0,0.056,0,0.044,0,0,0,0,0.004,0,0.096,0.44,0.004,0,0.012,0,0,0,0,0,0.012,0,0.136,0.008,0,0,0,0.012,0.056,0,0,0,0,0.108,0,0,0,0,0.004,0
110,503,0.003367003,0,0.063973064,0,0.050505051,0,0.003367003,0,0,0,0,0.104377104,0.481481481,0.003367003,0,0.03030303,0,0,0,0,0,0,0,0.134680135,0.003367003,0.003367003,0,0,0.023569024,0.037037037,0,0,0,0,0.053872054,0,0.003367003,0,0,0,0
120,582,0.008,0,0.052,0,0.044,0,0.004,0,0,0,0.004,0.084,0.388,0.004,0,0.02,0,0,0,0,0,0,0,0.184,0.004,0,0,0.004,0.012,0.036,0,0,0,0,0.144,0,0.004,0.004,0,0,0
130,665,0.004,0,0.044,0,0.068,0,0.004,0,0,0,0,0.14,0.392,0.004,0,0.032,0,0,0,0.004,0,0,0,0.148,0.004,0,0,0,0.032,0.032,0,0,0.004,0,0.08,0,0,0,0,0.008,0
140,753,0.004,0,0.068,0,0.056,0,0.004,0,0,0,0,0.12,0.344,0.004,0,0.052,0,0,0,0.004,0,0,0,0.156,0.004,0,0,0,0.012,0.048,0,0,0,0,0.116,0,0,0,0,0.008,0
150,846,0.012,0.004,0.048,0,0.056,0,0.004,0,0,0,0,0.124,0.38,0.008,0,0.056,0,0,0,0.004,0,0,0,0.12,0.012,0,0,0.004,0.008,0.036,0,0,0,0,0.116,0,0,0.004,0,0.004,0
160,943,0.004,0,0.076,0,0.048,0,0,0,0,0,0,0.088,0.352,0.012,0,0.028,0.004,0,0,0,0,0.004,0,0.164,0.008,0,0,0,0.004,0.052,0,0.004,0,0,0.152,0,0,0,0,0,0
170,1045,0.004,0,0.06,0,0.032,0,0.008,0,0,0,0,0.068,0.372,0.016,0,0.032,0.012,0,0,0,0,0,0,0.144,0.008,0,0,0,0.004,0.08,0,0,0,0,0.16,0,0,0,0,0,0
180,1151,0.013888889,0,0.059027778,0,0.034722222,0,0,0,0,0,0,0.107638889,0.4375,0.020833333,0,0.03125,0,0,0,0,0,0,0,0.125,0.013888889,0,0,0,0.006944444,0.038194444,0,0,0,0,0.111111111,0,0,0,0,0,0
190,1262,0.012,0,0.028,0,0.044,0,0,0,0,0,0,0.08,0.4,0.004,0,0.036,0,0,0,0.004,0,0,0,0.176,0.012,0,0,0,0.02,0.052,0,0,0,0,0.116,0.008,0,0.004,0,0.004,0
200,1377,0.004,0,0.052,0,0.04,0,0,0,0,0,0,0.116,0.364,0,0,0.016,0,0,0,0,0,0,0,0.172,0.02,0,0,0.004,0.012,0.072,0,0,0,0,0.128,0,0,0,0,0,0
210,1497,0.004,0,0.06,0,0.024,0,0.004,0,0,0,0,0.124,0.456,0,0,0.02,0.004,0,0,0,0,0,0,0.108,0,0,0,0,0.012,0.06,0,0,0,0,0.124,0,0,0,0,0,0
220,1621,0.004,0,0.052,0,0.048,0,0.004,0,0,0,0,0.12,0.392,0.004,0,0.028,0.008,0.004,0,0,0,0,0,0.112,0.012,0,0,0,0.004,0.064,0,0,0,0,0.14,0,0,0,0,0,0.004
230,1749,0.008,0,0.028,0,0.032,0,0,0,0,0,0,0.144,0.44,0.004,0,0.016,0,0,0,0,0,0,0,0.172,0.008,0,0,0.004,0.02,0.052,0,0,0,0,0.064,0.004,0,0,0,0.004,0
240,1882,0,0,0.036,0,0.028,0,0.004,0,0,0,0,0.128,0.444,0.004,0,0.024,0.004,0,0,0,0,0,0,0.1,0.004,0.004,0,0,0.02,0.064,0,0,0,0,0.132,0,0,0,0,0.004,0
250,2019,0,0,0.092,0,0.06,0,0,0,0,0,0,0.128,0.376,0.004,0,0.028,0,0,0,0,0,0,0,0.124,0.004,0,0,0,0.016,0.044,0,0,0,0,0.12,0,0.004,0,0,0,0
260,2160,0,0,0.056,0,0.036,0,0.008,0,0,0,0,0.156,0.408,0.008,0,0.024,0,0,0,0.004,0,0,0,0.096,0,0,0,0,0.016,0.084,0,0,0,0,0.096,0.004,0,0,0,0.004,0
275,2380,0.003717472,0,0.074349442,0,0.022304833,0,0,0,0,0,0,0.074349442,0.468401487,0,0,0.011152416,0.003717472,0,0,0,0,0,0,0.17472119,0.007434944,0,0,0,0.026022305,0.066914498,0,0,0,0,0.05204461,0,0.003717472,0,0,0.011152416,0
280,2455,0,0,0.039426523,0,0.021505376,0,0.003584229,0,0,0,0.003584229,0.136200717,0.394265233,0,0,0.014336918,0.003584229,0,0,0,0,0,0,0.154121864,0.010752688,0,0,0,0.017921147,0.068100358,0,0,0,0,0.125448029,0,0,0,0,0.007168459,0
290,2609,0.023346304,0,0.06614786,0,0.035019455,0,0,0,0,0,0,0.13229572,0.276264591,0.003891051,0.003891051,0.003891051,0,0,0,0,0,0,0,0.229571984,0.003891051,0,0,0,0.023346304,0.046692607,0.003891051,0,0,0,0.140077821,0,0,0,0,0.007782101,0
300,2767,0.009280742,0,0.051044084,0,0.034802784,0,0.002320186,0,0,0,0,0.16937355,0.526682135,0,0.002320186,0.009280742,0,0,0,0,0,0,0,0.064965197,0,0,0,0,0.011600928,0.039443155,0.004640371,0,0,0,0.071925754,0.002320186,0,0,0,0,0
310,2929,0.006134969,0,0.073619632,0,0.027607362,0,0,0,0,0,0,0.153374233,0.463190184,0.003067485,0,0.009202454,0,0,0,0,0,0,0,0.110429448,0.009202454,0,0,0,0.018404908,0.052147239,0,0,0,0,0.070552147,0,0,0,0,0.003067485,0
320,3095,0,0,0.064705882,0,0.035294118,0,0.002941176,0,0,0,0,0.111764706,0.5,0,0,0.020588235,0,0,0,0,0,0,0,0.085294118,0,0.002941176,0,0,0.026470588,0.052941176,0,0,0,0,0.094117647,0,0,0,0,0.002941176,0
330,3265,0.007017544,0,0.098245614,0,0.049122807,0,0,0,0,0,0,0.119298246,0.403508772,0.010526316,0,0.035087719,0,0,0,0,0,0.014035088,0,0.077192982,0.007017544,0,0,0,0.021052632,0.059649123,0,0,0,0,0.094736842,0,0.003508772,0,0,0,0
340,3439,0.006042296,0,0.069486405,0,0.021148036,0,0,0,0,0,0,0.099697885,0.49244713,0,0,0.012084592,0.003021148,0,0,0,0,0,0,0.105740181,0.006042296,0,0,0,0.018126888,0.075528701,0,0,0,0,0.084592145,0,0,0,0,0.006042296,0
350,3617,0.014084507,0,0.067605634,0,0.014084507,0,0.002816901,0,0,0,0.002816901,0.109859155,0.532394366,0.002816901,0,0,0.002816901,0,0,0,0,0.005633803,0,0.101408451,0.011267606,0,0,0,0.022535211,0.070422535,0,0,0,0,0.036619718,0,0,0,0,0.002816901,0
360,3799,0.003154574,0,0.085173502,0,0.059936909,0,0,0,0,0,0,0.063091483,0.47318612,0.009463722,0,0.022082019,0,0,0.003154574,0,0.006309148,0,0,0.078864353,0.003154574,0,0,0,0.012618297,0.063091483,0,0,0,0,0.104100946,0,0,0,0,0.012618297,0
370,NA,0.003030303,0,0.033333333,0,0.033333333,0,0.006060606,0,0.003030303,0,0,0.090909091,0.457575758,0.015151515,0,0.024242424,0,0,0,0,0,0,0,0.06969697,0.015151515,0,0,0,0.015151515,0.066666667,0,0,0,0,0.154545455,0,0.003030303,0,0,0.009090909,0
375,NA,0.013114754,0,0.032786885,0,0.042622951,0,0,0,0,0,0,0.11147541,0.452459016,0,0,0.02295082,0,0,0,0,0,0.003278689,0,0.08852459,0.003278689,0,0,0.003278689,0.006557377,0.095081967,0,0,0,0,0.121311475,0,0,0,0,0.003278689,0
