"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Carya","Cephalanthus","Amaranthaceae.undiff.","Corylus","Cyperaceae","Larix","Ostrya.Carpinus","Picea","Pinus.undiff.","Quercus","Rhus","Thalictrum","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus.incana","Ambrosia","Alnus.viridis","Populus","Poaceae","Pinus.strobus","Pinus.subg..Pinus.undiff.","Fraxinus.nigra","Pinus.banksiana","Pinus.resinosa","Abies","Acer.rubrum","Salix","Sarcobatus.vermiculatus","Fagus","Platanus","Apiaceae","Acer.saccharum","Rhamnus","Juglans.cinerea","Juniperus.Thuja","Saxifragaceae.undiff.","Fraxinus.pennsylvanica","Acer.undiff.","Celtis","Ericaceae","Juglans.nigra","Iva.annua","Polygonaceae.undiff.","Arceuthobium","Urtica","Polygonum","Mentha.type","Rosaceae","Solanaceae","Acer.nigrum","Acer.saccharinum","Vitis","Dalea","Iva.xanthifolia","Amorpha","Dicentra","Ranunculus","Primulaceae","Lamiaceae.undiff.","Caryophyllaceae","Ephedra","Parnassia","Viburnum","Cornus.undiff.","Acer.negundo","Rumex","Asteraceae.subf..Cichorioideae","Fabaceae.undiff.","Cornus.canadensis","Shepherdia.canadensis"
1160,5381,451,62,24,1,0,6,0,25,0,9,2,53,110,0,0,2,0,14,5,9,26,0,1,76,10,6,1,0,0,0,0,3,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170,5481,621,115,17,2,0,15,3,27,0,3,0,52,124,1,0,2,0,35,14,9,51,1,2,106,5,21,1,0,1,0,0,6,2,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1180,5581,490,78,14,3,0,7,1,33,0,13,0,37,84,0,2,4,0,9,9,13,41,1,1,98,16,10,5,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1190,5681,377,58,5,1,0,5,2,24,1,9,1,47,54,1,0,2,0,13,8,5,33,0,0,80,5,6,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,5782,402,50,10,0,0,6,3,24,0,8,3,40,80,0,0,7,0,24,7,9,10,0,1,71,18,16,3,2,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1210,5882,323,38,3,0,0,6,2,15,1,7,4,51,71,0,0,1,0,11,7,5,20,0,1,55,5,3,3,0,1,0,0,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1230,6082,450,63,10,0,0,17,0,17,1,4,4,81,71,0,1,3,1,25,5,11,30,0,0,84,2,2,1,0,0,3,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1240,6183,406,64,6,4,0,9,0,19,0,9,0,37,65,0,1,1,0,14,9,6,29,1,2,107,7,7,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1250,6283,482,73,14,2,0,12,1,21,0,9,2,49,70,0,0,1,0,11,13,8,29,1,1,131,9,5,7,0,0,0,0,2,0,0,0,0,2,3,0,1,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1260,6383,507,85,19,1,0,17,3,30,0,19,1,50,50,0,1,2,0,13,17,5,31,4,2,116,7,13,5,0,0,1,0,4,0,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1270,6483,550,92,16,2,0,11,0,28,1,7,2,56,88,1,0,4,0,23,13,6,25,5,1,128,15,8,7,0,0,0,0,3,0,0,0,0,2,0,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1280,6584,437,77,8,1,0,13,2,31,0,9,0,26,60,0,0,3,0,8,10,9,29,3,0,112,11,5,3,0,0,0,0,3,1,0,1,0,1,1,0,1,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1290,6684,577,143,10,0,0,14,3,28,0,3,1,39,71,0,0,6,0,27,16,7,42,5,2,122,8,15,0,0,1,0,0,5,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,6784,461,89,7,0,0,7,4,24,0,12,1,43,79,0,1,8,0,9,7,9,40,0,2,81,11,4,6,0,0,0,0,6,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1310,6884,419,78,7,0,0,11,0,19,0,11,1,49,76,0,0,6,0,10,18,4,28,0,0,75,9,8,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320,6985,390,79,4,0,0,12,2,28,0,15,0,41,51,0,0,3,0,7,11,4,33,3,0,73,3,6,3,0,0,0,0,3,0,0,0,0,1,0,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1330,7085,486,97,9,0,0,22,0,30,0,17,1,35,69,0,0,5,0,15,18,3,34,3,1,80,18,12,3,0,0,0,0,1,0,0,0,0,2,0,2,2,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1350,7285,400,57,6,2,0,10,0,10,0,8,2,57,106,0,1,18,0,13,8,3,22,1,0,58,2,7,3,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1370,7486,550,79,14,4,0,27,2,11,1,14,0,77,93,0,0,6,0,28,25,7,36,0,0,89,6,13,1,0,1,0,0,5,0,0,0,0,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1390,7686,439,74,7,1,0,19,0,13,0,19,2,34,88,0,0,6,0,12,16,4,29,0,0,84,7,10,4,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1410,7887,475,74,4,2,0,19,2,18,0,10,1,15,101,1,0,2,0,35,21,3,35,2,1,82,5,13,9,0,0,0,0,2,2,0,1,1,4,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1430,8087,380,70,3,2,0,8,1,13,0,7,1,31,77,2,0,0,0,18,17,0,38,0,1,73,5,0,7,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1450,8314,695,169,4,2,0,20,1,34,0,13,1,15,138,0,0,0,0,22,11,3,83,2,1,115,10,9,5,0,0,0,0,7,1,0,1,1,1,5,0,1,0,2,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1470,8617,460,75,3,0,0,16,1,25,0,3,2,43,78,0,0,0,0,18,21,9,33,1,1,92,5,15,3,0,0,0,0,4,0,0,0,0,1,2,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490,8920,716,152,14,4,0,25,6,55,0,15,9,58,50,0,1,0,0,49,26,3,53,0,3,138,11,23,7,2,2,1,0,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1510,9223,582,109,10,4,0,23,1,38,1,16,2,64,57,0,1,1,0,20,19,7,29,1,1,89,11,49,14,0,0,0,0,5,0,0,0,0,2,0,3,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1530,9526,556,102,5,6,0,9,0,34,0,13,2,66,63,0,0,0,0,20,28,4,18,3,0,68,2,77,2,2,7,1,0,9,2,0,0,0,1,0,2,2,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1550,9829,660,83,9,2,0,17,5,43,1,11,4,100,69,0,1,2,0,26,40,6,35,1,0,94,1,90,0,4,2,1,0,3,0,0,1,0,2,0,0,0,0,1,0,1,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1570,10132,481,43,10,1,0,16,9,14,0,12,2,79,49,0,0,0,0,20,37,6,18,0,0,57,4,77,5,6,3,0,0,3,0,0,0,0,1,0,3,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1590,10435,478,22,3,3,0,9,2,17,0,14,2,82,18,0,0,1,0,12,40,7,5,0,1,42,2,152,2,19,9,1,0,6,1,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1635,NA,644,15,54,0,0,0,1,9,3,10,16,107,29,0,1,0,0,3,43,11,4,0,0,16,2,240,29,23,11,9,0,4,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1640,NA,635,10,69,2,0,0,4,18,1,3,31,204,34,0,0,0,0,3,36,5,0,2,0,17,0,161,21,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1650,NA,454,31,73,1,0,0,2,21,8,7,181,2,11,0,2,0,0,0,16,40,2,5,3,21,0,5,11,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1663,NA,415,35,42,0,0,2,2,29,7,10,206,3,16,0,0,0,0,4,8,12,2,0,4,18,2,1,7,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1670,NA,441,39,33,0,0,2,2,31,3,2,250,3,15,0,1,0,0,5,10,10,2,0,2,19,0,0,3,0,0,3,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685,NA,488,90,7,1,0,2,0,30,2,6,231,3,18,0,1,0,0,11,2,0,9,0,1,24,0,0,32,0,1,4,0,6,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
