"sample.depths","sample.ages","Abies","Acer.negundo","Acer.saccharinum.type","Acer.saccharum","Allium","Alnus.incana.type","Alnus.undiff.","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Anemone.canadensis.type","Apiaceae","Aquilapollenites","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.tribe.Cynareae","Athyrium.filix.femina","Avena.type","Betula","Botrychium","Brassicaceae","Callitriche","Campanula.rotundifolia.type","Carya","Caryophyllaceae","Celtis","Ceratophyllum","cf..Gymnocarpium","Cingutriletes","Comandra","Cornus.sericea.type","Corylus","Cyperaceae","Dalea.candida.type","Dalea.purpurea","Dalea.undiff.","Diphasiastrum.complanatum.type","Dryopteris.type","Elaeagnus","Engelhardtia.type","Ephedra.trifurca.type","Ephedra.viridis.type","Epilobium","Equisetum","Ericaceae","Eriogonum","Euphorbia","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Galium","Gaura","Hedysarum","Heliotropium","Hippuris.vulgaris","Humulus.type","Indeterminable","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Juniperus.type","Laportea.type","Larix","Lemna","Liliaceae","Lycopus.type","Maclura.pomifera.type","Melilotus.type","Morus","Myricaceae","Myriophyllum","Oenothera","Onosmodium","Opuntia","Osmunda","Ostrya.type","Parietaria","Parthenocissus","Pedicularis","Pediomelum.type","Phlox","Picea","Pilea.type","Pinaceae.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae.undiff.","Polygonum.amphibium.type","Polygonum.lapathifolium.type","Polygonum.ramosissimum.type","Polygonum.tenue.type","Populus.balsamifera.type","Populus.tremuloides.type","Potamogeton","Pteridium.aquilinum","Quercus","Ranunculus.aquatilis.type","Ranunculus.pensylvanicus.type","Ranunculus.undiff.","Rhus","Rosaceae","Rumex","Ruppia.maritima","Sagittaria","Salix","Salsola","Sarcobatus.vermiculatus","Secale.type","Selaginella.densa.type","Shepherdia.argentea","Shepherdia.canadensis","Sisyrinchium","Solanum.rostratum","Sparganium.type","Sphaeralcea","Sphagnum","Stachys.type","Stuckenia","Symphoricarpos.type","Thalictrum","Tidestromia","Tilia","Trifolium.repens.type","Triticum.type","Typha.latifolia","Ulmus","Unknown","Unknown..monolete..undiff.","Unknown..trilete..undiff.","Unknown.undiff.","Urtica.type","Verbena","Vitis","Xanthium","Zea.mays"
568,8020,0,0,0,0,0,4,0,0,143,28,0,0,0,1,17,14,9,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,23,0,2,0,0,0,0,3,0,2,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,96,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,1,3,3,13.5,1,0,50,0,0,14,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10,1,0,0,0,0,0,0,0,0,0,4,6,11,3,19,1,0,0,0,0
576,8277,0,0,0,0,1,0,0,0,147,21,1,0,0,0,13,16,4,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,3,0,0,0,1,0,0,7,0,0,0,1,0,0,0,0,0,0,0,80,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,17.5,0,0,40,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,4,0,18,6,7,1,0,0,0,0
586,8650,1,0,0,0,0,2,0,0,212,123,1,0,1,0,28,27,7,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,29,1,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,43,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,1,22.5,0,0,66,0,0,9,0,0,0,0,0,2,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,16,4,3,1,0,0,1,0
592,8885,1,0,0,0,0,0,0,1,107,7,0,0,0,0,7,16,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,14.5,0,0,23,0,0,51,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,2,2,4,3,1,1,0,0,0,0
608,9439,0,0,0,0,0,0,0,0,209,20,0,0,0,0,7,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6.5,0,1.5,5,0,31,0,0,51,0,0,21,0,0,1,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,0,0,0,0,0,0,0,0,0,0,5,5,9,3,3,1,0,0,0,0
616,9652,0,1,0,0,0,1,0,0,114,89,1,0,1,0,96.5,17,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,4,47,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,1,31,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,7.5,0,1.5,8,1.5,28,0,0,150,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,14,0,3,2,0,0,0,0,0,0
624,9843,0,0,0,0,0,2,0,0,94,127,0,0,0,0,84,24,0,1,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,52,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9.5,0,1.5,3,1,19.5,0,1,158,0,0,0,0,0,4,0,1,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,2,5,1,0,1,0,0,1,0
632,10014,0,0,0,0,0,2,0,1,184,135,0,0,1,0,73.5,28,5,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,39,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0.5,6.5,0,38.5,0,0,249,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0
640,10165,0,0,0,0,0,1,3,0,179,116,0,0,3,0,70,15,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,32,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,41,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7.5,0,5,2,1,19.5,0,0,211,0,0,0,0,0,0,0,2,12,0,0,0,0,3,0,1,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,24,2,1,0,0,0,0,0,0,0
656,10417,0,1,0,0,0,2,0,1,130,97,2,1,0,0,116,33,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,77,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,34,0,0,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7.5,0,0.5,2.5,0,33.5,0,0,320,0,0,0,0,0,0,4,3,11,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,57,0,1,4,0,0,0,2,0,0
672,10610,0,0,0,0,0,5,0,1,66,106,0,0,0,1,53,19,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,4,51,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,33,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,16.5,0,3.5,1,1,13.5,0,0,145,0,0,0,0,0,1,3,0,8,0,0,0,0,1,0,120,0,3,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,19,2,1,0,0,0,0,0,0,0
688,10754,1,2,0,0,0,0,0,0,81,116,0,0,0,0,39,12,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,63,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,2,3,0,14,0,0,71,0,0,0,0,1,2,0,0,7,0,0,0,1,0,0,27,0,2,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,21,2,0,1,1,0,0,0,0,0
700,10836,0,0,0,0,0,1,0,0,47,75,0,0,1,0,94,15,2,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,1,91,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,29,0,1,3,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,11.5,0,2.5,4,0,15,0,1,180,0,0,0,0,0,5,1,5,28,0,0,0,0,0,1,68,0,2,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,36,3,5,1,0,0,0,0,1,0
708,10882,1,0,0,3,0,2,0,0,37,166,0,0,0,0,60,8,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,3,83,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,5,13,0,2,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,21.5,0,0.5,15,2,16,0,0,197,0,0,0,0,2,6,1,1,19,0,0,0,0,1,1,40,0,3,0,2,0,0,1,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,9,1,0,1,1,2,0,0,0,0
716,10921,0,4,0,0,0,0,0,1,64,394,1,0,0,0,100,10,1,0,0,0,7,0,2,0,0,3,0,4,0,0,0,0,0,4,75,0,1,0,1,2,0,0,0,0,0,1,2,0,1,0,0,10,2,0,1,0,0,0,0,1,43,0,7,8,0,0,10,0,0,3,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,36,0,0,5,1,14.5,0,2,198,0,0,0,0,2,7,1,2,18,0,0,0,0,3,0,54,0,4,0,2,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,28,3,0,1,1,0,0,0,0,0
724,10956,2,3,0,1,0,0,0,2,31,61,0,0,2,0,61,7,1,0,0,0,9,0,0,0,0,3,0,1,0,0,1,0,0,7,81,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,40,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,8.5,0,4,7,0,17.5,0,0,159,0,0,0,0,2,9,1,0,16,0,0,0,0,2,0,18,0,3,0,5,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,21,5,3,4,0,1,0,1,0,0
728,10972,0,3,0,1,0,2,0,1,32,31,0,0,0,0,50,7,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,8,45,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,27,0,0,0,2,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,0,0,0,1,0,6.5,0,0,3,0,13.5,0,0,150,0,0,0,0,1,0,0,1,36,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,54,2,0,0,0,0,0,1,0,0
740,11017,1,0,0,0,0,3,0,0,76,42,0,0,1,1,67,9,3,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,6,84,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,2,27,0,1,0,0,1,9,2,0,0,0,0,0,0,1,0,0,0,0,0,0,11,1,0,0,0,0,5,0,3.5,10,0,12,0,0,153,0,0,0,0,8,15,1,1,22,0,0,0,0,1,0,2,0,4,0,3,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,1,15,0,14,0,0,3,0,0,0,0
