"sample.depths","sample.ages","upland.sum","Abies","Acer","Alnus","Betula","Carya","Castanea","Cornus.canadensis","Cornus.sericea.type","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Ilex.Nemopanthus","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Populus","Quercus","Salix","Sambucus","Tilia","Tsuga","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Cannabaceae","Cyperaceae","Poaceae","Polygonaceae.undiff.","Rosaceae","Rumex","Thalictrum"
18,566,370,34,0,7,140,0,0,0,0,2,0,37,9,1,0,2,0,0,40,0,22,0,4,0,0,0,65,0,0,0,0,1,0,0,0,5,1,0,0,0,0
20,634,376,26,0,10,146,0,0,0,0,13,0,41,4,1,2,0,0,0,31,0,42,0,3,1,0,0,50,0,0,0,0,0,0,0,0,4,2,0,0,0,0
21.5,760,452,34,0,16,180,0,0,0,0,1,0,52,10,1,1,1,0,0,30,2,44,0,5,1,0,0,71,0,0,0,0,2,0,0,0,1,0,0,0,0,0
23,886,513,32,0,15,214,0,0,0,0,2,0,42,15,0,0,0,0,3,28,0,50,0,3,0,0,1,95,0,2,0,1,0,0,0,0,5,1,2,0,0,2
25,1054,463,12,2,22,200,0,0,0,0,1,0,42,13,2,9,0,1,0,38,0,56,0,3,1,0,0,56,0,0,0,0,0,0,0,0,4,0,0,1,0,0
26.5,1179,398,34,0,5,163,3,1,0,0,3,0,39,14,0,0,0,1,0,16,0,43,0,3,2,0,1,62,0,0,0,0,0,0,0,1,7,0,0,0,0,0
28,1305,573,48,0,14,205,1,0,0,0,1,0,71,24,0,0,0,0,0,22,1,82,0,0,2,0,0,90,0,0,0,0,0,0,0,0,12,0,0,0,0,0
30,1473,339,6,0,16,176,0,0,0,0,0,0,33,6,5,0,0,1,3,16,0,42,1,1,1,0,0,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31.5,1599,427,16,1,11,196,0,0,0,0,1,0,53,7,0,1,1,0,0,22,0,36,0,4,1,0,2,62,0,0,0,0,0,0,0,0,10,0,0,2,0,1
33,1725,360,22,2,7,163,0,0,0,0,1,0,12,16,1,0,0,0,0,8,0,64,0,3,0,0,0,51,0,0,0,0,0,0,0,0,8,0,0,2,0,0
35,1893,349,16,1,8,174,0,0,0,0,4,0,24,13,6,1,0,0,0,10,0,58,0,0,0,0,0,31,0,0,1,0,2,0,0,0,0,0,0,0,0,0
40,2080,308,12,0,6,121,1,0,0,0,1,0,13,14,4,0,3,1,0,10,0,53,0,5,0,0,0,61,0,0,0,0,2,0,0,0,0,0,0,1,0,0
45,2209,360,26,1,10,123,1,0,0,0,11,0,30,17,4,1,2,1,0,18,3,38,0,6,0,0,0,66,0,0,0,0,0,0,1,0,1,0,0,0,0,0
50,2339,323,16,0,3,57,0,0,0,0,2,0,14,26,0,0,3,0,1,22,0,98,1,0,0,0,0,75,0,0,0,0,0,0,0,0,4,0,0,1,0,0
60,2598,307,20,1,8,75,1,1,0,1,4,0,14,12,2,0,2,0,0,14,1,72,0,0,0,0,0,76,0,0,0,0,2,0,0,0,1,0,0,0,0,0
75,2986,352,22,0,6,121,0,0,0,0,0,0,25,19,1,0,0,0,0,6,0,63,0,3,0,0,0,80,0,0,0,0,3,0,0,0,3,0,0,0,0,0
85,NA,370,8,1,5,93,0,0,0,0,1,0,55,18,4,0,0,1,1,4,1,130,0,3,0,0,0,40,0,0,0,0,0,0,0,0,5,0,0,0,0,0
93,NA,93,2,0,0,33,0,0,0,0,2,0,2,4,0,0,0,1,0,1,0,35,1,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
