"sample.depths","sample.ages","Abies","Betula","Cyperaceae","Galium","Asteraceae.subf..Cichorioideae","Picea","Ranunculaceae.undiff.","Rumex","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Alnus","Myrica","Pinus","Populus","Poaceae","Solanaceae","Ericales","Juniperus","cf..Myrica","Caryophyllaceae","Ulmus","Brassicaceae","Rosaceae","Nemopanthus","Taxus","Quercus","Salix","Viburnum","Carya","Castanea","Cornus","Corylus","Artemisia","Fagus","Ostrya","Ambrosia","Acer","Tofieldia"
85,220,0.167701863354037,0.425465838509317,0.0046583850931677,0,0,0.243788819875776,0.0015527950310559,0,0.0015527950310559,0.0015527950310559,0.0326086956521739,0.0357142857142857,0.0341614906832298,0,0.0031055900621118,0,0.0062111801242236,0.0046583850931677,0.015527950310559,0,0,0,0.0015527950310559,0,0.0031055900621118,0.0077639751552795,0.0031055900621118,0,0,0.0015527950310559,0.0031055900621118,0.0015527950310559,0,0,0,0,0,0
90,398,0.163009404388715,0.463949843260188,0,0,0,0.22257053291536,0,0,0.00313479623824451,0,0.0344827586206897,0.0188087774294671,0.0344827586206897,0,0.00940438871473354,0,0.0125391849529781,0,0.0250783699059561,0,0,0,0.00940438871473354,0,0,0,0,0,0,0,0,0,0.00313479623824451,0,0,0,0,0
95,577,0.148026315789474,0.470394736842105,0.00328947368421053,0,0,0.223684210526316,0.00328947368421053,0,0,0,0.0197368421052632,0.0427631578947368,0.0164473684210526,0,0.00328947368421053,0,0.00986842105263158,0,0.0493421052631579,0,0,0,0.00986842105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,756,0.108991825613079,0.482288828337875,0.00272479564032698,0,0,0.245231607629428,0,0,0.00272479564032698,0.00272479564032698,0.0326975476839237,0.0190735694822888,0.0190735694822888,0,0.00272479564032698,0,0.0245231607629428,0.00272479564032698,0.0381471389645777,0,0,0,0.00272479564032698,0.00817438692098093,0,0,0,0,0,0,0,0,0.00272479564032698,0.00272479564032698,0,0,0,0
103,864,0.130990415335463,0.495207667731629,0.012779552715655,0,0,0.261980830670927,0.00319488817891374,0,0,0.00319488817891374,0.00638977635782748,0.0415335463258786,0.0191693290734824,0,0.00319488817891374,0,0.00319488817891374,0,0.012779552715655,0,0,0,0.00319488817891374,0,0.00319488817891374,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1114,0.161194029850746,0.456716417910448,0,0,0,0.265671641791045,0.00298507462686567,0,0,0,0.0119402985074627,0.0208955223880597,0.0238805970149254,0,0,0,0.0119402985074627,0.00597014925373134,0.0119402985074627,0,0,0,0.00895522388059702,0.00298507462686567,0,0,0,0,0,0,0,0.0119402985074627,0,0,0.00298507462686567,0,0,0
120,1472,0.133738601823708,0.404255319148936,0,0,0,0.224924012158055,0,0,0,0,0.0182370820668693,0.0486322188449848,0.0243161094224924,0,0,0,0.0121580547112462,0,0.124620060790274,0,0,0.00303951367781155,0.0060790273556231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,1830,0.129675810473815,0.451371571072319,0,0,0,0.172069825436409,0,0,0,0.00748129675810474,0.0324189526184539,0.0399002493765586,0.0349127182044888,0,0,0,0.00498753117206983,0,0.0997506234413965,0,0.00748129675810474,0,0.00498753117206983,0,0,0,0,0,0,0,0,0,0,0.00498753117206983,0.00997506234413965,0,0,0
140,2188,0.173333333333333,0.461333333333333,0.008,0,0,0.24,0,0,0,0,0.0106666666666667,0.0213333333333333,0.0213333333333333,0.00266666666666667,0,0,0.0106666666666667,0.00266666666666667,0.0186666666666667,0,0.00266666666666667,0,0.0106666666666667,0.00266666666666667,0.0106666666666667,0,0,0,0,0,0,0,0,0,0.00266666666666667,0,0,0
150,2546,0.139130434782609,0.498550724637681,0,0,0,0.2,0,0,0,0.00869565217391304,0.0289855072463768,0.0463768115942029,0.0434782608695652,0,0.00289855072463768,0,0.00579710144927536,0,0.0173913043478261,0,0,0,0.00869565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2904,0.151057401812689,0.329305135951662,0.00906344410876133,0,0,0.374622356495468,0,0,0,0,0.027190332326284,0.0151057401812689,0.027190332326284,0,0.00302114803625378,0,0.0181268882175227,0,0.0241691842900302,0,0,0,0.00906344410876133,0,0.00302114803625378,0.00302114803625378,0,0,0,0,0,0,0.00604229607250755,0,0,0,0,0
