"sample.depths","sample.ages","Abies","Alnus.viridis.type","Artemisia","Betula","Corylus","Ericaceae","Picea","Pinus.undiff.","Asteraceae.subf..Asteroideae.undiff.","Poaceae","Alnus.incana.type","Cyperaceae","Fagus","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.subg..Strobus","Quercus","Rumex","Salix","Tsuga","Myrica","Populus","Acer.rubrum","Ambrosia.type","Amaranthaceae","Cornus","Thalictrum","Apiaceae","Rosaceae.undiff.","Rubus.chamaemorus","Epilobium","Shepherdia","Ranunculus","Fabaceae","Caryophyllaceae","Polygonum"
600,5654,0.0195121951219512,0.119512195121951,0.00731707317073171,0.441463414634146,0.0097560975609756,0.0146341463414634,0.302439024390244,0.0048780487804878,0.0024390243902439,0.00731707317073171,0.0048780487804878,0.024390243902439,0,0,0,0.00731707317073171,0.0048780487804878,0,0.0024390243902439,0,0.0097560975609756,0.0097560975609756,0,0.0024390243902439,0,0,0.0048780487804878,0,0,0,0,0,0,0,0,0
620,7431,0.00342465753424658,0.301369863013699,0,0.428082191780822,0.023972602739726,0.0136986301369863,0.143835616438356,0.0308219178082192,0,0.00342465753424658,0,0.00342465753424658,0,0,0.0342465753424658,0.00684931506849315,0,0,0.00342465753424658,0,0.00342465753424658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,8474,0.0217391304347826,0.251552795031056,0.0031055900621118,0.332298136645963,0.0186335403726708,0.0093167701863354,0.164596273291925,0.0062111801242236,0,0.0403726708074534,0.0031055900621118,0.0496894409937888,0,0,0.0403726708074534,0.0062111801242236,0.0031055900621118,0,0.0062111801242236,0,0.0248447204968944,0.0062111801242236,0,0.0031055900621118,0,0,0,0.0031055900621118,0.0031055900621118,0.0031055900621118,0,0,0,0,0,0
660,9517,0.00495049504950495,0.267326732673267,0,0.445544554455446,0.0148514851485149,0.0148514851485149,0.0544554455445545,0.0792079207920792,0.00495049504950495,0.0099009900990099,0,0.0297029702970297,0,0,0.00495049504950495,0.00495049504950495,0,0,0.0247524752475248,0,0,0.0346534653465347,0,0,0,0,0,0,0,0,0.00495049504950495,0,0,0,0,0
680,10192,0.00434782608695652,0.108695652173913,0.00869565217391304,0.460869565217391,0.00434782608695652,0.0217391304347826,0.123913043478261,0.00434782608695652,0,0.00217391304347826,0,0.0565217391304348,0,0,0.041304347826087,0.0217391304347826,0.0304347826086957,0.00217391304347826,0.05,0,0.0152173913043478,0,0,0.00434782608695652,0,0,0,0,0,0,0,0.00434782608695652,0.0347826086956522,0,0,0
700,10498,0,0.119266055045872,0,0.376146788990826,0.018348623853211,0.0275229357798165,0.0275229357798165,0.0275229357798165,0.0091743119266055,0.0275229357798165,0,0.137614678899083,0.0091743119266055,0,0.0091743119266055,0.018348623853211,0.0091743119266055,0,0.0458715596330275,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128440366972477,0.0091743119266055,0,0
720,10804,0.00485436893203883,0.0533980582524272,0,0.378640776699029,0.0679611650485437,0.0485436893203883,0.029126213592233,0.0533980582524272,0,0.0339805825242718,0,0.0776699029126214,0,0,0.0339805825242718,0,0.029126213592233,0,0.12621359223301,0,0.00485436893203883,0,0,0,0,0,0.00485436893203883,0,0.00485436893203883,0,0,0.00485436893203883,0.0242718446601942,0.0145631067961165,0.00485436893203883,0
740,11110,0,0.0454545454545455,0.00505050505050505,0.267676767676768,0.0757575757575758,0.0606060606060606,0.0353535353535354,0.0606060606060606,0,0.0555555555555556,0,0.0404040404040404,0.0101010101010101,0,0.0353535353535354,0,0.0202020202020202,0,0.212121212121212,0,0,0,0,0,0,0,0.00505050505050505,0,0,0,0,0,0.0555555555555556,0.0151515151515152,0,0
760,NA,0,0.0454545454545455,0.0303030303030303,0.196969696969697,0.0757575757575758,0.0757575757575758,0,0,0,0.0606060606060606,0,0.181818181818182,0,0,0.0606060606060606,0.0151515151515152,0.0151515151515152,0,0.166666666666667,0,0.0151515151515152,0,0,0,0,0,0,0,0.0151515151515152,0,0,0,0.0303030303030303,0,0,0.0151515151515152
780,NA,0,0.0697674418604651,0,0.162790697674419,0.0930232558139535,0.0465116279069767,0.0232558139534884,0.0930232558139535,0,0.0697674418604651,0,0.302325581395349,0,0,0,0,0.0465116279069767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0930232558139535,0,0,0
800,NA,0,0,0,0.142857142857143,0.107142857142857,0,0.0714285714285714,0.0357142857142857,0,0.0357142857142857,0,0,0,0,0,0,0,0,0.464285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0
