"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Cabomba","Caprifoliaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cistaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ericaceae","Fabaceae","Fagus","Filicopsida.undiff.","Fraxinus.pennsylvanica.type","Herbs.undiff.","Ilex","Isoëtes","Iva","Juglans.cinerea","Juglans.nigra","Lemnaceae","Liquidambar","Lycopodium.type","Magnolia","Moraceae.undiff.","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus","Platanus","Poaceae","Polygonaceae.undiff.","Polygonum","Potamogetonaceae","Pteridium.type","Quercus","Rhamnaceae.Vitaceae.undiff.","Rubiaceae","Rumex","Sagittaria","Salix","Selaginella","Shrubs.undiff.","Sphagnum","Thalictrum","Tsuga","Ulmus","Unknown","Urtica.type","Vitis"
315,4520,0,1,0,0,0,1,0,0,0,2,0,0,2,3,0,6,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,2,0,3,0,1,0,3,0,134,0,17,0,1,1,0,96,0,0,0,5,0,0,0,0,0,0,2,0,0,0
325,4997,0,0,0,0,0,0,1,0,0,0,0,1,16,1,0,4,0,0,1,0,0,0,2,6,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,154,1,22,0,0,0,0,94,0,0,0,10,0,0,0,0,0,0,0,0,0,0
340,5808,0,0,0,0,0,0,0,0,0,1,0,1,7,5,0,4,0,0,0,0,0,0,1,22,0,0,0,0,0,1,0,0,1,0,0,0,1,5,0,1,0,0,0,0,0,2,1,0,0,1,0,155,0,31,0,1,0,1,82,0,3,0,5,0,0,0,0,0,0,1,1,0,0
350,6418,0,0,0,0,1,0,1,0,0,0,0,2,14,3,0,10,0,0,0,0,0,0,1,12,1,0,0,4,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,7,0,0,0,2,0,125,0,8,0,1,0,0,155,0,1,0,2,1,0,0,0,0,0,3,0,0,0
360,7092,0,0,0,1,0,0,0,0,0,0,0,1,7,15,0,10,1,2,0,0,0,0,5,5,0,0,0,1,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,3,1,0,2,0,78,1,26,0,0,1,0,163,0,1,0,2,0,0,0,0,0,0,3,2,0,0
374,8149,0,1,0,1,0,0,2,1,0,3,0,0,10,1,0,14,0,0,0,0,0,0,2,9,0,0,0,4,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,1,0,2,3,0,90,3,13,0,0,0,0,176,0,3,0,2,0,0,0,0,0,0,1,1,0,0
390,9538,0,0,0,0,0,2,0,0,0,1,0,1,11,0,0,13,0,0,0,0,0,0,4,4,1,0,0,5,0,1,0,0,0,0,1,0,0,5,0,1,0,0,1,0,0,6,0,0,1,1,0,82,0,2,0,0,0,0,186,0,0,0,1,0,0,0,0,0,1,3,3,0,1
400,10513,0,0,0,1,0,3,0,0,0,2,0,1,8,0,0,11,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,69,0,2,0,1,0,0,131,0,0,0,0,0,0,0,0,0,0,0,1,1,0
405,11034,0,0,0,2,0,1,0,0,1,0,0,3,10,0,0,42,0,1,0,0,0,2,2,1,0,0,0,12,0,1,0,0,11,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,6,0,54,0,0,0,0,0,0,170,0,0,0,2,0,0,0,0,0,1,9,0,0,0
410,11575,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,46,0,0,0,0,0,2,6,6,0,0,0,37,0,3,0,1,12,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,4,11,1,5,0,0,0,0,191,0,1,0,0,0,0,0,0,0,2,4,0,0,1
420,12700,0,0,1,2,0,1,2,0,0,1,0,3,4,0,0,48,0,0,0,0,0,1,7,1,1,0,0,23,0,2,1,1,24,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,10,3,5,0,0,0,0,176,1,0,0,1,0,0,0,0,0,0,3,2,0,1
425,13273,1,0,0,0,0,7,0,0,0,2,0,0,1,0,0,49,0,4,0,0,0,2,6,5,0,0,0,9,0,3,0,0,35,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,22,2,24,1,1,0,0,0,0,187,0,0,0,6,1,0,0,0,1,1,5,0,0,2
430,13846,0,0,1,4,0,12,0,0,2,1,0,3,2,0,0,55,0,2,1,0,1,0,4,3,0,0,0,0,0,2,1,1,54,1,0,1,0,0,0,0,0,0,0,2,0,3,0,0,0,23,2,26,1,1,0,0,0,0,188,0,0,0,5,1,0,0,0,0,3,4,2,0,0
440,14970,0,0,1,1,0,4,0,0,3,3,0,1,0,0,0,37,1,0,0,0,0,0,3,12,2,0,1,1,0,3,0,0,116,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,6,142,0,6,1,0,0,1,91,0,0,1,0,1,2,0,0,0,0,2,0,0,0
450,16024,1,0,0,0,1,5,0,0,4,3,0,1,0,0,0,21,0,0,0,0,0,1,0,10,0,0,0,1,0,1,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,211,0,6,3,0,0,2,67,0,0,0,0,0,0,0,0,1,0,0,0,0,0
455,16514,1,0,0,0,0,2,0,0,2,2,0,0,0,0,0,8,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,24,246,0,4,3,0,0,0,24,0,0,0,0,1,0,0,0,0,0,1,0,0,0
460,16980,1,0,0,2,0,2,0,0,3,4,0,2,0,0,1,11,0,0,0,0,0,0,1,7,0,1,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,7,257,0,8,2,0,0,2,26,0,0,0,0,0,3,0,0,1,0,0,0,0,0
469,17761,1,0,0,2,0,3,2,0,4,2,0,1,0,0,0,5,1,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,270,0,8,2,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0
480,18624,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,6,1,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,182,0,8,0,0,0,0,36,0,0,0,0,0,2,0,0,0,0,1,0,0,0
490,19331,2,0,0,1,2,7,2,0,12,6,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,242,0,13,3,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0
500,19974,1,0,0,0,0,0,0,0,5,2,1,0,0,0,0,4,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,853,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,270,0,7,0,0,0,1,12,0,0,1,0,1,0,0,1,0,0,0,0,0,0
510,20563,0,0,0,0,1,9,0,0,9,2,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,2,2,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,224,0,12,4,0,0,0,11,0,0,0,0,1,2,0,1,0,0,0,1,0,0
520,21109,1,0,0,3,0,5,1,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,257,0,3,0,0,0,1,7,0,0,1,0,0,1,0,0,0,0,1,0,0,0
530,21620,1,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,258,1,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0
540,22107,0,0,0,0,0,3,1,0,3,9,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,290,0,9,5,0,0,0,5,0,0,1,0,0,0,0,0,1,0,3,0,0,0
550,22579,0,0,0,4,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,265,0,5,2,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
560,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,274,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
