"sample.depths","sample.ages","upland.sum","Acer.saccharum.type","Acer.rubrum","Alnus.incana.type","Ambrosia.type","Artemisia","Betula","Carya","Castanea","Cyperaceae","Ericaceae","Fagus","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Herbs.undiff.","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Ostrya.Carpinus","Picea","Platanus","Quercus","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Anacardiaceae","Pinus","Populus","Amaranthaceae","Caprifoliaceae","Plantago","Prunus.Sorbus","Myrica","Cerealia","Fraxinus.nigra.type","Nyssa","Apiaceae","Corylus","Celtis","Diospyros.type","Rhamnaceae","Acer.negundo","Thalictrum","Salix","Cornus","Cupressaceae","Ilex","Rubiaceae.undiff.","Galium","Polygonum","Tilia","Rhamnaceae.Vitaceae.undiff.","Taxus","Abies","Urtica.type","Alnus.viridis.type","Morus","Sanguisorba","Shrubs.undiff.","Moraceae.undiff.","Caryophyllaceae"
215,1075,297,0,3,16,0,0,29,10,5,8,3,15,3,1,4,0,0,4,0,2,2,2,114,0,18,0,0,0,0,50,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
220,1125,285,3,2,23,0,0,31,8,11,5,4,5,1,0,1,0,2,0,0,5,0,0,105,0,19,0,3,0,1,45,1,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
240,1335,283,2,2,22,0,0,32,8,9,7,0,15,4,0,0,1,0,1,2,2,2,1,104,0,17,1,2,0,0,43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0
260,1560,291,3,5,8,1,0,25,6,7,5,4,15,1,1,0,1,0,0,1,1,2,0,129,0,24,0,0,0,2,42,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,1799,290,4,2,16,0,0,36,8,4,2,3,10,0,0,0,1,0,0,0,2,3,1,107,0,23,1,2,0,1,53,0,0,0,0,1,0,0,1,1,0,1,0,0,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,1986,296,2,1,14,0,1,22,7,4,3,0,20,0,0,0,1,0,1,1,5,0,0,132,0,28,3,4,0,0,39,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
320,2314,295,1,4,26,1,0,36,6,9,4,1,13,2,0,0,1,0,0,1,5,3,0,117,0,21,0,0,0,0,37,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,2587,282,2,1,22,1,1,15,11,13,2,3,7,0,0,0,0,0,2,0,0,2,0,129,0,16,1,1,0,0,41,0,0,0,0,1,3,0,4,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,2870,297,4,1,10,0,0,22,14,9,4,3,9,3,0,0,0,0,1,1,5,1,1,126,0,7,0,4,0,0,65,1,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
380,3161,289,2,1,18,0,0,26,10,9,3,1,10,4,1,0,2,0,0,1,2,2,1,124,0,11,0,2,0,0,45,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
395,3384,288,4,2,11,1,0,14,16,9,1,0,5,1,0,0,1,0,0,1,6,5,0,147,0,4,1,7,0,0,46,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
420,3762,293,3,3,20,0,0,14,9,4,2,4,8,2,0,0,1,0,1,1,5,3,2,153,0,4,0,3,0,1,39,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
430,3915,296,2,2,11,0,0,17,19,6,0,1,9,3,0,0,0,0,1,1,3,2,2,163,0,1,0,3,0,0,39,0,1,0,0,1,0,0,3,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
440,4069,284,4,0,16,0,0,14,4,0,2,2,11,2,4,0,0,1,1,0,3,0,0,165,0,5,0,5,1,0,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,4380,291,5,3,8,0,0,13,13,3,2,1,21,1,0,0,0,0,0,0,2,0,2,170,0,2,0,1,0,0,37,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,4536,287,2,4,13,1,0,26,9,7,2,0,13,2,1,0,0,0,0,1,3,0,4,147,0,4,1,2,0,1,32,1,0,0,0,0,1,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
480,4692,295,2,1,11,0,1,24,9,4,2,1,16,4,1,0,0,0,0,0,7,0,1,166,0,2,0,3,0,0,27,2,0,0,0,1,2,0,1,0,0,0,1,0,0,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
490,4849,291,7,2,11,1,0,25,3,2,0,2,19,2,0,0,1,0,0,0,3,1,0,161,0,5,0,2,0,0,25,1,0,0,0,0,0,0,1,2,0,1,0,0,2,0,1,0,0,2,5,2,0,0,1,0,0,0,1,0,0,0,0,0,0
498,4974,290,3,0,10,0,0,23,13,4,0,0,15,6,0,0,1,0,0,1,2,0,4,160,0,12,0,6,0,0,22,1,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,5162,293,3,3,13,0,1,20,9,9,1,0,22,3,1,0,0,1,0,0,2,0,0,163,0,4,1,1,0,1,31,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,5318,300,6,2,16,1,0,29,9,5,0,1,29,1,1,0,0,0,0,1,4,0,5,144,0,14,1,3,0,0,18,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0
530,5474,298,5,1,10,2,1,20,11,11,0,0,20,2,0,0,1,0,0,0,6,0,1,135,0,30,0,5,0,0,24,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0
540,5630,287,2,1,10,0,0,14,15,15,0,0,13,0,1,0,0,0,0,0,3,0,0,132,0,45,0,4,0,0,23,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,5944,295,3,1,11,2,0,13,13,10,2,0,16,3,3,0,1,0,0,0,2,0,3,150,0,31,0,3,0,0,18,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
570,6100,287,1,4,11,1,0,12,16,5,0,0,17,3,1,0,1,0,0,2,1,0,2,141,0,39,1,4,0,0,17,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
580,6257,294,8,0,9,2,0,12,10,2,1,1,24,3,1,0,2,0,0,0,3,0,2,145,0,46,0,5,0,0,10,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
590,6413,289,5,2,8,0,0,11,7,2,1,0,24,4,0,0,0,0,0,0,3,0,1,158,0,41,0,1,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
598,6537,287,5,0,7,0,0,10,5,3,1,0,28,2,1,0,4,0,0,2,2,0,1,156,0,47,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0
610,6722,291,6,3,12,0,0,11,4,4,0,0,18,7,1,0,0,0,0,0,3,0,1,159,0,37,1,4,0,0,13,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
620,6875,290,2,4,9,0,1,14,5,0,1,1,33,6,0,0,0,0,0,1,2,0,2,139,0,36,1,8,1,0,11,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0
640,7178,288,8,1,5,0,0,11,3,0,1,1,22,5,0,0,6,0,0,0,1,0,4,154,0,42,0,3,0,0,10,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
660,7473,289,3,0,11,1,0,12,2,1,0,0,29,1,1,0,0,0,0,1,2,0,3,161,0,33,0,4,1,0,8,0,0,0,0,0,0,0,3,0,0,2,0,0,3,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0
680,7760,294,1,1,8,0,0,13,2,1,0,0,27,2,1,0,2,0,0,0,5,1,5,181,0,24,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
690,7900,297,0,3,11,0,0,16,4,1,0,0,25,6,0,0,0,1,0,1,1,0,0,156,0,46,0,7,0,1,10,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
695,7969,293,3,1,8,0,1,14,6,0,0,0,20,2,3,0,2,0,0,0,3,0,3,174,0,35,0,2,1,0,9,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
710,8172,290,2,2,12,1,0,31,2,0,2,0,25,0,2,1,2,0,0,0,6,0,3,155,0,21,1,4,0,0,9,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
720,8303,292,2,0,15,2,0,22,2,0,0,0,21,3,2,0,2,0,0,0,5,0,1,161,0,33,0,1,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0
740,8556,289,6,2,9,0,0,16,0,0,3,2,11,6,0,0,0,0,0,0,2,1,1,158,0,35,0,7,0,0,24,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,8793,285,6,0,4,0,0,16,2,0,0,0,13,0,0,0,2,0,0,0,4,0,3,178,0,29,0,6,0,0,15,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
780,9015,294,2,1,2,1,0,7,2,2,0,0,5,1,0,0,2,0,0,0,2,0,2,191,0,35,0,7,0,0,26,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
797,9189,290,5,0,4,0,0,9,1,1,0,1,10,1,1,0,1,0,0,1,3,0,1,187,0,18,0,3,1,0,38,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
820,9402,279,1,0,2,2,0,10,1,0,0,1,3,3,4,0,1,0,0,2,1,0,0,183,0,22,0,5,0,0,28,1,1,0,0,0,0,0,3,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
840,9567,292,3,1,5,0,1,20,0,1,0,0,6,2,1,0,0,0,0,0,7,0,1,169,0,23,1,3,0,0,45,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850,9644,290,2,1,3,2,0,7,1,0,0,0,6,1,1,0,1,0,0,0,2,0,2,170,0,31,0,4,0,0,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,9718,286,3,1,8,1,0,6,2,1,2,0,3,3,0,0,1,0,0,0,3,0,2,151,0,15,1,3,0,0,74,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870,9789,289,0,1,2,1,0,12,0,0,0,0,2,1,1,0,1,0,0,0,5,0,2,150,0,27,1,2,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,9858,295,1,0,4,2,0,14,0,0,0,0,2,3,2,0,1,0,0,1,7,0,1,160,0,17,0,3,0,0,74,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890,9925,296,0,1,2,0,1,14,1,0,0,0,3,1,2,1,0,0,0,0,6,0,0,153,0,21,0,3,0,0,82,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
898,9978,293,3,0,4,2,0,9,0,0,0,0,1,1,0,0,0,0,0,0,8,0,1,157,0,22,1,3,0,0,76,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920,10122,288,2,1,2,0,1,10,0,0,1,0,1,0,3,0,1,0,0,0,3,1,1,115,0,32,0,8,0,0,102,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940,10255,289,2,0,3,0,0,16,0,0,2,0,0,2,3,0,0,0,0,0,5,0,1,116,0,28,2,1,0,0,100,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
960,10394,292,4,0,2,2,0,17,2,0,1,0,0,3,1,0,0,0,0,0,6,1,1,112,0,26,1,5,0,0,100,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980,10543,287,0,0,4,2,0,10,0,0,2,0,2,1,0,0,2,0,0,0,6,1,0,65,0,74,0,6,0,0,108,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
998,10690,296,1,1,1,0,0,11,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,73,0,68,0,4,0,0,124,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1020,10888,388,5,0,5,1,1,20,0,1,1,1,0,0,2,0,0,0,0,0,10,0,2,103,0,30,1,3,0,0,191,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1040,11093,294,7,2,2,2,0,9,0,0,2,1,0,0,0,0,0,0,0,0,8,0,0,68,0,13,0,2,0,0,174,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1060,11325,302,3,0,4,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,52,0,2,0,3,0,0,207,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1070,11457,325,7,4,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,52,0,3,0,1,0,0,227,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,11603,326,5,1,3,0,0,29,2,1,2,0,0,0,0,0,0,0,3,0,5,3,0,54,0,4,1,4,0,0,188,2,0,0,0,0,0,0,4,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
1090,11764,318,1,0,7,0,0,49,0,0,6,1,1,1,1,0,2,0,4,0,3,10,0,49,0,3,0,3,0,0,149,2,0,0,0,0,1,0,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0
1098,11905,309,2,0,11,0,0,61,0,0,7,2,0,0,2,0,0,0,2,0,3,27,0,45,0,5,1,2,0,0,114,2,0,1,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,5,0,0,0,0,0
1110,12135,321,2,0,23,0,0,65,1,0,8,0,0,0,3,0,0,0,2,0,1,17,0,46,0,5,0,2,0,0,113,1,0,0,0,2,0,0,8,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,14,0,4,0,0,0,0,0
1120,12345,326,0,0,12,0,0,112,0,0,0,1,0,0,1,0,0,0,1,0,9,38,0,39,0,5,0,1,0,0,85,1,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,0,3,0,1,0,0,0
1130,12571,330,0,0,23,0,0,84,0,0,5,1,0,0,0,0,0,0,2,0,1,31,0,38,0,2,2,2,0,0,115,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0
1140,12814,328,0,0,23,0,0,70,0,0,2,0,0,1,3,0,0,0,0,0,1,36,0,37,0,3,1,3,0,0,114,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,21,0,7,0,0,0,0,0
1148,13019,330,0,0,31,0,0,63,0,0,0,0,1,0,3,0,0,0,1,0,10,38,0,42,0,2,0,1,0,0,98,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,26,0,7,0,0,0,0,0
1160,13346,327,1,0,30,1,0,15,0,0,4,0,1,1,4,0,0,0,1,0,5,34,0,37,0,0,1,4,0,0,152,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,5,0,25,0,0,0,0,0
1170,13633,317,0,0,20,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,34,0,44,0,1,0,0,0,0,152,2,0,0,0,0,0,0,6,0,0,1,2,0,0,0,0,2,0,2,1,0,0,0,0,0,0,21,0,11,0,0,0,0,0
1180,13932,323,0,0,16,0,0,17,0,0,4,1,1,0,0,0,0,0,0,0,9,22,0,50,0,0,1,1,0,0,176,1,0,0,0,0,1,0,3,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0
1190,14241,298,0,0,17,0,1,31,0,0,9,1,3,0,3,0,1,0,0,0,9,45,1,31,0,0,1,0,0,0,106,1,1,1,0,0,0,0,11,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,15,0,3,0,1,1,0,0
1195,14398,294,0,0,15,1,0,8,0,0,3,0,2,2,3,0,1,0,0,0,13,23,1,36,0,0,1,0,0,0,163,2,0,1,0,0,0,0,5,0,0,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0
1210,14882,295,0,0,5,1,0,9,1,0,3,0,3,0,0,0,0,0,0,0,24,40,0,32,0,1,1,0,0,0,153,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,16,1,1,0,0,0,0,0
1220,15211,293,0,0,5,1,2,23,0,0,1,0,1,0,3,0,0,0,0,0,19,62,0,28,0,0,0,0,0,0,115,4,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,1,0
1230,15544,284,1,0,3,2,3,16,1,0,6,0,0,0,9,0,0,0,0,0,21,105,0,30,0,0,3,2,0,0,51,4,1,0,0,0,0,0,6,0,0,0,0,0,0,0,3,7,0,4,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0
1235,15712,289,0,0,2,0,0,18,0,0,13,0,0,0,10,0,0,0,0,0,24,86,0,37,0,0,2,1,0,0,57,10,0,0,0,1,0,0,9,0,1,1,0,0,0,0,2,3,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
1240,15879,296,0,0,3,1,1,16,0,0,21,0,0,0,8,0,0,0,0,0,1,137,0,1,0,0,1,1,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0
1245,NA,297,0,0,10,0,1,43,0,0,39,3,1,0,9,0,0,0,0,0,2,81,0,5,0,0,2,1,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,6,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
1250,NA,298,0,0,17,4,4,21,1,0,40,3,1,0,10,0,0,0,0,0,5,65,0,10,0,0,4,2,0,0,90,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,2,0,4,0,1,0,0,1
1255,NA,298,0,0,16,0,5,15,2,0,60,1,0,0,11,0,0,0,0,0,0,70,0,5,2,0,1,0,0,0,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,6,0,3,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0
1260,NA,297,0,0,13,0,3,7,1,0,61,0,0,0,9,0,0,0,0,0,0,50,0,1,2,0,3,0,0,0,134,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
1280,NA,297,0,0,8,0,9,2,0,0,47,0,1,0,13,0,0,0,0,0,0,51,0,2,0,0,2,0,0,0,143,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,1,0,0,0,0,1,0,5,0,1,0,0,0
1302,NA,298,0,0,12,3,8,3,1,0,58,0,0,0,16,0,0,0,0,0,2,46,0,3,2,0,3,1,0,0,129,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1320,NA,295,0,0,1,1,6,6,0,0,35,0,0,0,14,0,0,0,0,0,1,55,0,0,1,0,2,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
1340,NA,295,0,0,2,3,11,1,1,0,56,0,0,0,12,0,0,0,0,0,3,42,0,3,3,0,3,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1
1360,NA,295,0,0,1,4,10,1,0,0,19,1,0,0,5,0,1,0,0,0,0,35,0,0,1,0,4,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
