"sample.depths","sample.ages","Abies.balsamea","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Amorpha","Apiaceae","Arceuthobium","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Carya","Caryophyllaceae","Celtis","Corylus","Cyperaceae","Dalea.candida","Dalea.purpurea","Dryopteris.type","Ephedra","Equisetum","Ericaceae","Fraxinus.nigra","Fraxinus.pennsylvanica","Galium","Humulus.lupulus","Hydrophyllum.virginianum","Impatiens","Iva.annua","Iva.xanthifolia","Juglans","Juniperus.Thuja","Lamiaceae","Larix.laricina","Liliaceae","Lycopodiaceae","Lythrum.alatum","Myriophyllum","Nuphar","Ostrya.Carpinus","Parthenocissus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus.type","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonum","Populus","Potamogetonaceae.type","Pteridium.aquilinum","Quercus","Ranunculaceae.undiff.","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Sparganium.type","Thalictrum","Tilia","Typha.latifolia","Ulmus","Unknown","Unknown..Cretaceous.","Utricularia","Viburnum.lentago","Vitis","Xanthium"
855,8524,1,0,0,0,4,19,45,2,0,0,56,8,1,8,0,0,0,0,0,4,23,0,1,0,0,0,0,1,2,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,6,0,5,4,2,33,0,0,46,0,2,2,1,72,0,0,0,0,11,0,0,0,0,0,0,9,1,0,4,0,0,0,0
885,8890,0,0,0,0,4,15,17,1,0,0,43,6,1,8,0,0,0,0,0,8,38,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,8,1,20,0,0,60,0,4,4,1,112,0,0,0,0,9,2,0,0,0,0,0,2,3,0,0,0,0,0,0
910,9195,0,1,0,0,6,10,12,0,1,0,37,3,0,10,1,0,0,0,0,9,37,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,4,0,10,6,0,57,0,0,84,0,3,3,3,98,0,0,0,0,3,0,1,0,0,0,0,7,7,14,0,0,0,0,0
935,9500,0,0,0,1,11,14,29,0,0,0,37,11,1,22,0,0,0,0,0,7,23,1,0,1,0,0,0,4,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,11,4,0,37,0,0,60,0,8,1,9,50,0,0,0,1,6,0,1,0,1,1,0,5,4,6,1,0,0,0,0
960,9805,0,0,0,1,3,9,12,1,0,0,30,5,0,31,0,0,0,0,0,1,30,0,0,0,0,1,0,1,0,0,9,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,13,10,1,73,0,0,57,0,13,2,8,31,0,0,0,0,4,0,2,0,0,0,0,2,1,8,3,0,0,0,0
985,10111,0,0,0,0,5,16,16,0,0,0,33,2,0,24,0,0,0,0,0,9,55,0,1,0,0,2,0,3,1,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,7,23,1,74,0,1,40,0,9,1,6,27,0,0,0,0,10,0,2,0,0,0,0,5,5,2,0,0,0,0,0
1010,10416,0,0,0,1,8,18,18,1,0,0,18,1,0,27,0,0,0,0,0,5,43,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,6,0,10,32,0,131,0,0,43,0,21,0,26,19,0,0,0,0,6,1,3,0,0,1,0,0,22,10,0,0,0,2,0
1045,10843,0,0,0,1,5,6,6,0,0,0,19,2,0,26,0,0,2,0,0,6,35,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,7,0,9,39,1,96,0,0,43,0,16,0,7,15,0,0,0,0,11,1,2,0,0,1,0,1,13,5,0,0,0,0,0
1060,NA,0,6,0,0,3,2,2,0,0,0,10,1,0,135,0,0,1,0,0,11,16,0,0,1,0,1,0,11,1,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,6,0,64,23,0,43,0,0,12,0,39,4,7,22,0,1,0,0,5,1,0,1,0,1,0,0,15,6,0,0,0,0,0
1085,NA,0,2,0,0,3,3,1,0,0,0,7,1,0,85,0,0,0,0,0,18,28,0,0,0,0,2,0,16,1,0,0,0,0,0,0,1,8,0,18,0,0,0,0,0,10,0,71,24,0,27,0,0,15,0,41,0,4,11,0,0,0,0,7,0,0,0,0,0,0,1,13,3,0,0,0,0,1
1090,NA,0,0,0,0,7,3,4,0,0,0,7,0,0,24,0,0,0,0,0,1,22,0,0,2,0,3,0,12,0,0,0,0,0,0,0,0,11,0,17,0,0,0,0,0,0,0,157,1,0,13,0,0,10,0,56,0,0,16,0,0,0,0,6,1,0,0,1,0,0,3,18,3,0,0,0,0,0
1095,NA,0,0,0,0,6,0,1,0,0,0,20,2,0,22,0,0,0,0,0,2,28,0,0,0,0,7,0,3,0,1,0,0,0,0,0,0,2,0,25,0,0,0,0,0,3,0,260,2,0,3,0,0,16,0,19,0,1,4,0,0,0,0,4,0,0,5,0,0,0,1,5,3,0,0,0,0,0
