"sample.depths","sample.ages","Abies","Acer","Alnus","Anacardiaceae","Betula","Carya","Celtis","Cephalanthus","Corylus","Ericaceae","Fagus","Fraxinus","Ilex","Itea","Juglans","Liquidambar","Morus","Myrica","Nyssa","Ostrya.Carpinus","Pinus..1.2.grains.","Pinus..whole.grains.","Planera.aquatica","Platanus","Quercus","Rubus.type","Salix","Taxodium","Tilia","Ulmus","Vitis","Alternanthera","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Galium","Iva","Lythrum","Malvaceae","Onagraceae","Poaceae","Polygonum","Vigna","Osmunda","Decodon.verticillatus","Myriophyllum","Nuphar","Sagittaria","Spore..monolete.","Spore..trilete.","Indeterminable","Unknown"
295,6468,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,15,0,1,3,0,2,0,0,0,0,1,11,15,52,0,27,0,0,0,165,0,0,0,0,0,0,1,0,0,5,2
297,6492,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,1,0,2,0,0,2,4,1,1,19,0,0,10,0,1,0,0,3,0,0,7,7,124,0,12,0,0,0,79,0,0,0,0,0,0,3,0,0,13,3
303,6564,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,14,0,0,4,0,0,0,0,0,1,0,6,19,37,0,5,0,0,0,180,0,0,0,0,0,0,12,1,0,7,5
315,NA,0,0,4,0,0,5,0,0,0,0,0,2,0,0,0,2,0,4,0,1,2,2,0,0,31,0,0,14,0,1,0,0,3,2,1,28,30,34,0,15,0,0,0,76,0,0,0,0,0,0,10,1,0,24,3
324,NA,0,0,1,0,0,5,0,0,0,0,0,13,1,0,0,1,0,4,0,1,2,4,1,0,43,0,2,30,0,0,2,0,1,0,0,26,42,37,1,6,0,0,0,32,0,0,0,0,0,0,1,1,1,39,6
340,NA,0,0,0,0,0,11,0,0,0,0,0,4,0,1,0,4,0,4,0,2,2,3,0,0,21,0,0,25,1,1,6,0,1,2,0,27,25,8,0,6,1,0,0,36,0,0,0,0,0,1,0,1,3,93,3
350,NA,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,8,0,1,5,0,0,0,0,1,1,0,6,7,4,0,11,0,0,0,16,0,0,0,0,0,0,1,1,1,15,2
363,NA,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,9,0,1,8,0,0,2,0,0,0,0,6,8,7,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,19,1
372,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,8,0
420,NA,0,0,1,0,0,2,0,0,2,0,0,1,0,0,0,1,0,0,0,1,2,1,0,0,4,0,0,4,1,0,1,0,0,0,0,11,4,5,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,28,2
429,NA,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,10,0,0,0,0,2,0,0,3,6,3,0,1,0,0,0,5,0,0,1,0,0,0,0,0,1,9,1
442,NA,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0
448,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,13,0,1,8,0,1,2,0,0,0,0,4,10,4,0,1,0,0,0,4,0,0,0,1,0,1,0,0,0,10,3
458,NA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,1,0,0,8,0,0,9,0,0,3,0,0,0,0,3,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,16,1
468,NA,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,2,0,0,0,0,5,0,0,8,0,2,1,0,0,0,0,6,5,4,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,11,1
